Variable:,tas
Country:,Croatia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.73,-2.76,5.44,10.21,14.31,18.45,20.38,19.06,15.64,11.69,3.99,3.79
1902,2.49,3.12,5.14,10.53,10.75,16.46,19.38,19.42,15.95,10.74,3.22,-0.78
1903,-1.25,3.60,7.36,7.15,14.40,16.87,19.15,19.37,16.12,11.61,6.49,2.72
1904,-0.72,3.88,6.07,10.95,14.89,18.46,21.42,19.86,14.33,11.12,4.33,2.16
1905,-3.78,0.65,6.32,8.92,14.16,18.11,21.68,20.67,17.71,7.19,6.94,2.32
1906,-0.51,1.38,5.32,10.08,14.45,16.96,19.81,19.18,14.28,11.14,7.93,-0.37
1907,-1.88,-0.84,2.61,7.52,16.10,18.43,18.79,19.92,16.19,14.71,5.38,2.86
1908,-1.67,1.90,4.13,8.23,17.38,19.76,19.87,18.35,14.43,10.38,1.91,0.03
1909,-2.96,-2.11,4.52,10.87,13.74,17.17,18.83,19.76,15.98,12.54,4.32,4.48
1910,1.26,4.19,6.15,9.51,13.78,18.02,18.38,19.09,14.21,11.46,4.77,5.21
1911,-0.82,0.65,5.68,9.38,14.19,17.18,21.03,20.86,16.86,11.10,8.37,3.67
1912,-0.45,4.56,8.06,8.04,14.40,18.27,19.76,17.50,12.48,9.04,2.82,2.53
1913,-0.47,0.51,7.71,9.94,13.94,17.60,16.90,17.60,15.50,11.84,7.55,1.87
1914,-4.04,0.85,6.44,11.30,13.62,16.59,18.66,19.36,14.52,10.04,4.83,3.71
1915,0.96,1.99,4.57,9.64,15.63,19.04,19.21,17.71,13.77,8.73,3.60,5.23
1916,2.86,2.14,8.14,9.93,15.03,16.98,19.67,19.02,14.10,10.44,7.52,4.45
1917,-0.06,-2.50,3.48,7.67,15.80,19.87,20.25,20.59,17.58,10.84,5.49,-0.45
1918,1.15,1.27,5.70,11.20,15.02,15.73,19.18,18.86,16.89,10.42,4.60,2.83
1919,2.55,1.19,6.30,8.30,11.57,17.36,17.37,19.66,17.14,8.91,4.10,1.98
1920,3.08,3.71,8.01,12.20,17.00,16.75,20.53,18.07,16.46,9.05,2.54,2.26
1921,3.77,1.87,7.03,8.95,15.99,16.80,21.34,20.57,16.06,12.20,3.38,0.58
1922,-1.32,-0.46,7.31,8.91,15.32,18.59,19.96,20.16,14.47,8.89,3.51,2.14
1923,1.19,2.17,6.23,9.18,15.90,14.88,20.81,20.17,15.80,13.47,7.30,1.25
1924,-1.88,-0.27,4.45,9.69,16.37,17.90,19.59,17.20,16.94,10.93,4.78,1.61
1925,1.18,5.03,4.16,10.33,15.32,17.04,19.59,19.12,14.08,11.04,5.65,-0.71
1926,-0.31,5.60,5.50,11.31,13.54,16.09,18.49,18.29,17.33,12.05,11.01,1.59
1927,1.72,0.80,7.68,10.29,14.31,19.40,21.15,20.34,16.88,10.85,6.96,-0.15
1928,0.42,2.29,4.35,10.73,12.11,17.71,22.85,21.27,16.26,11.17,7.56,0.57
1929,-3.88,-3.78,3.84,7.42,15.79,18.11,20.79,20.68,16.81,11.94,7.34,3.31
1930,1.35,1.41,7.34,10.88,13.91,19.82,19.78,19.09,17.10,10.71,8.05,2.03
1931,0.80,1.46,2.90,8.25,16.60,19.94,21.13,19.27,12.50,9.97,5.96,-0.15
1932,0.28,-2.82,1.89,9.12,14.86,16.94,21.05,21.83,19.55,11.71,6.44,2.55
1933,-1.59,1.26,5.90,9.00,12.95,15.30,19.98,19.83,15.58,11.15,5.66,-2.19
1934,-0.09,1.76,7.69,12.57,16.18,17.42,20.51,19.38,17.30,10.89,6.90,5.50
1935,-2.19,1.54,4.25,9.58,12.91,20.07,20.45,19.25,16.01,12.83,6.57,1.76
1936,4.23,2.70,7.94,10.46,15.02,17.61,20.96,18.78,15.72,7.30,5.50,1.57
1937,-1.03,3.35,6.69,9.31,16.16,19.21,20.00,19.03,15.84,11.46,5.51,1.00
1938,-0.47,1.15,7.91,6.96,13.17,19.97,20.45,19.36,15.31,12.16,7.38,0.15
1939,2.33,3.42,3.00,12.50,12.84,18.13,20.53,20.01,15.54,10.20,6.73,-0.09
1940,-5.27,-1.70,4.03,10.07,13.28,17.53,18.94,17.10,15.89,10.85,7.89,-3.06
1941,-1.76,2.08,6.02,9.09,11.97,18.01,19.81,18.55,14.14,9.84,3.14,0.97
1942,-6.65,-1.72,4.37,8.89,15.13,18.25,19.58,20.13,19.54,13.37,5.24,3.31
1943,-2.75,4.12,7.00,11.45,14.27,16.79,20.11,21.94,18.03,13.01,4.76,2.75
1944,2.31,0.26,2.59,10.95,13.76,16.94,19.70,21.88,15.61,11.49,5.23,0.41
1945,-3.61,2.89,7.08,11.01,16.80,19.69,21.52,19.86,16.40,10.67,5.39,2.10
1946,-1.59,3.29,6.93,12.54,16.64,18.91,21.79,21.67,18.42,8.78,6.11,-0.72
1947,-4.97,-0.16,6.79,12.69,15.98,19.57,21.54,20.63,19.03,10.19,7.52,2.19
1948,3.66,1.12,7.04,11.40,15.99,16.96,18.12,20.02,16.80,11.97,6.15,0.25
1949,2.24,2.82,3.31,12.44,14.86,16.62,19.87,18.98,17.61,12.43,7.05,2.99
1950,-1.64,3.17,7.55,10.50,16.64,20.26,22.68,21.38,16.74,10.29,6.28,2.49
1951,2.81,4.67,5.67,10.29,14.56,18.61,19.85,21.01,18.04,9.97,8.52,2.93
1952,0.02,0.43,4.12,13.06,14.32,19.09,22.43,22.21,15.22,10.81,4.99,1.73
1953,-0.00,0.95,5.45,11.38,14.37,18.22,20.99,18.97,17.10,13.13,4.77,1.85
1954,-4.12,-3.30,6.69,8.55,13.60,19.39,18.54,19.31,17.43,10.63,5.52,4.02
1955,1.44,2.70,3.39,8.26,13.62,17.40,19.56,18.47,15.98,10.90,5.13,3.81
1956,2.21,-5.70,2.62,9.39,14.76,16.70,20.52,20.23,17.31,10.62,3.48,0.78
1957,-1.25,4.87,7.52,10.25,12.22,20.16,20.53,19.03,15.49,11.09,7.17,1.93
1958,0.04,4.33,2.16,8.06,18.09,17.58,21.02,20.80,16.56,11.72,7.26,4.32
1959,0.88,0.80,8.37,10.83,14.43,17.32,20.88,19.02,14.83,9.85,6.48,4.77
1960,-0.17,1.94,6.23,10.14,14.01,18.56,18.25,19.78,15.51,12.52,8.05,4.56
1961,-0.12,3.69,8.17,13.25,13.48,18.79,18.87,19.72,18.15,12.93,7.06,0.84
1962,1.12,1.07,2.62,10.59,13.90,16.56,18.84,21.60,15.87,11.82,5.85,-1.69
1963,-4.53,-2.11,4.02,11.23,14.74,18.95,21.37,20.37,17.15,10.95,10.29,-1.46
1964,-4.33,1.31,4.20,10.94,14.55,19.97,20.04,18.75,15.82,10.97,7.56,1.83
1965,1.47,-1.64,5.97,8.76,13.33,18.07,19.83,18.13,16.21,10.68,5.12,3.14
1966,-2.27,6.79,5.18,12.03,14.72,18.56,19.01,18.95,16.68,14.63,4.99,2.10
1967,-1.27,2.44,7.07,9.47,15.19,17.28,21.38,20.16,17.14,12.85,6.86,0.76
1968,-1.49,3.62,6.38,12.41,15.62,18.23,19.89,18.13,15.62,11.78,7.09,-0.49
1969,-0.81,0.68,4.38,9.69,16.73,16.91,19.58,18.47,16.53,11.25,8.49,-1.52
1970,0.54,1.30,4.38,9.24,12.56,18.89,19.48,19.78,16.26,10.17,8.09,1.38
1971,0.55,3.00,2.84,11.13,16.13,17.43,20.44,21.34,13.90,10.12,5.67,2.21
1972,-0.06,4.22,8.12,10.65,14.25,18.76,20.05,18.84,13.24,9.19,6.05,1.69
1973,0.54,2.39,5.01,8.23,15.46,18.17,20.04,20.07,17.16,10.23,4.15,1.30
1974,2.24,5.58,7.55,9.36,13.48,16.58,19.52,21.02,16.21,7.58,6.16,3.27
1975,3.30,2.11,7.05,10.12,15.76,17.02,19.95,19.18,18.29,10.74,4.96,1.99
1976,1.13,1.59,3.18,10.19,14.60,17.83,20.45,16.77,14.67,11.84,7.31,1.57
1977,2.25,5.24,8.83,9.03,14.86,18.28,19.64,19.03,14.27,12.05,6.50,0.65
1978,1.01,1.44,6.78,9.01,12.62,17.22,18.53,18.34,14.94,10.90,3.19,1.93
1979,-1.22,2.72,7.54,9.08,15.36,19.93,18.60,18.59,16.15,10.63,6.40,4.46
1980,-1.27,3.00,5.85,7.93,12.21,17.11,18.84,19.93,16.14,11.15,4.83,0.27
1981,-1.89,1.15,8.24,10.60,14.58,18.58,19.47,19.81,16.84,12.61,5.04,1.46
1982,-0.81,0.13,5.35,8.43,15.37,19.28,20.73,19.99,19.12,12.28,6.70,4.29
1983,3.01,-0.04,6.98,12.05,15.91,17.83,22.34,20.19,16.60,11.36,3.81,1.65
1984,0.87,1.06,4.87,9.60,13.34,17.03,18.83,18.96,16.08,12.41,6.70,1.97
1985,-3.74,-1.71,5.07,10.13,15.69,16.55,20.86,20.49,17.11,11.14,4.61,4.63
1986,0.93,-1.80,4.34,11.16,17.24,17.47,19.15,21.01,16.20,11.47,6.35,0.25
1987,-2.25,1.86,1.26,10.58,13.14,17.86,20.41,19.06,19.33,12.37,6.45,2.51
1988,3.67,3.63,5.20,10.10,15.34,17.62,21.98,21.05,16.44,11.78,2.21,2.02
1989,0.49,4.55,8.89,11.54,14.38,16.68,20.50,19.94,16.19,11.09,4.94,2.99
1990,0.83,6.27,9.19,9.92,15.85,17.97,20.16,20.62,15.04,12.34,6.90,1.31
1991,1.19,-0.87,8.50,8.90,11.63,18.23,21.39,20.50,17.59,10.24,6.53,-0.33
