Variable:,tas
Country:,Haiti
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.32,22.88,23.45,24.07,24.77,25.58,25.61,25.97,25.83,25.09,23.38,22.27
1902,21.53,22.36,23.18,23.60,24.56,25.46,25.69,25.87,25.54,24.88,23.83,22.82
1903,22.30,22.88,23.20,23.64,24.57,25.50,25.60,25.70,25.28,24.70,23.56,22.44
1904,22.10,22.43,22.85,23.29,24.19,24.95,25.11,25.16,25.02,24.62,23.73,22.76
1905,21.70,22.41,23.05,24.14,24.64,25.56,25.53,25.81,25.50,25.11,24.28,22.94
1906,22.16,22.57,22.88,23.59,24.36,24.97,25.33,25.52,25.35,24.89,23.90,21.95
1907,21.68,21.77,22.63,23.26,24.16,25.12,25.41,25.38,25.17,24.78,23.91,22.85
1908,22.00,22.04,22.80,23.64,24.04,25.15,25.55,25.68,25.36,24.54,23.69,22.74
1909,21.84,22.14,23.20,23.34,24.36,24.84,25.25,25.24,25.34,24.74,23.27,21.95
1910,21.37,21.67,22.32,23.00,23.74,24.87,25.16,25.38,25.19,25.06,23.72,22.17
1911,21.86,22.05,22.36,23.32,23.69,25.24,24.99,25.44,25.31,25.03,24.27,23.11
1912,22.64,22.29,23.22,24.17,24.58,25.10,25.54,25.55,25.33,24.84,23.83,23.26
1913,22.45,22.40,23.10,22.91,24.08,24.40,24.93,25.10,25.15,24.45,23.46,22.24
1914,21.62,22.38,22.46,23.51,24.04,24.85,25.16,25.38,25.28,24.81,23.70,23.27
1915,22.29,22.28,22.78,23.30,24.63,25.54,25.73,25.90,25.74,25.32,24.18,22.71
1916,22.22,22.23,22.37,23.37,24.51,25.36,25.41,25.54,25.26,24.77,23.56,22.08
1917,21.77,21.68,22.49,23.15,24.08,24.89,25.37,25.35,25.19,24.97,23.11,21.73
1918,21.08,22.26,22.66,23.24,23.68,24.93,25.30,25.61,25.20,25.11,23.53,22.49
1919,21.86,22.46,22.93,23.39,24.65,25.29,25.18,25.70,25.21,24.92,23.44,22.52
1920,21.91,22.07,22.82,23.87,24.52,24.99,24.94,25.07,24.95,24.46,23.53,22.50
1921,21.58,22.33,22.70,23.22,23.95,25.09,24.91,25.15,25.29,24.56,23.70,22.70
1922,21.40,21.99,22.41,22.81,23.75,24.66,24.72,24.98,25.18,24.73,23.55,22.56
1923,21.54,21.77,22.80,23.16,24.49,24.96,25.11,25.61,25.61,25.14,23.96,22.76
1924,22.39,22.35,23.30,24.56,25.17,25.55,25.96,26.24,25.93,25.31,23.59,22.97
1925,22.12,22.04,22.70,23.80,24.27,25.05,25.07,25.70,25.85,25.13,24.00,23.36
1926,22.13,22.75,23.61,24.36,24.83,25.41,25.75,25.96,25.76,25.20,24.37,23.31
1927,21.65,22.50,23.13,23.99,24.53,25.44,25.52,25.60,25.41,24.96,24.09,23.02
1928,22.37,22.93,23.19,23.48,24.17,25.28,25.37,25.38,25.23,24.69,23.99,22.89
1929,22.73,23.14,23.04,23.43,23.93,24.88,25.37,25.36,25.11,24.54,23.79,22.66
1930,22.24,22.25,22.90,23.72,24.61,25.11,25.26,25.62,25.43,24.96,23.70,22.79
1931,22.24,22.20,23.26,24.04,25.09,25.68,26.08,26.01,25.63,25.23,24.02,23.22
1932,22.34,22.74,23.34,24.00,24.91,25.53,25.61,25.84,25.85,24.97,23.85,23.22
1933,22.63,22.63,23.42,24.14,25.03,25.47,25.73,26.11,25.64,25.42,23.95,23.08
