Variable:,tas
Country:,Ireland
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.66,3.15,4.40,7.72,10.81,12.37,15.87,14.29,12.85,8.89,6.10,4.12
1902,5.24,3.11,6.87,7.26,8.65,12.39,13.67,13.53,12.52,9.58,7.25,5.47
1903,4.43,6.92,6.08,6.61,10.10,12.27,14.09,12.99,12.09,9.38,6.49,3.84
1904,4.73,3.75,4.66,7.93,9.73,12.67,14.63,13.79,11.93,9.51,6.24,5.42
1905,5.46,5.28,6.11,7.21,10.33,13.57,15.60,13.39,11.49,7.28,4.86,6.86
1906,5.62,3.57,5.58,6.73,9.27,13.41,14.13,15.22,12.88,9.59,7.21,4.29
1907,4.68,3.68,6.89,7.17,9.28,11.31,14.07,13.25,13.30,8.81,6.05,5.10
1908,4.21,6.25,4.76,6.25,11.23,12.72,14.73,13.90,12.00,11.80,8.07,5.81
1909,5.24,4.92,4.15,8.24,10.28,11.79,13.80,14.44,11.42,9.52,4.83,4.28
1910,4.26,4.92,6.23,6.72,10.25,13.14,13.73,14.01,11.93,10.10,4.45,6.16
1911,4.65,5.07,5.34,7.36,11.53,13.17,15.89,15.78,12.39,9.28,5.64,5.87
1912,4.76,5.33,6.86,8.65,10.83,12.39,13.87,11.61,10.90,8.30,6.59,6.61
1913,4.81,5.25,5.48,7.42,9.98,12.28,13.82,14.38,12.82,10.36,7.76,5.32
1914,4.64,6.26,5.80,8.91,10.08,13.21,14.56,14.85,12.72,10.00,6.60,4.06
1915,4.03,3.82,5.37,8.01,10.17,13.12,13.62,14.17,13.00,9.33,4.03,5.03
1916,6.74,3.87,3.76,7.36,10.12,11.41,14.55,15.48,12.92,10.00,7.07,3.27
1917,2.52,2.81,4.43,5.55,11.02,12.77,15.18,14.45,12.85,7.34,8.06,3.75
1918,4.47,7.12,6.05,7.01,11.34,12.62,14.19,14.75,10.71,8.42,6.14,7.04
1919,3.83,3.64,3.72,7.33,11.79,12.61,13.44,14.67,11.74,8.85,3.42,5.78
1920,5.23,6.51,6.16,7.33,10.35,13.02,13.07,13.07,12.35,10.63,8.20,4.55
1921,7.22,5.63,6.83,8.02,10.04,13.65,16.75,13.68,13.08,11.96,7.41,7.53
1922,5.00,5.79,5.54,5.44,11.08,12.41,12.54,12.72,11.58,8.68,6.91,5.71
