Variable:,tas
Country:,Japan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.44,-2.17,1.80,8.91,12.28,16.62,19.51,22.22,18.27,13.09,6.03,0.04
1902,-2.66,-1.84,3.46,7.05,12.24,16.03,18.98,20.29,18.63,12.34,7.70,3.28
1903,0.28,-0.83,3.87,9.10,11.79,16.12,19.55,21.95,19.33,11.96,5.57,-0.42
1904,-2.92,-0.36,1.93,8.97,12.34,17.99,21.72,22.41,17.51,12.10,4.84,1.37
1905,0.15,-2.67,1.54,6.59,12.77,17.14,20.88,20.28,18.21,12.49,6.34,2.77
1906,-2.72,-2.29,1.96,7.87,12.50,15.62,21.04,21.67,17.10,11.90,5.03,1.30
1907,-0.83,-2.59,1.38,7.95,12.66,15.87,19.96,22.89,17.88,11.69,6.85,-0.35
1908,-2.15,-2.16,1.51,8.09,11.95,16.68,19.35,22.32,16.73,12.15,4.70,0.75
1909,-2.84,-2.61,0.93,8.80,12.47,16.92,21.19,22.29,18.64,11.06,6.31,0.11
1910,-0.34,-2.46,0.97,7.61,12.63,17.28,20.64,21.32,17.52,12.50,6.18,-0.80
1911,-2.23,-0.59,2.96,8.09,12.54,17.11,20.87,21.82,19.25,12.03,8.11,0.61
1912,-1.89,0.93,2.71,8.11,12.21,16.67,20.26,22.24,17.02,11.73,4.79,0.24
1913,-2.90,-1.53,0.88,9.04,11.77,16.15,19.62,20.72,16.49,11.96,5.89,0.76
1914,-0.47,-0.86,4.14,6.93,13.64,17.38,22.04,22.71,19.18,12.15,8.08,1.25
1915,-2.00,-0.87,1.19,7.39,11.49,18.04,20.99,22.52,19.38,14.02,7.39,1.88
1916,0.14,-0.56,0.66,7.92,12.69,19.22,21.50,22.99,19.69,12.90,7.84,2.12
1917,-2.52,-1.61,1.35,7.75,11.51,16.24,21.88,21.85,18.99,13.27,4.50,-0.05
1918,-2.99,-1.47,2.00,7.56,12.26,16.72,21.89,22.35,18.71,12.54,6.07,0.09
1919,-2.07,-1.04,3.04,8.19,12.47,16.74,20.94,21.77,18.61,12.78,7.43,0.94
1920,-0.56,-2.01,2.43,8.05,12.37,17.32,22.56,22.74,18.48,12.60,7.92,0.93
1921,-1.13,-1.41,1.01,9.04,12.36,15.61,21.34,22.59,18.24,12.15,4.84,0.59
1922,-4.43,1.30,1.42,8.77,12.77,17.75,21.64,23.73,19.63,13.13,6.62,-0.09
1923,-3.05,-1.87,3.30,7.70,13.24,16.57,20.36,23.49,19.38,12.59,7.14,1.34
1924,-1.92,-1.39,-0.56,9.23,12.20,16.25,23.06,23.02,18.22,11.98,5.73,0.61
1925,-1.86,-2.59,0.71,7.12,12.52,17.41,20.56,22.85,19.20,12.64,7.47,2.02
1926,-1.99,-0.84,1.40,6.35,12.59,15.92,20.77,22.47,19.28,10.93,5.68,0.01
1927,-2.11,-3.02,1.58,8.23,12.26,16.88,22.40,22.65,17.70,12.60,7.25,1.44
1928,-1.31,-2.08,2.08,8.07,13.78,16.60,21.27,22.15,20.29,13.03,7.23,0.54
1929,-2.71,-2.55,1.79,7.41,11.78,16.96,22.43,23.01,17.45,12.83,6.55,3.38
1930,-2.21,0.25,3.67,8.90,13.12,17.33,22.70,23.42,18.10,12.80,5.72,0.97
1931,-2.10,-2.59,2.72,7.15,11.84,16.41,18.71,22.88,18.81,12.19,7.50,2.00
1932,0.59,-1.27,1.60,7.29,13.17,16.86,21.30,22.38,18.01,12.07,7.03,1.88
1933,-2.42,-2.42,0.41,7.64,13.75,17.85,23.17,23.39,18.71,12.20,6.83,1.80
1934,-2.55,-1.69,1.05,7.04,13.01,17.81,20.94,21.99,17.98,11.27,6.12,1.70
1935,-1.42,-0.07,2.48,7.88,12.52,17.05,21.12,21.56,17.87,13.11,6.78,0.43
1936,-3.46,-2.52,0.35,7.24,12.16,17.72,20.93,22.26,19.80,12.45,6.58,2.09
1937,-1.03,0.60,2.47,8.23,12.56,16.40,22.55,23.69,18.55,12.64,7.24,0.21
1938,-2.33,-2.10,3.58,8.49,14.06,17.18,21.47,23.21,18.44,13.15,6.15,0.66
1939,-3.08,-1.83,2.04,7.93,12.52,17.32,22.54,22.75,19.46,13.16,7.43,0.90
1940,-2.80,-1.91,2.19,7.58,12.93,16.82,22.05,21.57,18.06,13.09,7.93,2.18
1941,-0.73,-1.10,2.63,7.56,12.98,17.22,19.71,21.34,17.39,12.31,7.60,2.12
1942,-2.60,-2.75,4.34,8.26,12.30,17.43,23.07,22.76,19.21,11.99,5.75,0.64
1943,-2.65,-1.88,1.69,6.90,12.62,17.38,22.10,23.44,19.79,12.87,6.04,1.39
1944,-2.44,-2.43,1.21,6.28,13.41,17.95,22.11,23.25,18.94,12.53,6.68,-0.95
1945,-4.19,-3.38,1.71,8.40,11.13,16.64,18.87,22.96,18.45,12.98,6.87,0.08
1946,-1.49,-1.32,1.16,9.02,12.30,18.77,22.46,23.22,18.68,13.15,8.33,0.46
1947,-1.16,-2.88,1.14,7.78,12.08,15.63,21.80,23.15,18.77,11.63,5.64,-0.74
1948,-0.59,-0.62,2.09,9.32,13.86,17.62,22.02,22.94,19.08,13.30,7.03,3.79
1949,0.36,1.14,0.91,6.51,13.74,16.23,20.97,22.97,18.90,12.19,6.19,1.37
1950,-0.36,-0.47,2.44,8.62,14.17,17.44,22.49,23.31,19.26,11.77,7.04,0.66
1951,-2.24,-0.69,2.33,7.97,13.34,16.92,20.58,23.80,17.13,13.04,6.66,2.89
1952,-1.14,-2.48,1.86,8.47,13.05,17.23,20.99,22.56,18.65,12.52,7.34,0.32
1953,-2.16,-1.61,3.49,7.47,12.74,16.91,21.21,22.08,18.75,13.12,5.47,2.59
1954,-0.55,0.51,2.45,9.38,13.06,15.35,19.28,22.68,19.84,11.73,7.47,2.20
1955,-1.88,0.28,3.53,9.04,13.00,18.23,23.44,22.91,18.53,13.00,6.25,2.88
1956,-1.38,-1.45,2.95,8.47,13.67,17.50,20.88,21.33,19.17,13.49,6.56,-0.19
1957,-0.20,-1.57,1.01,9.08,12.95,16.27,20.96,22.67,17.15,12.65,7.93,2.62
1958,-0.80,0.25,2.70,8.82,13.16,17.95,21.65,22.02,19.11,12.28,7.00,3.25
1959,-1.71,1.90,4.10,9.80,13.75,17.07,21.90,22.57,19.63,13.46,7.62,2.07
1960,-1.50,0.65,3.70,7.85,13.22,17.17,21.78,23.47,19.62,12.76,7.76,1.11
1961,-2.46,-1.37,3.04,9.45,14.45,18.15,23.20,23.37,21.01,14.25,7.96,2.15
1962,-1.12,-0.43,2.44,9.02,13.81,17.00,21.72,23.03,19.56,12.30,6.66,2.28
1963,-2.57,-1.56,2.52,9.14,14.23,17.78,21.86,22.40,17.61,12.29,7.25,2.73
1964,-0.01,-2.08,2.38,10.37,14.22,17.05,21.66,23.41,18.55,12.38,6.71,1.95
1965,-0.82,-0.98,1.11,6.62,13.36,17.42,20.60,22.75,18.00,12.28,7.46,1.40
1966,-1.48,0.57,3.90,8.41,13.09,16.69,20.72,23.04,18.54,13.59,7.12,0.04
1967,-2.09,-1.26,3.33,8.96,14.78,18.11,22.01,23.62,18.78,12.49,6.72,0.32
1968,-1.07,-2.49,3.64,8.91,12.92,17.54,21.29,22.27,18.29,11.67,7.91,4.03
1969,-0.95,-0.72,1.76,8.84,13.84,16.94,21.21,22.38,18.93,12.16,6.60,0.31
1970,-2.16,-0.18,-0.23,8.03,14.47,16.78,21.80,22.87,19.70,13.19,6.91,0.94
1971,-1.21,-0.59,2.18,8.48,13.03,17.19,21.83,22.31,17.82,12.00,6.92,1.96
1972,0.83,-0.07,3.43,8.82,13.45,17.39,21.54,22.51,18.34,13.19,6.69,2.32
1973,0.28,0.71,1.91,9.94,13.33,16.67,22.29,23.86,18.47,12.50,6.23,0.18
1974,-1.48,-1.05,1.74,9.07,13.91,17.22,20.38,22.74,18.29,12.81,5.78,0.47
1975,-1.39,-1.43,2.33,9.15,13.28,17.63,21.78,23.24,20.46,13.17,7.78,1.02
1976,-1.30,0.92,2.90,8.26,13.50,17.17,20.77,21.39,17.43,12.39,5.63,1.08
1977,-3.45,-2.29,3.27,8.90,13.12,17.32,22.32,21.82,19.56,13.84,8.60,2.86
1978,-0.91,-2.62,2.35,8.71,13.85,18.76,23.90,24.05,18.94,12.47,7.12,2.64
1979,-0.07,1.57,2.99,7.90,12.89,19.06,20.84,23.13,19.30,14.22,7.77,3.44
1980,-0.80,-2.02,2.45,7.75,13.87,18.72,20.18,20.64,18.26,12.80,7.69,1.20
1981,-2.53,-1.15,2.75,8.73,12.52,16.73,22.34,22.19,17.66,12.47,5.09,1.88
1982,-1.06,-1.05,3.64,8.43,14.75,17.05,20.08,22.62,18.18,13.22,8.42,2.69
1983,-0.40,-1.36,2.64,10.84,14.15,16.24,20.17,23.35,19.25,12.35,6.63,0.72
1984,-2.55,-3.06,0.24,7.39,12.60,18.65,22.66,24.03,18.64,12.29,7.04,1.35
1985,-2.89,0.15,2.94,9.31,14.20,16.87,21.88,24.36,19.22,13.09,7.06,0.41
