Variable:,tas
Country:,Kazakhstan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-14.89,-10.09,-1.90,9.64,15.61,19.58,23.14,20.09,13.78,2.93,-1.43,-8.25
1902,-8.37,-11.09,-4.38,5.06,15.43,21.87,23.50,22.15,14.64,5.18,-5.14,-10.26
1903,-12.03,-6.94,-8.39,5.60,13.83,19.61,22.35,20.99,14.42,5.69,-3.84,-11.47
1904,-15.61,-7.74,-5.59,4.22,16.36,20.23,22.95,21.04,14.01,5.54,-0.82,-5.99
1905,-13.11,-13.38,-10.80,3.82,14.83,19.59,22.40,20.15,15.58,9.68,-0.09,-6.62
1906,-14.01,-15.64,-1.82,7.87,15.80,22.48,23.16,22.02,14.09,5.98,-3.60,-6.74
1907,-13.61,-13.10,-4.92,6.88,14.49,18.84,23.60,21.66,14.39,4.53,-6.65,-9.61
1908,-13.51,-13.76,-8.38,4.94,15.18,20.15,22.22,20.95,15.17,3.73,-3.52,-9.04
1909,-15.38,-10.00,-7.88,9.07,16.05,20.43,23.89,21.12,15.24,5.33,1.78,-8.17
1910,-9.90,-12.64,-5.81,7.76,16.87,19.68,23.96,21.44,14.37,4.60,-3.65,-10.27
1911,-14.06,-13.17,-7.00,8.04,14.63,21.80,23.66,19.33,13.29,4.46,-0.54,-10.06
1912,-10.28,-12.09,-6.88,7.27,15.58,21.11,22.52,19.28,14.31,4.69,-2.34,-9.42
1913,-10.62,-13.14,-3.69,4.33,14.86,19.34,23.66,21.13,14.84,5.69,-0.70,-3.98
1914,-7.35,-6.97,-2.58,7.28,15.74,20.31,21.84,21.28,14.51,5.17,-4.31,-10.54
1915,-11.18,-9.79,-3.16,8.76,16.83,22.42,22.94,21.27,16.01,4.35,-0.95,-6.90
1916,-10.84,-13.02,-6.83,7.66,16.42,20.28,22.91,21.48,15.13,6.40,-4.20,-11.30
1917,-9.76,-11.31,-6.17,9.26,17.43,18.61,22.74,20.43,15.85,6.82,-0.39,-10.53
1918,-10.17,-12.65,-5.62,5.90,13.57,21.32,23.20,21.97,15.31,7.25,-3.93,-15.12
1919,-18.20,-11.09,-7.45,8.85,14.22,19.31,22.75,21.14,14.33,8.14,-3.03,-8.92
1920,-10.44,-15.00,-3.90,7.13,15.98,22.03,22.52,21.35,14.66,4.84,-4.87,-14.84
1921,-11.02,-11.56,-4.97,7.57,15.55,21.59,23.79,20.44,14.26,6.85,-2.49,-9.25
1922,-12.80,-12.63,-2.05,8.24,16.49,20.51,23.41,20.57,14.20,6.45,-0.07,-6.57
1923,-13.46,-13.05,-4.06,5.50,15.60,22.75,23.43,22.50,14.87,8.97,0.79,-8.50
1924,-12.07,-12.88,-6.22,7.91,14.80,20.21,24.08,21.08,15.38,6.33,-1.35,-8.63
1925,-10.55,-10.96,-1.92,6.00,15.29,20.75,22.86,22.35,16.11,7.88,-0.62,-5.95
1926,-10.68,-12.41,-2.32,5.06,14.28,20.12,21.08,21.00,14.76,7.08,-1.62,-8.11
1927,-15.98,-12.10,-8.60,8.20,16.92,21.50,24.77,21.73,15.88,8.41,-2.98,-11.47
1928,-14.71,-11.62,-10.05,4.74,15.47,20.60,22.44,19.88,14.25,6.73,-1.42,-11.25
1929,-16.19,-16.99,-4.41,8.94,14.30,21.36,24.25,21.29,14.63,6.40,-1.91,-16.60
1930,-14.79,-14.23,-1.68,5.80,15.76,21.59,23.85,21.26,13.23,6.30,-0.41,-12.85
1931,-15.64,-20.01,-5.21,6.95,14.59,21.71,25.02,21.17,16.36,8.01,-4.06,-10.44
1932,-9.70,-11.55,-3.97,10.03,15.46,20.69,22.89,20.31,14.85,7.29,-3.18,-10.83
1933,-16.50,-15.05,-6.81,9.28,15.74,19.78,24.06,21.62,14.54,5.47,-1.39,-11.24
1934,-16.52,-8.62,-6.66,3.14,14.29,19.90,21.05,21.40,12.10,6.63,-2.76,-10.72
1935,-15.89,-7.44,-4.99,7.90,16.06,19.93,23.07,22.55,15.02,8.93,-7.05,-13.15
1936,-13.23,-11.25,-7.21,5.38,13.85,21.58,22.71,19.95,14.91,9.48,-0.38,-7.66
1937,-14.59,-12.78,-6.17,5.33,13.69,20.06,23.92,21.64,17.07,8.01,-4.44,-11.13
