Variable:,tas
Country:,Kenya
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.00,25.31,26.05,25.21,24.23,23.19,22.54,22.92,23.75,24.79,24.60,24.88
1902,24.80,25.46,25.95,25.03,24.40,23.83,23.33,23.84,24.28,24.90,24.54,24.25
1903,25.21,25.72,26.01,25.33,24.34,23.68,23.09,23.43,23.78,24.60,24.50,24.36
1904,23.93,24.80,25.30,24.49,24.22,23.49,23.02,23.41,23.35,23.32,23.51,23.62
1905,24.92,24.67,25.20,24.47,23.69,23.23,22.51,22.76,23.69,24.87,24.32,24.07
1906,23.67,25.64,25.04,24.30,23.84,22.78,21.85,22.35,23.25,24.49,23.97,23.84
1907,23.97,24.63,25.50,24.81,23.73,22.62,22.13,21.97,23.34,24.83,24.34,23.87
1908,24.94,25.47,26.00,25.78,24.50,23.66,23.05,23.73,24.02,24.73,24.12,23.49
1909,23.11,23.49,24.94,24.20,23.59,21.96,22.16,21.87,23.06,24.09,23.05,23.05
1910,23.41,24.03,24.92,24.50,22.51,23.30,21.64,22.11,22.19,23.18,23.31,24.73
1911,24.27,24.80,25.37,24.07,23.73,22.74,21.26,22.22,22.56,23.91,23.87,23.71
1912,23.70,24.35,24.51,23.86,23.21,22.62,21.13,21.64,22.55,23.94,23.49,22.66
1913,22.86,23.98,23.92,23.62,23.20,21.58,20.66,21.15,23.10,23.71,23.26,23.08
1914,23.21,24.27,24.86,23.77,22.98,22.50,21.38,22.16,22.74,23.90,23.45,23.95
1915,23.76,24.82,25.65,24.62,22.49,22.37,21.94,21.92,23.16,23.99,22.98,22.69
1916,23.43,24.36,24.13,23.88,23.33,21.87,20.81,20.97,21.73,24.81,22.81,22.80
1917,22.63,23.62,23.12,23.21,22.74,21.44,21.06,21.95,22.16,23.02,22.79,22.72
1918,22.91,23.99,24.32,23.37,22.57,21.88,21.11,21.43,22.28,23.80,22.72,22.90
1919,23.76,24.82,24.86,23.68,22.71,21.50,20.66,21.70,22.74,22.52,22.44,22.35
1920,23.03,23.54,24.12,22.49,22.25,20.67,20.66,21.43,23.93,24.81,25.02,21.34
1921,24.03,24.82,26.42,25.52,24.26,22.78,23.23,22.98,23.82,24.83,24.85,25.20
1922,25.47,26.68,26.40,25.19,23.74,23.78,21.84,22.77,24.13,24.46,24.70,24.46
1923,24.76,25.84,25.58,24.77,24.44,22.96,22.12,22.43,23.29,24.35,23.90,24.55
1924,25.13,26.22,26.42,25.79,24.88,23.79,23.62,23.70,24.50,25.38,25.18,25.02
1925,24.13,25.15,25.58,25.39,24.82,24.08,23.68,23.93,24.24,24.95,24.55,24.42
1926,24.86,26.79,25.79,25.72,24.76,23.80,23.36,23.50,24.88,25.03,24.78,23.77
1927,26.06,26.11,26.42,24.55,23.56,22.42,21.80,23.67,24.75,25.78,25.23,24.89
1928,25.52,26.66,26.52,26.47,24.95,23.46,22.29,23.30,24.73,25.63,25.41,24.75
1929,23.03,25.13,25.30,23.13,22.53,21.38,21.05,21.06,21.75,22.95,22.63,22.83
1930,23.83,24.02,24.28,23.58,22.61,21.23,21.23,21.71,22.91,23.13,23.09,23.15
1931,24.26,25.51,25.12,24.55,24.13,22.97,22.55,22.87,23.60,24.61,24.61,23.30
1932,23.48,24.91,24.40,23.68,22.85,22.35,21.38,22.19,23.47,23.98,24.13,23.13
1933,23.45,24.77,25.53,25.37,24.25,23.46,22.21,22.45,22.74,23.80,23.89,23.31
1934,23.82,24.57,25.21,24.82,23.51,22.88,22.37,22.37,23.43,24.16,24.27,23.92
1935,24.65,24.91,25.47,24.50,23.71,22.64,21.39,22.11,23.44,24.04,24.33,23.70
1936,23.69,24.89,24.84,24.16,23.99,22.31,21.61,22.06,23.01,24.43,24.19,23.89
1937,24.64,25.68,25.50,24.51,23.60,22.59,21.93,22.20,23.77,23.90,23.91,23.41
1938,23.88,24.93,25.71,25.16,23.54,22.60,22.13,22.70,23.34,24.31,23.77,23.62
1939,23.89,25.09,25.61,24.71,23.96,22.59,22.61,22.96,23.94,24.71,24.77,24.76
1940,25.44,26.06,25.76,24.67,24.59,23.55,22.55,23.06,24.09,25.02,24.80,24.39
1941,24.92,26.02,25.64,25.31,24.40,23.11,22.07,23.00,24.09,25.06,24.66,24.00
1942,24.95,25.94,26.10,25.50,24.39,23.31,21.97,22.58,23.41,24.61,24.44,24.45
1943,24.95,25.38,25.81,25.61,24.78,23.08,22.00,22.60,23.18,24.46,24.71,24.51
1944,24.32,25.63,25.86,25.46,24.62,23.87,22.69,23.03,23.94,24.92,25.00,24.74
1945,25.00,25.50,26.08,26.16,24.80,23.26,22.56,22.83,23.56,24.83,24.67,24.18
1946,24.80,25.87,26.18,25.51,24.78,23.47,22.72,22.66,23.63,24.58,24.54,24.74
1947,25.16,25.54,25.70,24.97,23.90,23.35,22.77,22.61,23.70,24.57,24.65,24.18
1948,24.99,25.65,25.62,25.44,24.95,23.06,22.42,22.88,23.66,24.49,23.96,23.93
1949,24.29,25.26,26.21,25.76,24.63,23.26,22.60,23.12,23.47,24.62,24.83,24.44
1950,24.76,25.01,25.51,24.68,24.00,22.85,22.07,22.65,23.22,23.97,24.09,24.32
1951,24.96,25.69,26.23,24.80,24.55,23.63,22.83,23.08,24.24,25.10,24.85,24.38
1952,25.13,26.09,27.20,25.81,25.31,23.72,23.01,23.24,24.41,24.94,25.05,25.19
1953,25.42,26.12,26.77,26.10,25.25,24.06,22.89,23.43,23.81,24.67,25.18,25.09
1954,25.30,26.40,26.93,25.67,24.95,23.39,22.64,22.93,23.72,24.67,24.75,24.65
1955,25.19,25.53,26.41,25.68,24.66,23.36,22.99,23.00,24.05,25.04,24.64,24.58
1956,24.09,25.43,26.08,25.09,24.43,23.04,22.07,22.87,23.39,24.42,24.31,24.28
1957,24.62,24.81,25.55,25.39,24.52,23.73,22.75,23.34,24.22,25.39,25.00,24.66
1958,25.31,25.54,26.64,26.10,24.87,23.33,22.47,23.30,24.37,25.06,25.20,24.73
1959,25.28,25.75,25.77,25.70,24.69,23.45,22.84,22.97,24.02,25.05,24.99,24.75
1960,24.86,25.75,25.65,25.03,24.53,23.34,22.67,23.19,23.91,24.58,24.66,24.97
1961,25.45,25.88,26.22,25.70,25.67,24.06,23.17,23.07,23.73,24.10,23.37,23.85
1962,23.80,25.13,25.75,25.49,23.96,23.44,22.70,23.33,23.85,24.58,24.61,24.46
1963,24.52,25.45,26.00,24.69,23.95,23.03,22.66,22.59,23.50,25.06,24.40,24.08
1964,24.51,25.81,26.48,25.28,24.13,23.10,21.92,22.40,22.97,23.87,24.42,23.76
1965,24.23,25.17,25.81,25.11,24.62,22.98,22.54,22.85,24.01,24.32,24.18,24.73
1966,25.19,26.00,26.01,24.80,24.55,23.46,23.08,23.10,24.09,24.61,24.11,24.58
1967,24.64,25.77,26.41,25.22,24.17,23.13,22.66,22.58,23.26,24.29,23.72,23.90
1968,23.80,24.75,24.85,24.19,23.56,22.47,21.97,22.49,23.53,24.47,23.92,24.25
1969,24.76,24.86,25.71,26.17,24.51,23.46,23.04,22.99,23.99,25.26,24.84,24.87
1970,25.15,26.19,26.30,25.06,24.50,23.54,23.02,23.07,23.83,24.82,24.85,24.51
1971,24.79,25.12,25.69,25.33,23.81,22.60,22.35,22.69,23.37,24.05,24.52,24.14
1972,24.75,24.86,25.88,25.87,24.83,23.55,23.03,23.56,24.27,25.12,24.59,25.06
1973,25.36,26.36,27.14,26.53,24.82,23.64,22.74,23.23,23.83,25.09,24.66,24.22
1974,24.95,25.63,25.63,25.21,24.18,23.53,22.77,23.06,23.35,24.75,24.45,24.69
1975,24.88,26.02,26.36,25.63,24.43,23.08,22.64,22.42,23.34,24.31,24.39,24.46
1976,24.76,25.75,26.06,25.36,24.60,23.76,22.80,23.11,23.98,24.94,24.93,25.25
1977,25.34,25.81,26.29,25.54,24.60,23.51,23.13,23.19,24.11,25.05,23.89,24.36
1978,24.82,25.67,25.55,25.45,24.06,23.56,22.74,23.47,24.15,24.93,24.52,24.37
1979,24.85,25.49,25.70,25.45,24.35,22.97,22.66,23.41,24.09,24.86,24.98,25.36
1980,25.08,26.04,26.44,26.07,24.84,23.56,22.93,23.14,24.08,25.22,24.98,24.46
1981,25.40,26.02,25.85,25.15,24.30,23.60,22.70,23.57,24.17,25.09,25.00,24.75
1982,25.42,25.94,26.28,25.16,24.41,23.74,23.08,23.15,24.22,24.32,24.52,24.60
1983,25.07,26.16,26.79,26.50,25.11,24.40,23.65,23.73,24.05,25.35,24.97,24.42
1984,24.46,25.19,26.43,25.88,25.06,23.38,23.32,23.24,24.01,24.60,24.26,24.54
1985,25.11,25.49,25.52,24.86,24.04,23.31,22.68,23.17,24.02,24.79,24.92,24.80
1986,24.91,26.03,25.86,25.21,24.47,23.27,22.91,23.38,24.12,25.35,25.14,24.75
1987,24.94,25.68,26.62,26.07,25.06,23.57,23.51,23.48,24.98,25.81,25.33,25.52
1988,26.12,26.84,26.89,25.72,24.83,24.06,23.11,23.78,24.10,25.11,24.29,24.28
1989,24.32,24.95,25.98,24.72,23.96,23.27,22.88,23.37,24.14,24.73,24.45,24.47
1990,24.64,26.00,25.69,25.33,25.09,23.64,23.23,23.58,24.34,25.05,24.90,24.58
1991,25.26,26.15,26.39,25.69,24.75,23.89,23.08,23.21,24.00,25.53,24.63,24.78
1992,24.59,26.28,26.59,26.10,24.86,24.06,22.91,22.94,23.98,24.88,24.50,24.51
1993,24.44,25.28,25.89,25.97,24.97,23.82,22.93,23.64,23.92,24.38,25.27,24.54
1994,25.40,25.99,26.70,25.66,24.70,23.84,22.87,23.65,24.24,25.27,24.32,24.41
1995,25.00,26.05,26.32,26.09,24.90,24.17,23.34,23.80,24.36,25.38,25.05,25.10
1996,25.78,26.42,26.61,25.72,24.77,23.87,23.17,23.28,24.07,24.89,24.72,24.83
1997,25.60,25.89,26.27,25.34,24.82,23.94,23.44,23.46,24.91,25.19,24.18,24.67
1998,25.55,26.41,26.79,25.99,24.67,24.18,23.46,23.49,24.45,25.77,24.86,24.66
1999,25.59,26.67,26.69,25.87,25.24,23.97,23.16,23.28,24.40,24.57,24.46,24.52
2000,24.69,25.65,26.55,26.32,25.28,23.53,23.92,24.05,24.12,24.71,25.49,24.69
2001,25.41,26.54,27.04,25.95,25.11,23.57,23.32,23.88,24.81,25.61,24.82,25.26
2002,25.59,26.10,27.21,26.34,25.48,24.37,23.62,24.05,25.01,25.66,25.54,25.67
2003,25.54,26.46,27.32,26.93,25.80,24.47,23.39,23.77,24.61,25.23,25.42,25.33
2004,26.46,26.45,26.53,25.78,25.26,23.87,23.54,23.86,24.42,24.60,24.91,24.96
2005,25.00,26.49,26.76,26.58,24.80,23.80,23.22,23.67,24.60,25.13,25.23,24.45
2006,26.01,27.00,27.01,25.90,24.92,23.90,23.27,23.85,24.17,25.59,25.01,24.82
2007,25.22,26.22,26.61,25.92,25.29,23.75,23.04,23.76,24.84,25.35,25.04,25.06
2008,25.69,25.70,26.20,25.55,24.66,23.55,23.35,24.40,25.41,25.40,24.74,24.86
2009,25.77,26.02,27.14,26.66,25.47,24.60,23.66,24.66,25.29,25.51,25.53,26.39
2010,26.06,26.77,26.92,26.81,25.35,24.00,23.35,24.20,24.53,25.77,25.35,25.86
2011,25.71,26.18,26.62,26.95,25.86,24.45,23.85,23.75,24.85,24.91,24.88,24.55
2012,25.37,26.03,26.62,25.99,24.65,24.17,23.14,23.85,24.60,25.34,24.97,24.37
2013,26.33,26.42,26.81,26.25,25.10,23.76,23.27,23.70,24.55,25.37,25.53,24.84
2014,25.70,26.57,26.70,25.51,25.07,24.46,23.85,23.98,24.39,25.28,25.23,24.68
2015,24.88,26.12,26.43,25.87,24.91,24.34,23.64,24.06,25.25,26.25,25.34,25.50
2016,26.19,26.76,27.96,26.87,25.32,24.37,23.87,24.14,24.53,26.05,25.41,25.28
2017,25.36,26.33,27.10,26.77,25.35,24.39,23.75,24.48,24.72,26.18,25.07,24.89
2018,25.00,26.58,25.86,25.44,24.55,23.86,23.42,23.28,24.55,25.71,25.97,26.00
2019,25.54,27.32,27.71,27.12,24.23,24.31,24.33,24.61,25.00,25.30,25.32,25.31
2020,26.13,25.69,26.90,25.27,25.35,24.56,24.12,24.22,25.05,26.25,25.60,26.03
