Variable:,tas
Country:,"Korea, Republic of"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.70,-4.19,2.32,10.00,13.94,18.80,20.89,23.20,17.71,13.04,4.55,-2.33
1902,-3.38,-2.21,4.76,8.69,14.58,18.62,21.49,22.06,17.50,12.11,7.17,1.23
1903,-2.64,-1.31,4.83,10.08,14.13,18.58,21.20,23.80,19.23,12.13,4.32,-2.27
1904,-4.70,-1.06,3.07,10.30,14.27,19.66,23.05,23.35,17.74,11.70,3.80,-0.57
1905,-0.73,-2.90,3.21,8.47,14.38,19.04,22.84,21.77,18.16,12.30,5.29,1.03
1906,-4.19,-3.07,2.57,9.24,14.66,19.19,22.58,23.23,18.03,12.14,3.67,-1.48
1907,-1.94,-3.88,2.71,9.59,14.59,18.66,22.01,23.69,18.24,12.73,5.16,-2.78
1908,-3.23,-3.32,2.64,9.19,14.07,19.34,21.75,23.13,17.74,12.48,3.62,-0.48
1909,-3.13,-3.05,1.56,9.49,14.09,19.04,23.05,23.54,19.10,11.48,5.09,-2.69
1910,-2.66,-3.55,2.03,8.74,14.62,18.93,22.26,22.97,17.62,12.20,4.80,-3.82
1911,-4.38,-1.55,3.44,8.72,14.51,19.04,22.24,23.42,19.60,11.09,5.61,-2.64
1912,-4.39,0.50,3.72,9.52,13.96,19.31,22.37,23.37,17.07,10.67,2.33,-2.41
1913,-4.81,-3.24,1.58,10.12,13.48,18.67,21.30,22.32,17.44,11.79,4.63,-2.00
1914,-2.78,-0.77,4.71,9.04,15.37,19.58,24.87,23.91,19.01,12.41,5.50,-1.11
1915,-4.24,-2.40,1.06,8.67,13.94,19.53,23.47,23.33,18.05,13.62,6.06,0.17
1916,-1.23,-1.51,0.54,9.46,14.08,19.77,22.23,23.61,18.89,12.06,6.12,-1.23
1917,-7.44,-3.51,1.91,9.09,13.18,19.20,23.97,23.16,18.99,12.33,2.74,-4.79
1918,-6.59,-1.19,3.35,9.44,13.54,18.77,22.14,22.83,17.61,11.85,4.29,-1.45
1919,-4.50,-1.82,4.34,9.70,14.78,19.81,23.27,23.62,17.77,11.74,5.20,-2.61
1920,-4.84,-3.22,3.78,9.54,14.64,19.69,23.89,23.33,19.34,13.06,6.67,-1.05
1921,-2.78,-1.52,2.34,9.69,14.40,18.26,22.42,23.87,17.92,11.28,3.25,-1.17
1922,-6.61,0.10,2.66,10.89,14.86,20.39,23.02,24.82,19.29,12.55,3.73,-2.92
1923,-5.30,-3.23,4.27,8.74,15.08,19.06,22.21,24.76,18.30,11.55,4.39,-1.89
1924,-3.10,-2.14,0.55,9.95,14.31,19.14,24.29,24.11,18.17,11.83,3.15,-2.04
1925,-4.11,-3.31,1.86,8.45,14.68,19.13,22.23,23.61,18.19,11.76,6.40,-1.66
1926,-4.30,-2.61,2.77,8.43,14.71,18.83,22.91,24.35,18.85,10.60,5.43,-3.51
1927,-4.29,-3.19,2.66,9.92,13.21,19.53,24.38,23.40,17.74,11.58,6.77,-1.28
1928,-4.45,-2.69,3.06,10.25,15.41,19.55,22.75,23.22,18.96,11.38,4.59,-1.82
1929,-4.83,-3.33,3.27,9.17,14.78,20.69,24.23,24.45,17.46,11.73,4.05,0.99
1930,-4.76,0.07,5.22,10.75,15.19,19.51,24.71,24.15,17.66,12.42,3.07,-0.98
1931,-3.36,-2.74,3.88,8.03,14.29,19.57,20.79,23.64,18.04,10.94,6.62,-0.60
1932,-1.48,-2.27,2.00,8.64,14.98,19.27,24.56,23.44,17.45,10.96,5.01,-0.09
1933,-6.04,-3.32,1.03,9.34,15.31,20.14,24.33,23.09,18.28,11.85,5.16,0.25
1934,-7.04,-2.45,2.13,8.56,15.58,19.81,23.35,23.32,17.74,10.62,4.05,0.43
1935,-3.25,-0.77,4.76,9.89,15.10,19.53,23.17,23.86,18.20,13.00,5.78,-3.11
1936,-7.42,-3.99,-0.01,8.70,14.40,19.94,22.45,22.06,18.84,12.14,5.15,-0.29
1937,-3.24,-0.13,3.45,9.98,15.00,19.69,23.53,25.00,18.86,12.38,6.39,-2.54
1938,-5.73,-3.25,4.10,10.58,15.78,18.80,23.74,24.52,17.96,13.57,4.60,-1.62
1939,-4.46,-1.88,3.49,10.31,14.76,20.09,25.51,24.55,19.11,13.03,5.49,-0.84
1940,-5.74,-2.41,3.25,8.92,15.31,19.52,23.62,22.73,17.88,13.00,6.19,0.19
1941,-2.71,-1.76,4.14,9.43,15.58,19.76,21.52,22.41,17.30,11.53,6.73,0.41
1942,-5.06,-3.14,5.40,9.54,13.92,20.49,25.88,24.31,18.99,11.58,4.59,-1.23
1943,-5.83,-1.93,4.29,9.26,15.41,19.96,23.58,25.05,19.08,12.63,5.38,0.14
1944,-3.50,-2.43,3.03,8.84,14.99,20.62,24.44,24.18,19.41,12.14,7.04,-4.36
1945,-6.78,-4.44,2.53,10.34,13.13,19.66,22.13,24.20,19.43,12.17,7.02,-1.27
1946,-2.24,-0.99,2.49,10.14,14.57,20.49,24.46,24.21,18.71,12.36,7.64,-3.20
1947,-3.23,-4.70,1.86,9.79,14.12,17.72,22.64,24.18,18.38,10.57,3.68,-3.89
1948,-3.59,-0.93,3.55,11.06,15.10,20.09,22.99,23.93,18.69,12.64,5.18,3.17
1949,-2.63,0.69,2.86,8.73,15.44,18.32,22.31,24.25,19.19,12.44,5.87,-0.82
1950,-1.24,-0.87,3.61,10.81,15.57,19.32,24.16,24.13,18.49,12.63,5.47,-1.60
1951,-3.18,-0.45,2.69,9.19,15.49,19.65,22.76,25.33,17.92,13.40,5.97,1.25
1952,-3.14,-2.98,2.74,10.35,15.61,20.28,23.42,23.37,18.20,11.57,7.10,-1.94
1953,-4.79,-2.15,4.23,9.20,15.03,19.02,23.66,24.19,18.95,13.96,4.80,0.84
1954,-1.58,0.23,3.34,10.44,14.97,17.88,20.77,24.35,19.12,11.26,8.40,-1.37
1955,-4.95,0.19,4.31,10.31,14.86,20.65,23.95,23.76,19.01,11.42,5.02,0.79
1956,-3.45,-2.93,3.17,9.18,14.22,18.87,23.07,22.62,18.47,11.86,3.13,-3.94
1957,-2.56,-3.51,0.75,9.81,15.39,18.68,21.77,22.26,16.93,11.69,7.07,-0.14
1958,-4.84,-0.54,3.76,10.09,14.87,20.60,23.90,22.15,18.36,11.41,6.02,2.93
1959,-4.60,1.83,5.62,9.77,16.02,19.55,23.71,24.27,19.32,13.50,5.75,0.53
1960,-3.35,1.08,5.88,9.46,14.82,19.98,24.18,24.69,19.03,13.05,6.40,-1.73
1961,-4.79,-1.40,4.76,10.73,15.74,20.22,25.13,24.79,20.01,14.11,7.44,-0.57
1962,-3.78,-0.66,3.18,9.22,16.12,19.47,23.71,23.64,18.53,11.96,5.06,0.68
1963,-7.87,-2.89,4.05,9.56,14.96,18.55,23.32,23.70,18.52,11.89,5.88,0.64
1964,-1.12,-3.43,3.44,11.45,16.28,19.87,24.36,25.13,19.19,12.51,5.58,-0.03
1965,-4.20,-1.74,2.36,8.80,15.76,20.15,22.46,23.68,18.62,13.01,6.53,-1.77
1966,-4.04,-0.04,4.28,9.91,15.72,19.28,23.00,25.20,17.90,12.92,5.22,-2.28
1967,-4.64,-2.37,4.27,10.15,17.05,20.37,23.85,25.85,18.82,12.64,5.32,-4.45
1968,-3.90,-4.60,3.77,10.66,14.77,19.73,23.43,23.02,18.71,11.31,6.33,2.34
1969,-3.67,-2.56,2.10,9.79,14.90,19.20,22.72,23.79,18.89,11.80,4.22,-2.32
1970,-5.00,-0.45,0.42,9.71,15.68,18.71,22.27,24.10,19.53,12.99,4.69,-1.36
1971,-3.67,-1.69,2.18,9.96,15.43,19.78,23.89,22.86,18.57,11.28,6.51,-1.20
1972,-0.26,-1.12,4.02,10.02,14.25,19.99,23.40,22.38,17.55,12.36,4.69,-0.68
1973,-1.02,-0.00,3.69,11.28,15.27,19.68,25.49,25.12,18.47,11.62,4.17,-3.14
1974,-3.54,-2.44,2.84,10.04,15.28,18.86,20.80,23.61,18.53,11.92,4.45,-1.15
1975,-3.23,-1.82,3.50,10.75,14.61,19.53,23.77,24.86,20.86,13.47,7.27,-1.47
1976,-4.21,1.34,3.86,9.80,14.77,19.43,21.68,22.99,17.67,12.30,3.15,-0.83
1977,-6.90,-2.92,4.32,10.90,15.45,19.58,24.71,22.41,19.62,14.71,6.11,1.57
1978,-2.57,-2.49,3.53,10.86,16.44,20.51,25.53,24.74,19.05,12.79,6.56,0.76
1979,-0.47,0.61,4.79,9.60,14.85,20.52,22.87,23.68,18.19,13.85,5.04,0.66
1980,-3.33,-3.05,3.97,9.12,15.41,20.77,21.38,20.57,17.66,11.53,6.99,-3.38
1981,-6.26,-2.24,4.05,10.58,14.89,19.79,24.49,23.00,17.90,11.60,2.98,-0.89
1982,-3.96,-0.87,4.82,10.33,16.51,20.16,22.81,23.85,18.39,13.61,6.92,-0.75
1983,-2.59,-2.47,4.42,11.61,15.85,19.78,22.56,24.35,20.01,12.86,5.23,-1.79
1984,-5.65,-3.88,1.83,9.69,15.47,20.58,23.55,25.21,18.59,12.17,6.73,-1.11
1985,-5.41,-0.78,3.52,10.33,15.93,19.55,24.28,24.97,19.54,13.36,5.15,-3.05
1986,-4.95,-3.51,3.69,10.69,15.24,19.60,21.58,23.43,17.82,10.93,4.76,1.22
1987,-2.94,-0.28,3.37,10.04,15.44,20.19,22.83,22.97,17.90,14.02,6.31,0.23
1988,-2.22,-2.14,2.96,10.16,15.51,20.27,22.73,23.96,19.06,13.37,4.86,-0.40
1989,-0.58,0.89,4.57,12.17,15.93,19.14,22.70,23.29,18.81,12.34,5.90,0.92
1990,-3.60,1.68,5.82,9.94,14.94,20.27,24.16,25.36,19.55,13.39,8.65,0.22
1991,-2.71,-1.76,3.91,10.71,15.16,21.08,23.09,22.25,19.32,12.53,5.48,1.46
1992,-0.99,-0.21,5.41,10.86,14.55,19.39,24.24,22.92,19.21,12.16,5.43,0.82
1993,-2.73,0.32,4.12,9.92,15.33,19.61,20.96,20.94,18.85,11.91,7.00,-0.68
1994,-2.41,-0.56,2.94,12.20,16.14,20.18,26.49,26.07,19.79,13.53,8.07,0.87
1995,-2.83,-0.05,4.63,10.33,15.08,19.12,23.70,25.42,18.40,13.75,5.29,-1.56
1996,-2.69,-2.10,3.47,9.27,15.59,19.97,23.13,24.07,19.47,13.10,5.66,0.36
1997,-3.26,-0.11,5.43,11.19,15.81,21.28,23.96,24.23,18.58,12.62,7.40,0.58
1998,-2.50,1.65,5.89,13.00,16.84,19.60,23.46,24.19,20.71,14.91,6.51,1.45
1999,-1.72,0.01,5.11,11.22,16.11,20.91,22.84,23.27,20.72,13.04,6.43,-0.23
2000,-2.36,-2.14,5.02,10.66,15.68,20.74,24.96,24.54,18.44,13.32,5.86,0.41
2001,-3.95,-0.44,4.44,11.79,16.87,20.95,24.97,24.52,19.78,14.40,5.98,-1.00
2002,-0.94,1.37,6.76,12.19,15.58,20.69,23.51,22.75,18.95,11.98,3.34,0.25
2003,-3.50,0.81,4.57,11.32,15.77,20.31,21.40,22.67,19.42,12.50,7.94,0.00
2004,-2.76,1.43,5.08,11.72,15.92,20.96,24.17,23.78,19.42,12.97,7.50,1.26
2005,-3.41,-2.47,3.19,11.63,15.51,21.49,23.87,24.12,20.02,13.16,6.99,-4.19
2006,-1.82,-0.76,4.28,9.75,15.31,20.01,22.24,25.34,18.48,15.18,7.16,0.36
2007,-0.88,2.57,5.27,10.43,16.16,20.58,22.37,24.98,19.64,13.53,5.92,1.03
2008,-2.14,-1.63,5.54,11.64,15.82,19.34,24.74,23.29,19.94,14.38,6.42,0.34
2009,-2.71,2.33,5.20,11.18,16.64,20.80,22.53,23.11,19.36,14.10,5.74,-0.89
2010,-3.57,0.45,3.69,8.62,15.41,21.15,24.32,25.52,20.42,13.12,5.68,-0.93
2011,-6.63,0.28,3.05,9.79,15.37,20.66,23.84,23.82,19.67,12.78,8.79,-1.46
2012,-3.30,-2.47,3.98,11.15,16.67,20.97,24.38,25.13,18.90,13.28,4.70,-3.46
2013,-3.79,-1.21,4.97,9.20,16.09,21.27,25.37,26.27,19.97,14.09,5.42,-0.67
2014,-1.57,0.23,5.89,11.81,16.97,20.79,24.18,22.64,19.65,13.56,7.23,-2.60
2015,-1.67,0.13,4.95,11.20,17.01,20.60,23.35,24.25,19.32,13.65,7.84,1.43
2016,-3.08,-0.16,5.65,12.24,17.23,21.42,24.50,25.73,20.13,14.15,6.17,1.15
2017,-1.97,-0.10,4.89,12.53,17.56,20.88,25.72,24.66,19.75,13.77,5.39,-2.24
2018,-4.21,-1.95,6.41,12.03,16.23,21.39,25.98,25.89,19.35,12.07,6.86,-0.57
2019,-1.49,0.77,6.18,10.71,17.70,20.55,24.03,25.26,20.31,14.36,7.07,0.99
2020,0.38,1.72,6.34,9.85,16.22,22.06,21.90,25.61,19.15,12.95,7.22,-1.00
