Variable:,tas
Country:,"St. Lucia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.40,24.40,24.80,25.50,26.30,26.50,26.30,26.60,26.20,25.90,25.40,24.50
1902,23.90,24.10,24.30,25.00,26.00,26.40,26.20,26.50,26.00,25.70,25.50,24.70
1903,24.20,24.10,24.30,25.00,26.10,26.60,26.30,26.40,26.00,26.00,25.40,24.50
1904,23.90,23.70,23.90,24.60,25.70,26.10,26.00,26.10,25.90,25.50,25.60,24.60
1905,24.10,23.60,24.10,25.20,25.60,26.30,26.20,26.50,26.10,25.80,25.70,24.50
1906,23.90,23.80,24.20,24.90,25.90,26.10,26.00,26.40,26.00,25.90,25.70,24.20
1907,23.60,23.50,23.80,24.60,25.40,26.10,26.10,26.20,25.90,25.80,25.40,24.60
1908,24.00,23.70,24.00,24.60,25.40,26.20,26.20,26.40,26.10,25.70,25.30,24.70
1909,23.80,23.60,24.50,24.70,25.70,25.90,26.00,26.10,26.00,25.70,25.30,24.20
1910,23.60,23.50,23.90,24.50,25.60,26.20,26.10,26.30,25.80,25.70,25.70,24.80
1911,23.70,23.50,24.00,24.70,25.50,26.40,25.90,26.40,26.10,25.80,25.60,24.70
1912,24.20,24.10,24.20,24.90,25.90,26.20,26.20,26.30,26.00,25.80,25.40,24.70
1913,23.80,23.40,23.90,24.50,26.10,25.90,25.70,25.90,25.90,25.40,25.20,24.10
1914,23.90,23.90,24.40,24.70,25.40,26.00,25.80,25.90,25.80,25.50,25.30,24.80
1915,24.10,23.90,24.60,25.00,25.90,26.30,26.20,26.50,26.10,26.00,25.70,24.70
1916,23.80,23.80,24.10,24.90,25.90,26.20,26.00,26.20,25.80,25.60,25.20,24.10
1917,23.70,23.50,23.90,24.70,25.80,26.30,26.20,26.10,25.90,25.90,25.50,24.40
1918,23.70,23.70,24.00,24.60,25.50,26.30,26.20,26.40,26.30,26.00,25.40,24.40
1919,23.70,23.90,24.20,24.70,25.90,26.40,26.00,26.30,25.90,25.60,25.10,24.50
1920,23.80,23.80,24.20,24.90,25.70,26.00,25.80,26.00,25.70,25.60,25.30,24.30
1921,24.00,24.00,24.30,24.50,25.80,26.10,25.70,26.10,26.00,25.60,25.40,24.50
1922,23.90,23.80,24.00,24.50,25.60,26.00,26.00,26.10,25.90,25.80,25.30,24.20
1923,23.70,23.50,23.90,24.60,26.10,26.10,26.00,26.40,26.20,26.00,25.70,24.50
1924,23.90,23.90,24.50,25.20,26.10,26.20,26.10,26.30,26.10,25.80,25.30,24.40
1925,23.60,23.40,23.90,24.90,25.80,26.20,26.00,26.30,26.10,25.90,25.60,25.00
1926,24.20,24.10,24.70,25.20,26.20,26.70,26.30,26.40,26.10,25.90,25.70,24.60
1927,23.90,23.50,24.30,24.70,25.70,26.20,26.00,26.20,26.20,25.90,25.80,24.80
