Variable:,tas
Country:,Liechtenstein
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.68,-7.48,-0.68,4.82,9.12,12.82,14.12,13.12,11.22,6.11,-0.78,-1.49
1902,-1.29,-2.48,0.92,6.52,4.82,11.02,14.12,13.02,10.32,5.31,0.22,-2.88
1903,-3.29,-0.09,2.52,1.32,8.62,11.02,12.72,13.32,10.82,7.21,1.41,-3.08
1904,-3.48,-1.58,1.02,6.22,9.62,12.92,16.22,14.32,8.82,6.21,0.02,-1.29
1905,-5.29,-2.59,1.62,4.02,7.32,12.72,16.12,13.42,11.02,2.81,0.82,-1.89
1906,-2.79,-3.48,-0.28,4.12,8.62,11.03,13.92,14.12,9.52,8.21,2.71,-4.58
1907,-4.09,-4.98,-0.88,2.62,9.62,11.82,11.82,13.92,11.42,8.01,1.92,-0.58
1908,-4.68,-2.48,-0.58,2.12,10.42,13.82,13.42,11.82,9.42,6.32,-0.38,-2.38
1909,-5.18,-5.28,-0.98,5.82,7.82,10.42,11.62,13.02,9.82,7.51,-0.68,-0.58
1910,-2.19,-1.28,1.12,3.82,7.32,12.22,11.72,12.72,8.52,7.01,0.02,0.52
1911,-5.58,-2.39,1.22,3.82,8.72,11.32,16.32,16.22,12.32,6.51,2.82,0.31
1912,-2.18,0.91,3.22,3.42,9.22,12.02,13.12,10.52,7.12,4.61,-1.28,-0.59
1913,-2.28,-2.49,3.02,4.22,8.32,11.42,10.72,12.02,9.82,7.81,3.81,-1.39
1914,-6.38,-0.09,1.82,6.62,7.02,10.52,12.32,13.62,9.82,5.61,0.52,0.31
1915,-3.09,-2.29,-0.38,3.62,10.72,13.82,12.92,12.12,8.82,3.82,-1.28,1.91
1916,0.21,-1.28,1.72,4.72,9.52,9.52,12.72,12.82,8.62,6.01,1.72,-0.69
1917,-5.08,-4.98,-1.38,1.02,11.52,14.22,13.62,12.92,12.72,4.41,1.11,-5.48
1918,-2.29,-1.39,1.42,5.02,10.02,9.52,13.42,12.92,11.12,4.61,0.72,0.61
1919,-2.28,-3.18,0.82,1.82,7.92,12.32,10.72,14.72,12.72,3.01,-0.89,-1.49
1920,-0.09,-0.08,3.22,5.42,11.42,11.42,13.62,11.72,10.62,6.01,0.21,-1.58
1921,0.71,-1.88,2.72,3.52,10.22,11.72,16.12,13.82,11.82,8.91,-1.48,-1.58
1922,-4.09,-2.98,1.72,2.92,10.52,12.52,12.52,13.22,8.32,4.02,-0.68,-1.69
1923,-2.99,-0.28,1.82,4.22,9.02,8.52,15.82,14.32,10.32,8.31,1.12,-2.78
1924,-4.48,-4.78,0.42,4.52,10.02,11.72,13.62,10.62,10.92,6.81,1.32,-1.18
1925,-0.99,-0.09,-1.98,4.62,9.02,12.52,13.22,13.02,8.32,6.61,-0.08,-2.49
1926,-2.99,2.11,1.42,6.22,7.12,9.62,13.12,13.32,12.72,6.71,4.02,-2.78
1927,-2.19,-2.58,2.22,4.92,9.52,12.32,14.02,13.12,10.82,6.12,1.92,-2.58
1928,-1.09,-0.38,1.42,5.12,6.42,12.32,17.12,14.62,10.52,6.31,2.71,-3.08
1929,-7.18,-7.38,0.82,2.22,9.42,12.72,14.92,13.82,13.32,7.21,2.12,0.41
1930,-0.59,-2.98,2.22,5.22,7.72,14.92,12.72,13.02,11.02,6.11,3.61,-1.78
1931,-3.08,-4.18,-2.08,3.12,10.92,14.12,13.12,12.02,7.02,5.22,2.62,-3.28
1932,-1.49,-6.18,-1.48,3.42,8.12,11.02,13.42,15.82,13.72,6.01,2.02,-0.78
1933,-5.08,-2.88,2.02,4.62,7.12,9.52,14.52,14.52,11.32,6.71,0.22,-5.88
1934,-3.09,-2.58,1.22,7.22,10.52,12.22,14.92,12.62,12.42,6.21,0.91,1.81
1935,-5.09,-1.38,-0.18,3.72,7.02,14.12,15.02,13.02,11.32,6.41,2.52,-2.69
1936,0.42,-1.98,2.92,4.22,9.02,11.72,13.02,13.12,10.62,3.01,1.32,-1.08
1937,-1.79,-0.08,0.42,4.42,10.72,13.32,14.12,13.42,10.32,6.91,0.92,-3.18
1938,-2.39,-2.58,3.82,1.52,7.12,13.62,13.42,13.32,11.12,6.41,3.71,-3.68
1939,-0.99,-1.08,-1.78,6.22,6.12,12.52,13.12,13.72,10.02,5.01,3.21,-3.38
1940,-8.08,-3.28,0.62,5.22,8.42,11.72,12.52,12.02,10.72,6.11,2.51,-6.58
1941,-5.58,-1.79,1.82,3.02,5.52,12.62,14.62,12.22,9.92,5.31,0.22,-2.19
1942,-8.18,-6.18,2.02,4.82,8.92,12.32,13.52,13.92,13.22,9.51,-0.28,-0.59
1943,-2.49,-0.09,3.52,6.22,9.62,11.12,14.12,15.62,11.92,8.41,0.12,-1.18
1944,-1.09,-4.68,-2.18,6.22,8.52,11.02,13.62,16.52,10.32,5.51,0.71,-2.98
1945,-7.88,0.51,2.82,6.52,11.22,14.22,15.52,13.22,11.32,6.52,0.32,-1.19
1946,-3.98,-0.08,2.32,7.62,10.22,11.32,14.92,13.42,11.92,5.22,1.12,-3.89
1947,-6.39,-4.88,1.92,7.52,11.22,14.32,16.02,16.12,13.82,6.71,3.01,-1.69
1948,0.51,-1.78,4.42,6.02,10.52,11.52,11.72,13.42,11.12,7.31,2.32,-1.79
1949,-1.79,-1.48,-0.58,8.02,8.12,11.92,15.12,14.42,13.82,8.71,1.02,0.01
1950,-3.09,0.41,2.62,3.52,10.82,15.02,16.42,14.32,10.42,6.12,1.81,-3.88
1951,-1.48,-1.18,0.12,4.62,8.42,12.12,14.32,14.02,12.22,5.81,3.52,-0.69
1952,-3.98,-3.98,1.62,7.22,9.22,13.32,16.72,14.92,7.82,5.11,-0.58,-2.68
1953,-5.09,-3.28,2.32,6.22,10.02,11.32,14.32,13.72,11.82,8.01,2.11,0.61
1954,-5.68,-3.98,2.42,3.12,7.72,12.42,11.62,12.32,11.22,6.61,2.12,0.02
1955,-1.69,-2.98,-0.78,4.42,7.82,11.92,13.62,12.72,10.32,5.31,0.71,0.61
1956,-1.48,-9.28,0.62,3.12,9.12,9.82,13.52,12.22,12.12,5.01,-0.38,-1.48
1957,-3.19,0.82,4.82,4.82,6.12,12.92,13.92,12.32,9.82,6.91,2.31,-1.59
1958,-2.88,0.12,-2.28,2.22,11.42,11.62,14.42,14.52,12.62,6.11,1.91,-0.48
1959,-3.08,-0.38,4.22,6.02,9.32,12.32,15.62,13.42,12.02,6.41,1.01,-0.19
1960,-3.19,-1.08,2.62,4.52,9.72,13.02,11.82,12.92,9.42,6.01,2.82,-1.69
1961,-2.79,1.42,3.22,7.82,7.22,12.82,12.62,13.42,14.72,8.01,1.72,-1.29
1962,-1.58,-2.88,-1.98,4.82,6.72,11.12,13.12,15.02,10.82,7.31,0.01,-4.89
1963,-8.09,-6.28,0.32,5.82,8.22,12.12,15.02,12.72,11.42,6.61,4.62,-3.59
1964,-3.89,-0.78,-0.08,5.92,10.22,13.62,15.32,13.02,11.42,4.71,2.52,-2.19
1965,-1.89,-5.98,0.72,3.32,7.52,12.62,12.52,12.42,9.42,7.01,0.52,-0.58
1966,-4.99,2.52,0.02,6.42,9.12,13.02,12.02,11.82,12.12,9.01,-0.78,-1.88
1967,-2.98,-0.68,2.12,3.52,8.72,11.22,15.72,13.62,10.62,8.91,2.51,-3.39
1968,-4.08,-1.18,1.62,6.22,8.02,12.02,13.22,12.02,10.02,8.31,2.31,-3.19
1969,-1.89,-4.28,0.72,4.22,10.32,10.32,14.72,12.52,11.92,8.11,1.92,-5.79
1970,-2.29,-2.98,-1.48,2.32,7.12,13.22,13.42,13.62,11.72,6.11,3.22,-3.09
1971,-3.19,-2.58,-2.38,6.92,10.22,10.52,15.32,15.22,9.92,7.41,0.62,-0.09
1972,-2.49,0.82,3.32,4.12,7.82,11.22,13.42,13.02,7.72,5.11,1.72,-1.19
1973,-2.49,-3.18,0.02,1.72,9.82,12.82,13.32,15.42,11.92,5.41,1.02,-1.99
