Variable:,tas
Country:,Morocco
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,10.03,10.14,12.66,16.86,19.17,24.29,26.11,26.87,21.74,16.45,13.16,9.20
1902,9.51,11.40,13.53,15.72,17.84,21.42,25.86,26.09,22.22,17.03,13.91,10.14
1903,9.63,11.29,13.29,15.53,17.91,21.76,25.71,25.86,21.80,18.14,13.95,9.30
1904,9.08,10.90,12.10,15.31,19.27,22.48,26.21,26.39,21.90,18.49,13.72,10.98
1905,9.09,9.87,13.77,16.08,18.34,22.03,25.95,25.76,21.77,17.29,12.81,9.95
1906,9.78,9.87,12.77,14.34,18.21,22.81,25.77,26.35,22.61,18.17,13.45,9.45
1907,8.77,9.60,12.93,14.96,17.83,22.39,24.70,26.01,22.73,16.78,13.43,10.91
1908,9.82,10.42,11.84,13.94,19.13,21.37,25.40,25.57,22.87,18.34,14.41,10.62
1909,8.73,9.82,12.64,15.65,18.98,20.96,25.37,25.49,21.29,18.26,13.66,11.24
1910,9.46,11.40,12.06,14.89,17.50,21.78,25.17,25.12,22.11,18.05,13.90,10.76
1911,7.94,10.67,11.54,14.51,17.81,21.85,25.23,26.14,23.86,17.40,13.06,11.26
1912,9.42,12.90,14.06,14.63,19.80,22.27,23.19,24.57,21.52,17.14,13.01,9.50
1913,10.38,10.99,12.81,14.35,18.42,23.31,24.98,24.30,20.60,17.91,13.79,10.05
1914,8.13,10.52,12.83,15.40,18.73,20.67,24.68,25.27,22.52,17.63,13.05,10.16
1915,8.87,10.37,13.14,14.01,18.65,22.02,26.39,26.30,22.29,16.96,13.43,10.67
1916,9.12,10.25,11.81,14.62,18.57,21.83,25.33,25.89,22.12,18.30,13.70,10.52
1917,8.58,9.97,11.80,14.09,18.45,21.99,26.44,25.30,23.31,16.83,13.00,8.57
1918,9.98,10.44,11.89,13.78,18.40,22.46,25.69,25.94,22.29,15.94,13.08,10.34
1919,8.93,12.00,12.79,14.33,18.45,22.70,24.93,26.87,22.52,16.75,12.76,9.05
1920,9.26,10.78,12.63,15.88,19.01,22.37,25.42,25.52,22.52,17.13,13.07,9.87
1921,9.48,10.50,12.50,14.64,18.21,22.00,26.41,25.62,22.55,18.84,13.06,9.05
1922,9.16,10.66,12.04,15.21,19.62,21.81,25.93,26.05,21.54,18.18,13.31,9.17
1923,7.63,11.14,13.34,13.69,18.80,21.78,26.21,27.29,21.75,20.03,13.76,8.33
1924,9.10,9.22,13.32,15.79,20.80,23.80,27.14,25.63,22.38,17.93,13.48,10.10
1925,8.61,10.10,10.86,14.57,18.13,21.61,24.54,26.82,22.52,17.51,12.84,11.98
1926,10.54,12.99,13.85,16.28,18.30,22.87,26.64,26.64,24.80,20.09,12.18,9.44
1927,9.37,9.77,13.18,15.46,19.64,23.47,24.99,26.80,22.52,18.87,12.87,10.67
1928,8.50,11.07,13.40,14.96,17.20,23.04,28.05,26.93,23.90,17.83,12.79,9.35
1929,9.69,11.32,13.14,15.98,17.62,23.10,26.63,25.97,22.09,17.82,12.56,10.80
1930,9.98,9.60,13.41,13.80,19.18,21.22,25.69,27.58,23.29,20.21,15.33,10.52
1931,8.82,9.39,13.82,14.99,18.93,23.74,26.17,25.30,21.80,19.23,14.37,9.55
1932,9.09,9.96,12.95,14.80,18.80,21.81,24.85,25.91,22.02,16.95,13.77,10.10
1933,8.90,11.05,12.53,16.82,20.52,22.04,26.13,27.68,21.96,18.97,11.77,8.46
1934,7.89,9.37,10.82,14.58,18.60,23.12,26.05,25.40,22.65,18.65,13.26,11.52
1935,8.02,9.28,13.59,16.16,17.54,22.93,27.13,25.88,23.76,16.73,13.70,10.66
1936,11.28,11.89,12.86,15.90,16.54,21.48,25.96,26.82,24.06,16.79,12.07,8.81
1937,9.96,12.55,13.23,17.76,19.45,22.49,27.30,26.79,22.56,17.99,15.98,9.95
1938,8.68,10.95,13.47,15.63,18.64,24.64,26.76,25.64,21.00,18.84,14.84,9.80
1939,10.28,10.24,12.10,14.67,18.21,21.96,26.53,25.20,22.99,17.75,13.80,10.64
1940,9.92,12.56,15.33,16.82,18.94,22.18,25.97,27.87,22.95,17.37,13.61,8.99
1941,9.52,11.97,13.41,15.03,18.11,22.77,26.18,26.79,23.37,19.57,14.35,9.22
1942,8.64,9.40,13.92,15.86,20.25,23.09,26.57,25.96,22.60,19.70,14.07,10.81
1943,10.03,10.04,12.84,16.89,20.21,24.14,26.00,27.30,22.17,17.69,11.92,9.85
1944,9.07,10.01,12.83,17.31,20.52,22.87,26.81,26.28,22.89,17.68,13.97,9.26
1945,7.28,10.99,13.81,18.07,20.39,24.26,26.85,25.28,23.73,19.87,15.83,11.79
1946,9.22,11.19,12.97,15.05,17.54,23.24,28.11,26.80,23.52,18.80,13.88,9.27
1947,9.08,11.31,15.46,17.15,18.43,23.45,25.85,26.27,23.32,18.41,15.36,9.99
1948,9.98,12.08,14.46,15.40,18.69,24.27,26.68,26.82,22.95,18.03,15.34,11.45
1949,9.55,11.28,12.57,17.12,18.57,23.24,26.93,28.02,22.64,19.13,14.49,10.76
1950,9.26,11.58,13.83,15.84,18.86,23.38,27.57,26.12,22.64,17.77,15.25,9.89
1951,8.85,9.97,14.48,15.91,17.41,23.75,25.90,25.84,22.86,16.42,13.98,10.84
1952,7.94,10.44,14.95,14.79,18.80,24.10,26.20,26.04,21.69,19.21,14.86,10.45
1953,8.90,9.71,12.22,16.26,20.72,22.12,26.68,27.18,22.48,17.52,14.66,11.43
1954,8.21,9.17,12.31,13.58,19.51,22.53,26.22,25.55,22.75,19.50,15.01,10.42
1955,11.53,12.03,12.31,16.68,21.28,23.88,26.10,26.29,23.48,18.35,15.38,11.73
1956,9.56,8.42,11.74,14.08,18.80,22.47,25.53,25.18,21.69,19.11,11.94,8.78
1957,7.76,11.77,14.47,14.33,18.15,21.97,26.83,26.48,23.53,17.08,12.84,8.66
1958,9.35,12.67,13.42,15.06,20.14,22.04,25.23,26.08,23.36,18.42,12.97,11.27
1959,10.72,9.98,13.43,15.85,17.98,22.60,26.17,26.14,21.90,17.96,13.21,10.67
1960,9.32,12.46,13.80,15.62,19.32,22.96,25.95,25.81,22.27,17.05,14.82,8.93
1961,8.61,12.38,14.49,16.86,20.68,22.50,27.49,26.91,23.31,17.93,13.72,11.81
1962,10.36,9.93,12.67,15.68,19.81,22.39,26.30,27.53,23.69,19.05,12.01,9.98
1963,10.38,10.36,13.15,15.39,17.61,21.74,26.08,25.36,21.07,18.81,14.69,10.73
1964,9.61,11.46,13.50,14.27,21.30,22.84,26.35,25.85,24.45,18.17,13.42,8.81
1965,9.04,10.02,13.96,15.09,20.54,23.85,24.90,25.59,20.50,17.51,13.31,10.44
1966,11.22,13.04,12.78,16.04,19.70,22.90,24.93,26.20,23.14,16.85,11.23,9.40
1967,9.36,10.67,14.08,14.18,18.49,22.14,26.90,26.39,21.87,18.09,13.09,8.44
1968,8.92,10.60,11.74,14.83,18.61,22.65,26.49,25.09,22.55,19.65,14.60,10.23
1969,11.16,11.84,13.68,14.12,18.50,21.76,26.81,25.64,20.56,17.41,14.29,8.86
1970,11.11,11.28,12.09,15.57,19.04,21.96,26.97,25.79,23.34,17.54,14.58,9.01
1971,9.81,10.84,11.33,13.65,15.96,21.22,25.28,25.27,22.09,19.87,11.98,9.47
1972,8.80,10.97,12.08,14.92,17.33,20.91,25.11,24.47,20.96,17.89,13.75,9.40
1973,8.92,9.98,12.43,15.35,19.77,22.09,25.51,26.47,22.72,17.72,14.37,9.16
1974,10.26,10.78,12.38,13.79,19.25,21.89,26.77,26.46,22.18,16.13,13.47,10.24
1975,10.06,11.54,12.09,14.40,16.96,21.41,27.47,26.68,21.55,18.31,12.85,9.64
1976,8.83,10.71,12.17,13.22,17.45,23.05,26.42,26.89,21.98,16.96,12.31,11.28
1977,9.84,11.63,14.50,16.47,18.11,21.19,23.98,23.85,22.34,18.22,13.12,11.71
1978,9.71,12.56,13.48,15.01,17.27,20.68,26.71,25.52,23.92,17.86,13.96,11.92
1979,11.34,11.69,12.20,15.04,18.83,22.51,26.07,26.02,22.57,17.17,13.62,10.21
1980,9.46,11.64,13.10,15.49,18.40,22.65,26.20,26.86,24.03,18.34,13.78,9.00
1981,8.58,10.45,14.86,14.71,18.62,23.41,25.87,25.23,22.95,19.15,15.84,11.87
1982,10.30,11.54,13.77,15.39,19.05,23.76,25.91,25.59,23.10,17.83,12.88,8.92
1983,9.48,10.04,15.33,15.49,18.16,23.94,25.27,24.88,23.89,20.39,15.87,10.93
1984,9.34,10.58,12.16,17.02,16.27,22.25,27.54,25.74,22.97,17.81,13.83,10.83
1985,8.55,12.73,12.43,16.10,17.66,23.15,26.69,26.68,23.66,19.49,14.79,10.65
1986,9.41,10.91,12.47,13.54,20.55,22.09,26.37,26.14,23.36,18.16,13.31,9.67
1987,9.78,11.48,14.35,17.56,19.54,23.31,25.62,25.75,24.70,17.95,14.15,11.90
1988,10.04,10.94,13.45,15.87,18.36,21.52,26.79,27.44,23.51,18.71,14.67,9.40
1989,9.36,11.25,14.16,14.19,19.33,23.14,27.39,27.17,23.07,19.72,14.64,12.58
1990,9.38,12.96,14.68,14.81,19.49,22.97,27.09,27.35,24.31,18.33,14.05,9.97
1991,9.02,9.51,12.48,14.73,18.16,23.36,26.65,27.18,23.40,16.62,13.26,10.51
1992,8.98,11.20,12.98,15.98,19.79,20.67,26.27,26.65,22.82,16.85,13.27,10.82
1993,8.81,10.43,13.48,15.39,18.22,23.09,26.60,26.13,21.07,16.57,12.97,10.25
1994,9.01,10.70,13.66,15.44,19.75,24.01,27.64,26.74,21.67,18.32,15.03,11.08
1995,9.88,12.30,13.92,15.87,21.38,22.86,27.07,26.69,21.85,19.89,15.98,12.39
1996,11.54,10.45,12.93,16.29,19.25,23.91,26.67,25.22,21.59,18.25,14.26,11.35
