Variable:,tas
Country:,Monaco
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.80,1.60,6.20,11.20,14.10,18.90,20.20,20.00,17.70,13.40,7.70,6.60
1902,6.50,6.10,8.60,12.60,10.80,16.50,20.50,19.90,17.30,12.80,8.40,6.40
1903,5.70,7.30,9.00,8.10,13.80,16.20,19.20,20.30,17.80,14.40,9.50,6.60
1904,5.90,6.80,7.80,12.30,15.40,18.90,22.50,21.30,16.00,13.60,8.20,7.20
1905,3.60,5.30,8.50,11.00,12.60,18.00,22.40,20.40,17.90,10.50,8.80,6.80
1906,5.90,4.80,7.00,10.10,14.10,17.80,20.30,21.30,17.00,15.00,10.40,4.70
1907,4.30,3.80,6.90,9.30,14.30,17.60,18.60,21.00,18.30,14.80,10.40,8.60
1908,4.90,6.20,6.60,8.80,15.70,18.90,19.70,19.20,16.60,14.00,8.40,6.60
1909,4.30,3.20,5.80,12.00,13.90,15.90,18.30,20.10,16.60,14.80,8.10,8.40
1910,6.40,6.90,8.20,10.00,12.60,17.80,18.30,19.70,15.90,14.20,8.20,8.80
1911,4.20,5.80,7.90,10.00,14.20,17.20,22.30,23.00,19.30,13.60,11.10,8.80
1912,7.10,8.60,10.10,9.70,14.80,17.50,19.50,17.80,14.50,12.20,6.90,7.30
1913,7.10,5.70,9.20,10.20,13.90,17.80,17.60,19.40,16.90,14.60,11.50,6.60
1914,3.00,7.70,8.50,12.50,12.80,16.40,18.80,19.90,17.00,12.80,8.90,8.40
1915,5.50,5.40,7.10,9.90,15.90,19.00,19.50,19.30,15.90,11.60,7.50,9.80
1916,7.70,6.60,8.00,11.10,14.90,16.10,19.40,20.10,15.70,13.20,9.90,7.90
1917,4.30,3.80,5.70,8.30,16.00,19.40,20.00,19.80,19.30,11.90,8.80,4.30
1918,5.90,6.40,7.70,10.10,15.10,15.80,20.00,20.10,18.60,12.00,9.30,8.40
1919,6.60,5.60,7.80,9.00,13.90,18.30,17.90,21.70,19.10,10.80,7.20,7.40
1920,8.40,8.30,9.90,11.30,17.10,17.50,20.10,19.00,17.80,13.50,8.50,7.20
1921,8.70,6.10,8.80,9.90,15.10,18.20,22.20,20.70,18.90,16.20,7.80,6.60
1922,5.20,5.70,8.70,9.30,16.20,18.30,19.00,20.50,15.60,12.20,7.70,6.80
1923,5.70,7.70,8.70,10.70,14.10,14.80,22.20,21.90,17.40,15.70,9.80,6.80
1924,5.20,4.30,7.90,11.10,15.80,17.80,20.50,17.90,17.90,13.90,9.80,7.50
1925,7.30,7.70,5.60,10.60,14.00,18.70,19.60,20.10,16.00,14.30,8.50,6.20
1926,5.40,9.40,8.70,11.90,12.40,16.10,19.90,20.70,20.00,14.80,11.90,5.80
1927,6.60,5.60,8.90,11.70,15.10,18.20,20.50,20.30,17.80,13.60,10.30,6.90
1928,7.20,7.70,8.20,10.90,12.30,18.00,23.50,22.30,17.90,13.70,10.60,6.30
1929,2.60,2.10,7.70,9.20,14.70,18.80,21.10,20.50,20.30,14.40,10.10,9.00
1930,7.70,5.70,8.90,11.10,13.00,19.70,19.30,20.10,18.50,13.80,11.50,7.40
1931,6.10,4.90,6.60,9.80,15.50,20.00,19.90,19.50,14.30,13.20,10.80,5.30
1932,6.70,2.00,6.10,9.30,13.30,16.60,18.70,22.50,20.40,13.70,10.50,8.10
1933,4.50,5.60,8.70,11.30,13.50,15.50,20.90,22.00,18.70,14.20,8.40,3.00
1934,5.60,5.30,8.00,12.10,15.80,18.10,21.30,19.50,18.90,13.60,8.50,9.70
1935,4.00,6.60,7.50,10.20,12.30,19.40,21.60,19.90,18.50,13.90,10.80,6.50
1936,9.40,6.80,9.40,10.10,14.40,17.50,19.70,20.40,18.10,10.60,9.50,7.40
1937,7.10,8.60,7.30,11.00,15.50,18.80,21.00,20.90,17.60,14.00,9.40,6.00
1938,5.80,5.60,10.20,8.90,12.60,18.90,20.00,20.20,17.70,14.00,11.50,5.50
1939,7.60,6.70,6.00,11.70,11.50,17.80,19.50,20.40,17.10,13.20,11.20,6.00
1940,1.70,5.50,8.10,11.00,14.30,17.30,19.10,19.60,18.10,13.30,10.50,2.70
1941,3.50,6.10,8.50,9.60,11.30,18.00,21.10,19.40,17.00,12.90,8.80,6.00
1942,1.90,2.60,9.20,11.40,14.50,18.60,20.50,21.10,20.20,16.30,8.60,7.30
1943,6.30,7.70,9.70,12.80,15.50,18.00,21.00,22.80,19.30,16.00,8.60,7.60
1944,6.80,4.30,6.00,12.70,14.90,17.70,20.30,23.60,17.80,12.80,8.90,5.90
1945,1.30,7.70,10.10,13.30,16.70,20.10,22.80,20.60,19.00,14.40,8.80,7.60
1946,4.70,8.30,8.80,13.10,14.70,17.70,21.30,20.90,18.90,13.20,9.20,5.00
1947,2.70,4.10,8.50,13.10,16.10,19.90,22.40,23.10,20.00,14.40,10.90,6.70
1948,8.40,6.60,11.00,11.90,15.20,17.60,18.30,20.40,17.80,14.40,9.70,6.90
1949,6.60,6.10,6.60,13.60,13.20,18.00,21.50,21.80,20.90,15.90,9.20,8.00
1950,5.30,8.00,9.10,9.70,15.60,20.20,23.10,21.50,17.70,14.00,9.90,5.30
1951,7.20,7.20,7.30,10.90,13.00,17.90,20.30,20.40,19.30,13.30,11.10,6.90
