Variable:,tas
Country:,"Myanmar (Burma)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.33,19.90,22.68,26.11,25.73,25.71,25.17,24.98,24.74,24.25,21.32,18.55
1902,18.15,19.18,23.19,25.15,25.54,25.30,24.93,24.78,24.73,23.77,21.15,18.51
1903,17.72,19.38,22.61,26.17,26.24,25.03,25.29,24.52,24.85,24.40,21.24,17.89
1904,17.36,19.30,22.84,24.81,25.38,25.20,24.82,24.95,25.03,24.14,20.92,18.12
1905,17.44,18.72,21.92,24.51,25.65,25.51,25.12,24.65,25.17,24.21,21.58,18.96
1906,18.62,19.55,21.93,25.99,26.57,25.49,25.41,24.59,25.51,24.06,21.42,18.75
1907,18.64,19.52,21.76,24.85,25.41,25.14,24.73,25.03,24.80,24.17,21.48,18.18
1908,17.92,19.68,22.96,26.55,25.64,25.34,24.91,24.86,24.90,24.03,20.88,18.26
1909,18.26,19.76,23.42,25.16,25.50,24.99,25.13,24.61,25.37,24.55,21.85,18.52
1910,18.15,19.52,22.03,24.87,25.75,24.96,24.61,24.84,25.03,23.87,21.35,18.05
1911,18.41,19.25,22.08,25.05,25.39,25.14,24.87,24.83,24.94,23.79,21.33,18.26
1912,18.13,19.97,22.68,24.87,26.04,25.48,24.73,24.63,24.92,23.78,21.09,18.32
1913,18.17,20.15,22.18,25.55,25.17,24.92,24.89,24.74,24.83,23.82,20.72,18.05
1914,17.53,19.83,22.58,24.62,25.79,25.24,25.07,24.40,24.79,23.30,21.35,18.89
1915,18.70,20.09,22.70,25.51,25.38,25.11,24.91,24.79,24.77,25.05,22.22,18.31
1916,17.56,19.86,23.17,25.31,25.95,25.29,24.84,24.98,25.24,24.04,21.77,18.17
1917,17.56,19.30,22.05,24.92,25.61,24.95,24.94,24.91,24.89,24.12,21.99,18.21
1918,17.72,19.23,22.51,24.65,25.35,24.51,25.17,24.69,25.28,24.30,21.51,18.88
1919,19.05,19.80,23.67,25.51,26.24,25.44,24.99,25.53,24.51,24.09,21.96,18.91
