Variable:,tas
Country:,"New Caledonia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.05,24.39,24.44,24.54,22.44,19.95,18.87,18.90,21.31,22.69,21.93,23.21
1902,25.25,25.19,23.84,21.94,20.04,19.35,18.47,17.90,19.01,20.99,22.03,25.01
1903,25.05,25.79,24.44,23.04,21.64,20.25,19.77,19.20,20.11,22.09,22.63,24.01
1904,24.25,24.39,24.04,23.04,20.14,18.95,18.77,18.80,18.91,19.89,21.83,22.81
1905,23.65,24.69,23.04,21.64,20.94,19.85,18.17,18.90,19.71,20.49,22.03,25.51
1906,25.15,23.79,23.74,22.94,20.94,19.15,18.67,19.00,20.51,21.39,23.53,24.51
1907,25.85,24.69,26.14,23.34,21.24,20.75,19.17,18.50,19.31,21.89,23.33,24.91
1908,24.45,24.69,24.34,22.94,21.94,19.95,18.67,19.40,20.61,20.09,22.73,23.31
1909,25.35,25.59,23.54,23.34,21.14,20.65,20.77,19.70,21.01,21.59,23.73,24.61
1910,25.85,26.59,26.43,24.24,22.24,21.15,20.57,19.70,20.81,22.99,24.03,25.01
1911,24.55,24.69,24.24,22.84,21.24,19.95,18.87,18.90,19.61,21.09,22.53,23.71
1912,24.55,24.69,24.24,22.84,21.24,19.95,18.87,18.90,19.61,21.09,22.53,23.71
1913,24.55,24.69,24.24,22.84,21.24,19.95,18.87,18.90,19.61,21.09,22.53,23.71
1914,24.55,24.69,24.24,22.84,21.24,19.95,18.87,18.90,19.61,21.09,22.53,23.71
1915,25.02,25.32,24.37,23.06,21.37,20.14,19.26,19.22,19.61,21.47,23.00,24.08
1916,24.60,25.08,24.56,23.23,21.37,20.34,19.18,19.09,19.93,21.60,22.89,24.06
1917,24.69,24.76,23.98,23.06,21.30,19.95,19.00,19.04,20.07,21.47,22.75,23.71
1918,24.69,24.70,24.11,22.96,21.12,19.95,18.66,18.78,19.61,21.36,22.75,23.57
1919,24.50,24.82,24.17,22.79,21.24,19.82,18.88,18.85,19.72,21.27,22.36,23.59
1920,24.69,24.76,24.24,22.84,21.07,19.95,19.09,18.90,19.61,21.41,22.92,23.71
1921,24.69,24.76,24.24,22.84,21.34,20.07,19.13,19.03,19.79,21.18,22.48,23.92
1922,24.68,24.52,24.24,22.79,21.24,20.03,19.06,19.13,19.61,21.36,22.66,23.93
1923,24.55,24.69,24.24,22.84,21.24,19.95,18.87,18.90,19.61,21.09,22.53,23.71
1924,24.55,24.69,24.24,22.84,21.24,19.95,18.87,18.90,19.61,21.09,22.53,23.71
1925,24.55,24.69,24.24,22.84,21.24,19.95,18.87,18.90,19.61,21.09,22.53,23.71
1926,24.55,24.69,24.24,22.84,21.24,19.95,18.87,18.90,19.61,21.09,22.53,23.71
1927,24.82,24.76,24.30,23.15,21.37,19.73,19.09,19.16,19.83,20.96,22.46,23.71
1928,24.55,24.69,24.24,22.84,21.24,19.95,18.87,18.90,19.61,21.09,22.53,23.71
1929,25.02,25.05,24.63,22.91,21.07,20.18,18.82,18.96,19.57,21.36,22.66,24.01
1930,24.82,24.56,23.93,22.84,21.07,20.09,18.87,19.03,19.49,21.15,22.53,23.78
1931,24.55,24.82,24.24,23.15,21.38,19.90,19.20,18.98,19.61,21.18,23.06,24.08
1932,24.60,24.76,24.33,23.25,21.04,19.91,18.87,18.90,19.88,21.44,22.74,23.92
1933,24.96,24.95,24.60,23.06,21.38,19.95,19.09,18.90,19.75,21.31,22.55,24.08
1934,24.31,24.56,24.19,23.01,21.10,19.95,18.77,18.98,19.75,21.09,22.70,24.08
1935,25.07,25.15,24.38,22.91,21.10,19.90,18.92,18.90,19.57,21.22,22.04,24.01
1936,24.83,24.70,24.07,22.84,21.24,20.00,18.75,18.90,19.44,21.26,22.45,23.71
1937,24.55,24.69,24.14,22.64,21.17,19.88,18.66,18.90,19.51,21.20,22.74,24.08
1938,24.76,25.11,24.55,22.84,21.42,20.03,18.96,18.91,19.61,21.19,22.99,23.89
1939,24.72,24.69,24.41,23.09,21.34,20.24,18.70,18.77,19.34,20.78,22.30,23.40
1940,24.24,24.38,23.91,22.38,21.24,19.48,18.42,18.55,19.27,20.89,22.30,23.66
1941,24.81,25.42,25.34,22.54,20.89,19.42,19.16,18.50,20.56,21.48,22.94,24.60
1942,24.99,25.57,25.82,23.73,21.54,20.62,20.28,19.65,20.42,22.52,23.32,24.16
1943,25.04,25.14,24.40,22.89,21.72,20.27,18.77,18.77,19.55,21.73,23.41,24.19
1944,25.78,25.32,24.46,22.84,21.11,19.19,18.93,19.06,19.60,20.86,23.05,23.91
