Variable:,tas
Country:,Nicaragua
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.41,24.05,25.03,25.79,25.91,25.12,25.03,24.83,24.77,24.62,23.87,23.51
1902,23.26,24.00,25.13,25.80,25.95,25.12,25.07,24.72,24.92,24.70,24.03,23.54
1903,23.47,24.26,25.09,25.76,25.82,25.23,25.10,24.86,24.88,24.60,23.82,23.36
1904,23.42,24.06,25.02,25.83,25.91,25.12,25.03,24.82,24.77,24.61,23.90,23.54
1905,23.37,24.07,25.03,25.82,25.95,25.15,25.03,24.83,24.78,24.64,23.93,23.54
1906,23.28,23.91,24.94,25.71,25.91,25.09,25.06,24.82,24.83,24.62,23.93,23.46
1907,23.47,24.01,25.03,25.81,25.92,25.12,24.93,24.74,24.73,24.61,23.97,23.50
1908,23.30,23.93,25.03,25.95,26.00,25.13,25.03,24.80,24.76,24.51,23.81,23.54
1909,23.37,24.04,25.12,25.85,26.04,25.11,25.08,24.83,24.73,24.58,23.80,23.49
1910,23.21,23.91,24.74,25.60,25.82,25.04,24.98,24.82,24.73,24.56,23.74,23.27
1911,23.39,24.05,25.03,25.88,25.66,24.98,24.81,24.81,24.77,24.71,24.04,23.58
1912,23.44,23.81,25.11,26.02,25.94,25.09,25.00,24.83,24.76,24.65,23.80,23.59
1913,23.54,24.24,25.08,25.56,25.69,24.92,24.96,24.80,24.70,24.56,23.82,23.49
1914,23.34,24.06,24.75,25.75,25.77,25.01,25.06,24.88,24.73,24.58,23.84,23.61
1915,23.38,23.94,24.69,25.54,26.00,25.21,25.12,24.88,24.79,24.63,23.92,23.54
1916,23.59,23.91,24.88,25.67,25.87,25.05,25.12,24.79,24.72,24.56,23.80,23.54
1917,23.45,24.04,25.05,25.82,25.91,25.12,25.03,24.83,24.77,24.61,23.87,23.49
1918,23.32,24.15,25.06,25.84,25.87,25.06,25.07,24.83,24.77,24.74,23.93,23.54
1919,23.28,24.07,25.05,25.71,25.84,25.02,25.00,24.83,24.77,24.67,24.05,23.55
1920,23.47,23.97,25.03,26.00,25.94,25.02,24.99,24.79,24.77,24.58,23.86,23.52
1921,23.39,24.03,25.05,25.79,25.66,25.04,24.98,24.82,24.75,24.61,24.01,23.60
1922,23.48,24.09,25.11,25.95,25.88,25.10,25.03,24.86,24.78,24.64,23.98,23.56
1923,23.45,24.07,25.06,25.85,25.91,25.09,25.03,24.83,24.77,24.61,23.82,23.60
