Variable:,tas
Country:,Nepal
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.55,4.61,9.70,14.18,16.92,20.54,19.88,18.65,17.29,14.47,8.72,5.25
1902,5.09,6.03,11.59,14.18,17.02,19.35,18.76,19.10,17.11,12.99,7.95,4.49
1903,3.95,4.54,8.98,13.80,17.11,19.71,20.46,18.52,17.51,13.21,7.92,4.60
1904,3.91,5.49,9.72,14.80,16.32,18.65,18.19,18.21,17.02,13.26,7.72,5.10
1905,2.50,3.89,7.24,11.72,16.81,20.56,19.00,18.73,17.46,13.53,8.94,4.91
1906,3.20,4.05,8.19,14.40,18.23,18.89,19.09,18.24,17.23,13.45,9.07,5.70
1907,5.44,4.05,7.46,12.22,15.97,18.87,19.92,18.55,17.87,14.17,8.84,4.48
1908,3.34,5.43,9.96,15.91,17.34,19.91,18.81,18.26,17.36,13.40,7.99,4.37
1909,4.39,4.65,10.90,12.72,16.91,17.17,18.45,18.26,17.24,13.66,9.64,5.12
1910,3.76,5.13,9.91,13.75,16.98,17.92,18.44,18.36,17.34,12.72,7.64,4.49
1911,5.21,5.04,8.15,13.81,17.72,18.02,20.26,18.86,16.73,13.30,7.06,4.19
1912,4.28,6.23,9.31,13.24,16.87,19.68,18.86,18.31,16.78,13.25,7.56,4.49
1913,4.13,5.02,7.96,14.92,15.52,16.59,18.83,18.71,17.68,13.72,7.75,4.39
1914,5.06,5.45,9.09,13.16,16.53,18.50,18.65,18.29,17.18,12.31,8.64,5.03
1915,4.56,4.63,9.17,13.91,17.94,18.96,19.48,18.75,17.54,14.87,9.40,5.23
1916,4.18,5.19,11.84,14.88,17.60,17.28,18.41,18.23,17.10,13.32,7.78,4.11
1917,3.80,5.06,8.96,12.05,14.68,17.57,18.43,18.30,16.54,12.80,7.72,4.77
1918,2.95,5.45,9.94,12.72,17.63,17.14,20.19,18.54,17.59,13.73,8.39,4.14
1919,4.20,4.27,10.34,13.30,16.53,19.07,18.28,18.47,16.89,13.08,8.34,4.65
1920,4.54,4.76,9.28,13.82,15.14,18.92,18.75,18.64,17.75,14.29,9.28,5.86
1921,4.73,5.35,11.93,15.52,19.02,18.77,19.51,18.12,16.77,12.31,8.05,5.65
1922,3.96,6.32,11.18,15.04,18.03,17.90,18.56,18.15,16.81,12.67,8.35,4.66
1923,4.28,4.70,10.34,15.00,17.08,20.62,18.84,18.38,17.29,12.71,8.45,5.33
1924,3.70,5.42,11.58,15.21,15.95,20.75,18.56,18.38,16.63,13.52,8.14,5.26
1925,2.56,4.11,10.08,14.74,16.34,17.51,18.02,18.69,17.17,13.27,7.66,4.59
1926,3.98,6.17,8.57,11.84,15.74,20.63,19.29,18.46,16.96,12.88,6.85,4.99
1927,3.22,4.36,8.48,13.83,16.22,19.28,18.96,18.27,17.31,13.49,7.98,5.79
1928,3.73,5.69,10.34,14.00,17.77,18.38,18.75,19.26,17.93,14.02,8.77,5.19
1929,3.93,4.37,11.04,14.52,17.99,19.04,18.67,18.07,17.74,12.99,8.50,4.40
1930,3.11,4.94,10.62,13.87,17.13,18.69,18.35,18.47,17.49,13.58,8.01,4.89
1931,5.36,4.58,9.45,15.44,17.19,20.11,18.92,19.14,16.94,13.14,8.03,5.58
1932,5.60,4.43,10.54,14.22,16.63,20.10,19.28,18.39,17.39,13.66,8.47,5.04
1933,2.58,5.89,10.36,12.47,15.15,18.09,18.47,18.06,16.81,13.06,8.26,5.40
1934,3.32,5.86,9.40,14.33,16.92,18.30,18.68,18.22,17.54,12.63,8.03,5.31
1935,2.99,5.72,10.27,12.23,18.04,20.05,18.91,17.99,17.19,13.13,8.81,4.95
1936,3.20,5.03,10.10,14.01,17.71,17.02,18.29,18.45,16.95,12.95,8.89,5.10
1937,3.21,5.31,9.02,13.25,16.74,19.13,19.26,18.58,17.54,12.84,8.35,4.71
1938,4.24,3.90,11.33,15.40,17.54,17.42,18.69,18.85,18.11,13.93,7.46,5.19
1939,4.90,5.67,8.49,13.84,18.11,18.16,18.66,18.81,17.17,13.75,8.38,5.51
1940,4.06,5.01,8.18,13.50,17.47,19.48,19.11,18.50,17.09,13.64,9.47,5.11
1941,3.86,6.03,11.87,15.88,17.81,17.98,19.71,19.03,17.68,14.41,8.73,6.56
1942,3.68,5.97,11.13,14.82,18.10,20.10,18.74,18.22,16.72,13.61,9.62,5.10
