Variable:,tas
Country:,"Papua New Guinea"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.43,25.32,25.33,25.28,25.11,24.46,24.07,24.27,24.70,25.23,25.52,25.56
1902,25.43,25.32,25.33,25.28,25.11,24.46,24.07,24.27,24.70,25.23,25.52,25.56
1903,26.27,25.56,25.95,25.44,24.88,24.54,24.16,23.89,24.40,24.40,25.29,25.65
1904,25.59,25.17,25.33,25.06,24.81,23.78,23.31,23.13,23.64,24.47,24.62,25.56
1905,25.96,24.57,25.42,25.59,24.96,24.77,23.39,23.13,24.17,25.00,24.92,26.10
1906,26.04,26.39,25.72,25.90,25.03,24.38,23.84,23.51,24.55,24.47,25.44,25.95
1907,25.32,25.38,25.00,25.46,24.80,24.65,23.75,23.68,23.71,24.54,24.99,25.59
1908,25.18,25.66,25.46,25.17,24.80,23.76,23.74,24.06,24.37,24.24,25.05,25.39
1909,25.64,25.86,25.45,25.66,25.73,24.98,25.16,24.91,24.69,25.40,25.57,25.46
1910,25.81,25.42,25.52,25.49,25.25,24.82,24.55,24.55,24.95,25.57,25.51,26.15
1911,25.98,25.25,25.61,25.38,24.87,24.12,23.59,24.08,23.57,24.69,25.43,26.40
1912,25.49,25.99,25.65,25.95,24.77,25.42,24.03,23.39,24.41,24.74,25.55,25.96
1913,25.92,25.34,25.67,25.30,24.97,24.38,23.72,23.44,23.56,24.09,25.52,25.56
1914,25.85,25.21,25.78,25.88,25.27,24.34,23.40,22.88,23.34,23.77,24.47,25.53
1915,25.61,25.93,25.61,25.22,25.31,24.54,24.65,24.24,25.33,25.23,25.91,26.14
1916,25.17,25.88,25.76,25.62,24.90,24.82,24.92,24.82,24.73,25.41,25.79,25.83
1917,25.63,25.73,25.24,25.52,25.21,24.41,24.76,24.43,24.96,25.32,25.91,25.02
1918,25.51,24.94,25.13,25.09,24.33,23.70,22.79,23.31,23.41,24.46,25.67,25.69
1919,25.40,25.68,25.54,25.23,24.91,23.51,22.92,23.16,23.73,24.20,25.35,25.57
1920,25.41,25.11,25.84,25.54,25.08,24.96,24.07,24.06,24.40,24.85,25.05,25.47
1921,25.32,25.71,25.84,24.84,24.90,24.99,24.01,23.42,24.56,25.13,25.09,25.62
1922,26.03,25.85,25.37,25.03,24.23,24.40,24.13,23.13,24.49,25.18,25.00,26.06
1923,26.00,25.03,24.74,24.87,24.85,23.77,22.59,23.95,23.12,24.73,25.41,26.11
1924,25.90,26.02,25.94,25.42,25.01,24.60,23.58,23.90,24.57,25.49,26.11,25.61
1925,25.90,25.76,25.43,24.82,24.47,24.09,23.39,23.50,24.06,24.28,25.23,25.95
1926,25.53,25.98,26.08,25.65,25.61,24.54,24.12,24.36,24.89,25.44,25.43,25.87
1927,25.59,25.66,26.24,25.59,25.32,25.03,24.05,23.33,23.70,24.53,25.13,25.64
1928,25.66,26.02,25.60,25.92,24.80,24.00,23.37,23.78,24.56,25.26,25.52,26.42
1929,25.27,24.84,25.36,25.59,24.36,24.27,23.92,23.36,23.59,24.84,25.47,25.28
1930,25.61,25.33,25.22,25.18,25.64,24.56,23.40,23.56,23.50,24.60,24.86,25.44
1931,26.18,25.41,25.14,24.34,24.74,23.68,23.00,24.25,23.69,25.13,24.79,25.54
1932,25.85,25.90,25.84,26.19,25.43,24.34,23.24,23.37,24.18,25.05,25.51,25.83
1933,26.16,25.72,25.97,25.57,24.95,24.49,24.34,24.20,24.70,25.18,25.39,25.56
1934,25.63,25.91,25.36,25.72,25.19,25.00,24.30,24.04,23.80,24.83,26.13,25.52
1935,26.14,26.08,25.49,25.18,24.54,24.37,24.32,23.40,24.33,25.04,25.01,25.79
1936,26.02,25.45,25.69,25.51,24.59,24.49,24.20,23.47,24.41,24.74,25.40,25.99
1937,25.81,25.68,25.80,25.34,25.30,24.73,24.28,23.82,24.44,25.04,25.73,26.06
1938,25.76,25.39,25.54,25.80,24.90,24.75,24.06,24.15,23.92,24.59,25.39,25.43
1939,25.58,25.24,25.26,25.40,24.71,24.48,24.06,23.59,24.21,24.73,25.57,26.16
1940,25.40,25.34,25.22,25.38,25.31,24.79,23.97,23.95,24.09,24.16,25.71,26.15
1941,25.44,25.21,25.53,24.94,24.91,23.99,22.82,22.77,23.49,25.00,24.85,25.16
1942,25.80,25.78,25.45,26.20,25.66,24.98,24.99,24.17,24.87,25.24,25.45,25.79
1943,25.32,25.39,25.03,25.08,24.67,24.16,24.17,24.32,24.83,25.28,25.32,25.84
1944,25.74,25.39,25.00,24.99,24.75,24.09,23.85,23.63,23.73,24.50,24.82,25.92
1945,25.77,25.68,25.44,24.92,24.22,24.39,23.84,24.61,24.81,25.01,24.80,25.15
1946,25.54,25.24,25.39,24.60,24.59,23.20,23.20,23.45,24.07,24.64,25.07,25.32
1947,25.59,25.72,25.52,25.48,24.73,24.75,24.34,24.50,25.25,25.00,25.44,25.39
1948,25.50,25.31,25.43,25.13,25.20,24.54,24.43,23.98,24.11,25.18,25.08,25.26
1949,25.75,25.62,25.51,24.98,24.84,23.87,24.00,23.81,24.65,25.53,25.30,25.44
1950,25.20,25.15,25.62,25.15,24.73,24.75,24.56,24.47,24.78,25.21,25.93,25.33
1951,25.25,25.58,25.20,25.15,24.60,24.23,24.05,24.28,24.66,25.07,25.38,25.84
1952,25.73,25.68,25.61,25.64,25.34,24.76,24.12,24.41,24.82,25.50,25.53,25.51
1953,25.20,25.05,25.43,24.97,24.67,24.37,23.77,23.96,24.51,25.33,25.69,25.58
1954,25.35,25.26,25.31,25.34,24.87,24.43,24.28,24.40,24.71,25.00,25.18,25.29
1955,25.05,25.17,25.33,24.81,25.44,24.52,24.15,24.52,24.96,25.55,25.32,25.41
1956,25.34,25.15,25.48,25.31,25.66,24.86,24.53,24.66,24.97,25.70,25.48,25.27
1957,25.24,25.63,25.06,25.24,24.91,24.20,24.26,24.55,24.26,24.97,25.53,25.63
1958,25.76,25.60,25.69,25.61,25.53,24.93,24.06,24.50,24.93,25.25,25.28,25.45
1959,25.52,25.24,25.37,24.90,25.01,24.40,23.93,24.02,24.33,24.94,25.43,25.88
1960,25.23,25.23,24.82,24.84,25.08,24.09,23.89,24.12,24.73,24.89,25.49,25.40
1961,24.90,25.40,25.32,25.15,24.74,23.84,23.79,23.75,23.91,24.61,25.31,25.56
1962,25.88,25.31,25.22,24.88,25.02,24.30,23.97,24.02,24.75,25.57,25.43,25.37
1963,25.66,25.60,25.30,24.97,25.19,24.18,23.43,24.10,24.19,24.44,24.97,25.42
1964,25.42,25.55,25.16,25.53,25.06,24.45,24.42,24.26,24.96,25.35,25.01,25.07
1965,24.80,24.96,24.81,24.62,24.70,23.63,22.77,23.46,24.22,24.77,25.07,25.26
1966,24.89,25.20,25.08,25.14,24.82,24.10,23.56,24.17,24.71,24.78,25.17,25.14
1967,25.02,24.90,24.99,24.64,24.66,24.26,23.77,23.98,24.26,24.62,25.13,25.46
1968,24.94,24.61,25.31,24.88,24.94,24.38,24.16,24.20,24.52,24.87,25.03,25.41
1969,24.89,25.12,25.43,25.45,25.38,24.76,24.15,24.18,24.41,24.98,25.41,25.61
1970,25.51,25.47,25.38,25.38,25.03,24.62,23.97,24.44,24.87,25.24,25.43,25.25
1971,25.31,25.25,25.05,24.93,24.76,24.31,23.96,24.48,24.98,25.54,25.79,25.56
1972,25.08,25.02,24.96,24.89,24.44,24.10,23.75,23.64,24.02,24.80,25.54,25.53
1973,25.84,25.61,25.54,25.50,25.16,24.80,24.18,24.70,25.09,25.31,25.59,25.54
1974,25.40,25.12,25.10,25.24,25.08,23.91,24.19,24.47,25.15,25.41,25.65,25.34
1975,25.24,24.90,24.98,25.36,25.10,24.47,24.24,24.54,25.07,25.41,25.38,25.08
1976,24.94,25.00,24.82,24.74,24.86,24.21,23.96,23.61,24.31,25.32,25.97,25.55
1977,25.26,25.42,25.55,25.36,24.88,24.08,23.97,23.88,24.60,24.86,25.25,25.64
1978,25.64,25.33,25.42,25.29,25.67,24.99,24.52,24.53,24.67,25.16,25.34,25.38
1979,25.59,25.47,25.31,25.28,25.02,24.64,23.91,24.19,24.77,25.37,25.64,25.88
1980,25.83,25.40,25.38,25.85,25.49,24.77,24.14,24.21,24.55,25.33,25.64,25.72
1981,25.38,25.34,25.49,25.46,25.56,24.90,24.51,24.44,25.06,25.28,26.01,25.76
1982,25.61,25.46,25.52,25.42,25.12,24.18,23.96,23.63,24.25,24.81,24.97,26.10
1983,26.08,25.94,25.69,25.92,25.48,24.98,24.20,24.57,25.13,25.54,25.94,25.49
1984,26.01,25.50,25.51,25.41,24.90,24.35,23.94,24.35,25.14,25.31,25.72,25.67
1985,25.38,25.61,25.42,25.49,25.45,24.62,23.77,24.51,24.68,25.41,25.59,25.75
1986,25.62,25.42,25.58,25.22,25.30,24.88,24.41,24.64,24.71,25.61,25.72,25.90
1987,25.76,25.34,25.54,25.19,25.29,25.00,24.16,24.45,25.09,25.55,26.25,26.26
1988,25.89,25.78,25.90,25.87,25.75,24.73,24.67,25.11,25.18,25.67,26.22,25.56
1989,25.64,25.45,25.25,25.38,25.37,24.86,24.73,24.64,25.17,25.73,25.79,25.72
1990,25.72,25.93,25.93,25.68,25.62,24.69,24.50,24.23,24.56,25.29,25.76,26.25
1991,25.73,25.10,25.46,25.69,24.88,24.76,24.25,24.30,24.57,24.94,25.53,25.97
1992,25.87,25.70,25.86,25.24,25.40,24.71,24.28,24.71,25.55,25.41,25.83,25.68
1993,25.22,25.22,25.37,25.05,25.23,24.64,24.63,24.21,25.07,25.48,25.83,25.44
1994,26.04,25.60,25.80,25.34,25.15,24.44,24.07,24.18,24.38,25.37,25.33,25.53
1995,25.75,25.35,25.35,25.36,24.92,24.55,24.10,24.06,24.66,24.90,25.63,25.35
1996,25.47,25.13,25.25,25.45,24.94,24.90,23.68,24.33,24.86,25.02,25.44,25.60
1997,25.34,25.33,25.30,25.13,24.97,24.45,24.08,24.13,24.70,25.15,25.47,25.61
1998,25.41,25.45,25.37,25.48,25.24,24.64,24.28,24.40,24.85,25.45,25.56,25.51
1999,25.45,25.33,25.32,25.25,25.03,24.59,24.05,24.22,24.65,25.26,25.50,25.47
2000,25.43,25.27,25.31,25.31,25.10,24.31,23.99,24.22,24.71,25.59,25.56,25.41
2001,25.35,25.29,25.34,25.32,25.02,24.57,23.98,24.30,24.78,25.28,25.64,25.66
2002,25.51,25.42,25.36,25.33,25.18,24.57,24.05,24.28,24.76,25.32,25.54,25.67
2003,25.40,25.45,25.27,25.39,25.24,24.73,24.19,24.23,24.68,25.76,25.64,26.23
2004,26.19,25.43,25.42,25.34,25.57,24.48,24.09,24.17,24.64,25.29,25.56,25.59
2005,25.43,25.46,25.38,25.24,24.99,24.58,24.16,24.19,24.68,25.34,25.58,25.65
2006,25.44,25.39,25.34,25.33,25.16,24.45,24.10,24.27,24.64,25.22,25.47,25.52
2007,25.45,25.28,25.31,25.20,25.18,24.47,23.99,24.25,24.64,25.24,25.48,25.58
2008,25.39,25.31,25.27,25.13,24.97,24.43,24.04,24.17,24.71,25.18,25.53,25.65
2009,25.44,25.33,25.34,25.35,25.09,24.54,24.15,24.34,24.85,25.24,25.51,25.59
2010,25.40,25.44,25.38,25.38,25.26,24.65,24.27,24.43,24.93,25.31,25.54,25.59
2011,25.44,25.28,25.39,25.36,24.98,24.42,24.10,24.26,24.65,25.27,25.56,25.66
2012,25.52,25.48,25.34,25.31,25.13,24.45,24.12,24.30,24.78,25.24,25.51,25.61
2013,25.53,25.46,25.42,25.30,25.13,24.54,24.15,24.28,24.72,25.32,25.53,25.57
2014,25.47,25.38,25.40,25.45,25.15,24.59,24.07,24.25,24.71,25.31,25.55,25.67
2015,25.52,25.38,25.39,25.38,25.19,24.57,24.18,24.28,24.81,25.27,25.55,25.61
2016,25.48,25.49,25.43,25.38,25.26,24.61,24.24,24.32,24.85,25.29,25.58,25.67
2017,25.50,25.44,25.43,25.33,25.14,24.52,24.20,24.35,24.77,25.34,25.56,25.68
2018,25.53,25.43,25.40,25.33,25.14,24.47,24.22,24.36,24.76,25.29,25.58,25.64
2019,25.44,25.33,25.42,25.39,25.21,24.56,24.15,24.37,24.77,25.24,25.61,25.67
