Variable:,tas
Country:,"Republic of Serbia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.11,-3.19,5.77,10.20,15.08,19.19,21.26,19.69,15.98,11.91,3.38,4.33
1902,1.46,2.83,4.03,9.58,11.56,17.51,19.78,20.80,16.40,11.17,1.68,-3.31
1903,-1.57,2.31,6.83,7.87,14.88,17.44,19.87,19.92,16.84,11.59,6.32,2.99
1904,-2.44,3.44,4.93,10.63,15.04,18.84,22.01,20.78,15.14,11.49,2.88,1.26
1905,-5.71,-1.23,5.33,8.80,15.38,18.92,22.13,22.14,18.21,7.50,7.69,1.49
1906,-1.77,0.79,5.20,11.02,15.47,17.96,20.85,19.67,14.88,10.57,7.74,-0.42
1907,-3.30,-3.11,0.79,7.77,17.67,19.13,19.79,20.58,16.31,15.11,4.49,2.94
1908,-2.98,0.57,4.13,9.10,18.12,20.56,20.62,19.57,15.19,9.77,0.26,-0.80
1909,-4.06,-4.34,4.94,10.74,14.63,18.20,20.08,21.36,17.18,12.49,3.94,4.68
1910,0.72,4.00,5.14,9.89,15.00,19.08,19.59,20.24,15.32,10.95,4.89,4.73
1911,-0.89,-2.11,4.79,9.53,15.22,18.11,21.41,21.37,16.77,11.27,8.00,2.98
1912,-3.56,3.22,7.46,7.96,14.30,19.27,20.40,18.67,13.01,8.81,3.13,2.02
1913,-1.98,-1.25,7.15,10.25,14.20,18.05,17.72,18.23,16.30,11.11,6.52,1.72
1914,-5.61,-2.24,5.97,11.25,14.49,17.52,19.76,19.99,14.73,9.73,3.69,3.19
1915,1.55,1.40,3.47,9.67,15.63,19.80,20.11,18.47,13.93,9.77,3.40,5.09
1916,1.77,0.42,7.97,10.03,15.15,18.20,20.43,19.53,14.84,10.62,7.17,4.67
1917,-0.08,-4.84,3.21,8.73,15.45,20.05,20.91,21.87,17.63,11.80,5.92,-0.98
1918,0.13,-0.94,4.60,11.38,15.25,16.77,19.80,19.93,17.33,11.28,4.12,1.78
1919,1.51,0.33,5.90,9.40,11.60,17.81,18.65,19.72,17.67,9.76,4.36,1.49
1920,1.82,0.41,6.55,13.18,16.86,17.29,21.16,19.33,16.52,7.76,0.72,1.91
1921,3.08,0.00,6.14,9.59,16.59,17.12,21.49,21.64,15.58,10.87,2.72,-0.12
1922,-2.66,-3.02,6.69,9.48,15.36,18.98,20.99,20.91,15.32,9.30,2.47,0.42
1923,0.18,0.66,5.74,9.43,17.02,16.22,20.93,20.68,17.18,13.89,8.45,1.54
1924,-4.73,-1.32,3.70,9.83,17.33,19.16,20.21,18.90,18.02,10.90,3.08,0.09
1925,-0.57,4.87,4.35,10.79,16.09,16.88,20.39,19.70,15.18,10.87,6.41,-1.37
1926,-0.46,4.08,4.22,11.87,14.53,17.40,19.42,18.40,17.27,12.31,11.16,1.24
1927,1.05,-0.88,7.67,10.60,14.85,20.43,22.10,21.75,18.02,10.93,6.81,-1.81
1928,-1.39,-0.06,3.09,11.21,12.77,18.28,23.42,22.04,17.50,10.86,7.50,0.17
1929,-4.59,-4.98,1.49,7.17,16.79,18.46,20.89,22.21,16.21,12.33,7.39,2.54
1930,-0.18,0.36,6.65,11.27,14.44,19.96,20.92,20.14,18.05,11.22,7.58,1.56
1931,-0.02,0.84,2.35,8.31,17.18,20.36,22.19,20.56,13.44,10.07,4.68,-0.86
1932,-2.54,-4.93,0.61,9.77,15.67,17.72,22.00,21.68,19.49,12.64,4.94,1.45
1933,-3.28,0.27,4.68,8.02,13.62,16.06,20.18,20.05,15.21,11.23,6.00,-3.23
1934,-1.97,-0.39,7.63,13.11,17.13,18.31,20.86,20.65,17.44,11.08,7.17,4.49
1935,-3.17,-0.38,3.49,10.06,13.98,20.34,20.55,20.30,16.48,13.55,5.07,2.06
1936,3.54,1.48,7.45,10.76,15.77,18.03,21.82,19.44,15.76,8.18,5.13,0.49
1937,-3.04,1.55,7.13,9.46,16.98,20.01,20.83,19.99,17.40,11.20,5.62,1.60
1938,-1.71,0.18,6.47,7.71,14.07,20.42,21.67,20.62,15.84,12.03,6.68,0.14
1939,1.43,1.96,2.56,12.25,14.29,18.63,21.46,20.55,15.99,10.64,5.59,0.08
1940,-7.28,-3.79,2.41,10.00,13.55,18.01,20.18,17.87,16.33,11.10,7.62,-3.53
1941,-2.22,2.19,5.11,9.99,13.12,18.04,19.99,19.51,13.56,9.52,2.11,0.28
1942,-8.52,-2.87,2.17,8.72,15.74,19.08,20.45,21.06,19.73,12.30,4.21,1.96
1943,-4.66,2.17,5.12,11.21,13.91,17.40,20.67,22.85,18.46,12.63,5.41,1.91
1944,0.27,-0.65,2.30,10.59,13.86,18.45,20.23,21.80,16.54,12.49,5.53,0.30
1945,-4.03,0.60,5.28,10.67,17.62,20.04,21.89,21.07,16.89,10.26,4.86,1.15
1946,-3.70,1.09,5.67,12.53,17.37,20.45,22.96,23.01,19.15,7.97,6.38,-0.42
1947,-6.94,-1.12,7.21,12.89,16.73,20.19,22.22,20.93,18.94,9.62,6.68,2.25
1948,3.73,-0.03,5.39,12.01,16.43,17.53,19.25,21.05,17.16,11.93,4.22,-2.67
1949,0.80,0.43,2.14,11.55,16.31,16.85,19.97,19.52,17.24,11.74,7.79,2.78
1950,-3.95,1.34,6.20,11.94,17.09,20.43,23.29,22.06,17.73,10.03,6.14,3.89
1951,1.77,3.65,6.13,10.75,15.58,19.46,20.72,21.88,18.40,9.36,7.82,1.71
