Variable:,tas
Country:,Slovakia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-7.78,-5.86,1.77,7.55,12.91,16.69,18.23,16.78,12.40,9.46,1.04,0.20
1902,-0.05,-1.79,1.71,6.32,8.81,14.48,15.83,16.28,12.37,7.18,-1.48,-6.52
1903,-4.67,1.02,4.67,5.17,12.48,14.70,16.59,16.19,13.21,8.73,3.27,-2.10
1904,-4.79,0.05,2.07,7.80,11.65,15.54,18.72,17.28,11.77,8.07,0.65,-1.62
1905,-6.83,-1.62,3.02,5.60,12.43,16.71,18.72,17.87,13.86,4.49,3.10,-1.72
1906,-3.29,-1.54,2.16,8.41,13.37,14.79,17.39,16.13,11.71,7.76,4.93,-4.54
1907,-5.11,-4.73,-0.29,4.95,14.40,15.66,15.66,16.40,12.58,11.95,0.81,-1.59
1908,-4.79,-0.81,1.53,6.06,14.70,17.12,17.15,15.18,11.44,7.00,-2.18,-4.18
1909,-5.57,-5.86,1.12,7.46,10.97,15.01,15.93,17.16,13.81,10.16,1.10,-0.29
1910,-1.98,1.32,2.83,7.24,12.58,16.56,16.07,16.23,11.90,7.85,1.37,0.60
1911,-3.28,-3.41,2.66,7.01,12.75,14.97,18.44,18.27,13.72,8.07,4.30,-0.39
1912,-6.70,-0.09,4.87,5.46,11.50,16.36,17.28,15.09,9.32,5.49,-0.00,-0.36
1913,-4.70,-2.43,4.81,7.51,11.55,14.74,14.50,15.00,12.83,8.26,4.08,-0.45
1914,-7.08,-2.25,3.61,8.97,11.98,14.78,16.89,16.54,11.59,7.14,0.75,-0.12
1915,-1.57,-1.10,0.10,7.22,13.08,16.97,16.63,14.91,10.74,6.62,-0.01,1.31
1916,0.33,-1.47,4.94,7.53,12.51,14.15,16.77,16.09,11.68,7.61,3.97,0.83
1917,-4.15,-6.73,-0.44,5.05,13.25,17.93,17.73,18.00,14.43,8.61,3.52,-4.13
1918,-1.89,-1.42,2.74,10.50,12.81,13.45,16.48,16.30,14.13,8.75,1.01,-0.77
1919,-1.57,-2.08,2.70,6.26,8.75,14.82,15.13,16.24,14.81,6.78,0.04,-2.03
1920,-0.92,-0.32,4.78,11.06,14.37,13.86,18.05,15.74,13.15,4.92,-1.74,-1.89
1921,1.47,-2.12,4.32,7.08,14.01,14.20,18.24,17.82,12.44,8.76,-0.80,-2.99
1922,-6.11,-4.97,3.39,6.27,12.84,15.94,17.08,16.51,11.12,5.43,0.05,-1.78
1923,-1.62,-1.89,3.20,6.08,13.73,12.37,17.82,16.40,13.33,10.60,3.70,-2.92
1924,-6.82,-4.80,0.63,6.13,14.38,15.64,16.72,15.43,14.47,8.34,0.51,-2.93
1925,-1.62,2.40,1.29,7.89,13.94,13.87,17.10,16.33,11.60,7.96,2.33,-3.96
1926,-3.40,1.59,2.07,9.00,11.89,14.23,16.97,15.19,13.80,8.48,7.44,-2.03
1927,-1.63,-2.60,5.17,7.26,11.14,16.30,18.06,17.54,14.16,7.87,2.36,-6.29
1928,-2.79,-1.42,0.50,7.87,10.08,14.43,19.54,17.33,13.29,8.29,5.06,-3.22
1929,-8.00,-8.30,-0.92,3.90,13.71,14.70,17.58,18.14,13.48,10.05,4.17,-0.05
1930,-2.25,-2.48,3.84,8.63,11.98,17.68,17.18,16.36,14.04,8.54,4.67,-2.41
1931,-2.81,-2.44,-1.14,5.22,15.60,17.15,18.50,16.43,9.96,6.88,1.52,-3.07
1932,-3.12,-6.52,-1.93,7.31,13.52,14.59,19.26,18.35,16.35,9.50,2.30,-2.03
1933,-6.78,-1.61,2.69,5.17,11.22,13.62,17.57,16.77,12.39,8.41,1.92,-7.46
1934,-3.76,-1.47,5.24,10.61,14.44,15.48,17.91,17.42,14.65,8.99,4.22,1.48
1935,-5.76,-1.71,0.88,7.19,10.73,17.61,17.24,16.87,13.52,10.34,2.49,-1.63
1936,0.62,-1.68,4.82,7.61,13.72,15.58,18.70,15.64,12.47,5.08,2.08,-1.93
1937,-6.45,-0.72,4.04,7.27,15.28,17.13,17.49,16.96,14.16,8.88,2.45,-2.46
1938,-3.09,-1.07,5.56,4.83,11.19,17.17,17.87,17.46,12.71,9.48,4.50,-4.33
1939,-1.25,0.53,0.17,10.02,11.47,16.44,18.27,17.68,12.84,6.84,3.22,-3.87
1940,-11.55,-8.96,-0.52,7.41,10.93,15.90,16.72,14.36,12.86,7.46,4.63,-6.58
1941,-7.61,-1.48,2.23,6.01,9.74,15.29,17.03,15.77,11.22,6.90,-0.92,-1.82
