Variable:,tas
Country:,Turkmenistan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.51,4.69,11.04,17.15,22.31,26.14,29.26,26.85,21.41,10.72,9.63,6.20
1902,4.14,3.20,8.77,14.92,22.64,28.29,28.65,28.02,21.00,13.77,7.77,4.85
1903,0.08,4.81,3.14,14.64,21.42,27.11,29.01,27.39,21.84,15.86,7.20,1.50
1904,-5.91,5.86,8.95,13.62,21.80,25.55,28.61,27.25,21.21,12.62,10.81,4.98
1905,-0.87,0.30,4.38,15.50,21.37,27.24,28.60,26.93,21.95,17.45,9.38,3.18
1906,0.07,1.68,8.49,13.46,22.52,27.12,28.48,27.62,20.80,15.75,8.67,5.03
1907,1.47,1.20,8.22,15.98,20.53,25.26,29.63,26.55,20.71,11.80,5.98,3.56
1908,0.80,2.36,6.38,14.71,20.34,26.59,29.06,27.25,22.01,12.20,9.31,3.65
1909,-1.55,3.97,9.21,16.37,21.93,25.89,28.53,27.26,22.39,14.07,12.63,5.53
1910,3.25,4.15,7.34,15.34,23.09,25.97,29.72,27.22,21.05,14.23,8.28,-0.62
1911,-2.06,2.66,6.10,14.82,21.68,26.95,28.82,27.04,21.04,12.09,7.25,1.01
1912,1.47,5.22,8.54,14.90,20.86,27.30,28.88,26.11,20.60,15.54,8.06,2.53
1913,2.27,0.50,6.76,13.50,22.96,25.45,30.13,26.98,22.30,14.47,9.15,6.13
1914,5.86,4.29,10.74,15.96,21.61,27.91,29.17,27.15,22.16,15.37,7.63,1.17
1915,4.48,3.60,12.44,15.21,23.22,26.84,28.06,28.16,23.49,14.25,10.54,5.57
1916,2.92,0.97,8.09,15.86,22.24,24.35,28.38,28.61,21.38,13.02,4.88,3.68
1917,5.21,5.10,8.73,17.40,23.63,25.75,28.74,27.27,21.92,13.15,8.13,1.95
1918,2.11,2.77,6.63,13.45,20.77,25.68,28.78,26.75,22.71,15.90,6.73,-0.16
1919,-1.84,3.23,6.99,17.02,19.92,25.71,28.61,27.19,21.07,15.68,9.10,3.89
1920,3.10,-1.19,8.63,13.26,20.75,26.09,27.69,26.60,21.89,14.73,5.53,-3.22
1921,1.86,2.05,5.84,15.79,21.03,26.82,29.33,25.82,20.53,14.45,8.00,3.66
