Variable:,tas
Country:,"Virgin Islands"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.10,24.50,24.50,25.40,26.00,26.10,26.10,26.70,26.60,26.00,25.00,23.80
1902,23.00,23.80,23.70,24.30,25.20,25.90,26.20,26.60,26.10,25.50,25.10,24.30
1903,23.50,23.80,23.60,24.50,25.80,26.30,26.20,26.20,26.20,25.80,24.80,24.00
1904,23.10,23.10,22.90,23.50,24.70,25.50,25.60,25.60,25.70,25.40,25.40,24.20
1905,23.10,22.90,23.10,24.90,24.60,25.90,26.20,26.50,26.30,25.90,25.50,24.00
1906,22.90,23.20,23.30,24.30,25.00,25.40,25.80,26.30,26.00,25.90,25.40,23.10
1907,22.30,22.30,22.60,23.60,24.20,25.40,26.00,25.90,25.80,25.50,24.90,24.10
1908,23.20,22.90,22.90,23.50,24.30,25.40,26.20,26.40,26.20,25.50,24.80,23.90
1909,22.80,22.80,23.90,23.60,24.90,25.00,25.70,25.70,26.20,25.60,24.50,23.20
1910,22.40,22.30,22.60,23.40,24.30,25.30,25.80,26.10,25.90,26.20,25.50,24.10
1911,22.50,22.50,22.50,23.70,24.10,25.80,25.30,26.10,26.10,25.70,25.20,24.20
1912,23.50,23.50,23.10,24.20,25.10,25.50,26.20,26.10,26.00,25.50,25.00,24.20
1913,22.90,22.50,22.70,23.00,24.90,24.60,25.10,25.40,25.80,25.10,24.70,23.30
1914,22.70,22.90,23.40,23.70,24.30,25.00,25.40,25.60,26.10,25.60,25.20,24.80
1915,23.40,23.30,24.20,24.40,25.10,26.00,26.20,26.60,26.40,26.20,25.50,24.40
1916,22.90,23.10,23.10,24.00,25.20,25.80,26.10,26.30,26.00,25.70,24.70,23.10
1917,22.30,22.30,22.40,23.50,24.70,25.40,25.90,25.70,25.80,26.00,24.90,23.10
1918,22.20,22.80,22.80,23.40,24.00,25.40,25.80,26.30,26.30,26.00,24.70,23.60
1919,22.70,23.30,23.10,23.90,25.30,25.90,25.60,26.10,25.80,25.40,24.40,24.00
1920,22.80,23.20,23.50,24.10,24.80,25.00,25.30,25.50,25.60,25.30,24.60,23.50
1921,22.90,23.40,23.00,22.90,24.20,25.30,25.10,25.50,25.90,25.40,25.00,23.90
1922,22.80,23.00,22.60,23.00,24.30,25.00,25.40,25.60,25.80,25.60,24.60,23.50
1923,22.60,22.70,23.00,23.50,25.50,25.30,25.70,26.50,26.40,26.30,25.60,23.90
1924,23.10,23.50,24.40,24.80,25.50,25.70,26.20,26.80,26.90,26.20,24.70,23.80
