Variable:,tasmax
Country:,Angola
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.22,28.24,28.41,27.86,27.69,26.78,26.50,28.27,29.86,29.91,28.80,28.22
1902,28.19,28.21,28.37,28.04,27.93,26.78,26.54,28.28,29.94,29.86,28.82,28.26
1903,28.21,28.24,28.46,28.52,27.54,26.78,26.52,28.28,29.86,29.90,28.81,28.22
1904,28.16,28.18,28.33,27.85,27.37,26.81,26.48,28.25,29.85,29.90,28.84,28.20
1905,28.21,28.22,28.35,28.17,27.33,26.80,26.47,28.29,29.92,29.96,28.82,28.26
1906,28.23,28.18,27.75,27.80,27.18,26.78,26.49,28.24,29.88,29.87,28.76,28.22
1907,28.17,28.20,27.80,27.83,27.34,26.77,26.46,28.21,29.87,29.89,28.80,28.20
1908,28.17,28.19,27.80,28.05,27.75,26.80,26.50,28.27,29.92,29.94,28.80,28.23
1909,28.18,28.21,27.79,27.92,28.09,26.77,26.53,28.28,29.89,29.90,28.80,28.25
1910,28.17,28.20,28.34,27.81,28.32,26.78,26.50,28.26,29.86,29.87,28.75,28.22
1911,28.15,28.18,28.34,28.58,28.29,26.74,26.47,28.24,29.84,29.93,28.82,28.30
1912,28.20,28.26,28.11,28.37,27.87,26.78,26.47,28.24,29.88,29.88,28.88,28.24
1913,28.22,28.23,27.79,28.26,28.36,26.75,26.52,28.27,29.89,29.92,28.81,28.31
1914,28.24,28.21,28.40,27.91,27.15,26.80,26.49,28.24,29.95,29.94,28.84,28.24
1915,28.19,28.20,28.02,28.42,27.33,26.78,26.54,28.25,29.88,29.91,28.82,28.25
1916,28.19,28.26,27.97,27.81,27.60,26.79,26.52,28.24,29.89,29.95,28.80,28.22
1917,28.17,28.23,27.84,28.20,28.02,26.81,26.51,28.25,29.88,29.94,28.83,28.19
1918,27.92,28.05,28.12,27.69,27.14,26.83,26.65,27.87,29.74,29.86,28.55,28.04
1919,28.03,28.11,28.19,28.69,26.44,26.64,26.67,28.07,29.82,29.66,28.73,28.13
1920,28.48,28.26,28.25,27.85,27.55,26.79,26.50,28.06,29.92,29.68,28.83,28.47
1921,28.41,28.31,27.98,28.24,27.73,26.81,26.48,28.22,29.86,29.86,28.69,28.21
1922,28.64,28.45,28.13,28.34,27.79,27.24,26.63,28.50,29.80,29.33,28.81,28.54
1923,28.00,28.18,27.71,28.12,27.52,27.10,26.54,28.49,29.56,29.88,29.05,28.58
1924,28.66,28.37,28.45,28.07,28.21,26.99,26.32,28.02,29.75,29.67,28.71,28.06
1925,28.08,27.97,28.20,27.98,27.26,26.91,26.27,27.93,29.37,29.67,28.97,28.52
1926,28.50,28.36,27.90,28.43,27.52,26.69,26.15,27.83,29.79,29.71,28.84,28.24
1927,28.41,28.32,27.86,28.41,27.94,26.52,26.28,27.91,29.62,29.64,28.79,28.39
1928,28.35,28.64,28.59,28.29,27.89,27.01,26.18,27.92,30.07,30.13,29.06,28.48
1929,28.28,28.40,28.20,28.01,26.88,26.94,26.45,27.95,30.02,30.21,29.11,28.15
1930,28.27,28.55,28.32,27.82,27.50,26.59,26.25,27.99,29.63,29.95,29.18,28.40
1931,28.53,28.78,28.57,28.47,28.37,26.76,26.60,28.32,29.80,29.96,28.40,28.33
1932,28.60,28.55,28.27,27.83,27.03,26.59,26.06,27.80,29.88,30.06,29.15,28.22
1933,28.16,28.40,28.87,28.62,28.11,26.93,26.62,28.13,29.54,30.03,28.64,28.07
1934,28.21,28.33,28.19,28.59,29.03,27.09,26.77,28.41,29.61,29.88,28.82,28.22
1935,28.26,28.20,28.16,28.30,28.25,26.50,26.52,27.75,29.94,30.04,28.87,28.38
1936,28.26,28.50,27.75,27.86,27.57,26.65,26.36,28.01,29.46,29.98,28.85,28.29
1937,28.38,28.23,28.34,28.70,28.51,26.70,26.18,27.89,29.51,29.45,28.71,27.85
1938,28.25,28.29,28.12,28.72,28.02,26.79,26.42,28.24,29.85,30.04,28.54,28.05
1939,28.61,28.61,27.91,28.37,28.96,26.67,26.96,28.32,29.16,29.60,28.48,28.00
1940,28.77,28.58,28.54,28.53,27.59,27.07,26.55,28.61,30.52,29.56,29.28,29.25
1941,28.26,28.88,28.86,29.28,28.52,27.22,26.77,28.57,30.09,30.55,29.54,28.40
1942,28.90,29.31,28.92,28.98,28.08,27.69,26.39,28.67,30.39,29.74,29.47,28.41
1943,28.66,28.36,28.48,28.51,27.78,26.26,26.60,28.32,29.94,31.08,29.04,28.13
1944,28.34,28.22,28.37,28.94,28.38,27.34,26.98,28.77,30.04,30.25,29.09,29.04
1945,28.50,28.58,28.29,28.76,28.08,26.14,26.85,27.85,29.87,30.50,28.60,28.60
1946,28.46,28.89,28.37,28.69,27.80,26.51,26.09,27.30,29.51,30.27,28.91,28.47
1947,28.57,28.60,28.54,28.96,28.83,26.97,25.68,28.22,29.70,29.98,29.17,27.87
1948,27.96,27.99,28.03,27.89,28.04,26.66,26.36,27.82,29.32,29.90,28.49,28.84
1949,28.74,28.36,28.48,29.13,28.99,27.19,27.05,28.65,30.37,30.60,29.26,28.27
1950,28.30,28.43,28.55,28.87,28.08,27.21,26.94,27.84,29.78,29.35,29.02,28.08
1951,27.68,27.94,28.47,28.83,28.71,26.67,26.50,28.23,29.95,29.78,28.66,27.96
1952,28.41,28.12,28.78,28.94,28.41,27.00,26.73,28.72,29.96,30.17,28.23,28.67
1953,28.20,28.29,28.25,28.49,28.11,25.93,26.05,28.16,28.92,29.87,28.96,28.29
1954,28.22,28.26,28.38,28.52,27.98,25.92,25.75,27.71,29.89,30.36,28.46,27.83
1955,27.80,28.19,27.96,28.15,27.93,26.40,26.32,28.10,29.52,29.66,28.82,27.89
1956,27.69,27.82,27.92,27.72,27.67,26.28,26.01,28.27,29.53,30.35,28.24,27.94
1957,28.22,27.84,27.90,29.07,28.53,26.77,27.07,28.42,30.08,29.53,29.37,28.25
1958,28.43,28.12,28.62,29.02,27.90,26.13,25.89,27.48,30.14,29.55,28.80,28.26
1959,28.58,28.15,28.41,29.05,28.35,26.80,26.77,28.02,29.45,30.29,28.78,28.18
1960,28.59,27.99,27.96,28.49,27.81,26.74,25.79,28.87,29.79,30.28,28.60,28.96
1961,27.93,27.55,27.94,28.24,28.37,26.45,26.12,27.34,29.65,29.89,28.11,27.77
1962,27.73,27.76,28.03,28.24,27.63,26.75,26.13,27.83,29.78,30.47,28.48,27.28
1963,27.80,27.83,28.12,28.44,28.09,26.63,26.64,28.09,29.89,29.69,28.00,28.06
1964,28.51,28.42,28.86,29.00,28.25,26.43,25.70,27.73,29.22,29.63,28.49,27.56
1965,27.75,27.94,28.35,28.66,28.33,26.86,26.30,28.19,29.42,29.66,28.69,28.29
1966,28.26,28.15,28.14,28.17,28.45,27.00,26.66,28.21,29.65,30.07,29.17,28.37
1967,27.84,27.98,28.12,28.46,27.87,26.78,25.74,27.64,29.44,29.89,28.14,28.03
1968,27.95,28.11,27.92,28.53,28.34,26.14,26.48,28.81,29.86,30.55,28.36,27.90
1969,28.15,28.32,28.39,28.93,28.50,26.90,26.36,28.07,29.85,29.44,28.57,27.70
1970,28.48,28.62,28.65,28.92,28.59,26.84,26.99,28.26,30.15,30.13,28.29,28.07
1971,27.58,27.94,28.64,28.69,28.47,26.68,26.84,28.40,29.68,30.22,28.32,28.10
1972,27.90,28.40,28.02,28.00,28.22,26.26,26.55,28.20,30.13,29.86,29.14,29.06
1973,29.06,28.29,29.33,28.99,28.97,26.70,26.83,28.28,30.36,29.98,28.35,27.55
1974,27.41,27.73,27.99,28.27,27.73,26.48,26.12,28.49,29.40,30.14,28.35,27.72
1975,27.71,28.00,28.05,28.44,28.46,26.76,26.53,27.58,29.88,29.76,29.37,27.86
