Variable:,tasmax
Country:,Armenia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-5.31,0.36,8.34,14.33,17.90,24.27,27.62,27.02,21.34,12.21,5.78,2.01
1902,-1.82,-0.27,4.94,11.81,17.61,24.11,26.32,27.17,20.60,13.26,3.28,-2.22
1903,-4.91,-2.17,2.46,13.49,18.50,23.33,27.21,26.70,20.45,14.74,6.12,-0.67
1904,-8.02,0.98,4.53,9.52,16.25,21.50,26.68,26.86,22.14,13.97,6.69,-2.26
1905,-5.65,-4.14,1.62,11.66,16.39,23.08,26.07,25.00,22.75,18.27,8.55,-2.37
1906,-5.32,-1.31,6.03,12.12,19.38,23.46,26.32,25.39,20.29,14.62,6.44,1.21
1907,-4.89,-3.93,3.73,10.63,19.39,24.12,28.02,25.51,20.38,12.02,2.34,-2.29
1908,-5.82,-1.66,2.39,10.48,17.49,23.92,25.55,26.46,22.77,12.19,3.72,-4.64
1909,-8.24,-3.39,3.87,9.17,18.40,20.22,26.77,25.18,24.07,16.18,8.75,-0.70
1910,-2.96,0.11,3.73,11.05,16.88,21.97,27.50,25.88,20.19,13.61,7.15,-4.04
1911,-8.99,-6.76,1.09,9.74,16.92,21.37,26.86,25.71,19.65,11.82,6.32,-2.03
1912,-3.00,-0.37,6.06,11.06,15.88,24.06,25.26,26.01,25.16,12.76,6.96,-1.57
1913,-5.06,-4.79,4.46,10.57,16.73,21.13,27.03,29.44,23.61,14.06,7.60,1.50
1914,-0.97,1.82,8.92,11.08,17.47,22.04,27.34,25.68,20.80,14.14,3.05,-2.04
1915,0.75,-0.12,5.67,10.98,16.61,21.13,26.67,25.61,21.46,14.04,8.43,2.21
1916,-2.59,-1.29,5.03,12.48,18.52,22.93,26.97,26.25,20.50,14.23,6.48,0.13
1917,-1.57,-1.86,6.72,16.35,15.71,21.93,27.92,26.83,22.37,14.72,9.41,-0.84
1918,-3.20,-2.16,4.12,10.12,15.67,21.85,26.54,26.41,25.19,18.15,5.53,-1.84
