Variable:,tasmax
Country:,Canada
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-18.26,-16.84,-10.56,-1.50,7.56,13.02,17.53,16.23,9.04,2.88,-8.47,-13.84
1902,-16.84,-14.70,-10.91,-2.22,6.28,11.88,17.01,15.54,9.24,2.38,-8.64,-16.57
1903,-17.40,-15.82,-11.44,-2.51,6.04,13.76,16.87,14.83,8.49,1.91,-8.62,-14.21
1904,-18.88,-20.97,-13.10,-1.25,6.83,13.22,17.36,15.39,8.54,2.17,-6.02,-14.96
1905,-18.70,-16.44,-9.09,-0.89,7.02,13.14,17.67,16.07,9.54,0.48,-6.78,-13.88
1906,-17.58,-16.17,-10.91,-0.27,6.51,13.83,18.53,16.00,10.17,2.42,-7.99,-16.77
1907,-21.57,-17.54,-11.66,-4.37,5.36,13.16,17.15,14.43,8.80,2.23,-6.93,-13.32
1908,-16.19,-16.06,-12.75,-2.48,6.83,13.48,18.24,15.52,10.21,1.63,-7.36,-15.16
1909,-20.81,-18.08,-10.46,-4.50,5.98,14.09,17.25,15.62,10.27,1.19,-9.01,-15.60
1910,-16.95,-18.30,-8.22,-0.59,6.46,13.91,17.77,14.83,9.15,2.12,-8.73,-15.14
1911,-21.53,-16.80,-10.24,-2.58,7.28,13.82,17.38,15.12,8.81,1.99,-9.98,-13.87
1912,-20.33,-15.49,-11.98,-1.72,7.17,13.96,16.51,14.56,9.03,1.77,-6.81,-13.80
1913,-20.14,-17.44,-12.48,-0.90,6.00,14.12,17.00,15.63,9.30,0.66,-6.68,-12.51
1914,-18.02,-19.31,-10.86,-2.25,7.36,13.52,17.92,15.76,9.61,3.16,-7.51,-16.58
1915,-17.08,-14.61,-9.49,1.64,6.86,12.87,17.13,16.98,9.23,1.76,-7.75,-13.45
1916,-21.59,-17.04,-12.65,-1.13,6.12,13.20,17.92,15.94,9.69,1.06,-7.68,-17.14
1917,-20.27,-19.26,-11.32,-3.24,5.72,12.48,17.90,15.79,10.14,0.03,-5.56,-20.21
1918,-19.44,-18.29,-11.23,-1.72,5.37,12.90,17.17,15.38,9.79,1.59,-6.95,-13.61
1919,-15.03,-17.06,-12.89,-1.01,7.00,14.13,17.76,16.34,10.18,-0.33,-10.49,-16.41
1920,-20.15,-14.09,-11.16,-4.35,6.21,13.23,18.20,16.48,10.06,2.27,-7.76,-14.78
1921,-17.45,-15.39,-11.58,-1.36,7.09,14.84,18.56,15.35,9.41,2.56,-10.04,-14.37
1922,-17.63,-19.88,-11.61,-2.19,7.43,13.69,17.23,16.11,10.08,1.22,-7.00,-17.68
1923,-19.05,-17.64,-14.50,-2.51,6.50,14.64,17.83,15.07,10.64,3.69,-4.85,-13.79
1924,-19.41,-14.54,-8.32,-2.80,6.98,13.39,17.48,15.28,9.87,2.87,-8.12,-18.15
1925,-20.99,-17.55,-10.83,-0.67,7.08,13.80,17.86,16.21,9.60,-0.78,-7.64,-12.47
1926,-15.33,-15.06,-10.09,-2.14,6.95,13.24,17.86,15.48,8.08,1.69,-8.73,-15.81
1927,-17.93,-16.16,-9.05,-2.45,5.27,13.24,17.83,15.93,9.83,2.38,-10.98,-18.27
1928,-16.45,-14.16,-10.38,-4.06,7.75,13.41,17.87,15.37,9.70,1.16,-5.74,-11.69
1929,-19.67,-17.41,-10.71,-2.63,5.73,13.16,17.23,16.37,9.46,3.25,-7.80,-16.88
1930,-20.31,-15.64,-9.96,-1.16,6.77,14.29,18.36,17.30,9.82,1.17,-6.57,-11.66
1931,-15.06,-11.96,-10.98,-0.62,6.64,14.44,18.75,16.25,10.34,3.60,-6.56,-13.21
1932,-17.07,-18.30,-12.63,-1.28,7.96,14.34,17.30,16.93,10.56,0.77,-10.15,-15.69
1933,-18.39,-18.01,-11.03,-2.46,6.68,13.31,17.45,17.22,9.51,0.14,-9.57,-22.17
1934,-17.64,-15.45,-11.69,-0.95,7.46,12.99,17.41,14.87,8.23,2.06,-6.88,-15.78
1935,-21.54,-13.01,-12.63,-2.92,6.43,13.41,18.57,15.67,9.80,0.95,-10.64,-14.34
1936,-20.68,-20.73,-9.64,-3.52,7.15,13.80,18.52,16.37,9.03,0.19,-7.83,-16.01
1937,-20.00,-16.59,-9.63,-0.57,8.28,14.99,18.42,15.98,10.45,2.13,-8.19,-16.18
1938,-16.73,-17.77,-8.98,-2.00,7.40,14.48,18.68,16.00,12.50,4.28,-7.70,-13.06
1939,-16.03,-20.43,-13.10,-0.81,7.47,12.78,17.98,16.77,8.94,-0.39,-5.71,-10.43
1940,-15.61,-14.80,-9.56,-0.96,7.55,12.72,18.01,16.48,12.37,2.65,-9.90,-14.13
1941,-17.05,-13.50,-9.57,0.10,7.26,14.56,19.16,15.60,8.30,1.43,-8.06,-14.02
1942,-14.44,-15.60,-7.13,-0.80,7.68,13.60,17.58,15.91,9.75,3.65,-9.30,-17.30
1943,-19.83,-14.31,-13.07,-0.82,5.87,12.92,18.08,15.78,10.33,3.95,-4.93,-12.20
1944,-12.69,-15.80,-11.48,0.32,8.27,13.76,17.65,16.31,10.55,3.46,-7.29,-13.00
1945,-16.24,-14.43,-7.35,-4.20,5.71,12.67,17.66,16.72,8.44,2.17,-10.36,-16.30
1946,-17.87,-17.91,-6.96,-1.02,6.84,13.41,17.69,16.38,10.00,1.30,-9.00,-16.63
1947,-17.35,-15.69,-8.87,-3.55,5.40,12.76,18.26,15.17,9.25,4.38,-6.61,-12.89
1948,-15.63,-18.67,-12.98,-4.05,7.75,14.56,18.37,16.48,11.17,3.96,-6.23,-16.52
1949,-17.79,-20.22,-9.32,-0.22,6.38,13.38,17.46,16.90,10.42,1.60,-5.75,-16.13
1950,-23.73,-18.12,-10.67,-3.60,6.99,13.64,17.25,15.03,10.55,0.43,-9.86,-13.82
1951,-19.29,-16.47,-12.06,-1.06,7.73,13.26,17.78,15.98,9.69,0.19,-8.74,-17.74
1952,-20.15,-15.05,-10.08,1.08,8.57,13.73,17.73,15.67,9.73,1.90,-5.53,-10.89
1953,-19.05,-12.79,-9.29,-1.06,7.13,13.17,17.45,16.85,9.62,3.26,-5.13,-13.87
1954,-22.16,-12.80,-10.15,-5.11,6.35,13.69,17.69,16.35,9.69,2.34,-5.39,-12.71
1955,-16.24,-17.14,-13.56,-0.85,6.86,15.22,18.25,16.45,9.20,3.16,-11.32,-17.02
1956,-17.51,-16.84,-11.69,-2.16,5.31,13.26,17.40,15.28,8.06,1.12,-6.74,-16.93
1957,-20.57,-16.42,-8.42,-1.90,6.11,13.09,17.34,15.94,10.66,1.97,-7.52,-14.59
1958,-13.39,-17.19,-8.00,-1.28,8.02,13.32,17.73,16.23,9.85,2.31,-8.52,-15.81
1959,-18.82,-16.50,-10.74,-1.90,5.55,13.06,18.10,14.56,9.24,-0.79,-9.07,-11.04
1960,-17.20,-13.34,-12.95,-2.03,7.81,14.21,18.13,16.28,9.98,2.19,-8.29,-13.23
1961,-17.91,-15.25,-11.74,-2.37,6.45,15.04,18.65,17.08,8.83,0.95,-7.61,-16.14
1962,-18.12,-18.75,-9.16,-2.41,5.84,14.18,17.47,16.04,9.85,3.22,-6.73,-13.59
1963,-18.43,-15.17,-11.65,-0.43,6.55,13.66,17.75,16.26,9.60,4.67,-7.30,-14.46
1964,-16.69,-13.32,-14.31,-2.71,6.80,13.21,17.73,14.80,8.69,2.12,-7.88,-17.82
1965,-18.99,-18.28,-10.40,-1.62,7.12,13.08,16.89,15.36,7.46,1.51,-8.58,-14.05
1966,-21.92,-14.70,-9.48,-3.16,6.68,14.05,17.94,15.97,11.03,1.02,-10.41,-14.32
1967,-17.94,-18.16,-12.42,-3.82,6.03,14.03,17.52,16.81,11.19,1.59,-7.76,-13.06
1968,-19.16,-14.96,-8.12,-1.35,6.83,13.15,16.62,14.29,10.45,2.93,-7.14,-16.18
1969,-20.65,-13.29,-10.31,-0.87,6.26,12.78,17.34,16.29,8.83,1.30,-6.58,-10.95
1970,-18.95,-15.06,-9.57,-2.33,5.69,14.58,18.14,16.47,8.87,2.31,-8.02,-18.07
1971,-20.10,-14.86,-10.24,-1.18,7.98,14.40,17.45,16.43,9.86,2.80,-8.53,-17.79
1972,-21.48,-20.10,-11.48,-3.60,7.19,13.29,16.38,15.95,6.96,-0.29,-8.75,-18.65
1973,-16.36,-16.49,-7.98,-2.04,8.21,14.37,18.42,16.98,10.51,3.10,-9.56,-14.55
1974,-21.07,-16.48,-13.46,-2.69,5.46,14.49,17.77,15.30,8.28,0.49,-6.37,-12.51
1975,-19.32,-16.24,-12.03,-2.12,8.13,15.05,18.91,15.62,9.91,1.74,-7.95,-16.00
1976,-17.34,-15.80,-11.67,0.88,7.84,13.99,17.67,16.08,10.77,0.66,-6.96,-15.90
1977,-15.27,-12.15,-7.92,0.68,8.75,14.35,16.94,15.11,9.70,3.21,-7.50,-17.67
1978,-18.33,-13.29,-11.05,-2.25,6.84,12.82,16.83,15.12,9.00,0.58,-9.74,-14.59
