Variable:,tasmax
Country:,"Congo (Democratic Republic of the)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.54,30.09,30.17,29.94,29.99,29.28,28.81,29.37,29.96,29.92,29.57,29.38
1902,29.54,30.08,30.19,29.96,30.34,29.73,28.83,29.61,29.94,29.82,29.37,29.03
1903,29.56,30.11,30.14,30.07,30.01,29.58,28.87,29.60,29.97,29.80,29.40,29.16
1904,29.49,30.02,30.12,29.93,30.07,29.60,28.81,29.61,30.04,29.73,29.39,29.12
1905,29.56,30.14,30.13,29.78,29.95,29.56,28.75,29.35,29.94,29.94,29.45,29.07
1906,29.48,30.02,29.89,29.74,29.88,29.31,28.78,29.17,29.78,29.69,29.56,29.27
1907,29.52,30.04,30.07,29.73,29.84,29.24,28.80,29.15,29.82,29.79,29.40,29.16
1908,29.52,30.07,30.11,29.97,29.97,29.39,28.84,29.38,29.93,29.81,29.41,29.14
1909,29.47,30.01,30.08,29.92,30.04,29.39,28.84,29.32,29.91,29.76,29.35,29.13
1910,29.46,30.00,30.10,29.85,30.00,29.44,28.79,29.32,29.83,29.70,29.34,29.17
1911,29.50,30.07,30.11,29.86,30.12,29.31,28.76,29.26,29.72,29.74,29.32,29.29
1912,29.51,30.09,30.12,29.99,30.04,29.42,28.76,29.32,29.89,29.74,29.41,29.11
1913,29.47,30.02,30.02,29.92,30.06,29.32,28.78,29.33,29.90,29.77,29.39,29.15
1914,29.54,30.06,30.21,29.93,29.90,29.40,28.78,29.35,29.94,29.79,29.41,29.17
1915,29.52,30.07,30.13,29.99,29.85,29.40,28.84,29.33,29.91,29.79,29.38,29.13
1916,29.49,30.08,30.08,29.86,29.93,29.37,28.77,29.30,29.87,29.81,29.35,29.12
1917,29.47,30.04,30.03,29.89,30.01,29.37,28.79,29.33,29.85,29.73,29.36,29.08
1918,29.41,30.00,30.10,29.79,29.80,29.36,28.81,29.24,29.86,29.78,29.34,29.11
1919,29.51,30.07,30.15,30.01,29.69,29.34,28.80,29.29,29.88,29.68,29.34,29.11
1920,29.55,30.05,30.12,29.81,29.90,29.35,28.78,29.28,29.94,29.76,29.44,29.14
1921,29.56,30.09,30.13,29.98,29.99,29.42,28.84,29.34,29.91,29.78,29.39,29.20
1922,29.64,30.16,30.16,29.99,29.97,29.50,28.82,29.41,29.91,29.67,29.42,29.22
1923,29.52,30.12,30.07,29.96,29.94,29.48,28.83,29.41,29.88,29.80,29.53,29.27
1924,29.60,30.15,30.26,29.96,30.09,29.44,28.82,29.29,29.89,29.74,29.40,29.16
1925,29.49,30.02,30.17,29.94,29.91,29.47,28.82,29.33,29.84,29.75,29.45,29.23
1926,29.63,30.20,30.12,30.04,29.97,29.43,28.76,29.30,29.94,29.78,29.47,29.18
1927,29.64,30.16,30.12,30.01,30.04,29.36,28.78,29.31,29.91,29.78,29.47,29.24
1928,29.66,30.21,30.26,30.02,30.01,29.46,28.75,29.29,29.98,29.87,29.50,29.24
1929,29.54,30.14,30.15,29.89,29.80,29.40,28.77,29.26,29.89,29.79,29.41,29.15
1930,29.50,30.13,30.10,29.84,29.89,29.32,28.73,29.30,29.89,29.77,29.47,29.17
1931,29.57,30.32,30.07,29.92,30.06,29.48,28.83,29.46,29.93,29.93,29.38,28.89
1932,29.56,29.94,30.14,29.85,29.65,29.33,28.70,29.25,29.97,29.83,29.64,29.02
1933,29.46,29.86,30.15,29.94,30.08,29.51,28.80,29.26,29.63,29.65,29.56,28.94
1934,29.43,29.84,30.05,29.85,30.19,29.43,28.83,29.39,29.81,29.64,29.22,28.93
1935,29.58,29.84,30.03,29.81,29.99,29.37,28.74,29.15,29.98,29.87,29.58,29.05
1936,29.44,29.92,29.87,29.74,29.94,29.29,28.79,29.20,29.77,29.89,29.67,29.02
1937,29.56,30.02,30.14,29.92,29.91,29.31,28.69,29.06,29.87,29.64,29.46,29.04
1938,29.62,30.01,30.04,30.00,29.99,29.43,28.87,29.34,29.93,29.77,29.35,29.06
