Variable:,tasmax
Country:,Colombia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.17,30.46,30.44,29.62,28.87,28.11,28.40,28.87,28.95,28.82,28.82,29.15
1902,29.88,30.28,30.06,29.35,28.68,28.09,28.23,28.87,28.89,28.85,29.03,29.27
1903,29.88,30.46,30.15,29.31,28.68,28.13,28.40,28.87,29.14,28.83,28.83,29.09
1904,29.78,30.49,30.01,29.48,28.54,28.30,28.40,28.86,29.14,28.77,28.93,29.13
1905,29.76,30.14,29.97,29.35,28.50,28.05,28.40,28.87,29.14,28.89,28.93,29.06
1906,29.78,30.15,30.07,29.29,28.60,28.11,28.40,28.87,28.91,29.05,28.93,28.97
1907,30.06,30.48,30.35,29.48,28.48,28.01,28.40,28.86,29.14,28.81,28.83,29.15
1908,29.88,30.16,29.99,29.15,28.55,28.07,28.40,28.87,29.14,28.77,28.83,29.11
1909,29.86,30.49,30.25,29.48,28.58,28.01,28.40,28.86,28.93,28.79,28.87,29.01
1910,29.68,30.48,29.89,29.21,28.79,28.15,28.32,28.76,29.14,29.06,28.94,29.14
1911,30.06,30.18,30.35,29.23,28.46,28.30,28.40,28.86,29.14,28.87,28.90,29.14
1912,29.83,30.25,30.00,29.14,28.71,28.30,28.40,28.87,29.14,28.77,28.80,29.10
1913,29.76,30.49,30.35,29.48,28.81,28.30,28.40,28.86,29.14,29.05,28.82,29.01
1914,29.77,30.19,30.09,29.25,28.48,28.30,28.40,28.86,29.14,28.77,28.91,29.35
1915,29.94,30.34,30.29,29.31,29.29,28.65,28.81,29.74,29.34,29.62,29.32,29.62
1916,30.02,30.49,30.13,29.74,29.10,28.42,28.76,28.81,29.49,29.05,29.03,29.13
1917,29.67,29.79,30.14,29.46,28.84,28.04,28.48,28.74,29.14,28.95,29.06,29.38
1918,29.94,30.16,29.65,29.15,28.16,27.81,28.40,29.16,29.24,29.32,28.92,29.20
1919,29.69,30.22,30.35,29.23,28.64,28.30,28.40,28.87,29.14,28.77,28.79,29.17
