Variable:,tasmax
Country:,Germany
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.39,-0.40,5.86,12.94,18.49,20.95,23.95,21.57,18.27,13.00,5.59,3.11
1902,4.67,2.08,7.50,12.87,13.34,20.49,21.06,19.79,17.26,10.69,4.86,0.77
1903,2.90,7.02,10.60,8.96,18.08,20.05,21.28,20.43,18.62,13.23,6.51,1.04
1904,1.17,3.44,7.11,13.86,17.60,20.77,24.91,22.59,16.60,11.94,5.81,4.46
1905,0.84,3.91,8.44,10.27,17.46,22.67,23.90,21.65,17.09,8.21,5.76,3.00
1906,3.28,2.94,6.48,13.48,18.10,19.67,22.16,21.92,17.47,14.24,8.97,0.32
1907,1.73,1.03,6.91,10.89,18.56,19.67,19.19,21.03,18.72,15.33,6.72,3.65
1908,0.84,3.74,6.36,9.75,18.08,22.34,22.21,19.41,17.15,13.30,4.87,1.56
1909,0.86,0.78,5.57,13.19,16.52,19.03,19.38,21.17,17.06,14.24,4.44,4.04
1910,3.42,5.13,8.45,12.25,17.34,21.67,19.95,20.82,16.52,13.25,4.75,4.92
1911,0.93,4.31,8.24,12.43,18.46,20.48,25.15,25.45,20.16,12.79,7.59,4.91
1912,0.93,5.86,9.89,12.10,17.03,20.48,23.37,18.40,14.13,10.72,4.80,5.58
1913,2.03,4.75,10.51,12.99,17.55,19.55,19.04,19.97,17.64,13.92,9.13,3.95
1914,-0.54,6.97,8.41,15.28,15.57,19.46,22.30,22.63,17.45,11.47,5.71,5.70
1915,2.26,3.93,5.34,11.87,18.87,23.14,21.21,19.80,17.03,9.39,4.03,5.86
1916,5.78,3.95,7.82,13.34,18.36,17.49,20.60,20.71,16.73,11.98,7.33,3.85
1917,-0.57,-0.05,3.81,8.53,20.98,24.58,22.64,21.58,20.08,11.03,7.44,0.23
1918,3.61,4.67,8.86,13.68,19.57,18.15,21.51,20.93,17.70,11.43,5.74,5.64
1919,2.62,2.49,6.73,9.87,17.33,20.49,18.96,21.77,20.31,9.44,3.05,3.14
1920,4.48,6.76,11.09,13.71,19.15,20.14,22.74,19.74,17.26,11.59,4.96,2.55
1921,6.26,4.17,10.83,13.09,19.54,19.57,24.51,23.01,19.28,16.02,2.73,3.18
1922,0.13,2.37,7.52,10.05,19.27,20.74,20.46,20.44,15.30,8.71,5.05,4.08
1923,3.18,3.55,9.01,11.89,16.36,15.77,24.05,21.25,17.86,13.97,5.53,0.71
1924,0.22,0.27,6.39,10.77,18.57,20.10,21.76,19.01,18.16,13.33,6.27,4.00
1925,4.71,6.67,5.04,13.17,19.23,20.27,23.03,21.12,15.31,12.52,4.39,2.19
1926,2.20,6.91,7.92,15.41,15.38,18.19,21.81,21.27,19.86,11.48,9.14,2.27
