Variable:,tasmax
Country:,Ethiopia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.29,30.64,31.07,30.60,30.15,29.31,28.20,27.97,28.99,28.95,28.64,29.53
1902,29.48,29.89,30.76,29.45,29.05,30.77,29.40,29.64,29.75,28.83,28.48,28.28
1903,30.58,31.81,31.78,31.12,30.78,30.40,28.97,28.89,28.71,28.62,27.92,29.16
1904,28.54,31.13,31.74,30.56,30.05,31.19,28.06,28.19,28.72,28.47,28.27,28.21
1905,29.12,29.58,30.36,30.14,30.79,29.52,28.51,27.85,28.85,29.27,29.47,29.55
1906,29.70,31.26,30.92,31.05,31.04,30.46,28.31,28.16,29.12,29.69,28.03,28.46
1907,29.48,31.30,32.08,31.69,31.57,30.79,28.07,27.44,28.70,29.37,27.56,26.88
1908,28.89,30.05,31.86,31.37,31.60,30.97,28.12,28.18,29.75,28.78,27.09,27.12
1909,27.89,29.16,30.60,29.06,30.13,29.03,28.81,28.05,28.62,29.68,28.97,29.27
1910,29.76,31.40,31.79,31.03,31.50,30.86,28.91,28.14,28.35,29.44,29.44,29.70
1911,30.77,31.08,32.06,30.47,30.14,30.04,28.06,27.89,28.91,30.14,29.52,29.33
1912,29.69,29.97,31.43,29.87,29.61,29.74,27.53,27.17,28.18,28.36,28.39,27.76
1913,28.58,30.29,29.72,30.09,30.81,29.87,27.87,27.68,28.93,28.69,28.07,28.12
1914,30.33,30.01,30.84,30.17,30.96,29.51,27.66,27.47,28.65,28.23,29.09,28.77
1915,29.40,30.26,30.96,30.64,29.84,29.26,27.90,27.65,28.56,28.72,28.61,28.42
1916,28.41,30.18,30.56,30.32,29.81,29.06,27.16,27.31,28.23,28.41,28.48,28.21
1917,29.00,30.03,30.42,30.03,29.45,28.98,27.80,27.63,28.18,28.21,28.51,28.53
1918,28.58,29.94,30.43,29.87,29.68,29.18,27.94,27.58,28.86,28.68,28.37,28.60
1919,29.65,30.35,30.97,30.17,29.85,29.22,27.70,28.03,28.78,28.62,28.19,28.44
1920,28.74,29.26,30.25,29.97,29.50,29.16,27.64,27.14,28.50,28.69,28.45,28.14
1921,28.77,29.63,30.40,30.92,30.04,29.52,27.85,27.40,28.81,28.90,28.96,29.55
1922,29.83,30.54,30.88,30.77,29.96,29.93,27.37,27.23,28.64,28.77,29.15,29.13
1923,29.89,29.88,30.81,30.36,29.77,29.32,27.54,27.22,28.65,28.57,28.28,28.74
1924,29.61,30.90,31.41,30.86,30.33,29.89,28.38,28.14,29.06,29.32,29.09,29.15
1925,28.59,29.49,31.00,30.57,30.29,29.98,28.63,28.44,29.30,28.74,28.53,28.79
1926,29.07,30.26,30.33,30.14,30.48,30.00,28.38,28.61,29.34,28.81,28.40,28.40
1927,29.64,30.14,30.93,29.84,29.77,29.31,27.85,28.34,29.27,29.62,29.30,29.56
1928,29.90,30.33,31.68,31.16,30.44,29.67,28.31,27.91,29.47,29.36,29.17,29.16
1929,29.10,30.83,31.27,30.40,29.89,29.07,26.95,27.16,28.37,28.55,28.33,28.06
1930,28.83,30.29,30.42,30.17,29.58,28.75,27.31,27.37,28.73,28.56,28.29,28.83
1931,29.41,30.61,30.87,30.58,30.28,29.87,28.16,27.65,28.81,29.05,28.56,28.73
1932,29.10,30.52,30.79,30.41,29.64,29.42,27.45,27.43,28.52,28.80,28.56,28.47
1933,29.54,30.66,31.29,30.64,30.29,29.58,27.92,27.51,28.56,28.88,28.82,28.87
1934,29.09,29.55,30.70,30.82,30.04,29.25,27.79,27.58,28.80,29.01,29.05,28.63
1935,30.07,30.38,31.50,30.42,29.80,29.07,27.70,27.32,28.79,28.96,28.55,28.93
1936,29.13,30.53,31.22,30.75,30.47,29.30,27.54,27.37,28.67,29.05,29.22,28.93
1937,29.04,30.53,30.94,30.86,30.08,29.50,27.49,27.51,28.95,29.06,28.25,28.79
1938,28.99,30.51,30.93,31.59,30.39,29.17,27.05,26.91,28.11,28.49,28.75,28.79
1939,29.24,30.08,31.33,30.70,30.05,29.37,28.07,28.13,29.23,28.64,28.95,29.36
1940,29.37,30.22,30.23,30.88,30.41,29.91,28.00,27.93,29.29,29.32,29.07,29.26
1941,29.47,30.59,31.00,30.92,30.15,29.13,27.94,27.58,28.88,28.88,28.61,28.31
1942,29.30,30.78,30.83,30.77,29.69,29.60,27.06,27.12,28.47,28.74,28.80,28.81
1943,28.92,29.26,30.08,29.91,29.71,28.72,27.22,26.86,28.11,28.28,28.59,28.92
1944,29.02,29.78,30.83,30.37,29.90,29.58,27.15,27.53,28.39,28.87,28.17,28.47
1945,29.46,29.11,30.40,30.81,29.68,29.03,27.67,27.09,28.24,28.31,28.50,28.40
1946,29.37,30.35,30.43,30.24,30.31,28.72,27.47,26.92,28.77,28.98,28.74,29.05
1947,28.78,29.60,29.75,29.67,30.03,29.93,28.24,27.47,28.31,28.38,28.31,29.24
1948,29.44,29.54,30.30,30.32,30.10,28.07,27.62,27.08,28.13,27.76,27.29,27.75
1949,28.16,28.54,29.99,29.85,29.19,28.26,27.11,26.99,27.70,28.33,27.80,26.89
1950,28.61,28.91,30.28,29.96,29.71,28.81,26.54,26.49,27.59,27.74,27.84,28.15
1951,29.69,29.78,29.93,28.76,29.93,30.09,27.74,27.50,28.14,28.96,28.86,28.03
1952,29.32,29.99,31.55,29.96,30.83,29.88,27.43,26.88,28.50,28.47,29.46,29.81
1953,30.80,31.84,31.94,30.60,31.15,30.23,26.71,27.41,28.65,28.89,29.66,28.82
1954,30.38,31.93,31.79,31.50,31.60,29.48,26.89,26.71,28.53,28.73,30.12,29.26
1955,28.77,31.38,32.73,31.86,31.72,29.86,28.52,27.59,29.04,29.26,28.93,28.55
1956,28.47,31.41,32.60,30.06,30.69,29.01,26.63,26.42,28.23,27.52,28.73,28.58
1957,29.56,28.90,29.51,29.98,29.80,29.65,27.80,27.27,29.13,29.52,29.63,29.45
1958,29.04,28.79,31.94,31.36,31.46,29.08,26.98,27.32,29.00,29.02,29.56,29.09
1959,29.43,30.04,30.84,31.95,30.56,29.94,27.34,26.92,28.13,28.43,28.82,28.59
1960,28.79,30.53,29.87,30.70,29.55,29.45,27.51,28.05,28.59,28.73,28.92,29.21
1961,30.28,30.06,30.84,30.41,31.16,29.46,26.56,26.36,28.05,28.27,26.71,27.33
1962,29.01,31.10,31.34,31.05,30.48,29.45,27.83,26.90,28.08,28.84,28.50,28.78
1963,28.98,30.56,31.87,29.41,28.88,29.20,27.62,27.37,28.88,29.71,27.89,27.24
1964,28.12,29.48,31.84,30.66,29.99,28.92,26.35,26.52,27.87,27.35,28.24,26.54
1965,28.49,30.92,31.29,30.01,31.48,29.94,28.08,27.23,28.89,28.13,27.28,28.41
1966,29.47,28.72,30.36,29.84,30.64,29.22,28.30,27.87,28.75,28.83,28.36,29.32
1967,29.77,30.71,30.29,29.80,29.30,28.88,26.50,26.58,28.02,27.59,26.24,27.96
1968,29.08,27.33,30.15,28.83,29.51,28.28,27.05,27.72,28.75,28.89,28.18,28.75
1969,28.11,28.39,30.19,31.20,30.21,29.83,27.89,27.60,28.95,29.34,29.55,30.05
