Variable:,tasmax
Country:,Greece
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.65,8.64,14.43,17.53,21.55,26.63,29.92,28.87,25.73,20.43,13.27,12.29
1902,9.89,12.27,12.44,17.27,20.05,25.82,29.29,29.85,26.26,20.64,12.05,7.27
1903,8.39,10.43,13.69,15.84,22.12,25.26,28.59,29.13,25.75,20.27,14.61,11.59
1904,7.82,12.28,12.53,17.36,22.35,27.01,30.30,29.29,24.55,20.09,12.02,9.32
1905,5.10,7.51,12.57,16.67,22.39,26.29,30.46,30.68,27.29,18.09,16.74,10.10
1906,8.17,9.55,13.66,17.24,21.58,26.00,29.65,28.67,24.68,19.21,15.73,9.15
1907,6.29,7.26,9.07,15.39,24.06,26.63,29.04,29.39,25.23,22.62,13.91,11.28
1908,7.58,9.52,12.27,16.11,24.70,27.61,29.20,29.10,24.53,18.78,11.32,8.56
1909,6.27,6.05,13.20,17.43,22.21,26.47,29.14,29.67,26.43,20.51,13.74,12.47
1910,9.33,11.77,12.07,17.03,21.44,26.39,28.50,29.16,24.51,19.82,14.20,12.12
1911,7.99,6.83,12.35,16.38,21.73,26.50,29.48,29.94,25.80,20.48,16.13,10.79
1912,6.98,11.85,14.77,15.60,21.33,26.93,29.06,28.38,23.49,18.69,13.36,10.52
1913,8.32,8.09,14.13,17.22,21.25,26.03,27.72,27.94,26.40,20.31,15.08,9.90
1914,6.40,9.34,14.08,17.45,21.81,25.52,28.80,28.80,24.24,18.40,12.89,10.91
1915,10.90,10.47,12.78,16.78,21.85,27.16,29.61,28.63,23.95,19.75,13.88,12.67
1916,9.25,10.24,15.13,17.38,22.61,28.18,30.35,28.47,24.61,20.18,15.93,12.79
1917,9.94,7.67,12.95,16.86,21.69,26.96,29.57,30.68,26.39,20.87,15.02,7.86
1918,8.96,8.38,11.90,16.90,22.11,25.68,29.18,28.87,27.39,21.23,14.18,10.28
1919,10.31,10.22,14.01,17.73,19.93,25.93,28.62,28.46,26.36,20.14,14.85,9.70
1920,9.79,8.18,13.53,18.67,23.15,26.50,30.23,29.59,25.55,17.83,12.19,9.88
1921,10.49,8.47,12.61,16.32,23.24,25.07,29.94,30.27,24.77,19.25,13.23,9.06
1922,7.75,8.57,15.11,17.76,22.39,27.36,30.15,30.21,25.86,20.23,12.25,8.69
1923,8.47,10.20,13.26,16.94,23.63,25.45,29.53,29.41,26.56,21.70,18.01,10.89
1924,5.70,9.17,12.28,18.07,23.82,27.74,29.72,28.84,27.80,19.29,12.98,9.31
1925,8.23,12.53,12.86,17.30,22.13,25.46,29.31,29.34,25.92,20.19,16.35,9.25
1926,9.48,11.88,12.52,18.51,22.13,26.51,28.69,27.53,26.00,21.42,18.74,10.48
1927,10.02,7.96,15.29,17.76,22.58,28.46,30.78,30.74,27.59,20.58,16.42,9.34
1928,8.87,8.18,10.98,18.48,21.29,26.84,31.26,30.87,27.16,20.12,16.32,9.03
1929,6.56,5.82,9.67,15.87,24.10,27.10,29.73,31.06,24.45,20.24,16.04,10.79
1930,9.52,9.41,14.51,18.11,21.54,26.82,30.18,29.65,26.59,19.95,15.38,11.18
1931,9.90,10.00,13.26,15.92,23.19,28.12,31.30,30.88,25.17,20.27,13.62,8.34
1932,7.26,6.28,11.06,17.65,22.84,26.68,30.60,30.11,28.37,23.38,14.11,11.08
1933,7.46,10.21,11.74,15.58,20.46,24.56,28.33,28.89,24.18,20.96,17.17,8.17
1934,8.11,8.42,15.39,20.02,24.03,27.44,30.43,30.17,26.10,20.78,16.67,11.41
1935,7.10,9.78,11.42,17.80,22.75,28.23,29.44,29.86,26.30,22.64,14.16,11.88
1936,12.99,10.97,15.19,18.67,21.37,25.59,30.49,29.08,25.24,19.48,14.33,9.00
1937,7.31,11.70,16.16,17.18,23.29,28.05,30.41,29.40,27.31,20.22,15.42,11.22
1938,8.07,8.82,13.16,15.40,22.21,27.96,31.18,30.62,25.27,21.24,15.27,10.02
1939,11.10,10.48,11.34,18.71,22.29,25.73,31.01,29.32,25.63,21.56,14.22,10.39
1940,5.52,9.50,11.86,16.32,20.18,25.23,29.51,27.52,25.27,21.08,16.12,7.10
