Variable:,tasmax
Country:,Greenland
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-15.66,-13.43,-18.30,-14.92,-6.91,-1.29,1.81,-0.30,-5.81,-13.30,-14.10,-17.07
1902,-15.91,-16.97,-20.68,-14.08,-6.68,-0.55,1.80,0.43,-5.46,-11.99,-15.58,-18.56
1903,-14.81,-18.66,-22.16,-14.71,-7.44,-0.94,1.89,-0.65,-5.38,-12.12,-15.71,-15.22
1904,-15.70,-19.14,-20.87,-15.75,-6.51,-0.71,2.14,0.72,-5.72,-14.42,-15.42,-16.35
1905,-17.12,-18.54,-17.01,-12.36,-6.54,-1.20,2.05,0.14,-6.42,-12.31,-14.53,-18.16
1906,-16.00,-19.48,-20.24,-15.67,-7.10,-1.01,1.84,0.71,-5.03,-12.93,-16.59,-18.70
1907,-17.23,-19.49,-22.06,-15.69,-7.49,-1.39,1.95,-0.06,-6.09,-12.02,-15.96,-16.40
1908,-14.66,-19.29,-18.04,-12.41,-6.90,-1.07,3.25,-0.19,-4.53,-13.02,-15.01,-17.65
1909,-17.56,-16.99,-17.57,-13.49,-6.14,0.11,2.06,0.04,-4.71,-14.11,-15.06,-20.46
1910,-17.15,-20.71,-19.91,-14.22,-6.86,-1.21,2.14,0.67,-5.93,-12.23,-16.54,-17.59
1911,-16.15,-21.27,-18.73,-13.73,-6.93,-0.74,1.97,0.13,-5.98,-11.89,-15.31,-18.11
1912,-13.76,-16.27,-19.57,-13.33,-6.40,0.49,1.96,0.06,-5.44,-13.23,-15.02,-17.12
1913,-14.51,-16.23,-20.96,-14.27,-6.74,-0.10,1.72,-0.31,-5.23,-12.61,-16.48,-18.50
1914,-15.34,-20.65,-20.78,-15.35,-8.36,-2.26,1.93,0.02,-6.34,-12.15,-15.18,-19.87
1915,-15.79,-19.40,-20.17,-14.44,-6.18,-0.75,1.65,0.72,-4.71,-11.33,-13.79,-16.17
1916,-15.63,-16.89,-15.58,-15.01,-5.79,-0.92,1.91,0.83,-4.93,-12.77,-15.00,-18.44
1917,-13.56,-16.79,-17.63,-14.47,-7.05,-1.34,3.02,0.45,-6.33,-14.94,-16.24,-20.27
1918,-18.35,-19.70,-19.11,-15.84,-6.51,-1.93,2.02,-0.05,-5.75,-13.25,-16.65,-17.90
1919,-13.75,-19.93,-19.72,-16.80,-5.80,-1.50,1.84,-0.25,-6.18,-11.65,-15.20,-17.31
1920,-16.87,-18.93,-20.28,-14.14,-7.52,-0.42,2.19,-0.24,-5.85,-12.67,-16.16,-17.75
1921,-15.59,-18.09,-20.04,-15.47,-7.05,-0.72,1.92,0.19,-6.37,-13.47,-14.50,-17.91
1922,-14.43,-20.70,-18.61,-13.87,-7.58,-1.42,1.68,-0.07,-6.35,-11.93,-15.13,-16.69
1923,-16.33,-15.87,-17.50,-11.98,-6.15,-0.42,2.31,0.10,-5.96,-12.81,-14.85,-17.02
1924,-13.04,-16.81,-18.72,-13.65,-6.09,0.01,2.10,-0.05,-6.10,-12.90,-15.27,-18.71
1925,-16.17,-17.21,-17.57,-14.00,-6.63,-0.28,1.65,-0.03,-5.09,-12.66,-13.68,-15.79
1926,-12.38,-15.33,-18.45,-12.06,-5.60,0.23,3.06,0.21,-6.03,-12.53,-15.03,-16.84
1927,-13.49,-16.37,-19.28,-14.26,-6.10,-0.03,2.52,0.64,-4.58,-12.54,-14.48,-16.43
1928,-13.12,-15.64,-15.46,-12.22,-4.85,-0.32,2.85,0.78,-4.31,-11.44,-13.89,-15.68
1929,-10.82,-13.59,-14.90,-12.48,-6.19,-0.25,3.26,0.71,-6.04,-13.78,-14.73,-16.36
1930,-14.79,-15.04,-17.11,-11.47,-5.59,-0.40,2.54,0.55,-4.16,-12.94,-15.15,-15.86
