Variable:,tasmax
Country:,Guam
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1902,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1903,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1904,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1905,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1906,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1907,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1908,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1909,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1910,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1911,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1912,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1913,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1914,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1915,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1916,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1917,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1918,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1919,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1920,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1921,28.94,29.67,29.87,30.24,30.70,30.70,30.70,30.20,30.30,30.40,30.30,29.64
1922,29.14,29.17,29.77,30.64,30.80,30.80,30.30,29.80,29.80,30.80,30.00,29.54
1923,29.14,29.37,29.57,30.24,30.60,30.70,30.10,29.80,30.30,30.40,30.10,29.84
1924,28.51,29.27,29.87,30.47,31.10,31.10,30.30,30.50,30.20,29.90,29.80,29.74
1925,29.01,29.67,29.97,30.34,30.83,31.00,29.70,30.40,30.80,30.50,30.40,29.94
1926,29.04,29.27,29.90,30.94,31.63,32.00,31.10,30.70,30.70,30.70,30.60,30.34
1927,29.74,29.67,30.77,30.74,31.10,30.90,30.80,30.40,30.80,30.90,30.70,30.34
1928,29.54,29.97,29.97,31.24,31.00,31.00,32.13,30.80,30.30,30.40,30.10,29.74
1929,28.74,29.07,29.97,30.44,30.70,31.00,30.20,30.40,30.40,30.60,30.20,29.64
1930,29.14,29.27,30.07,30.54,30.90,31.30,30.77,30.70,31.00,31.17,30.70,29.64
1931,29.04,29.07,29.97,30.84,31.23,31.70,31.20,30.60,31.00,30.90,30.20,29.94
1932,29.64,29.57,30.00,30.84,30.70,31.00,30.70,30.80,30.60,30.90,30.30,29.84
1933,29.24,29.80,30.20,30.87,30.90,30.90,30.70,30.60,30.70,30.40,30.20,29.74
1934,29.64,30.00,30.37,30.74,30.50,31.20,30.80,30.50,30.50,30.60,30.10,29.64
1935,28.84,29.57,30.07,30.87,31.43,31.20,30.80,30.50,30.30,30.70,30.20,29.94
1936,29.24,29.57,30.20,30.77,31.30,31.60,30.70,31.13,30.80,30.60,30.50,30.14
1937,29.54,29.50,30.00,30.94,31.20,31.10,30.90,31.00,30.83,30.60,30.30,30.14
1938,30.04,30.17,30.50,30.97,31.40,31.00,31.10,30.40,30.30,30.60,30.10,29.84
1939,29.44,29.87,30.27,31.04,31.10,31.70,30.70,30.40,30.80,30.90,30.30,29.84
1940,29.24,28.97,29.77,30.34,31.33,31.60,30.60,30.80,30.30,31.00,31.23,30.44
1941,29.34,29.37,29.87,30.44,30.70,31.00,30.70,30.40,30.80,30.90,30.50,29.94
1942,29.34,29.57,29.97,30.34,30.60,31.10,30.53,30.40,30.70,30.80,30.40,29.94
1943,29.34,29.47,29.77,30.24,30.60,30.80,30.70,30.40,30.80,30.80,30.40,30.04
1944,29.44,29.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1945,28.74,29.27,29.07,29.84,30.10,31.00,30.80,30.60,29.77,29.60,29.80,29.64
1946,29.11,30.57,29.97,30.44,30.70,31.00,30.80,30.60,30.80,30.90,30.50,30.04
1947,29.44,29.57,29.97,30.44,30.60,31.30,30.77,30.50,30.30,29.80,30.00,29.77
1948,29.01,28.87,29.44,29.77,29.90,29.70,29.80,29.70,29.60,30.00,29.30,28.84
1949,28.71,28.57,29.34,30.14,30.40,30.77,30.94,30.80,30.27,30.20,30.10,29.77
1950,28.94,29.14,29.84,30.27,30.40,30.40,30.20,30.80,30.60,30.50,29.87,29.51
1951,29.31,29.27,29.64,29.94,30.37,31.00,31.00,30.50,31.17,31.20,30.70,29.74
1952,28.84,29.17,29.74,30.24,30.50,30.83,31.00,30.30,30.50,30.40,30.10,30.04
1953,29.11,28.97,29.64,30.04,30.77,31.00,31.30,30.20,30.97,30.87,30.30,29.67
1954,29.24,29.57,29.97,30.77,30.50,31.10,31.50,30.60,29.87,30.30,30.00,29.47
1955,28.48,28.94,29.54,29.67,29.63,29.90,30.00,30.20,30.17,30.50,29.90,29.27
1956,28.44,28.67,28.97,29.34,29.90,30.50,30.17,30.20,29.77,30.37,30.00,29.51
1957,28.84,28.74,29.37,30.11,31.04,31.17,31.17,30.60,31.04,30.77,30.24,29.84
1958,28.81,29.01,29.71,29.84,30.10,30.10,30.20,30.70,30.27,30.67,30.00,29.84
1959,28.88,29.47,29.54,29.54,30.37,31.30,31.07,30.60,30.57,30.74,30.30,29.74
1960,28.98,29.50,29.64,30.47,30.30,30.40,30.64,30.00,30.47,30.20,30.00,29.57
1961,28.84,29.70,29.47,30.34,30.30,30.40,30.40,29.77,30.37,29.90,30.00,29.44
1962,29.48,28.77,29.70,29.97,30.10,30.30,30.47,30.20,30.87,31.00,30.60,29.87
1963,29.14,28.80,30.14,30.04,30.17,30.87,30.30,30.53,30.60,30.54,30.40,29.74
1964,29.71,29.10,29.84,29.97,29.80,31.43,31.10,30.70,30.77,31.17,30.77,30.07
1965,29.18,29.47,30.04,30.57,30.73,30.20,29.80,30.90,30.47,30.87,30.30,30.24
1966,29.44,29.97,29.97,30.97,31.30,31.30,31.30,31.00,30.40,31.57,30.60,29.77
1967,28.84,29.54,29.21,29.47,30.50,30.20,30.47,30.10,30.37,30.40,29.80,29.47
1968,29.17,29.24,29.77,29.81,30.60,30.60,30.40,30.70,30.47,30.57,30.40,29.87
1969,28.94,29.37,30.44,31.07,30.83,32.00,31.40,30.80,31.37,31.30,30.83,29.97
1970,29.21,29.57,30.37,30.67,31.50,31.20,30.77,30.70,30.77,30.80,31.20,30.17
1971,29.41,29.70,30.17,30.77,30.20,30.80,30.50,30.90,30.87,30.60,30.80,30.44
