Variable:,tasmax
Country:,Ireland
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,7.19,6.01,7.59,12.23,16.07,16.64,20.19,18.46,16.35,12.44,9.19,6.84
1902,7.92,5.92,10.19,11.68,12.55,16.14,17.56,17.51,16.49,12.57,10.03,7.85
1903,7.07,9.90,9.45,10.44,14.19,16.28,17.79,16.78,15.72,12.13,9.45,6.13
1904,7.41,6.28,7.93,11.75,13.61,16.89,18.77,17.89,15.96,12.97,9.27,8.04
1905,8.08,8.12,9.65,10.78,15.03,17.82,19.70,17.13,15.13,10.81,7.99,9.15
1906,8.26,6.71,9.13,11.41,12.85,17.89,18.55,19.42,17.52,13.02,10.03,6.87
1907,7.21,6.77,10.89,11.09,13.08,14.68,18.06,17.04,17.65,11.93,9.14,7.59
1908,7.12,9.06,8.13,10.24,15.20,17.21,18.62,17.91,15.56,15.17,11.28,8.44
1909,7.79,7.96,7.31,12.67,15.18,15.59,17.28,18.67,15.20,12.63,7.90,7.03
1910,7.07,8.05,9.91,10.51,14.50,17.10,17.44,17.51,15.79,13.10,7.75,8.44
1911,7.22,8.21,8.60,11.24,16.14,17.59,20.83,20.38,16.78,12.72,8.61,8.35
1912,7.34,8.29,9.99,13.23,14.97,16.00,17.68,15.12,14.55,12.19,9.32,9.55
1913,7.33,8.17,8.91,11.18,13.89,16.35,17.60,18.89,16.59,13.51,10.98,7.73
1914,7.12,9.49,9.27,13.14,14.32,17.83,18.38,19.19,16.91,13.34,9.93,6.69
1915,6.47,6.96,9.05,12.11,14.77,17.95,17.36,18.00,17.25,12.69,7.25,7.67
1916,9.58,6.91,6.59,11.67,14.31,15.33,18.54,19.68,16.50,12.97,9.76,5.84
1917,4.55,5.93,7.67,9.69,15.52,17.22,19.52,17.94,16.52,10.89,10.83,6.51
1918,7.23,9.62,9.86,10.98,15.92,17.14,18.35,18.57,14.14,11.58,9.53,9.60
1919,6.26,6.34,7.28,11.42,16.46,16.92,17.49,19.02,15.86,12.57,6.43,8.57
1920,8.29,9.78,9.84,10.57,14.25,17.09,16.53,16.87,16.26,14.00,11.20,7.11
1921,9.81,8.52,10.29,12.71,14.52,18.53,21.71,17.36,17.10,15.51,10.36,10.27
1922,7.76,8.78,8.88,9.69,15.57,16.58,16.09,16.10,15.19,12.20,9.91,8.02
1923,9.12,8.77,9.89,10.65,12.37,15.89,19.36,17.72,15.28,12.28,6.97,8.15
