Variable:,tasmax
Country:,Iraq
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.59,18.03,23.49,28.70,34.07,39.20,42.10,41.80,38.49,31.05,22.88,17.90
1902,15.19,18.50,21.93,27.67,34.17,39.23,41.41,41.61,38.38,31.42,21.79,15.65
1903,13.33,16.20,19.66,27.46,34.44,38.63,41.10,41.60,37.69,31.22,21.91,16.06
1904,13.67,17.69,21.46,26.52,33.23,38.11,41.12,41.40,38.00,31.89,23.32,15.09
1905,13.12,15.12,19.72,27.30,33.50,38.74,41.51,41.37,38.78,33.12,23.98,15.45
1906,13.33,16.84,21.27,26.81,34.02,38.83,41.07,40.96,37.60,31.95,23.05,17.36
1907,14.29,16.22,20.45,26.67,34.20,38.63,41.82,41.15,37.43,31.21,21.08,15.75
1908,13.94,16.33,20.49,26.83,33.60,39.18,40.93,41.61,38.79,31.03,22.05,14.97
1909,13.18,17.12,22.15,26.67,34.99,38.04,42.05,41.21,38.81,32.13,24.01,16.72
1910,14.84,18.04,20.13,27.03,33.72,38.39,41.72,41.61,37.96,31.21,22.92,14.16
1911,11.78,14.41,19.18,26.09,33.31,37.80,41.53,41.12,37.18,30.72,22.68,16.11
1912,14.56,18.20,21.89,26.90,32.82,39.39,40.93,41.05,38.92,31.85,23.20,15.44
1913,13.80,15.28,20.00,26.61,33.86,38.08,41.50,41.66,38.92,31.74,22.99,16.26
1914,15.83,17.80,22.77,27.06,33.76,38.36,41.45,41.36,38.03,31.90,22.03,15.86
1915,16.12,17.84,22.26,27.00,33.62,39.03,41.40,41.58,38.69,31.64,23.42,17.14
1916,14.82,17.03,22.18,27.38,35.10,39.38,42.20,41.68,37.81,31.12,23.42,17.26
1917,15.52,17.48,21.90,29.30,33.53,38.63,42.18,41.61,38.83,31.29,23.96,15.96
1918,14.35,17.04,20.87,26.68,33.34,38.04,41.47,41.58,39.25,33.50,23.61,16.21
1919,15.79,18.02,21.53,27.93,33.16,37.68,41.13,41.33,38.96,32.91,24.01,16.39
1920,15.31,14.43,21.65,27.69,34.32,39.06,41.40,41.87,38.60,31.66,21.57,14.16
1921,13.95,15.83,20.68,27.47,34.15,38.94,41.89,41.62,37.99,30.94,22.50,15.72
1922,15.19,17.34,21.81,27.75,34.49,39.08,42.02,42.06,38.23,32.59,24.04,16.14
1923,14.91,17.02,21.97,26.08,34.55,40.02,42.06,40.55,38.60,32.18,23.68,17.49
1924,16.01,17.36,22.31,27.51,34.25,40.02,41.98,41.98,39.25,31.81,23.00,15.09
1925,11.91,16.13,23.74,27.17,34.72,38.60,41.52,42.41,39.37,31.99,23.54,17.86
1926,15.08,17.51,21.29,27.33,34.89,39.17,40.98,41.46,37.22,31.92,23.38,16.88
1927,14.40,15.08,21.40,26.84,34.86,39.65,42.13,41.80,39.06,33.78,23.59,15.28
1928,13.48,15.71,19.16,29.19,34.81,38.98,41.76,41.09,38.91,31.47,23.47,16.38
1929,13.55,15.50,19.18,27.56,35.53,38.33,41.04,42.47,38.66,32.07,24.19,16.27
1930,15.04,17.71,22.61,28.11,34.31,38.63,41.80,42.53,38.53,31.76,23.99,17.49
1931,14.91,16.54,22.25,27.14,33.78,38.40,41.91,42.00,39.57,32.01,21.88,14.42
1932,13.39,16.54,21.82,28.11,34.10,40.08,41.25,42.20,38.15,33.90,22.66,13.87
1933,12.13,16.33,19.82,25.84,34.52,37.84,41.07,42.04,38.17,31.65,24.69,15.57
1934,12.93,16.20,21.84,27.64,33.49,39.04,41.70,41.50,37.89,31.92,23.57,16.15
1935,13.99,17.65,21.54,27.65,35.60,39.50,41.85,42.78,39.83,32.65,21.78,17.86
1936,15.44,18.33,21.71,28.11,33.35,37.90,41.58,42.18,37.21,32.33,24.10,15.46
1937,12.18,17.08,23.28,28.26,34.17,38.15,42.17,42.12,40.22,32.57,24.19,17.65
1938,15.21,16.97,19.41,27.93,33.79,38.80,42.22,42.15,38.65,31.97,22.85,17.58
1939,16.10,17.77,20.80,27.22,35.82,39.18,41.37,40.95,38.26,33.02,22.59,17.03
1940,14.99,18.45,20.35,28.62,33.70,39.15,41.96,42.55,38.81,32.11,23.99,17.85
1941,15.48,19.58,21.80,28.34,35.81,40.20,42.16,41.34,38.68,30.51,22.56,13.65
1942,13.34,17.37,20.40,27.36,35.37,40.32,42.03,42.01,38.20,31.75,23.19,16.12
1943,14.93,15.81,18.41,26.31,34.17,38.25,41.42,42.06,38.41,32.95,24.58,17.82
1944,14.20,17.90,23.13,27.75,33.57,39.52,41.83,40.86,38.77,32.46,23.34,16.00
1945,14.69,15.51,19.53,26.63,34.73,38.41,41.84,42.09,38.79,31.78,22.81,16.24
1946,14.52,17.17,21.16,27.58,33.95,38.55,41.04,41.34,39.39,30.67,24.41,16.38
1947,15.37,17.73,24.06,28.91,34.82,39.48,42.28,41.63,37.78,31.71,23.90,17.92
1948,16.57,18.12,19.43,26.24,34.07,39.35,42.47,42.26,38.00,31.18,22.05,14.33
1949,13.12,14.49,19.65,25.33,34.77,40.30,42.39,41.52,37.26,31.51,24.50,16.45
1950,11.97,14.94,21.01,29.11,34.00,38.26,41.54,41.51,39.04,31.27,23.32,17.10
1951,15.21,16.99,23.33,29.27,34.64,38.84,42.34,42.09,38.92,30.68,23.56,15.54
1952,14.72,18.26,21.25,28.36,33.62,38.17,41.62,42.39,40.53,34.98,22.95,18.30
1953,16.75,18.68,18.77,28.12,34.73,38.90,41.85,41.88,38.85,32.65,20.56,12.71
1954,14.86,16.81,21.54,26.27,34.28,39.35,42.52,42.65,38.86,33.31,22.88,17.09
1955,16.40,20.50,22.30,28.86,34.63,40.36,42.34,42.40,39.15,33.86,23.78,17.07
1956,15.38,18.85,19.68,26.82,33.10,39.29,42.08,42.16,37.55,31.97,23.20,14.50
1957,12.36,17.12,21.52,26.41,31.74,38.24,41.69,42.47,39.28,32.41,22.31,16.44
1958,15.76,18.54,23.97,30.15,35.77,38.92,41.44,42.75,38.14,32.09,21.69,16.13
1959,16.58,14.15,20.93,30.38,34.27,39.15,40.89,41.32,37.40,31.43,22.64,16.51
1960,17.33,19.87,21.51,27.48,36.73,39.34,41.82,41.64,39.27,33.17,24.00,18.70
1961,15.27,17.36,20.49,27.07,35.99,40.11,42.68,42.71,37.26,32.73,22.08,18.28
1962,15.76,18.49,25.23,27.51,35.91,40.09,43.12,42.68,39.19,33.33,25.01,18.61
1963,18.93,20.48,21.00,27.47,30.65,38.93,42.23,42.43,39.07,33.03,23.50,15.51
1964,9.68,17.19,23.36,27.20,34.83,39.89,42.43,41.36,38.64,31.94,23.19,15.43
1965,13.68,18.08,23.01,25.83,35.30,39.99,41.98,42.84,38.77,29.15,23.25,17.71
1966,18.99,19.95,22.23,28.46,34.68,40.67,42.32,42.78,38.51,31.37,26.12,18.28
1967,15.44,14.23,19.96,25.84,33.49,37.29,41.45,41.69,37.87,31.49,21.73,15.64
1968,13.97,15.80,21.56,28.04,33.79,37.66,42.37,40.58,38.15,32.71,23.49,17.58
1969,14.63,16.79,23.39,25.51,34.45,39.72,40.76,41.45,38.14,31.91,22.42,18.49
1970,15.81,19.62,23.50,30.78,35.44,39.73,41.29,41.47,38.07,31.50,25.37,15.74
1971,16.31,17.05,22.98,26.08,35.71,38.07,41.67,40.70,39.02,31.30,22.62,15.15
1972,11.80,13.47,19.63,27.74,31.12,37.79,40.88,40.72,38.34,33.71,22.31,13.15
1973,12.69,19.55,22.35,27.85,34.80,38.68,41.39,42.88,39.27,33.51,21.23,16.41
1974,11.83,14.19,20.93,26.61,35.18,39.84,41.36,40.94,37.23,33.29,24.46,15.11
1975,14.38,15.83,22.07,29.36,33.71,39.39,42.27,41.74,38.83,31.14,22.80,14.11
1976,14.89,15.39,19.21,26.44,32.59,38.81,40.40,41.56,37.77,31.56,24.23,18.21
1977,11.61,20.77,23.39,27.55,34.55,39.40,41.68,42.50,39.05,29.48,22.80,16.65
1978,16.17,19.69,22.99,28.68,35.11,38.21,42.49,40.99,38.69,33.16,19.99,17.89
1979,16.00,20.32,22.07,29.55,34.27,38.77,41.62,41.68,39.76,32.01,24.93,15.20
1980,12.80,15.79,21.02,27.71,34.71,39.91,43.39,41.44,37.62,31.46,23.09,17.24
1981,15.54,17.75,22.38,27.27,32.72,38.46,42.20,42.09,39.21,32.45,22.53,18.68
1982,15.09,13.95,19.25,29.15,34.43,39.05,40.78,40.70,38.84,29.96,19.68,13.30
1983,11.65,15.02,19.83,27.04,34.04,38.93,41.94,41.15,38.22,31.37,24.86,17.09
1984,16.50,18.72,22.88,28.56,32.75,39.69,42.06,40.20,39.03,31.29,21.41,13.90
1985,16.75,15.86,19.19,28.77,35.43,39.80,41.52,42.55,38.84,30.94,24.84,16.08
1986,16.09,18.67,21.29,28.31,33.18,37.94,42.93,42.44,40.07,32.72,20.95,15.27
1987,17.52,20.74,19.68,27.98,36.01,39.85,42.38,41.87,38.70,29.83,23.09,16.84
1988,14.44,17.22,21.04,26.96,35.11,38.68,41.79,41.19,38.62,32.00,21.82,16.80
1989,11.68,14.45,21.91,30.89,35.76,39.86,43.23,42.20,38.03,31.92,22.45,16.53
1990,13.09,16.65,22.24,27.91,35.65,39.78,42.40,42.10,38.99,32.20,25.24,17.98
1991,14.66,16.68,21.66,29.83,33.44,39.48,41.85,41.96,38.63,31.88,24.52,15.11
1992,11.72,14.11,18.11,27.17,32.45,37.87,40.96,41.26,37.69,32.94,22.68,14.41
1993,13.88,16.24,21.22,27.64,32.29,39.14,42.27,42.15,39.32,32.64,21.26,17.08
1994,17.43,18.20,22.56,30.76,35.52,39.74,41.71,42.45,39.14,32.82,22.66,13.92
1995,16.70,19.04,22.72,27.72,35.47,39.78,41.93,43.08,38.64,32.38,23.20,16.03
1996,15.03,18.85,21.21,27.96,36.24,39.62,42.98,42.92,39.23,31.56,23.41,19.77
1997,16.54,16.63,18.74,27.14,35.57,39.80,42.33,41.79,38.25,32.60,22.61,16.79
1998,13.82,16.77,20.94,29.50,35.97,41.67,43.45,43.67,39.67,33.78,27.54,20.35
1999,17.02,20.03,22.50,29.49,37.55,40.85,42.40,43.50,39.15,33.63,23.32,18.14
2000,15.11,17.65,22.07,30.95,36.46,40.80,44.27,43.16,38.87,30.96,22.45,16.69
2001,16.46,19.19,25.36,30.43,35.23,40.68,42.83,43.52,39.40,32.89,22.96,18.49
2002,14.48,19.61,24.12,26.89,34.96,39.88,42.78,42.10,39.89,34.00,23.53,14.99
2003,16.44,17.54,20.80,27.85,35.97,39.99,42.61,43.28,38.89,33.98,22.90,16.45
2004,16.96,18.95,25.18,27.60,34.11,40.05,42.33,42.60,39.45,33.89,22.46,14.51
2005,14.67,16.72,22.57,29.64,34.80,39.84,43.45,42.92,38.73,32.44,22.80,19.92
2006,14.79,19.24,24.25,28.89,35.85,41.77,42.43,43.71,39.08,32.37,21.56,13.58
2007,13.49,18.93,21.62,26.73,36.47,40.84,42.41,42.70,40.16,33.75,24.28,16.27
2008,11.23,16.96,27.04,32.10,35.35,40.70,43.00,43.44,39.28,32.20,22.71,17.05
2009,15.45,20.13,22.56,27.49,35.55,40.13,42.37,42.01,37.61,33.07,22.62,18.35
2010,19.03,20.49,25.40,29.67,35.62,41.40,43.83,43.49,40.83,34.26,25.74,19.84
2011,15.84,18.27,22.84,27.85,34.68,40.49,43.25,42.88,39.13,31.37,19.60,16.00
