Variable:,tasmax
Country:,Cambodia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.70,32.12,33.86,34.32,32.95,31.82,30.94,30.88,30.48,30.22,29.92,29.69
1902,29.73,29.74,33.92,34.23,33.12,32.68,31.44,31.21,30.31,30.48,30.10,30.93
1903,31.06,31.47,34.78,35.17,33.74,31.24,31.04,30.63,29.99,29.89,28.78,26.90
1904,28.32,30.32,33.50,33.49,33.01,31.88,31.11,31.37,30.90,30.72,29.27,28.71
1905,31.40,33.28,34.36,35.17,33.15,31.88,31.36,31.79,30.98,30.88,30.51,32.74
1906,32.47,33.60,34.51,35.84,34.41,32.46,31.60,31.70,31.31,30.32,29.27,30.03
1907,30.34,32.21,33.15,34.14,32.57,31.72,31.11,30.78,30.74,30.32,30.09,27.97
1908,30.33,31.71,33.61,34.37,32.88,31.84,31.11,30.87,30.65,30.48,28.69,29.52
1909,30.52,32.12,33.74,34.21,32.76,31.94,30.84,31.21,30.74,30.72,29.02,28.63
1910,31.06,31.06,32.96,34.04,32.91,31.68,31.28,31.21,30.07,30.22,29.75,28.30
1911,29.80,31.32,33.61,34.49,33.21,31.94,31.20,31.62,30.98,30.72,31.40,31.01
1912,30.81,32.13,34.75,34.58,34.30,32.47,30.85,30.55,30.39,29.98,28.55,29.37
1913,29.76,32.13,33.91,34.95,32.29,31.51,30.30,30.64,30.48,30.06,29.12,29.29
1914,29.39,32.30,33.85,34.76,34.06,31.75,30.62,30.55,30.33,29.90,30.03,30.20
1915,30.27,32.87,34.01,34.34,32.83,31.90,30.85,31.22,30.16,29.90,28.80,27.25
1916,28.74,31.32,34.12,34.24,32.96,31.35,31.04,30.71,30.16,29.66,28.15,28.15
1917,30.05,31.56,32.80,34.70,33.24,31.17,30.70,30.31,29.92,29.26,28.80,28.40
1918,30.54,30.24,32.97,33.45,32.32,31.85,31.53,30.97,30.82,30.39,30.67,30.84
1919,30.95,32.30,34.62,34.37,33.09,31.32,30.78,30.80,30.33,30.07,29.36,29.86
1920,28.78,31.87,33.93,34.15,33.45,31.78,30.70,31.21,30.49,29.66,30.19,29.79
1921,29.61,31.07,33.70,33.92,32.39,31.64,30.05,30.63,29.76,29.81,28.55,29.21
1922,30.67,32.31,32.81,34.13,33.37,31.72,30.19,30.66,30.49,29.94,28.84,28.69
1923,29.83,30.58,33.37,33.29,32.13,31.38,29.95,30.10,30.06,29.83,30.00,29.97
1924,30.72,31.76,33.80,33.67,32.99,31.60,30.01,30.66,30.07,29.38,30.51,27.80
1925,30.25,30.80,33.80,32.87,32.94,31.58,30.74,30.83,30.52,29.76,29.85,28.32
1926,30.56,31.95,33.49,34.76,33.81,32.07,30.88,30.48,30.51,29.71,29.67,29.78
1927,30.21,31.78,34.00,33.32,32.21,31.47,30.50,30.60,30.24,29.69,29.94,29.65
1928,31.78,31.44,33.96,33.57,32.76,31.30,30.58,30.78,30.09,29.32,29.28,29.94
1929,30.98,31.52,32.67,33.50,33.12,31.42,30.16,30.56,30.29,29.81,29.42,30.58
1930,30.40,31.52,32.84,33.67,32.97,31.85,30.43,30.55,30.71,30.11,29.86,30.06
1931,31.16,31.27,34.49,34.91,33.72,32.30,31.09,30.79,30.29,29.24,29.02,29.58
1932,29.54,31.88,33.32,34.35,33.82,32.34,30.81,31.63,30.49,30.11,30.37,28.86
1933,30.49,32.50,33.71,34.47,33.54,32.15,30.83,31.39,30.77,30.34,28.97,29.59
1934,29.84,31.14,33.49,34.04,33.79,32.36,30.84,30.91,30.76,29.90,30.22,28.37
1935,31.47,32.66,34.44,34.56,33.22,32.11,30.75,31.15,30.51,30.80,30.67,30.29
1936,30.01,31.67,33.22,34.66,33.54,31.89,30.92,30.87,30.56,29.53,30.04,31.36
1937,31.44,32.59,34.97,34.75,32.17,31.55,30.13,30.59,29.91,29.70,30.02,30.22
1938,31.07,32.20,33.44,33.56,32.06,30.60,29.83,31.14,30.02,29.78,28.90,29.94
1939,30.96,32.45,33.68,34.02,32.94,31.42,30.79,30.86,30.40,30.38,30.17,26.80
