Variable:,tasmax
Country:,"Korea, Republic of"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,3.29,0.50,8.29,15.96,20.14,23.70,24.35,27.61,22.93,18.59,10.22,3.07
1902,2.23,3.31,10.33,14.50,20.40,23.80,25.41,25.98,22.24,18.37,12.47,5.88
1903,2.25,3.68,9.88,16.11,20.23,23.76,24.79,28.07,24.44,18.07,9.54,2.72
1904,0.38,4.65,8.44,16.38,20.41,24.68,27.12,27.89,23.10,17.71,9.43,4.45
1905,4.46,1.78,8.38,14.55,20.34,23.89,26.68,25.60,23.04,18.47,10.84,5.68
1906,0.91,1.18,7.89,15.89,20.39,24.07,26.35,27.36,22.85,18.03,8.46,3.50
1907,2.91,0.92,7.86,15.96,21.01,23.84,25.83,28.11,22.84,18.66,10.26,2.44
1908,1.77,1.84,7.89,15.22,20.13,24.44,25.49,27.38,22.82,18.64,8.87,4.75
1909,1.57,1.97,6.91,15.83,20.20,23.89,26.67,27.31,23.82,17.47,10.48,1.96
1910,1.83,1.36,7.30,14.99,20.93,23.74,25.93,27.16,22.19,18.07,10.18,0.91
1911,0.64,3.37,8.71,14.47,20.96,23.84,25.95,27.62,24.42,16.88,10.61,1.94
1912,0.22,5.25,8.94,15.50,19.73,24.36,26.03,27.59,22.04,17.16,7.59,2.33
1913,0.08,1.92,7.45,15.98,19.31,23.37,25.08,26.80,23.16,17.81,10.43,2.65
1914,2.55,3.92,9.82,14.61,21.27,24.04,28.46,28.03,24.07,18.39,10.82,3.86
1915,0.71,2.26,6.51,14.16,19.77,24.13,27.46,27.44,22.55,19.05,11.05,5.53
1916,3.78,2.96,5.86,15.11,20.33,24.73,25.77,27.64,23.47,17.66,11.25,4.12
1917,-2.44,1.63,7.03,15.45,19.22,24.40,28.10,27.46,23.45,18.27,8.17,-0.07
1918,-1.18,4.02,9.00,15.23,19.27,23.73,25.73,27.02,22.93,18.21,9.49,3.30
1919,-0.04,3.53,9.95,16.30,20.92,24.18,27.20,27.78,22.92,17.89,10.98,2.34
1920,0.02,0.88,8.73,15.69,20.41,24.77,27.55,27.40,23.93,19.57,12.26,3.57
