Variable:,tasmax
Country:,Lithuania
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.08,-3.15,2.48,10.46,18.26,22.97,25.01,23.62,17.70,12.77,3.27,-0.18
1902,1.69,-2.29,2.86,6.97,14.32,19.40,19.41,19.21,15.16,8.21,1.29,-4.71
1903,-1.34,2.97,7.10,10.63,17.54,21.93,21.98,19.58,17.85,7.82,4.17,-0.76
1904,-2.00,-0.70,1.95,10.32,14.21,18.51,20.03,20.25,15.97,10.24,2.82,0.92
1905,-3.56,0.45,3.44,8.32,17.78,23.34,21.89,21.60,16.21,7.92,4.09,-0.30
1906,-0.95,-0.53,2.78,12.78,21.52,20.87,22.57,20.13,15.32,9.65,6.05,-2.24
1907,-3.77,-3.22,2.46,8.17,16.59,19.76,20.67,18.60,16.94,14.55,2.53,-4.13
1908,-0.84,-0.18,2.28,8.90,15.79,20.19,22.62,19.97,15.19,9.84,0.81,-1.79
1909,-2.56,-4.84,1.06,6.77,13.20,20.05,20.09,21.12,18.21,13.12,2.00,1.22
1910,0.19,1.44,4.50,11.97,19.27,22.56,21.84,20.54,18.14,9.33,2.63,1.84
1911,-0.58,-3.13,3.32,10.00,19.00,19.42,21.09,23.37,17.31,11.08,5.11,0.08
1912,-6.01,-2.55,4.59,8.48,14.70,21.82,23.16,21.86,13.52,6.79,2.81,2.45
1913,-3.11,0.49,5.56,12.35,16.57,19.52,21.56,22.29,17.38,10.72,6.91,2.02
1914,-1.51,1.76,3.76,11.21,18.06,22.70,25.81,20.85,15.87,7.97,2.00,2.49
1915,-2.11,-0.94,-0.60,10.70,17.29,20.69,22.91,20.63,15.57,8.28,2.44,-1.63
1916,-0.53,-0.62,1.76,11.72,16.47,19.19,21.73,19.42,16.21,9.36,5.12,0.06
1917,-3.68,-4.25,-1.68,7.82,16.70,24.17,20.95,23.43,17.44,11.27,5.33,-1.33
1918,-1.00,-0.63,3.29,13.61,17.91,17.98,21.98,20.66,16.62,12.76,4.14,-0.48
1919,-1.64,-1.07,2.04,10.49,16.69,20.30,22.25,19.39,19.41,9.96,-0.02,-1.21
1920,-2.36,0.60,6.22,14.61,19.98,19.66,23.50,21.46,17.11,8.30,3.36,-1.12
1921,1.14,-0.89,8.05,14.38,20.96,20.66,21.63,22.36,15.95,11.91,0.79,-1.33
1922,-5.01,-2.99,2.63,9.19,17.04,20.14,21.35,20.18,15.58,6.96,2.61,0.68
1923,-0.25,-4.65,3.11,8.05,16.03,16.02,21.66,18.66,17.00,11.78,5.03,-1.61
1924,-6.64,-4.30,0.33,6.70,17.93,20.57,20.55,21.34,18.31,11.65,4.02,0.17
1925,1.67,2.81,2.13,12.19,20.25,18.10,23.69,20.41,15.36,8.69,2.44,-1.03
1926,-3.80,-1.81,2.05,10.33,17.07,20.81,23.33,19.48,16.34,8.02,7.24,-1.18
1927,-3.10,-2.14,4.07,8.34,13.03,19.42,24.75,22.46,17.27,9.93,1.84,-4.36
1928,-1.58,-1.71,1.76,9.23,15.98,16.00,20.26,18.78,16.00,10.05,7.02,-1.97
1929,-5.52,-9.14,0.59,5.08,18.87,18.20,20.86,21.92,17.05,12.61,5.61,2.13
1930,0.64,-0.83,3.92,12.98,17.43,22.00,21.44,20.80,14.90,11.58,5.28,-2.33
1931,-2.72,-4.34,0.18,7.62,20.23,18.70,22.88,20.78,13.95,9.03,2.72,0.29
1932,0.67,-3.43,-0.37,9.81,19.03,18.81,25.67,22.46,18.30,10.27,4.23,2.14
1933,-5.96,-1.61,3.60,8.13,15.17,19.73,22.97,19.84,15.81,10.22,1.83,-3.68
1934,-1.34,1.39,4.11,13.63,19.72,21.01,22.31,23.07,20.38,12.84,6.53,-1.23
1935,-4.42,0.48,3.39,11.00,14.91,22.31,19.82,20.48,16.57,11.83,3.46,0.25
1936,0.46,-3.73,4.84,10.82,18.86,23.37,25.11,21.44,16.08,7.48,4.33,2.06
1937,-5.88,-1.33,2.52,13.00,21.57,23.07,22.08,23.78,18.93,11.81,4.11,-3.93
1938,-1.91,1.11,6.44,9.20,16.51,20.49,23.71,25.64,19.66,11.71,7.02,-4.06
1939,-0.91,2.48,2.31,10.94,16.15,22.24,24.36,26.49,16.97,6.81,4.22,-1.89
1940,-9.18,-9.22,-1.30,9.02,19.00,22.29,23.26,19.57,15.23,8.68,5.71,-2.27
1941,-8.47,-3.54,0.84,7.02,14.15,19.58,24.41,20.92,14.46,7.59,-0.86,-1.04
1942,-10.95,-6.49,-2.81,9.13,15.41,18.28,20.58,23.13,17.89,11.45,2.40,0.63
1943,-5.90,1.90,6.13,11.67,16.16,20.57,20.26,21.24,17.13,11.78,3.83,1.07
1944,1.06,-0.33,1.99,8.73,15.68,18.96,24.21,23.86,17.82,11.05,4.14,-0.51
1945,-3.87,-0.47,3.14,9.70,15.77,19.17,23.00,21.98,15.61,9.30,3.26,-1.89
1946,-2.14,-1.51,1.98,11.78,18.11,20.48,23.62,21.81,17.02,7.33,1.53,-2.20
1947,-6.20,-9.16,0.51,10.07,18.92,22.60,23.31,21.51,18.85,9.21,3.53,0.74
1948,-0.72,-2.96,3.18,13.35,19.73,20.58,22.28,21.72,17.43,9.98,3.87,1.04
1949,0.85,1.07,2.55,11.31,20.32,19.23,21.76,20.32,20.21,12.20,5.63,2.61
1950,-7.51,0.34,3.95,13.36,18.43,20.81,21.00,21.69,17.00,9.51,3.77,0.88
1951,-3.12,-2.14,0.65,11.92,14.89,21.40,22.03,25.24,18.80,9.22,4.54,2.91
1952,0.58,-1.46,-2.33,13.00,14.88,19.01,22.29,21.73,14.13,8.31,1.95,-0.51
1953,-2.05,-3.50,4.00,12.36,17.10,22.92,23.51,21.20,16.35,11.52,3.53,-1.47
1954,-5.64,-7.76,2.72,7.21,19.32,22.64,21.37,20.94,17.33,10.13,3.01,1.63
1955,-1.82,-2.22,0.51,5.81,13.64,19.09,23.39,25.11,19.02,11.48,4.07,-1.38
1956,-2.05,-8.63,1.49,6.36,16.52,23.03,20.70,18.41,15.57,9.61,0.48,0.13
1957,0.05,2.18,2.73,11.19,15.83,20.54,23.36,20.35,14.75,10.93,5.34,0.21
1958,-2.01,-1.07,-0.20,7.08,17.47,19.19,21.68,20.37,16.68,11.91,5.12,0.30
1959,0.14,0.46,6.08,11.95,16.76,21.79,25.80,23.76,14.88,10.22,3.22,-3.27
1960,-3.47,-2.66,1.71,10.21,17.71,21.41,22.30,20.86,15.69,9.09,4.44,3.30
1961,-0.94,1.67,5.75,12.55,16.29,22.44,20.95,19.42,17.04,12.59,4.81,-1.40
1962,0.38,-1.29,-0.61,12.18,14.43,18.23,19.68,19.24,14.90,11.24,4.74,-2.80
1963,-7.55,-5.17,-0.88,10.10,21.15,20.74,24.69,23.54,18.86,10.45,5.25,-2.32
1964,-1.20,-3.80,-0.50,9.90,17.29,24.25,23.31,20.29,17.08,10.96,4.24,0.26
1965,-1.09,-3.21,1.71,9.34,13.97,20.22,19.93,19.99,18.51,10.60,-0.22,0.36
1966,-5.01,-2.94,3.01,9.64,18.21,22.96,22.91,21.24,15.19,11.81,3.11,-1.52
1967,-5.28,-0.22,5.28,9.97,18.71,20.60,23.61,21.97,19.16,13.72,5.71,-1.78
1968,-5.78,-1.34,4.64,12.65,15.61,23.01,21.02,23.38,17.55,9.28,3.12,-1.20
1969,-6.39,-4.25,0.54,9.27,17.04,20.95,23.29,22.31,17.14,10.87,5.83,-5.04
1970,-5.56,-4.33,1.48,8.82,17.71,22.05,21.70,21.52,15.77,9.33,4.39,-0.04
1971,-0.59,0.01,0.97,10.25,19.46,20.34,23.32,24.35,15.30,10.57,3.16,2.70
1972,-6.99,-0.41,4.52,10.09,17.60,22.96,24.76,22.64,16.23,9.39,5.11,2.78
1973,-1.27,1.35,6.10,10.32,17.33,22.11,23.74,22.39,14.58,8.88,3.12,-0.99
1974,-1.13,1.97,6.33,11.00,14.60,19.34,19.73,21.62,18.21,9.22,4.55,2.49
1975,2.38,1.67,5.95,10.15,19.76,20.28,23.95,23.86,20.94,10.75,2.91,2.62
1976,-2.87,-2.38,0.68,10.30,16.58,18.32,22.41,20.97,16.62,7.21,4.67,-0.58
1977,-2.70,-1.58,4.57,8.64,17.20,21.41,19.57,19.99,14.46,10.47,5.64,-0.27
1978,-1.61,-3.98,4.23,9.67,16.22,19.86,20.56,20.04,13.59,10.02,7.54,-5.61
1979,-5.17,-3.66,2.53,9.44,19.58,24.03,18.32,21.10,16.38,9.59,3.62,0.94
1980,-4.22,-3.05,0.08,10.02,13.23,21.60,20.84,19.44,16.22,10.26,2.38,0.86
1981,-2.06,-0.51,3.46,8.82,19.81,20.96,22.44,20.30,16.89,11.37,3.72,-2.16
1982,-3.04,-1.67,5.06,9.39,17.77,18.67,22.75,22.98,18.01,10.87,6.57,2.16
1983,2.90,-1.39,3.89,12.61,19.81,20.30,23.09,24.00,18.47,11.28,3.91,0.36
1984,0.01,-1.74,2.59,13.74,19.17,18.33,19.92,22.32,15.58,12.53,3.20,-0.61
1985,-7.52,-8.63,1.93,9.69,19.11,19.31,20.80,22.77,14.76,11.57,1.93,0.11
1986,-1.46,-6.94,4.25,11.00,19.15,21.55,22.31,21.16,13.42,10.74,6.17,-0.66
1987,-10.26,-0.95,-0.34,9.00,15.60,19.12,21.25,19.31,15.52,11.10,4.48,1.12
1988,-0.79,-0.03,2.17,9.78,19.93,21.71,24.16,20.59,17.30,10.81,1.77,0.11
1989,3.15,4.58,6.63,12.55,18.96,21.11,23.29,20.63,18.28,11.33,3.46,1.15
1990,1.88,5.58,8.10,14.14,18.16,20.89,20.06,21.73,13.94,11.30,5.30,0.33
1991,0.96,-0.53,4.72,11.41,14.99,19.30,23.40,23.05,17.73,11.28,5.50,1.52
1992,1.49,1.81,5.98,9.04,18.34,23.27,24.89,24.50,16.79,6.92,3.77,1.51
1993,1.19,0.90,3.64,12.28,22.26,19.23,20.67,19.90,13.19,9.85,-1.01,1.16
1994,1.07,-3.89,2.70,12.63,16.41,18.53,26.53,23.02,18.02,9.61,4.53,0.86
1995,-1.24,3.49,4.72,11.73,16.77,22.50,23.35,23.34,16.71,12.90,2.25,-3.53
1996,-4.97,-4.44,1.54,12.37,18.21,20.23,20.37,24.58,14.20,11.60,6.69,-3.20
1997,-1.24,1.97,4.68,8.45,16.37,21.34,23.53,25.48,16.65,8.50,3.74,-1.58
1998,1.46,2.91,3.62,12.64,18.52,21.16,20.95,19.30,16.99,10.05,-0.85,-1.18
1999,-0.36,-0.68,5.88,13.99,16.29,24.45,25.72,22.55,19.92,10.35,3.79,1.34
2000,-0.30,2.49,4.91,16.28,19.36,20.73,20.73,21.47,15.82,14.08,7.15,2.72
2001,-0.08,-0.23,3.75,12.68,18.32,19.60,26.02,23.10,16.29,12.59,4.31,-2.74
2002,0.50,4.01,6.90,13.23,21.69,22.06,25.95,26.65,18.14,7.04,3.56,-4.99
2003,-2.44,-3.07,4.63,9.91,19.03,20.64,25.31,22.08,18.05,7.84,5.26,2.35
2004,-3.90,0.15,4.94,12.86,16.22,19.45,21.73,23.55,17.35,11.15,3.76,2.52
2005,1.12,-2.17,0.60,12.18,17.10,20.12,24.77,21.82,19.22,12.23,4.81,-0.34
2006,-4.88,-3.65,0.99,11.79,17.96,21.89,26.54,22.30,19.72,12.91,6.22,5.47
2007,2.89,-3.04,9.10,11.92,19.06,22.91,21.57,23.75,17.42,10.12,2.92,1.83
2008,0.47,3.65,5.28,13.55,17.28,21.60,23.02,22.26,15.74,12.16,5.51,1.58
2009,-1.01,-1.17,3.38,14.49,18.13,19.52,23.13,22.51,18.84,8.39,5.43,-1.17
2010,-7.49,-2.44,4.21,12.35,18.30,21.08,26.47,24.32,15.82,9.09,5.42,-4.42
2011,-0.76,-4.17,3.90,13.70,17.57,23.49,24.30,22.36,18.26,11.24,6.04,3.39
2012,-1.40,-5.24,5.40,12.41,19.24,19.69,24.26,21.48,17.77,10.15,6.32,-3.10
2013,-3.66,0.32,-0.12,10.08,21.18,23.69,23.25,23.36,16.27,11.61,7.13,3.56
2014,-3.80,1.96,8.35,14.09,18.18,19.29,25.99,22.88,18.17,11.52,4.29,0.97
2015,1.13,1.81,7.86,11.53,16.75,21.26,22.76,26.28,18.60,10.23,6.63,4.32
2016,-3.78,2.97,5.23,12.14,20.87,23.14,23.03,22.13,18.81,8.20,3.08,2.07
2017,-2.05,-0.14,6.70,9.87,18.22,20.65,21.65,22.87,16.99,10.20,5.30,2.49
2018,-0.23,-2.99,1.72,15.18,22.99,23.32,24.73,24.90,19.85,13.05,4.56,0.19
2019,-1.67,2.93,6.68,14.31,18.19,25.55,22.01,23.72,18.11,12.86,6.53,3.76
2020,3.22,4.31,7.76,12.44,15.76,24.00,22.61,24.24,19.71,12.93,6.67,1.68
