Variable:,tasmax
Country:,Mexico
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.35,23.64,26.96,28.81,31.15,31.80,31.15,31.46,30.08,28.56,25.99,23.11
1902,22.61,23.92,26.95,30.53,32.33,32.94,30.88,31.21,30.22,28.77,26.26,23.07
1903,22.82,22.90,25.93,29.18,30.44,30.60,30.80,30.54,29.49,27.41,25.66,22.67
1904,22.62,26.08,28.78,29.95,30.94,31.43,30.33,30.27,29.32,27.02,24.77,22.85
1905,22.68,22.34,26.44,28.34,31.51,31.73,30.78,31.38,30.18,27.60,25.25,20.58
1906,22.58,23.59,26.14,28.82,31.39,32.66,30.75,29.93,30.00,27.46,24.79,23.20
1907,24.27,25.54,28.58,29.45,30.15,31.63,30.56,30.67,30.41,27.56,23.47,23.70
1908,23.42,24.51,28.27,30.14,31.68,32.71,30.64,30.50,29.82,27.65,25.28,23.29
1909,24.64,24.65,27.32,29.44,31.44,32.24,31.11,30.30,29.29,28.56,26.75,21.22
1910,23.11,23.76,27.77,29.51,31.78,32.00,31.34,31.50,30.29,27.92,26.01,23.45
1911,24.99,24.70,27.62,29.12,30.48,31.95,30.19,31.69,31.02,27.91,23.84,21.42
1912,22.85,23.90,25.69,28.80,31.81,30.81,30.91,31.13,30.22,27.66,24.19,20.99
1913,22.26,23.18,25.97,28.63,31.36,30.67,31.05,31.31,29.16,27.64,26.23,22.09
1914,24.60,24.18,25.94,29.31,31.13,31.52,31.20,31.08,30.29,28.00,25.15,20.54
1915,21.79,24.38,24.16,28.32,31.48,33.10,31.79,31.32,30.18,29.03,26.48,23.92
1916,24.58,26.15,29.02,29.56,32.31,33.46,30.94,30.20,29.53,27.87,24.71,23.11
1917,22.82,25.27,26.59,29.19,30.43,32.52,31.69,31.63,29.92,28.34,26.56,23.46
1918,22.03,25.21,27.50,29.44,30.94,32.33,31.57,31.06,29.81,28.70,23.88,21.90
1919,20.74,23.16,25.64,28.88,31.19,31.30,29.86,31.16,29.32,28.05,25.21,22.76
1920,21.70,24.83,26.01,29.52,31.55,31.09,31.65,30.70,30.74,27.84,24.50,22.87
1921,23.74,24.61,27.63,28.79,30.67,31.97,30.67,31.08,30.80,28.74,26.70,24.64
1922,22.09,25.17,26.04,30.01,32.32,31.68,31.44,31.76,30.08,27.92,24.60,24.68
1923,24.88,23.05,25.31,28.98,32.53,32.05,31.35,30.94,29.82,27.06,23.51,21.68
1924,21.42,24.08,25.45,28.65,30.64,32.75,31.30,32.30,29.85,28.37,26.46,21.62
1925,22.40,26.10,27.61,30.19,31.52,31.63,31.68,30.96,29.63,27.21,24.82,21.06
1926,21.37,26.06,25.86,28.53,31.12,31.91,30.74,30.94,30.81,28.92,25.30,23.00
1927,24.72,25.86,26.42,30.44,33.71,31.33,31.03,31.37,30.09,28.28,27.34,21.11
1928,22.93,24.34,27.94,29.30,31.25,33.24,31.77,31.26,29.49,29.13,24.30,22.50
1929,23.68,24.30,27.10,31.03,32.02,32.99,30.91,31.10,30.46,28.05,23.67,22.68
1930,21.19,25.87,25.39,29.81,31.02,31.55,31.08,32.23,31.53,27.69,23.77,21.60
1931,21.44,23.72,25.49,28.05,30.51,32.36,31.11,30.68,31.00,29.83,25.70,22.54
1932,23.05,26.04,25.54,29.76,31.59,33.36,31.66,31.72,29.79,27.78,25.26,21.99
1933,22.86,23.59,27.67,29.73,33.04,32.03,31.91,30.59,30.39,28.77,25.90,25.25
1934,23.29,25.03,27.45,29.26,31.38,32.63,31.42,31.17,30.32,29.39,26.52,23.98
1935,24.61,23.44,27.33,30.01,30.88,31.65,31.01,30.82,29.10,28.29,25.93,22.60
1936,23.55,24.97,27.44,29.31,31.17,32.77,30.81,30.95,29.05,27.52,24.59,23.63
