Variable:,tasmax
Country:,Mongolia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-14.06,-10.27,-0.73,8.57,17.48,23.26,24.07,22.55,17.51,6.07,-3.15,-16.73
1902,-13.53,-7.92,-1.00,7.63,15.97,22.17,23.20,21.49,17.26,7.85,-5.24,-12.52
1903,-14.18,-9.04,-1.92,8.47,16.80,21.83,24.56,21.64,16.18,6.40,-5.12,-13.68
1904,-16.44,-11.55,-3.76,7.73,17.52,23.10,23.01,22.24,15.80,7.45,-2.12,-11.57
1905,-11.74,-11.88,-3.24,7.13,16.72,21.84,24.63,22.61,15.84,7.67,-4.36,-12.85
1906,-15.75,-13.00,-0.79,10.82,16.50,22.46,22.72,23.22,16.24,7.49,-6.97,-10.37
1907,-13.70,-12.99,-2.15,9.64,17.83,22.39,22.41,22.26,16.84,7.80,-5.38,-12.71
1908,-15.50,-11.56,-3.81,8.39,18.12,22.76,24.41,22.49,16.17,7.65,-4.80,-10.99
1909,-15.61,-10.70,-5.09,7.76,17.00,22.31,24.25,23.45,15.39,6.43,-3.34,-13.49
1910,-16.89,-10.11,-4.34,8.37,17.57,21.99,24.58,22.93,15.71,7.85,-6.08,-14.32
1911,-13.56,-10.27,-3.19,9.55,16.73,22.22,23.92,22.49,16.47,8.62,-2.80,-14.32
1912,-13.53,-8.75,-4.51,8.93,17.44,22.03,24.46,20.94,14.87,5.97,-6.77,-15.01
1913,-15.20,-11.32,-1.70,7.84,17.27,22.98,23.45,21.33,15.79,8.68,-2.99,-11.84
1914,-10.63,-9.06,-3.44,9.96,17.63,22.22,23.61,22.82,16.82,8.21,-5.21,-12.76
1915,-17.17,-12.05,-3.01,7.62,17.62,22.50,24.54,21.84,15.51,5.85,-3.91,-10.55
1916,-13.73,-10.67,-4.72,6.90,17.36,21.50,24.42,22.57,16.64,8.29,-3.90,-15.77
1917,-15.68,-10.96,-1.48,9.11,18.13,23.23,23.65,21.79,16.13,7.14,-3.74,-14.95
1918,-13.26,-9.23,-0.91,8.49,17.45,22.49,23.97,22.43,16.57,7.75,-4.95,-14.96
1919,-18.77,-8.83,-2.61,8.15,17.26,22.34,24.69,22.57,16.63,8.14,-4.70,-12.31
1920,-13.28,-12.66,-0.97,9.96,17.82,21.83,24.56,22.17,15.34,8.97,-4.67,-14.72
1921,-12.49,-10.67,-1.93,7.98,17.06,22.07,25.64,23.39,16.92,8.27,-4.98,-12.40
1922,-18.41,-11.59,-2.16,9.47,16.72,22.80,25.53,22.58,15.17,8.20,-6.26,-12.42
1923,-15.32,-13.10,-1.67,8.74,17.11,22.06,24.54,22.89,16.60,7.37,-5.72,-11.37
1924,-13.88,-12.04,-3.61,8.06,18.27,22.18,25.08,22.67,16.57,6.94,-2.86,-11.61
1925,-12.73,-12.15,-3.66,9.30,16.93,22.40,23.42,22.65,17.08,9.87,-2.11,-11.58
1926,-13.40,-10.45,0.30,10.11,17.03,23.09,24.82,23.01,16.90,7.80,-3.84,-14.99
1927,-14.37,-10.24,-3.83,8.36,17.60,22.29,24.38,21.66,17.60,7.66,-2.70,-13.09
1928,-14.48,-11.79,-3.61,9.46,16.84,23.09,24.13,22.95,16.10,8.39,-5.15,-15.05
1929,-16.74,-13.90,-0.52,10.10,17.13,21.92,23.20,21.63,16.61,7.68,-2.86,-16.40
1930,-15.96,-10.50,-1.50,7.40,17.05,22.14,24.14,22.31,15.65,9.16,-5.27,-13.71
1931,-15.93,-14.18,-2.21,7.62,15.23,22.43,23.93,22.82,16.28,9.10,-4.19,-12.68
1932,-10.74,-11.10,-2.41,9.57,16.41,21.62,24.77,20.91,17.49,9.53,-2.20,-10.64
1933,-17.21,-12.49,-3.66,8.74,16.86,22.16,23.44,22.46,15.46,6.70,-3.98,-11.51
1934,-16.13,-9.39,-4.22,7.27,17.79,21.87,23.56,21.04,14.98,7.57,-4.36,-11.07
1935,-14.18,-7.29,-0.30,7.36,15.90,22.36,23.86,23.09,17.66,8.87,-7.05,-17.70
1936,-17.42,-12.56,-4.46,6.38,15.91,21.16,24.35,22.02,16.54,9.88,-3.84,-12.79
1937,-16.88,-10.34,-5.91,7.27,17.64,22.17,23.39,21.76,15.65,8.58,-4.94,-14.74
1938,-17.34,-10.25,-0.17,11.64,16.09,21.51,24.92,21.40,15.11,8.48,-2.19,-14.88
1939,-14.84,-9.16,-2.84,9.51,17.04,22.09,25.82,23.95,16.81,7.00,-4.79,-9.63
1940,-16.67,-11.29,0.29,9.12,17.17,22.04,23.01,20.79,15.58,9.03,-4.01,-9.44
1941,-12.98,-11.72,-1.60,8.59,15.97,23.02,24.77,22.38,16.47,7.94,-3.42,-11.47
1942,-13.86,-14.48,2.18,8.43,15.06,22.69,23.41,23.04,16.94,8.03,-2.72,-12.01
1943,-17.09,-10.66,-1.68,9.63,18.18,21.87,25.37,23.05,15.96,8.49,-4.39,-11.31
1944,-16.44,-11.72,-1.31,9.00,16.40,24.89,25.64,23.13,17.22,7.38,-7.87,-18.56
1945,-18.72,-17.24,-4.26,12.12,18.86,22.86,23.54,22.29,17.01,9.57,-1.89,-11.19
1946,-13.05,-6.61,-6.06,10.63,15.87,23.79,26.39,23.17,15.06,10.18,-2.43,-16.69
1947,-18.77,-13.50,-4.51,10.99,17.75,22.49,24.07,21.68,16.91,6.81,-7.78,-18.30
1948,-13.46,-11.61,2.13,11.63,14.78,22.99,25.05,22.93,15.48,6.91,-6.27,-10.11
1949,-12.72,-8.26,-3.67,10.21,17.05,22.12,24.58,22.06,16.01,9.46,-4.89,-17.47
1950,-13.58,-11.79,-0.50,7.10,17.98,23.08,25.28,22.41,17.04,6.55,-7.06,-12.57
1951,-16.27,-12.76,-3.76,5.27,19.00,24.75,24.70,21.91,15.49,8.56,-2.89,-8.73
1952,-12.31,-13.92,-1.61,8.20,17.76,23.17,24.55,22.42,16.61,7.02,-8.37,-15.10
1953,-16.00,-12.83,0.15,7.73,17.30,23.29,24.43,22.75,18.77,8.92,-5.13,-12.80
1954,-15.06,-10.84,-3.66,7.81,14.34,22.64,23.64,24.09,17.11,7.66,-3.23,-18.73
1955,-16.85,-10.38,-4.56,6.70,17.24,22.11,24.48,24.04,16.17,7.63,-1.08,-8.34
1956,-15.51,-12.79,-3.01,8.54,16.64,21.48,23.47,22.59,17.09,8.22,-6.94,-16.44
1957,-16.63,-16.07,-3.29,9.20,15.29,23.10,22.55,21.06,14.94,8.76,-1.48,-9.84
1958,-14.61,-9.20,-2.22,8.54,17.54,22.64,24.06,22.49,17.00,7.60,-2.81,-7.97
1959,-14.41,-9.26,0.11,9.91,17.01,21.03,23.35,22.16,17.12,9.53,-8.39,-14.60
1960,-15.18,-6.97,-1.21,8.46,15.23,21.74,24.23,22.88,16.80,8.12,-5.09,-13.93
1961,-13.99,-7.58,-0.27,12.79,16.71,22.26,23.65,21.03,16.70,6.05,-2.37,-12.51
1962,-14.47,-9.14,-1.04,8.57,17.93,22.49,23.39,23.21,17.19,8.62,-6.37,-6.97
