Variable:,tasmax
Country:,Malaysia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.49,28.84,29.43,29.99,30.11,29.94,29.68,29.66,29.52,29.42,29.01,28.64
1902,28.44,28.72,29.42,29.97,30.12,29.99,29.68,29.67,29.52,29.44,29.02,28.72
1903,28.53,28.77,29.43,29.97,30.14,29.92,29.60,29.64,29.44,29.33,28.91,28.44
1904,28.29,28.64,29.34,29.78,29.96,29.87,29.63,29.56,29.55,29.32,28.87,28.49
1905,28.48,28.79,29.43,30.00,30.09,29.91,29.66,29.62,29.45,29.31,28.93,28.82
1906,28.55,28.94,29.44,30.06,30.17,29.92,29.64,29.65,29.47,29.32,28.90,28.64
1907,28.25,28.43,29.03,29.66,30.02,29.89,29.58,29.55,29.46,29.27,28.96,28.57
1908,28.56,28.98,29.36,29.84,29.86,29.86,29.39,29.63,29.48,29.38,28.88,28.62
1909,28.54,28.87,29.37,29.77,30.04,29.94,29.58,29.66,29.44,29.39,28.68,28.41
1910,28.50,28.80,29.32,29.78,29.85,29.90,29.65,29.40,29.28,29.31,28.83,28.63
1911,28.73,29.22,29.70,30.06,30.01,30.02,29.85,29.58,29.56,29.43,29.44,29.11
1912,29.12,29.37,30.01,30.20,30.31,29.89,29.82,29.54,29.50,29.44,29.16,29.04
1913,28.92,29.36,29.93,29.88,30.14,29.91,29.66,29.64,29.55,29.68,29.31,29.22
1914,28.67,29.31,29.72,30.22,30.66,29.96,29.93,30.08,29.88,29.74,29.61,29.42
1915,28.94,29.40,29.82,30.27,30.30,30.18,29.80,30.22,29.75,29.54,29.57,29.02
1916,28.80,29.43,29.65,30.29,29.98,29.86,29.27,29.61,29.62,29.67,29.38,28.94
1917,28.58,28.77,29.40,30.04,29.61,29.73,29.71,29.43,29.54,29.53,29.40,28.93
1918,27.80,28.14,29.40,29.77,29.78,29.58,29.81,29.84,29.68,29.44,29.42,28.63
1919,28.99,29.42,29.94,30.33,30.32,30.18,29.46,29.97,29.58,29.46,29.10,28.71
1920,28.56,29.07,29.68,30.00,30.30,30.31,29.93,29.72,29.81,29.62,29.33,28.47
1921,28.55,28.87,29.47,29.82,29.92,29.67,29.75,29.68,29.78,29.21,29.09,28.88
1922,28.94,29.05,29.22,29.62,29.92,29.92,29.73,29.35,29.60,29.52,29.37,29.18
1923,28.56,29.07,29.29,30.22,30.06,29.88,29.63,29.31,29.40,29.28,29.15,28.86
1924,28.63,28.95,29.05,30.14,29.99,29.86,29.62,29.80,29.33,29.14,28.79,28.59
1925,28.73,28.51,29.04,29.81,30.39,30.10,29.85,30.18,29.90,29.35,29.24,28.63
1926,28.34,29.44,30.06,30.56,30.42,30.03,30.01,30.08,29.83,29.43,29.34,28.86
1927,28.50,29.14,29.71,29.90,30.27,30.14,29.81,29.84,29.88,29.34,29.30,29.24
1928,29.13,28.82,29.57,30.06,30.36,29.98,30.01,29.85,29.82,29.51,29.10,29.03
1929,28.75,28.60,28.94,30.07,30.25,29.70,29.73,29.77,29.62,29.45,28.91,29.02
1930,29.02,29.38,29.45,30.24,29.98,29.88,30.07,30.23,29.72,29.51,29.18,29.21
1931,29.00,29.72,30.10,30.39,30.52,30.13,29.92,30.20,29.76,29.39,29.27,28.68
1932,28.42,29.19,29.40,30.02,30.09,29.85,29.78,29.92,29.46,29.47,28.93,28.96
1933,28.50,29.22,29.34,30.02,30.36,30.06,29.55,29.99,29.46,29.21,28.85,28.92
1934,28.14,28.42,28.95,29.73,30.10,29.73,29.81,29.86,29.66,29.20,29.04,29.05
1935,29.02,29.43,29.74,30.12,29.80,29.84,29.91,29.65,29.69,29.47,29.14,29.11
1936,28.80,29.70,29.47,29.99,30.16,29.78,29.83,29.72,29.46,29.04,28.94,29.15
1937,29.03,29.29,29.86,29.87,29.94,29.98,29.68,29.90,29.66,29.21,29.13,28.80
1938,28.67,29.31,29.20,29.93,29.94,30.10,29.82,29.64,29.63,29.38,28.97,28.94
1939,28.54,28.80,29.45,30.05,30.14,29.88,29.95,29.81,29.25,29.16,29.15,28.39
1940,28.54,28.70,29.53,30.40,30.16,30.09,30.15,29.64,29.70,29.81,29.33,29.40
1941,29.62,29.85,30.18,30.77,30.75,31.05,30.41,30.42,29.95,30.19,29.35,29.35
1942,28.51,28.86,29.42,29.91,30.04,29.96,29.64,29.68,29.49,29.40,29.06,28.67
1943,28.42,29.03,29.42,30.02,30.17,30.06,29.80,29.91,29.67,29.47,29.05,28.62
1944,28.58,28.94,29.49,30.06,30.17,30.08,29.65,29.67,29.55,29.44,29.11,28.60
1945,28.51,28.87,29.34,30.02,30.13,29.95,29.67,29.69,29.59,29.38,29.15,28.76
1946,28.44,28.77,29.43,29.89,29.98,29.98,29.75,29.71,29.51,29.46,29.06,28.89
1947,28.82,28.96,29.36,29.91,30.15,29.98,29.75,29.70,29.64,29.44,29.03,28.64
1948,28.36,28.90,29.52,30.39,30.34,30.32,29.82,29.95,29.82,29.73,28.88,29.33
1949,28.92,29.03,29.83,30.01,30.01,29.96,29.71,29.86,29.73,29.40,29.17,29.14
1950,29.40,29.11,29.81,29.90,30.00,30.20,30.03,29.78,29.67,29.29,29.17,29.03
1951,28.67,28.62,29.62,30.11,30.05,30.29,29.38,30.08,29.48,29.53,29.72,29.07
1952,29.05,29.20,29.50,30.23,29.94,30.17,29.60,29.52,29.56,29.48,28.74,28.65
1953,28.88,28.83,29.72,30.29,30.19,30.29,29.59,30.32,29.61,29.74,29.33,29.44
1954,29.35,29.44,29.68,30.12,30.12,29.73,29.58,29.84,29.55,29.10,28.83,28.71
1955,28.51,28.75,29.59,29.94,30.33,29.79,29.70,29.36,29.54,29.67,28.95,28.61
1956,28.28,28.88,29.39,30.12,29.71,29.67,29.29,29.34,29.42,28.96,28.67,28.14
1957,28.51,28.82,29.41,30.12,30.05,30.45,29.89,29.92,29.65,29.66,29.41,29.00
1958,29.44,29.38,29.99,30.64,30.46,30.42,30.31,29.44,29.88,29.40,28.48,28.90
1959,28.90,29.59,29.49,29.83,29.80,29.67,29.60,29.45,29.42,29.36,28.92,29.08
1960,28.76,28.57,29.84,30.07,30.24,29.89,29.43,30.20,29.53,29.70,28.78,28.96
1961,28.31,28.72,29.33,29.55,30.13,29.55,29.71,29.58,29.42,29.13,29.15,28.49
1962,27.76,28.07,28.68,29.53,30.04,29.75,29.71,28.86,29.28,29.25,28.84,28.23
1963,26.75,27.40,28.44,29.89,29.84,30.24,29.73,29.21,29.68,29.12,29.29,28.92
1964,29.33,28.68,29.15,29.68,29.91,29.55,28.98,29.55,29.20,29.05,28.46,28.13
1965,27.94,28.47,28.68,29.39,29.59,29.76,29.65,29.13,29.32,29.31,29.39,28.74
1966,28.90,29.09,29.67,30.15,30.29,29.49,29.18,29.05,29.75,29.06,29.01,28.91
1967,28.17,28.22,28.87,29.71,29.75,29.79,29.50,29.75,29.52,29.21,28.70,28.40
1968,28.17,28.87,29.03,29.76,29.87,29.96,29.44,29.62,29.69,29.06,29.27,28.76
1969,29.09,29.25,29.78,30.31,30.24,29.74,29.50,29.14,29.65,29.38,28.44,28.29
1970,28.53,29.09,29.86,29.75,29.91,29.69,29.20,29.38,29.25,29.14,28.73,28.67
1971,28.03,28.06,29.04,30.09,30.23,29.84,29.80,28.99,29.72,29.37,28.71,28.26
1972,28.18,29.05,29.18,29.65,30.46,29.96,30.75,30.11,29.71,30.04,29.61,29.59
1973,29.46,29.85,29.85,30.21,30.06,30.10,29.94,29.65,29.18,29.67,28.94,28.00
1974,28.00,28.11,29.24,29.70,29.80,29.71,29.43,30.03,29.15,29.49,29.19,29.07
1975,28.90,28.78,29.21,30.07,29.81,29.46,29.25,30.02,29.11,29.49,28.68,28.22
1976,27.61,28.71,29.24,29.57,29.87,29.49,29.47,29.28,29.59,29.23,28.69,28.69
1977,28.65,27.65,28.66,30.00,30.22,29.86,29.71,29.36,29.95,29.22,28.82,28.86
1978,28.69,29.11,29.72,30.14,30.09,29.93,29.39,29.90,29.50,29.51,28.88,28.89
1979,29.08,29.58,30.03,30.10,30.62,29.83,29.41,30.25,29.29,29.43,28.75,28.90
1980,28.81,29.22,30.00,29.97,30.55,29.81,29.94,29.27,29.93,29.76,29.14,28.46
1981,28.30,28.98,29.91,30.08,30.15,30.66,30.03,31.01,29.61,29.83,29.15,28.71
1982,28.57,29.17,29.89,29.89,30.20,30.16,30.07,29.83,30.09,29.61,29.81,29.41
