Variable:,tasmax
Country:,Netherlands
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.30,1.96,6.76,13.27,18.01,19.92,23.95,21.75,18.39,13.81,8.00,5.41
1902,6.92,3.25,9.17,12.77,13.43,20.17,20.30,19.42,17.00,11.73,7.01,3.51
1903,5.36,8.74,11.48,8.89,17.75,19.04,20.66,19.87,18.76,14.16,8.65,3.50
1904,3.43,5.50,7.60,13.76,17.35,19.45,23.87,21.94,16.88,13.23,7.91,7.26
1905,3.88,6.15,9.83,10.45,17.39,21.95,22.98,21.21,16.80,9.46,7.16,5.49
1906,5.88,4.88,7.59,12.86,17.26,18.56,21.68,21.75,18.55,15.52,10.41,3.48
1907,4.46,3.31,8.94,11.83,17.88,17.99,18.39,20.21,18.88,15.29,8.90,6.13
1908,2.50,6.06,7.23,10.18,17.53,21.06,21.36,19.56,17.90,14.81,7.88,4.08
1909,3.79,3.69,6.49,13.36,16.73,17.59,18.73,21.07,17.05,14.93,7.33,6.26
1910,6.01,7.00,9.84,12.27,17.56,20.97,19.43,20.98,17.51,14.33,6.59,7.99
1911,3.79,6.75,9.25,12.11,19.15,19.70,24.36,25.70,20.12,13.86,8.94,7.95
1912,4.07,7.69,10.98,13.13,17.20,19.87,23.73,18.45,14.55,12.21,7.67,8.53
1913,5.00,7.12,11.12,13.38,17.83,18.90,18.68,20.23,18.44,15.11,11.12,6.84
1914,2.65,9.38,9.52,15.43,15.97,18.95,22.43,22.66,18.21,13.09,7.91,8.07
1915,5.22,6.11,7.32,12.03,18.11,21.71,20.58,20.26,18.16,11.22,6.06,8.18
1916,8.48,5.91,8.26,13.36,18.31,16.66,19.87,21.00,17.63,13.44,8.95,5.68
1917,1.86,2.00,5.31,8.51,20.81,23.78,21.96,21.08,19.73,11.99,9.86,3.17
1918,5.90,6.99,9.58,12.37,19.80,18.14,21.25,21.21,17.24,12.78,7.75,8.66
1919,4.65,4.00,7.66,10.42,18.93,19.68,18.20,21.29,19.66,10.86,4.94,6.32
