Variable:,tasmax
Country:,Norway
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.17,-7.87,-2.56,3.83,9.61,14.45,19.20,15.67,11.84,7.18,-2.02,-6.06
1902,-4.28,-6.22,-3.38,2.07,6.65,12.78,13.33,12.44,8.56,2.26,-1.13,-4.42
1903,-5.83,-1.22,1.76,2.22,8.50,13.02,14.73,13.25,10.36,1.27,-1.09,-2.62
1904,-2.08,-8.55,-2.52,3.67,7.46,13.16,15.40,13.87,10.42,4.77,-3.19,-5.04
1905,-5.22,-3.55,-0.39,1.15,8.84,15.41,16.32,13.97,9.55,0.64,-1.59,-0.63
1906,-3.47,-4.18,-3.05,3.85,8.87,14.21,15.91,13.67,10.37,4.64,1.01,-3.80
1907,-5.52,-3.56,0.71,3.67,7.25,13.38,14.69,11.92,9.04,6.80,0.95,-4.87
1908,-3.44,-3.26,-2.47,2.84,7.84,13.01,16.49,14.61,9.73,5.94,-2.52,-1.63
1909,-1.74,-5.54,-4.15,1.16,6.29,13.21,15.29,13.47,9.78,5.89,-3.36,-4.20
1910,-5.15,-1.24,0.13,3.09,9.74,14.03,15.63,14.66,10.36,3.78,-2.41,-2.99
1911,-3.46,-3.67,-0.99,2.80,10.74,13.15,15.69,16.20,10.77,2.20,-1.74,-0.25
1912,-8.10,-6.94,0.13,2.32,8.00,14.14,17.76,14.55,8.78,2.96,-1.34,-1.75
1913,-7.11,-2.52,0.25,4.05,9.31,13.42,16.95,14.39,10.38,3.89,2.00,-4.40
1914,-5.27,-1.60,-1.44,4.47,7.85,14.22,19.04,15.15,10.50,3.76,-1.05,-1.67
1915,-6.80,-4.68,-3.72,3.12,6.87,11.61,15.77,14.12,8.80,2.27,-3.54,-10.35
1916,-3.20,-4.13,-3.70,3.41,7.71,12.88,17.69,13.45,9.05,2.04,1.49,-3.10
1917,-9.87,-6.38,-4.47,0.32,7.51,15.40,15.25,17.11,9.94,3.79,-0.48,-4.87
1918,-7.85,-3.78,0.24,3.82,9.76,12.24,16.83,14.25,8.85,5.08,2.16,-3.57
1919,-3.83,-7.18,-2.33,1.93,11.33,13.65,17.52,12.54,10.41,3.24,-4.68,-6.21
1920,-4.42,-1.32,2.42,3.58,9.87,13.96,16.05,13.69,10.93,4.38,1.13,-3.02
1921,-4.56,-3.15,1.56,6.44,10.20,12.15,14.86,13.76,9.63,4.57,-2.77,-1.86
1922,-6.87,-5.90,-2.12,2.36,8.50,13.65,15.99,13.87,10.27,3.33,-0.06,-2.58
1923,-1.88,-7.19,0.03,2.05,6.54,9.54,15.82,12.44,9.42,3.94,-2.01,-5.13
1924,-4.69,-6.74,-3.99,1.21,7.19,11.34,16.25,15.74,11.10,5.72,0.72,0.76
1925,-0.34,-2.80,-3.34,4.38,8.93,13.35,19.42,15.35,10.27,2.28,-3.77,-5.95
1926,-5.95,-6.19,-0.61,3.72,7.85,13.66,17.01,15.09,10.00,0.69,0.55,-3.71
1927,-4.16,-3.49,-0.15,1.26,5.85,11.39,18.28,15.63,9.72,2.72,-4.03,-6.91
1928,-4.50,-3.49,-0.75,3.86,8.11,10.96,13.15,13.67,9.63,3.37,-1.17,-4.09
1929,-6.41,-8.46,1.05,0.26,9.01,12.13,14.39,12.94,10.59,4.19,1.14,0.98
1930,-0.95,-3.33,-0.96,4.40,9.85,15.03,17.70,16.11,9.32,4.68,-0.28,-1.23
1931,-5.99,-5.97,-2.98,2.14,9.01,10.34,16.50,13.75,8.13,3.66,1.93,-1.75
1932,-0.08,-1.23,-1.85,2.45,8.26,12.72,16.96,14.83,9.36,2.10,-0.02,0.42
1933,-2.35,-5.84,-0.95,2.72,8.62,16.66,17.68,15.10,11.38,4.44,-1.86,-2.21
1934,-0.19,-1.60,-0.98,2.96,9.72,13.45,17.96,16.10,12.85,5.06,0.17,-0.56
1935,-4.13,-3.64,-1.34,2.80,6.84,13.38,16.10,15.12,9.24,3.92,1.76,-2.13
1936,-5.28,-7.10,-1.77,1.85,10.59,16.17,16.85,15.17,10.15,3.08,1.08,0.99
1937,-3.21,-7.25,-3.88,5.14,11.08,13.97,18.73,17.68,10.48,6.68,-0.67,-5.21
1938,-3.10,-0.46,1.99,3.83,8.34,12.63,17.49,16.68,12.04,6.25,2.73,-1.59
1939,-5.21,-1.02,-0.71,2.97,8.87,13.54,16.48,17.07,11.12,3.03,0.86,-5.16
