Variable:,tasmax
Country:,"Puerto Rico"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.85,26.42,26.47,27.49,28.13,28.28,28.11,28.57,28.60,27.96,26.89,25.56
1902,24.84,25.75,25.84,26.32,27.41,28.08,28.21,28.47,28.17,27.43,26.93,26.02
1903,25.44,25.69,25.64,26.65,28.07,28.51,28.21,28.07,28.20,27.73,26.76,25.79
1904,25.01,24.99,24.94,25.62,26.91,27.65,27.61,27.47,27.70,27.32,27.33,25.99
1905,25.01,25.31,25.30,26.86,26.57,28.03,28.60,28.57,28.40,27.57,27.36,25.79
1906,24.78,25.15,25.34,26.40,27.29,27.55,27.81,28.17,28.00,27.83,27.29,24.90
1907,23.64,24.37,24.70,26.82,26.63,27.63,27.81,27.77,27.50,26.88,26.29,25.49
1908,25.24,24.67,25.29,25.96,27.54,27.86,28.30,28.44,28.07,27.35,25.78,24.51
1909,23.84,23.64,26.29,25.76,27.11,27.15,27.71,27.57,28.18,27.35,25.08,24.67
1910,23.53,23.55,24.37,25.86,26.67,27.15,27.44,27.14,27.47,27.78,27.51,25.57
1911,23.64,24.19,24.54,27.22,26.71,28.46,27.40,27.97,28.10,27.42,27.16,25.89
1912,25.71,25.90,25.74,26.67,27.33,27.65,28.41,28.14,28.10,27.13,26.86,26.04
1913,24.61,24.39,24.64,24.62,26.83,26.96,27.21,27.94,28.17,27.28,26.51,25.07
1914,24.51,24.87,25.49,26.06,26.81,27.16,28.10,28.24,28.47,27.82,27.40,26.87
1915,24.94,25.14,27.42,25.92,27.91,28.14,28.17,28.34,28.16,28.20,27.18,25.70
1916,23.83,24.54,25.30,26.82,27.57,28.45,28.50,28.44,27.97,27.28,26.39,25.12
1917,24.09,24.24,24.84,26.26,27.43,26.96,27.91,27.47,27.80,28.08,26.11,24.74
1918,24.84,24.59,25.62,26.16,25.91,27.55,28.00,28.48,28.80,28.53,26.83,26.31
1919,25.51,26.47,26.13,25.42,28.17,28.16,27.81,28.04,27.90,27.33,26.71,26.17
1920,24.91,25.32,25.89,27.38,28.13,27.76,28.00,27.97,27.97,27.48,26.78,25.94
1921,24.76,25.74,25.20,25.42,26.13,27.65,27.11,27.27,27.50,27.28,27.09,26.09
1922,24.66,24.20,24.90,25.02,26.81,26.97,27.81,27.87,27.60,27.43,26.31,24.79
1923,24.40,24.59,25.27,25.72,28.41,28.04,28.11,28.84,29.17,28.68,28.01,26.07
1924,25.09,25.47,26.50,26.97,28.49,27.91,28.27,28.67,28.90,28.23,26.59,25.59
1925,24.64,23.99,24.76,27.46,26.74,28.63,27.31,28.17,28.50,27.90,28.68,26.69
1926,25.54,27.12,26.32,27.52,28.63,28.77,28.44,28.34,28.53,26.83,26.39,25.99
1927,24.64,24.94,26.19,26.60,27.63,27.95,27.79,28.27,28.60,28.10,27.30,26.89
1928,25.31,26.71,26.80,26.19,28.01,27.85,27.91,27.37,27.80,27.43,27.26,25.97
1929,25.44,25.92,24.47,25.76,25.71,27.10,28.31,27.37,27.67,28.08,27.11,26.16
1930,24.84,25.24,26.12,26.86,27.63,27.76,27.90,28.24,28.00,28.18,27.48,26.99
1931,26.49,25.72,27.49,27.00,28.23,28.26,28.37,28.07,27.78,27.88,26.96,25.87
1932,25.09,25.96,26.92,27.14,27.16,28.36,28.39,28.41,28.93,28.58,28.09,27.41
1933,26.73,24.99,25.82,27.18,27.43,28.17,28.40,28.39,28.21,28.08,27.22,26.41
1934,25.64,25.47,25.44,27.09,27.66,28.50,27.91,28.15,28.11,28.59,27.96,26.14
1935,26.00,25.02,25.44,26.46,27.08,28.20,28.29,27.92,28.10,27.87,27.06,25.59
1936,25.40,25.52,26.36,27.25,27.46,28.45,27.89,27.99,28.60,28.05,27.34,25.69
1937,24.09,25.65,26.77,26.72,27.98,28.11,28.43,28.28,28.10,27.88,28.31,26.06
1938,24.68,24.64,25.04,25.56,26.76,27.55,28.47,28.39,28.87,28.38,26.92,26.19
1939,25.36,25.34,25.44,25.95,27.44,27.90,28.62,29.14,29.56,28.17,27.63,26.61
1940,26.41,25.97,26.54,27.18,27.78,28.03,28.58,28.72,29.39,28.88,27.98,26.45
1941,26.15,27.28,27.42,27.87,28.09,28.33,27.92,28.40,28.86,29.05,27.83,26.08
1942,26.31,26.81,27.22,27.31,28.13,28.61,28.51,28.61,28.83,29.37,27.62,26.58
1943,25.61,25.81,25.77,26.97,26.89,27.67,27.91,28.36,29.19,28.30,27.21,25.72
1944,26.20,26.16,26.19,27.82,27.61,28.11,28.48,28.47,29.37,28.78,27.18,26.11
1945,25.06,24.76,25.46,25.73,26.73,27.87,28.17,28.27,28.94,27.93,27.08,26.41
1946,25.28,25.16,25.86,26.38,26.73,27.85,28.31,28.50,28.93,28.40,26.98,26.09
1947,24.40,26.39,26.89,26.32,27.53,28.58,28.42,28.59,28.49,28.14,27.31,25.96
1948,25.27,25.22,25.71,26.32,27.78,29.02,28.50,28.95,28.87,28.48,27.66,26.26
1949,24.19,24.42,25.32,26.99,27.53,27.96,28.21,28.57,28.57,27.92,27.47,25.52
1950,24.10,24.61,25.05,25.76,27.20,27.62,27.58,27.98,28.19,27.83,26.31,25.36
1951,24.34,24.34,25.35,27.29,28.04,28.71,28.56,29.09,29.25,28.60,27.91,26.29
1952,24.43,25.55,26.37,27.06,28.18,29.00,28.04,28.92,28.63,28.49,27.09,25.67
1953,25.33,25.34,26.06,27.54,27.69,28.38,28.52,28.55,28.67,28.15,27.56,26.01
1954,25.14,25.27,26.57,26.40,28.01,28.18,28.52,28.55,28.05,27.13,26.91,25.57
1955,24.99,24.69,24.92,26.46,27.20,27.88,28.02,28.68,28.38,27.97,26.96,25.89
1956,24.48,24.47,25.79,26.20,26.94,27.27,27.71,28.07,28.27,27.48,26.73,25.19
1957,24.42,25.36,26.64,26.89,27.81,28.20,28.58,28.45,28.94,28.47,27.11,26.13
1958,25.29,25.59,27.84,27.92,27.79,28.61,28.30,29.00,29.12,28.28,27.49,26.82
1959,25.45,25.54,27.14,27.32,27.04,28.39,29.16,28.73,29.10,28.38,28.03,27.24
1960,26.48,26.88,26.85,27.39,28.59,29.03,28.59,28.72,28.99,28.78,28.22,25.92
1961,25.88,26.10,26.36,27.39,28.13,28.37,28.24,28.67,28.81,28.08,26.63,25.81
1962,25.35,24.98,26.50,27.09,27.63,28.15,29.03,28.78,29.02,28.67,27.86,26.86
1963,25.23,26.13,26.24,26.72,27.21,28.29,28.36,28.85,28.90,28.92,28.00,27.78
1964,26.21,26.98,27.22,26.69,29.09,28.83,28.39,28.32,28.91,28.41,27.94,25.49
1965,24.96,25.74,27.34,26.97,27.16,27.71,28.27,28.23,28.88,28.60,27.58,26.34
1966,26.30,25.85,26.44,27.07,27.33,28.41,28.97,28.94,28.77,28.51,27.22,26.09
1967,25.79,26.12,26.00,26.70,27.73,28.98,28.64,28.85,28.90,28.88,28.26,26.59
1968,25.53,26.27,25.82,26.32,28.26,28.63,28.62,29.06,29.31,29.25,28.51,26.49
1969,25.56,25.62,26.97,28.01,28.74,29.64,29.29,29.19,29.12,29.05,27.69,26.50
1970,26.47,26.11,26.88,28.14,27.99,28.17,28.38,28.65,29.10,28.47,27.40,25.92
1971,25.68,25.32,26.51,26.84,27.79,28.99,29.01,28.88,29.65,27.94,27.54,25.96
1972,24.96,25.66,25.92,27.45,28.13,29.14,28.91,28.80,28.91,28.63,28.29,26.72
1973,26.23,25.77,26.65,27.92,28.78,28.76,29.50,28.95,29.20,28.79,27.56,25.90
1974,24.85,25.51,26.22,26.99,28.13,28.84,29.49,28.95,28.70,27.98,26.19,26.40
1975,24.96,25.80,26.29,27.66,28.20,29.09,29.00,28.80,28.85,27.70,27.61,25.16
1976,24.71,24.81,25.27,26.62,27.66,28.11,28.75,29.15,28.90,27.93,27.98,26.71
1977,26.01,26.69,27.07,27.19,28.14,29.00,28.81,28.20,28.65,28.23,27.73,26.79
1978,26.29,26.17,26.41,26.57,28.07,28.73,28.49,28.58,29.38,28.27,27.47,26.56
