Variable:,tasmax
Country:,Svalbard
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-13.42,-14.76,-13.97,-10.67,-4.16,2.10,6.27,4.55,-0.15,-5.26,-10.09,-13.65
1902,-14.51,-14.52,-14.49,-10.98,-4.27,1.46,5.81,4.46,-0.63,-6.27,-9.84,-12.64
1903,-13.98,-14.00,-13.47,-10.82,-4.05,1.82,5.84,4.58,-0.49,-6.45,-9.84,-12.83
1904,-13.59,-14.79,-13.75,-10.41,-4.16,1.89,5.97,4.55,-0.26,-5.49,-10.43,-13.70
1905,-14.14,-14.31,-13.79,-10.78,-3.91,1.97,6.22,4.64,-0.38,-6.15,-10.15,-12.79
1906,-13.73,-14.20,-14.37,-10.65,-4.14,1.90,6.22,4.26,-0.42,-5.77,-9.97,-13.02
1907,-14.40,-13.95,-13.45,-10.50,-4.24,2.24,6.06,4.46,-0.62,-5.58,-9.35,-13.21
1908,-14.02,-14.35,-13.75,-10.68,-4.19,1.83,6.07,4.58,-0.44,-5.49,-10.29,-12.83
1909,-13.61,-14.08,-14.18,-11.01,-4.35,1.70,6.15,4.69,-0.34,-5.71,-10.45,-13.08
1910,-13.98,-13.56,-13.60,-10.76,-3.93,1.83,5.90,4.36,-0.47,-5.95,-10.05,-13.02
1911,-13.84,-14.35,-13.71,-10.84,-3.92,1.76,6.06,4.68,-0.23,-6.14,-9.77,-12.38
1912,-21.98,-23.35,-18.48,-17.24,-6.45,2.31,4.72,2.79,-3.37,-8.73,-11.71,-11.73
1913,-14.47,-17.57,-15.37,-8.76,-5.62,0.76,5.66,5.04,-0.28,-8.80,-7.23,-12.36
1914,-19.31,-20.07,-16.93,-9.42,-5.57,2.39,5.65,4.60,-1.62,-4.96,-11.70,-15.77
1915,-13.46,-17.10,-18.95,-9.85,-8.83,1.73,5.23,3.67,-1.58,-5.29,-18.38,-20.93
1916,-21.41,-14.45,-18.15,-14.52,-6.66,2.74,6.19,3.54,-1.17,-7.62,-15.38,-17.70
1917,-20.44,-23.66,-22.86,-19.75,-9.30,0.85,3.93,3.15,-3.12,-7.73,-12.34,-18.88
1918,-23.30,-16.77,-15.39,-11.62,-3.27,3.11,7.75,3.72,-1.18,-7.39,-8.84,-7.40
1919,-7.20,-20.65,-20.14,-16.29,-2.35,3.96,5.29,4.35,-1.18,-5.68,-14.20,-13.10
1920,-12.66,-15.27,-9.40,-11.92,-2.66,2.64,6.87,4.94,-0.24,-3.79,-7.42,-9.68
1921,-16.09,-16.01,-14.21,-9.15,-4.29,3.26,6.43,5.26,-1.46,-8.20,-10.43,-10.69
1922,-6.99,-9.87,-16.65,-11.32,-3.64,4.40,8.02,5.66,0.80,-5.12,-7.41,-14.33
1923,-12.50,-13.73,-11.18,-10.09,-4.41,1.49,6.60,4.58,0.27,-3.94,-7.80,-9.69
1924,-9.39,-11.30,-17.84,-11.65,-3.75,1.00,7.60,5.34,0.04,-3.56,-8.63,-8.66
1925,-9.86,-12.23,-10.59,-10.23,-5.48,3.48,7.20,5.60,1.54,-7.03,-10.47,-15.07
1926,-12.63,-15.20,-15.72,-9.71,-5.97,1.60,5.49,3.76,0.21,-6.92,-11.60,-11.72
1927,-14.06,-10.70,-15.59,-14.31,-5.87,1.66,6.76,5.37,-1.70,-6.71,-9.92,-14.72
1928,-10.37,-11.53,-13.49,-11.77,-4.84,0.95,5.59,4.49,-0.22,-8.10,-11.16,-13.18
1929,-17.81,-8.42,-20.50,-17.44,-6.15,0.97,4.53,3.45,-0.47,-6.95,-9.93,-5.20
1930,-12.60,-11.00,-17.26,-8.14,-3.04,3.37,7.65,5.93,-0.60,-5.77,-7.33,-6.76
1931,-12.24,-8.85,-15.78,-6.78,-4.81,1.55,6.55,5.14,-0.99,-6.74,-3.27,-9.09
1932,-13.28,-12.25,-13.30,-13.64,-4.83,1.64,5.90,5.07,-1.81,-5.35,-9.59,-8.56
1933,-5.06,-10.62,-13.63,-12.08,-3.63,2.85,6.47,5.02,1.58,-5.35,-7.38,-9.30
1934,-8.25,-15.21,-8.04,-12.44,-3.26,2.48,7.31,6.51,2.87,-3.65,-6.90,-8.58
1935,-12.44,-12.93,-13.00,-10.38,-6.24,1.56,6.38,5.76,-2.15,-3.21,-4.76,-9.22
1936,-10.30,-15.59,-18.04,-10.82,-1.36,2.62,5.37,5.34,0.01,-4.62,-7.50,-9.09
1937,-4.80,-14.89,-12.86,-6.50,-1.92,3.11,7.09,6.34,0.23,-4.00,-7.44,-6.78
1938,-8.72,-9.29,-11.89,-9.74,-3.87,3.11,7.20,5.21,0.68,-2.05,-5.67,-3.32
