Variable:,tasmax
Country:,"San Marino"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,1.82,0.34,6.24,11.64,15.94,21.54,23.34,22.83,18.23,13.14,6.94,4.64
1902,4.13,5.24,7.54,13.14,12.64,18.94,23.93,22.74,19.23,12.54,7.03,3.63
1903,3.03,5.74,8.84,8.84,16.35,18.94,22.84,23.54,19.24,13.94,8.24,4.63
1904,3.83,5.34,8.04,12.84,17.94,22.14,25.54,23.73,16.54,12.73,6.84,4.04
1905,1.02,3.04,7.94,11.24,15.34,20.54,25.54,23.24,19.64,10.03,8.44,4.64
1906,3.23,3.54,7.14,11.04,15.84,20.14,23.34,23.63,17.14,14.33,9.64,2.53
1907,1.33,2.73,5.44,9.64,17.15,20.74,22.04,23.74,19.54,15.34,8.64,5.14
1908,3.33,4.24,5.94,9.14,18.45,21.94,23.04,21.93,17.23,13.93,6.53,3.23
1909,1.63,1.04,5.84,12.74,16.14,19.04,21.54,22.74,17.94,14.34,6.94,5.64
1910,3.63,5.44,7.84,10.94,15.04,20.34,21.44,22.23,16.24,13.74,6.54,6.14
1911,2.33,3.54,7.54,11.04,15.84,19.94,24.54,24.64,19.84,13.54,10.54,5.64
1912,4.13,6.94,9.54,9.84,16.24,20.34,23.14,20.74,14.34,11.83,5.24,5.14
1913,3.73,3.84,9.04,10.94,15.84,20.34,20.33,21.33,18.24,14.34,9.24,3.83
1914,1.12,6.43,8.04,12.94,15.44,18.94,21.84,22.74,17.43,11.94,7.54,5.44
1915,2.73,3.54,6.54,11.04,17.74,21.44,22.94,21.53,16.64,10.73,6.24,6.74
1916,4.53,4.94,8.35,12.04,17.24,19.65,22.84,22.14,16.34,12.84,9.14,5.94
1917,2.53,2.63,5.64,9.04,17.84,22.25,23.24,23.64,20.54,12.54,7.14,2.53
1918,3.63,4.53,7.54,11.05,16.84,18.14,22.94,22.04,20.23,11.54,6.94,4.64
1919,4.53,3.74,7.64,10.04,14.43,20.64,20.93,23.83,19.84,11.03,6.34,4.13
1920,5.63,6.54,9.94,12.25,19.44,19.84,24.34,21.64,18.84,12.43,7.33,5.03
1921,5.83,4.44,8.94,10.54,17.74,19.94,24.84,23.74,19.64,15.63,7.13,3.83
1922,2.23,4.23,9.04,10.54,17.94,21.34,23.34,24.44,16.74,11.53,5.74,3.84
1923,2.83,4.74,8.04,11.14,17.84,17.54,24.74,24.73,18.14,14.74,9.64,3.53
1924,2.23,3.23,6.84,11.64,18.34,20.94,23.83,20.73,19.64,13.34,7.94,5.43
1925,4.83,6.04,5.24,11.34,16.15,20.94,22.64,22.94,17.04,14.04,8.04,2.63
1926,2.83,7.34,7.64,12.94,14.55,18.44,21.83,22.43,20.34,14.64,12.74,4.03
1927,4.03,3.74,9.04,11.84,16.94,21.94,24.34,23.84,19.14,13.64,10.24,4.43
1928,4.53,5.44,7.04,12.34,14.24,20.84,26.63,25.43,18.83,13.64,8.94,3.03
1929,0.52,0.14,7.34,9.74,17.24,21.44,24.93,23.44,20.33,14.34,9.34,5.63
1930,4.93,4.04,9.04,11.64,15.14,22.74,23.04,22.83,19.54,13.04,10.14,4.53
1931,4.03,4.14,6.14,10.04,17.85,23.14,24.34,22.44,15.03,13.23,9.14,3.23
1932,4.73,0.63,4.74,9.84,16.14,19.24,23.44,25.54,22.14,13.84,9.54,6.03
1933,2.53,3.84,8.24,11.04,14.34,17.54,23.84,23.73,18.63,13.73,7.64,1.23
1934,3.53,5.53,8.64,13.74,18.24,20.04,24.03,22.04,19.94,13.43,8.84,7.14
1935,1.13,4.43,6.73,10.54,14.44,22.94,24.43,22.63,19.14,14.33,9.44,4.13
1936,7.03,5.24,9.64,11.34,16.44,19.64,23.74,22.53,18.24,9.63,8.14,5.03
1937,3.53,6.34,7.54,10.84,17.74,21.84,23.54,22.33,17.94,13.44,8.04,3.33
1938,2.63,4.43,10.23,8.54,14.64,22.54,23.83,22.54,18.14,14.34,10.54,3.43
1939,5.43,6.74,4.64,13.34,13.14,20.54,23.74,23.24,17.93,11.93,9.54,3.33
1940,0.32,3.34,6.84,11.14,15.44,19.54,22.24,21.43,18.84,12.93,10.04,0.33
1941,2.53,4.84,8.04,10.24,13.64,21.34,24.04,22.54,17.63,12.23,6.74,3.33
1942,-0.88,2.33,8.24,11.04,17.14,21.54,23.84,23.83,21.84,16.04,7.43,5.93
1943,2.23,6.64,9.44,13.34,17.04,20.04,23.94,25.84,20.94,15.23,7.13,5.43
