Variable:,tasmax
Country:,"Republic of Serbia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-2.77,0.66,10.38,15.52,20.53,24.76,27.24,25.70,21.91,17.05,7.11,7.22
1902,4.70,6.58,8.68,14.86,16.82,23.03,25.80,26.85,22.37,16.22,5.38,-0.38
1903,1.84,6.09,11.54,13.03,20.36,22.99,25.79,26.03,22.80,16.81,9.96,5.81
1904,0.75,7.26,9.52,15.86,20.48,24.31,27.93,26.80,20.95,16.52,6.53,4.18
1905,-2.40,2.49,9.89,13.97,20.77,24.39,28.18,28.25,24.04,12.49,11.40,4.36
1906,1.56,4.59,9.80,16.20,20.85,23.37,26.76,25.74,20.71,15.70,11.44,2.45
1907,-0.07,0.56,5.34,12.93,23.17,24.68,25.72,26.69,22.31,20.26,8.15,5.84
1908,0.36,4.30,8.80,14.27,23.49,26.03,26.58,25.55,21.12,14.86,3.91,2.01
1909,-0.82,-0.59,9.49,15.96,19.89,23.62,25.86,27.28,22.97,17.45,7.49,7.54
1910,3.93,7.78,9.70,15.04,20.26,24.52,25.41,26.17,21.03,16.00,8.49,7.55
1911,2.39,1.67,9.31,14.67,20.46,23.57,27.33,27.42,22.64,16.35,11.66,5.80
1912,-0.33,6.97,12.00,13.08,19.51,24.70,26.26,24.60,18.84,13.81,6.68,4.91
1913,1.22,2.56,11.79,15.40,19.48,23.45,23.49,24.16,22.09,16.16,10.12,4.57
1914,-2.39,1.53,10.51,16.54,19.78,22.98,25.57,25.99,20.51,14.70,7.25,6.02
1915,4.74,5.14,7.94,14.85,20.99,25.31,25.98,24.39,19.75,14.83,7.00,7.99
1916,5.03,4.13,12.52,15.19,20.47,23.65,26.28,25.48,20.59,15.65,10.76,7.59
1917,3.15,-1.10,7.71,13.81,20.85,25.60,26.80,27.88,23.53,16.87,9.51,1.86
1918,3.39,2.78,9.20,16.55,20.58,22.19,25.60,25.86,23.18,16.23,7.66,4.62
1919,4.69,4.10,10.37,14.45,16.84,23.23,24.44,25.73,23.60,14.72,7.94,4.32
1920,5.02,4.16,11.16,18.35,22.15,22.66,27.04,25.21,22.24,12.85,4.36,4.72
1921,6.31,3.71,10.87,14.70,21.93,22.55,27.40,27.67,21.45,15.99,6.28,2.77
1922,0.57,0.75,11.23,14.61,20.66,24.43,26.90,26.92,21.02,14.37,6.04,3.25
1923,3.35,4.33,10.23,14.58,22.37,21.58,26.84,26.71,23.01,18.95,12.03,4.34
1924,-1.52,2.38,8.26,14.91,22.60,24.57,26.04,24.81,23.81,15.99,6.64,2.87
1925,2.63,8.67,8.82,15.95,21.37,22.27,26.24,25.62,20.93,15.89,9.94,1.50
1926,2.78,7.76,8.69,17.10,19.77,22.78,25.18,24.38,23.10,17.38,14.80,4.00
1927,4.21,2.90,12.25,15.66,20.12,25.92,27.99,27.70,23.83,15.98,10.36,1.00
1928,1.83,3.68,7.67,16.35,18.02,23.73,29.35,28.01,23.29,15.92,11.09,2.99
1929,-1.38,-1.24,6.01,12.34,22.05,23.86,26.83,28.18,22.09,17.41,10.99,5.43
1930,2.96,4.17,11.16,16.40,19.75,25.50,26.79,26.11,23.86,16.21,11.25,4.37
1931,3.06,4.47,6.92,13.43,22.69,25.89,28.15,26.82,19.03,15.17,8.29,2.11
1932,0.54,-1.04,5.13,15.11,21.10,23.36,28.15,27.96,25.65,18.14,8.43,4.29
1933,-0.14,4.02,9.40,13.18,18.69,21.50,26.20,26.00,21.10,16.61,9.72,-0.27
1934,1.27,3.77,12.48,18.96,22.76,23.84,27.13,26.62,23.07,16.24,10.79,7.19
1935,-0.11,3.56,8.00,15.34,19.51,26.14,26.76,26.33,22.54,18.81,8.39,4.98
1936,6.90,5.00,12.00,15.78,20.75,23.18,27.50,25.18,21.68,12.67,8.43,3.31
1937,0.15,5.44,11.89,14.34,22.38,25.77,26.79,25.78,23.05,15.91,9.07,4.29
1938,1.30,3.74,11.27,12.67,19.41,25.91,27.62,26.37,21.57,17.22,10.30,2.64
1939,4.76,5.95,7.01,17.68,19.39,24.06,27.46,26.68,21.72,15.53,9.03,2.93
1940,-4.17,0.00,7.01,14.99,18.44,23.34,25.92,23.69,22.02,15.75,11.16,-0.88
1941,0.96,5.90,9.63,15.04,18.13,23.69,25.89,25.73,19.11,14.66,5.53,3.31
1942,-5.29,0.75,6.61,13.66,21.22,24.62,26.37,27.13,25.72,17.40,7.64,4.66
1943,-1.36,6.16,9.99,16.61,19.13,22.66,26.63,29.36,24.34,17.36,8.82,4.82
1944,3.56,3.10,6.54,15.64,18.97,23.98,26.12,27.79,22.38,17.11,9.05,2.89
1945,-0.93,4.22,9.94,15.85,23.33,25.74,28.01,27.21,22.77,15.37,8.35,3.94
1946,-0.55,4.87,10.02,18.13,23.04,26.38,29.35,29.42,25.49,12.81,9.57,2.42
1947,-3.77,2.69,11.85,18.58,22.47,25.90,28.21,26.92,25.06,14.83,10.18,5.02
