Variable:,tasmax
Country:,"Timor Leste"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,31.02,29.87,29.62,30.37,30.27,30.52,28.89,29.10,29.97,30.99,30.98,30.50
1902,29.63,30.17,30.21,30.76,30.52,30.22,29.52,29.85,29.79,30.43,30.98,30.16
1903,30.32,30.29,30.34,30.62,30.52,29.64,29.99,30.46,30.74,30.99,30.98,29.95
1904,29.10,29.77,29.82,29.67,30.52,28.99,29.60,29.73,30.40,30.67,30.78,30.06
1905,29.53,29.87,30.76,30.49,30.94,30.28,30.15,30.00,30.49,30.78,31.10,31.00
1906,30.88,30.92,30.66,31.59,31.36,31.16,30.57,30.52,30.40,30.78,30.15,30.26
1907,30.05,30.07,30.21,30.07,30.44,29.69,29.65,30.13,30.29,31.07,31.10,29.95
1908,30.18,30.29,30.21,30.57,30.72,29.47,29.60,30.38,30.49,30.87,31.10,29.95
1909,30.38,30.62,30.14,30.07,30.27,30.32,29.99,30.58,30.29,31.26,30.53,30.26
1910,30.05,29.97,29.92,29.73,30.39,29.82,30.31,30.78,30.92,31.12,30.68,30.16
1911,30.25,30.42,31.23,29.97,29.75,28.92,29.00,29.28,30.04,30.67,31.05,30.78
1912,30.13,29.87,30.02,30.29,30.39,30.10,30.11,29.63,30.74,30.99,30.89,30.50
1913,29.73,30.09,29.92,30.29,28.71,28.52,28.81,29.63,29.66,30.57,31.73,30.90
1914,29.83,30.88,30.54,30.68,30.32,29.12,28.48,29.53,30.09,30.47,30.78,30.38
1915,29.85,30.49,30.66,31.02,30.27,29.96,30.49,30.38,31.14,31.18,31.23,29.61
1916,29.83,30.07,30.14,30.76,30.64,30.79,30.83,30.88,30.92,30.99,30.58,30.06
1917,29.41,29.87,30.21,29.97,29.68,29.77,30.35,30.64,30.92,30.78,30.98,29.42
1918,29.15,29.52,30.21,30.07,30.10,29.64,29.20,30.23,29.97,31.07,31.62,30.45
1919,29.83,30.70,30.26,30.44,30.00,29.27,28.57,29.49,30.04,30.36,30.58,30.45
1920,29.93,30.07,30.40,30.68,30.64,30.98,30.88,30.84,30.87,30.99,30.98,29.96
1921,29.83,29.97,29.72,30.27,30.72,30.98,29.85,29.93,30.61,31.12,31.23,30.38
1922,30.13,30.17,29.93,30.57,30.10,29.57,28.81,28.97,30.09,30.67,31.36,30.16
1923,29.93,30.17,29.92,30.27,30.39,29.64,28.75,28.82,29.79,30.47,31.05,30.16
1924,30.46,30.24,30.60,29.86,30.94,30.10,29.93,30.00,30.69,30.99,31.56,29.96
1925,29.93,29.65,29.72,29.26,29.68,29.05,29.10,29.53,29.84,30.47,31.17,30.70
1926,30.13,30.82,31.18,30.76,29.75,29.49,29.32,30.18,30.92,31.30,31.56,30.50
1927,30.00,31.26,30.76,30.37,30.27,30.42,29.60,29.53,30.39,31.12,30.98,30.90
1928,29.73,30.82,30.02,30.81,29.90,28.78,29.32,30.13,30.87,31.26,31.43,30.58
1929,30.25,30.17,30.08,29.73,29.41,28.78,28.62,29.93,30.09,30.78,31.82,30.33
1930,30.65,29.97,30.02,30.68,30.44,29.05,29.72,29.93,30.09,30.78,30.98,30.06
1931,29.93,29.97,30.26,30.49,30.84,30.66,29.93,30.13,30.74,30.36,30.78,30.70
1932,30.78,30.76,30.14,30.76,30.32,30.10,28.75,29.35,30.40,31.12,30.89,30.06
1933,30.68,30.09,29.93,30.62,30.52,29.82,28.89,30.00,30.49,30.94,30.68,29.47
1934,29.63,29.52,29.71,30.49,30.11,30.10,29.79,29.53,30.19,30.77,31.05,30.90
1935,30.18,30.49,29.71,30.27,30.00,29.27,28.70,29.93,30.29,30.57,31.10,30.78
1936,30.00,30.49,30.34,30.57,30.44,30.00,30.11,30.64,30.87,30.94,31.17,30.45
1937,29.53,30.82,30.02,30.37,30.39,29.82,28.62,29.35,30.56,30.77,31.36,30.06
1938,29.63,30.07,30.66,30.90,30.84,30.22,29.30,30.00,30.40,30.57,29.93,30.16
1939,29.41,29.97,29.82,29.73,29.80,29.27,29.52,29.23,29.90,30.36,30.68,30.26
1940,29.35,29.38,29.65,29.97,29.32,29.37,29.01,29.45,29.85,30.17,30.77,30.16
1941,29.73,29.93,29.60,29.93,29.48,28.85,28.67,28.62,29.26,29.76,30.01,29.64
1942,29.37,29.69,30.87,30.92,31.11,30.41,29.50,29.68,30.69,31.00,30.40,29.29
1943,29.77,29.68,29.76,29.78,29.15,28.25,29.25,29.63,29.34,30.20,29.95,29.34
1944,29.39,29.83,29.06,30.15,29.05,29.01,28.44,29.33,30.06,30.47,30.35,28.76
1945,29.19,30.33,29.59,29.87,29.29,28.84,28.10,30.14,29.90,29.72,29.82,28.93
1946,29.08,29.72,30.31,28.36,30.02,27.61,29.10,28.99,29.25,30.47,30.08,29.25
1947,30.30,30.06,29.44,29.22,29.06,29.12,29.42,29.71,29.63,30.14,30.26,29.38
1948,29.99,30.27,30.06,29.16,29.35,28.06,29.18,28.78,29.07,30.32,30.51,28.98
1949,29.92,29.11,29.69,29.33,28.83,28.30,28.00,28.68,29.52,29.93,30.26,28.70
1950,29.13,29.71,30.14,29.60,29.66,29.12,27.95,29.07,29.34,29.54,29.76,28.38
1951,29.61,29.49,30.12,30.38,29.07,29.56,28.62,29.27,29.76,30.59,30.75,30.13
1952,29.93,30.88,30.30,30.66,30.21,29.05,29.50,28.83,30.20,30.70,30.65,30.19
1953,29.60,30.07,30.41,30.05,28.76,29.48,28.72,28.37,29.77,30.89,30.52,29.93
1954,29.75,30.55,30.55,30.36,29.72,28.87,28.61,29.54,29.97,29.87,30.00,28.83
1955,29.41,29.87,29.82,30.08,29.74,29.67,29.44,30.46,30.21,30.55,29.88,29.66
1956,29.40,29.28,29.89,30.14,29.92,29.34,29.78,29.52,29.27,30.37,30.38,29.44
1957,29.68,29.83,29.69,30.77,29.53,29.81,29.37,28.96,29.66,30.57,30.88,29.51
1958,30.13,30.55,30.45,30.65,31.31,30.31,30.14,30.22,29.71,30.81,30.90,30.27
1959,29.49,30.65,30.41,29.90,29.35,29.29,29.02,29.42,30.38,30.94,30.90,30.32
1960,29.49,29.79,29.70,30.18,28.95,28.80,29.21,29.03,30.24,30.74,31.20,30.12
1961,29.69,29.96,30.17,30.49,29.38,29.07,28.63,28.78,30.20,30.80,30.61,30.93
1962,29.04,29.95,30.24,29.68,29.81,30.29,30.02,29.46,30.35,31.12,31.33,30.56
1963,29.12,29.60,29.85,30.00,29.45,29.06,28.21,29.06,29.87,30.67,31.34,30.63
1964,29.54,30.97,29.85,30.52,30.04,29.11,29.20,29.68,30.62,30.79,30.26,29.96
1965,30.14,30.58,29.38,29.82,30.25,29.66,27.74,29.24,30.19,30.70,31.08,29.90
1966,29.71,30.23,29.97,30.69,29.86,29.92,29.16,29.76,30.59,30.30,30.81,30.10
1967,29.41,29.39,29.61,30.09,29.77,28.44,28.53,29.32,29.76,30.77,30.98,30.56
1968,29.57,29.10,29.83,30.16,29.65,29.66,29.07,29.57,30.15,30.55,30.74,30.36
1969,29.83,29.47,29.93,29.97,30.29,29.22,30.23,30.03,29.97,30.33,31.21,30.54
1970,30.86,30.36,30.30,30.29,30.18,30.28,28.99,29.47,30.68,31.09,30.90,29.73
1971,30.26,29.82,29.41,29.50,29.17,28.53,28.98,30.41,30.81,30.97,30.44,29.68
1972,30.35,30.02,29.61,30.15,29.44,29.45,29.13,30.26,30.20,30.87,31.10,30.65
1973,29.80,30.63,29.81,30.38,30.52,30.35,30.07,30.77,30.71,30.92,30.36,29.46
1974,28.35,29.57,29.23,29.73,29.42,28.68,28.90,29.76,30.48,30.55,30.22,29.28
