Variable:,tasmax
Country:,Uganda
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.31,30.61,30.13,28.80,28.07,27.35,27.20,27.53,28.31,29.11,29.25,29.86
1902,30.30,30.62,30.13,28.65,28.81,28.60,27.40,28.26,28.31,28.85,28.66,28.76
1903,30.42,30.70,30.00,28.90,28.12,28.25,27.49,28.14,28.19,28.68,28.71,29.18
1904,29.42,29.71,29.53,28.16,28.11,28.11,27.66,28.12,28.03,27.35,27.99,28.38
1905,30.30,29.89,29.56,28.01,27.54,27.81,26.74,27.15,27.99,28.85,28.47,28.64
1906,28.97,30.43,29.32,27.82,27.55,27.11,26.13,26.73,27.53,28.32,28.48,28.97
1907,29.63,29.85,29.72,28.17,27.42,26.97,26.52,26.45,27.77,28.78,28.55,28.66
1908,30.29,30.74,30.08,29.11,27.92,27.96,27.49,28.26,28.23,28.68,28.49,28.15
1909,28.50,28.30,29.11,27.87,27.37,26.32,26.50,26.18,27.27,27.93,27.22,27.65
1910,28.94,28.88,28.85,27.93,26.33,27.81,25.88,26.38,26.42,27.04,27.41,29.29
1911,29.59,30.09,29.51,27.54,27.61,27.13,25.86,26.70,27.04,28.02,28.15,28.73
1912,29.06,29.23,28.58,27.23,26.88,27.08,25.74,26.14,27.02,27.92,27.68,27.53
1913,28.58,29.27,28.32,27.20,26.91,26.19,25.55,25.96,27.56,27.84,27.77,28.07
1914,29.02,29.56,29.26,27.48,26.91,27.05,26.13,26.74,27.27,27.97,27.93,28.51
1915,29.46,29.78,29.83,27.84,26.13,26.83,26.49,26.38,27.49,27.90,27.14,27.51
1916,29.01,29.20,28.47,27.41,26.91,26.27,25.34,25.80,26.48,28.68,26.92,27.50
1917,28.01,28.41,27.89,26.69,26.34,25.83,25.55,26.38,26.47,26.89,26.92,27.29
1918,28.44,28.77,28.46,26.84,26.13,26.27,25.91,26.16,26.91,27.90,27.35,27.94
1919,29.46,30.00,29.26,27.41,26.69,26.26,25.55,26.39,27.27,26.91,27.14,27.51
1920,28.87,28.98,28.68,26.48,26.34,25.62,25.55,26.16,28.19,28.68,29.14,26.71
1921,29.66,29.98,30.47,28.86,27.92,27.27,27.56,27.38,27.91,28.54,28.70,29.52
1922,30.60,31.34,30.28,28.41,27.13,27.85,26.33,27.17,28.28,28.12,28.50,28.73
1923,30.24,31.35,29.83,28.66,28.05,27.83,26.71,27.56,28.28,28.92,28.87,29.69
