Variable:,tasmin
Country:,"United Arab Emirates"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.80,13.95,17.33,20.87,24.51,25.93,28.02,27.83,26.16,22.35,18.60,16.22
1902,14.04,14.91,18.62,21.13,23.38,25.85,26.58,27.17,25.08,21.21,16.97,13.94
1903,12.17,12.72,15.44,18.61,23.34,25.67,26.58,28.31,25.34,20.45,16.26,14.04
1904,13.47,13.58,16.15,19.46,22.43,24.74,27.13,27.01,24.25,21.10,18.95,14.44
1905,12.17,12.51,15.15,19.90,22.75,25.23,26.99,27.46,25.02,22.13,18.20,14.28
1906,12.39,13.00,15.48,18.42,23.38,24.68,26.74,26.52,24.11,21.54,18.84,15.96
1907,13.16,12.46,15.81,18.78,23.56,24.97,26.99,26.84,24.45,21.78,16.38,14.51
1908,13.08,13.05,16.57,20.49,23.04,26.21,26.87,27.54,25.48,21.54,18.33,15.32
1909,12.58,15.00,17.58,20.89,23.50,24.74,27.47,27.53,24.81,21.60,18.27,14.72
1910,12.36,14.12,14.71,18.61,22.72,24.25,26.94,27.54,24.71,20.52,17.35,13.27
1911,9.94,11.47,14.24,18.51,22.17,23.77,26.97,26.62,23.68,20.71,17.07,15.54
1912,12.41,13.58,16.33,19.17,22.31,26.02,26.55,26.28,24.43,21.06,18.11,14.12
1913,12.55,12.21,14.48,20.29,23.68,24.59,26.19,25.65,24.67,21.55,17.80,14.90
1914,14.37,13.70,16.34,20.38,23.04,24.25,26.26,26.95,23.89,22.35,18.64,14.87
1915,13.89,14.33,16.88,19.86,23.10,26.59,26.99,27.58,25.66,21.21,18.21,14.81
1916,12.99,12.80,17.45,19.16,23.86,25.91,27.85,27.83,24.57,20.50,18.32,15.16
1917,13.10,14.33,15.68,20.69,23.29,25.44,28.14,27.93,25.31,21.02,18.32,14.31
1918,13.10,13.82,15.60,19.22,22.78,24.35,27.12,27.46,25.08,22.60,18.66,15.39
1919,14.40,14.66,16.37,20.69,23.04,24.55,26.87,27.64,25.28,22.42,18.85,15.52
1920,13.51,12.55,17.39,20.21,23.78,25.93,26.93,27.64,25.66,22.80,18.32,13.09
1921,13.18,13.70,17.27,21.65,22.91,25.76,28.02,27.73,25.59,21.53,18.21,14.50
1922,13.95,13.95,16.37,20.20,22.91,26.33,27.56,27.95,24.95,21.72,19.23,15.64
1923,13.30,13.57,17.52,19.16,23.23,25.83,27.65,26.81,24.76,21.95,17.38,15.59
1924,14.09,13.76,18.47,20.30,24.06,26.47,27.85,27.39,25.14,22.80,18.53,14.63
1925,11.14,12.10,17.58,20.82,23.42,24.93,26.55,27.73,25.66,22.42,17.96,15.64
1926,13.95,14.79,16.80,19.16,23.61,25.91,26.99,27.58,24.38,21.59,18.91,14.81
1927,13.51,13.25,16.25,19.41,24.25,26.28,27.65,27.39,25.91,22.73,18.73,14.37
1928,13.08,13.95,15.95,21.96,23.76,25.67,27.66,26.87,25.34,21.94,17.30,14.29
1929,14.31,14.49,16.66,20.69,23.51,24.66,26.66,27.06,24.73,21.75,17.81,14.87
1930,11.92,14.80,16.70,20.84,23.49,25.36,26.45,27.17,25.08,21.65,18.39,14.77
1931,14.32,13.69,16.80,19.93,22.88,25.63,27.43,27.36,25.67,20.56,17.91,13.79
1932,13.64,13.23,17.16,19.43,22.72,25.49,26.64,26.98,24.26,20.93,18.28,12.78
1933,12.31,13.81,16.01,18.79,23.28,23.91,26.15,27.11,24.01,21.48,17.42,15.29
1934,11.86,14.66,15.58,20.53,22.25,25.41,26.45,26.97,24.56,20.93,18.01,15.60
1935,13.01,13.85,17.50,19.11,23.02,25.60,27.05,27.80,25.42,22.10,18.97,16.50
1936,12.46,14.95,16.11,20.51,24.11,24.07,26.73,28.06,24.31,20.01,17.90,14.04
