Variable:,tasmin
Country:,Azerbaijan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.11,-1.31,3.41,7.64,10.85,16.38,18.77,18.17,12.77,5.12,1.94,0.42
1902,-2.41,-2.35,0.27,5.07,10.15,16.70,17.84,18.47,12.00,6.73,-0.09,-3.29
1903,-5.44,-2.77,-2.59,6.39,11.47,15.83,18.72,17.95,12.08,8.50,2.07,-2.83
1904,-9.31,-0.78,0.57,2.89,9.39,13.83,17.72,18.19,13.47,8.57,4.07,-2.94
1905,-7.32,-5.39,-1.78,4.21,9.39,15.70,18.58,18.58,14.65,11.86,5.01,-1.76
1906,-6.28,-3.38,1.45,5.35,12.15,15.75,17.77,16.57,11.85,8.61,2.43,-0.57
1907,-4.97,-4.54,-1.09,4.51,10.14,15.16,19.15,18.27,11.92,8.05,0.45,-3.29
1908,-5.79,-4.05,-2.10,3.66,8.30,14.84,17.91,18.75,15.16,7.14,1.75,-3.04
1909,-7.24,-1.94,1.80,5.37,11.95,15.08,19.31,17.90,15.74,9.03,6.08,0.15
1910,-1.85,-1.86,0.33,6.99,11.76,16.12,19.71,18.91,14.22,8.38,4.14,-4.76
1911,-8.52,-7.30,-2.89,4.40,10.42,14.11,18.65,18.05,12.83,5.79,3.44,-2.95
1912,-3.51,-1.47,1.03,3.13,8.25,15.84,17.22,16.92,14.92,9.07,3.69,-2.60
1913,-5.42,-6.00,-2.32,4.97,10.08,13.59,18.67,18.80,14.59,6.61,3.10,-1.47
1914,-1.95,-1.01,3.06,5.39,9.93,14.82,18.41,17.83,12.63,8.35,0.10,-3.00
1915,-1.22,-2.41,2.15,5.71,9.48,14.59,17.53,17.46,13.56,7.96,4.13,-0.19
1916,-3.47,-3.32,0.92,6.29,11.67,14.38,17.94,18.14,12.35,7.44,2.68,-1.06
1917,-2.59,-4.28,-0.17,8.37,9.44,14.45,18.56,17.71,15.17,7.92,4.00,-2.02
1918,-3.58,-2.46,-0.23,4.73,8.65,14.22,17.82,17.49,14.92,10.93,2.57,-2.73
1919,-0.80,-1.90,0.56,7.49,8.95,13.46,17.65,16.80,14.44,11.81,4.40,-2.56
1920,-3.22,-7.85,0.76,6.17,10.74,15.29,17.71,18.42,13.74,5.55,-0.37,-6.89
1921,-4.49,-5.93,-1.58,6.24,11.77,16.42,19.33,17.22,12.14,6.17,1.60,-3.45
1922,-3.76,-2.76,0.29,5.96,11.03,14.92,19.08,17.97,12.22,8.21,3.70,-1.27
1923,-2.50,-2.79,0.33,3.48,11.72,16.66,19.51,16.61,13.83,8.40,2.85,-1.31
1924,-1.95,-3.48,0.50,4.07,10.98,17.42,17.46,18.04,15.54,7.85,2.56,-5.29
1925,-7.30,-4.93,3.04,4.69,10.98,14.64,17.61,18.69,14.46,7.21,2.16,0.11
1926,-3.24,-2.76,0.18,3.94,11.09,14.61,16.98,18.00,11.86,6.87,2.30,-0.28
1927,-6.33,-5.67,0.03,5.83,11.20,16.56,18.72,18.64,14.71,11.28,3.04,-4.39
1928,-6.67,-5.96,-4.00,6.04,10.68,14.84,17.55,15.11,14.26,6.72,3.97,-2.23
1929,-6.68,-7.71,-4.06,4.09,12.70,14.26,17.93,19.25,13.35,9.08,3.40,-3.03
1930,-4.67,-4.30,0.53,6.02,10.75,13.84,18.53,19.23,13.24,7.77,4.65,-2.88
1931,-5.80,-5.05,0.44,4.45,10.32,15.39,19.57,17.89,14.98,7.17,1.78,-6.58
1932,-6.45,-5.37,-0.43,6.25,11.03,16.13,16.62,17.96,13.88,9.50,1.02,-5.41
1933,-7.44,-4.36,-2.32,4.13,10.46,13.70,18.13,18.54,14.71,8.76,3.65,-5.03
1934,-7.21,-3.86,0.17,4.78,9.88,14.26,18.18,17.04,12.70,8.85,3.26,-3.21
1935,-8.12,-3.00,-1.66,6.35,10.21,13.91,18.02,19.33,15.74,9.95,2.46,-0.67
1936,-4.50,-2.61,-0.46,5.59,10.05,15.19,19.28,17.97,12.31,8.13,4.58,-3.14
1937,-6.85,-4.24,0.13,5.09,10.38,13.03,19.65,19.31,16.10,9.60,4.16,-0.96
1938,-2.79,-2.96,-2.31,5.81,11.05,14.96,19.26,18.25,15.10,8.10,2.67,-0.89
1939,-3.41,-2.08,-0.82,4.84,11.57,16.20,18.36,17.94,12.70,7.77,3.59,-0.97
1940,-5.42,-2.31,-2.58,6.98,9.18,15.09,18.59,19.73,14.32,8.69,3.84,-0.05
1941,-4.94,-1.13,0.93,6.04,11.37,16.06,19.14,17.32,14.34,5.89,0.87,-6.36
1942,-6.41,-3.50,-2.44,3.28,10.98,15.87,18.64,18.18,13.35,9.33,4.03,-2.24
1943,-4.81,-5.13,-2.60,4.26,10.34,14.40,17.77,18.36,12.66,9.68,3.89,-1.57
1944,-4.72,-1.88,2.27,5.08,10.86,15.45,18.42,16.56,14.20,9.50,3.89,-4.18
1945,-4.01,-5.87,-2.58,3.84,8.44,13.63,17.62,17.37,13.52,7.62,1.08,-4.71
1946,-6.27,-3.01,0.61,4.82,11.32,15.16,16.57,17.58,14.59,6.19,1.98,-4.96
1947,-4.07,-4.26,1.72,5.46,9.46,14.75,18.36,17.04,13.04,7.47,4.83,-0.88
1948,-1.51,-1.17,-2.40,3.88,11.24,16.64,18.60,18.60,13.17,6.43,0.08,-6.31
1949,-7.81,-6.79,-2.34,3.41,9.77,16.22,19.69,17.94,13.44,5.42,2.66,-2.42
1950,-10.63,-7.06,-0.51,6.90,11.94,14.28,17.43,16.72,14.40,9.16,2.17,-2.61
1951,-4.46,-6.73,0.61,6.93,10.98,15.23,18.36,18.18,13.55,6.19,3.04,-2.51
1952,-3.30,-1.53,-1.31,4.58,9.45,13.64,18.11,18.88,14.05,10.30,1.91,-1.96
1953,-2.61,-1.73,-1.45,5.41,10.21,15.90,18.38,19.22,12.97,7.85,0.26,-6.72
1954,-7.81,-5.91,-1.42,4.09,10.70,15.96,19.31,18.62,15.03,9.19,3.76,-0.68
1955,-2.50,-0.18,0.71,5.16,10.83,15.61,18.20,17.92,14.34,9.26,3.46,-2.08
1956,-4.06,-4.09,-2.35,4.91,8.60,14.31,17.09,18.27,11.54,6.31,0.38,-5.64
1957,-8.12,-2.98,0.08,6.14,11.45,15.04,17.22,18.27,15.88,7.48,2.82,-1.88
1958,-1.34,-1.85,1.20,5.00,11.25,14.54,16.81,17.30,12.55,7.10,0.46,-3.60
1959,-3.56,-7.06,-1.53,5.64,10.73,14.19,18.16,17.61,11.70,5.35,2.08,-4.02
1960,-2.81,-3.05,-2.20,5.16,9.97,15.38,17.74,17.25,13.72,8.38,3.68,-1.71
1961,-3.96,-3.22,-0.72,5.51,11.78,16.53,18.78,18.27,13.00,7.61,3.48,0.04
1962,-4.04,-1.48,2.10,5.93,11.11,15.14,19.93,18.41,13.90,7.97,3.95,0.05
1963,-0.57,-0.27,-0.69,6.68,10.91,14.74,18.71,17.76,14.57,9.53,2.10,-3.63
1964,-10.41,-3.86,0.79,4.57,10.56,16.64,18.17,16.97,13.79,6.50,2.74,-3.97
1965,-5.22,-4.30,0.65,4.09,10.57,15.50,18.25,18.01,13.53,6.71,2.22,-0.94
1966,0.78,0.01,1.73,7.30,10.38,15.68,19.02,19.49,13.89,8.57,4.30,0.32
1967,-3.50,-6.65,-0.65,4.35,11.13,13.40,17.53,18.43,12.98,8.68,4.50,-2.66
1968,-4.24,-4.18,-0.36,5.67,12.15,13.96,17.47,17.05,14.07,9.43,4.43,-1.25
1969,-6.27,-7.66,0.03,4.83,10.22,15.30,16.68,17.43,12.81,7.71,1.02,0.25
1970,-2.68,-1.00,1.42,6.78,10.67,14.57,18.07,18.01,12.99,6.74,4.07,-2.57
1971,-6.10,-4.07,1.20,4.90,11.28,14.38,18.75,17.61,15.22,6.93,3.18,-2.68
1972,-10.28,-10.76,-2.49,6.56,10.19,15.48,18.74,16.96,13.79,10.11,2.38,-5.17
1973,-8.59,-3.00,-0.20,5.76,9.79,14.44,17.35,18.29,12.35,8.53,1.08,-4.50
1974,-6.48,-5.93,0.84,4.19,10.61,15.32,16.78,16.45,12.84,8.30,4.10,-2.15
1975,-4.16,-3.34,-0.62,6.89,11.69,16.56,19.63,17.76,14.29,7.28,1.28,-4.45
1976,-3.83,-7.54,-2.10,6.33,10.31,14.68,17.21,19.17,13.92,6.88,1.64,-0.30
1977,-8.69,-1.96,1.79,6.49,11.07,15.97,18.06,17.48,14.12,4.46,2.75,-3.28
1978,-2.87,-1.09,1.32,5.82,9.30,12.95,17.77,17.15,14.28,8.79,-0.15,-0.70
1979,-3.26,-0.94,1.17,6.23,10.68,14.29,18.48,18.39,14.99,9.11,4.39,-0.79
1980,-5.33,-3.83,-0.04,5.73,10.35,15.27,19.84,17.61,12.84,6.73,4.77,0.07
1981,-1.46,-0.23,1.80,4.77,9.28,15.25,18.65,18.08,14.12,9.14,3.05,1.19
1982,-4.32,-5.10,-1.11,7.17,11.24,14.62,18.02,16.51,14.15,7.32,1.00,-5.02
1983,-6.55,-3.14,-0.73,6.34,12.15,15.06,19.06,17.78,13.09,7.20,4.29,-2.22
1984,-2.03,-4.92,1.36,6.27,9.53,14.79,19.07,17.27,14.52,7.56,4.06,-4.58
1985,-3.58,-3.33,-3.37,6.44,11.66,15.83,17.04,17.09,13.82,6.92,3.80,-2.51
1986,-3.28,-2.63,-1.33,7.25,9.89,15.06,18.83,18.67,15.24,8.38,2.97,-2.65
1987,-1.16,-1.19,-0.64,3.56,11.21,16.24,18.29,17.75,12.70,6.44,2.13,-1.63
