Variable:,tasmin
Country:,Brunei
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.86,21.83,22.07,22.42,22.43,22.20,21.97,21.97,22.07,21.99,21.64,21.96
1902,21.86,21.83,22.07,22.42,22.43,22.20,21.97,21.97,22.07,21.99,21.64,21.96
1903,21.86,21.83,22.07,22.42,22.43,22.20,21.97,21.97,22.07,21.99,21.64,21.96
1904,21.86,21.80,22.04,22.39,22.39,22.17,21.97,21.93,22.07,21.95,21.61,21.92
1905,21.86,21.80,22.07,22.42,22.43,22.20,21.73,21.97,22.07,22.16,21.61,21.86
1906,21.86,21.83,22.07,22.42,22.43,22.20,21.97,21.97,22.04,21.99,21.64,21.96
1907,22.14,22.58,22.60,22.95,22.43,22.20,21.97,21.93,22.04,22.26,21.72,21.90
1908,21.62,21.50,22.02,22.66,22.72,22.20,22.39,21.97,22.07,21.99,21.64,21.90
1909,21.72,21.73,22.07,22.76,22.43,22.20,21.97,21.97,22.07,21.99,22.12,22.12
1910,21.86,21.83,22.07,22.59,22.72,22.20,21.97,22.44,22.34,22.06,21.83,21.76
1911,21.43,21.60,21.79,22.59,22.67,22.50,22.48,22.34,22.41,22.29,21.82,21.90
1912,21.76,21.68,22.07,22.66,22.43,22.64,21.97,22.48,22.55,22.26,21.74,21.81
1913,21.48,21.51,22.02,22.52,22.39,22.20,22.29,22.39,22.46,21.99,21.64,21.62
1914,21.90,21.83,22.07,22.42,22.43,22.20,21.97,21.97,22.09,22.06,21.64,21.76
1915,21.67,21.51,21.89,22.52,22.60,22.64,21.97,21.97,22.07,22.29,21.44,21.76
1916,21.38,21.31,21.97,22.15,22.49,22.44,22.48,22.24,22.31,22.06,21.52,21.86
1917,21.57,21.64,21.99,22.52,22.53,22.49,22.00,22.29,22.09,21.99,21.52,21.62
1918,21.82,21.66,21.95,22.39,22.67,22.40,22.00,21.97,22.09,22.06,21.64,21.90
