Variable:,tasmin
Country:,Bhutan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.68,-1.62,1.77,6.62,8.99,13.41,14.06,13.40,11.63,7.59,1.27,-2.51
1902,-3.05,-1.62,3.42,5.28,8.85,12.40,13.40,13.22,11.66,6.30,0.65,-3.04
1903,-3.99,-2.06,2.19,6.56,9.52,12.08,14.21,12.94,11.90,7.50,1.60,-2.78
1904,-3.97,-1.85,2.66,6.16,8.29,12.19,12.99,13.12,11.46,6.37,0.89,-2.56
1905,-4.67,-4.27,0.83,3.85,8.40,13.34,13.46,12.89,11.86,7.16,1.46,-2.45
1906,-4.00,-2.38,0.93,6.52,9.52,12.52,13.61,12.66,12.14,7.02,1.65,-2.04
1907,-2.50,-2.06,0.72,4.62,8.74,12.06,13.40,13.39,11.54,6.59,1.33,-2.63
1908,-4.30,-1.57,2.64,8.02,9.29,12.72,13.43,13.10,11.59,6.38,0.91,-3.45
1909,-3.19,-1.83,3.44,5.04,8.99,11.40,13.45,12.88,12.03,7.56,2.81,-1.79
1910,-3.65,-1.93,2.24,5.72,9.07,11.56,12.75,12.94,11.96,6.92,1.06,-3.07
1911,-2.48,-2.29,1.55,5.85,8.90,11.81,13.72,13.00,11.57,6.65,0.90,-3.61
1912,-3.53,-0.76,2.03,4.57,9.11,12.54,13.16,12.93,11.60,6.46,1.29,-2.84
1913,-3.59,-1.11,1.42,6.54,7.77,11.11,13.28,12.98,11.53,6.69,0.54,-2.97
1914,-3.62,-1.42,2.20,4.51,8.92,12.32,13.47,12.79,11.25,5.16,0.99,-2.01
1915,-2.57,-1.70,1.96,6.18,9.11,11.91,13.58,13.23,11.52,9.00,3.57,-2.05
1916,-3.65,-1.41,3.48,6.07,10.04,11.99,12.84,13.29,12.16,7.47,2.14,-2.88
1917,-4.20,-2.08,1.52,5.22,8.56,11.75,13.36,13.22,11.69,7.33,2.15,-2.59
1918,-4.51,-1.77,2.76,5.45,9.53,10.89,13.73,12.96,11.93,7.09,1.40,-2.86
1919,-2.75,-1.83,3.51,5.75,9.27,12.30,13.27,13.66,11.01,6.69,2.36,-2.10
1920,-2.66,-2.07,2.10,5.73,8.64,12.71,13.92,12.86,11.86,7.48,1.91,-1.52
1921,-2.56,-1.55,3.60,6.40,10.14,11.88,13.61,13.27,11.78,6.04,1.22,-2.30
1922,-2.98,-0.87,3.43,7.22,9.94,11.69,13.27,13.05,11.81,6.34,2.00,-2.12
1923,-3.24,-1.91,2.66,6.74,9.32,13.00,13.36,13.46,11.71,6.27,2.14,-1.64
1924,-3.50,-1.20,4.35,7.20,9.20,13.45,13.36,12.98,11.42,7.74,1.81,-2.02
1925,-4.64,-2.45,2.39,5.93,8.18,12.28,13.18,13.16,11.25,6.46,1.29,-2.87
