Variable:,tasmin
Country:,Cameroon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,16.78,18.23,19.34,20.61,19.65,19.29,19.24,18.81,18.74,19.15,18.20,16.97
1902,17.05,17.97,19.85,20.46,20.38,19.72,19.21,19.57,19.35,19.15,18.20,16.97
1903,17.33,18.56,20.16,20.65,20.24,19.32,19.33,19.51,19.54,19.15,18.20,16.97
1904,18.53,18.71,19.28,20.27,20.01,19.52,18.89,18.89,19.17,19.02,18.22,17.64
1905,16.38,18.68,19.55,21.16,20.63,19.52,19.15,19.63,19.16,17.78,18.10,15.75
1906,16.96,18.02,19.41,21.28,20.24,19.65,19.40,19.39,19.54,18.63,17.69,16.97
1907,18.01,19.24,20.62,20.90,20.34,19.44,20.02,19.72,19.64,19.02,18.10,17.78
1908,15.73,17.64,20.05,20.80,20.38,19.00,19.33,18.68,19.09,18.19,17.72,16.17
1909,17.05,18.49,20.23,21.16,20.38,20.35,20.04,19.32,19.79,19.15,18.20,16.97
1910,17.21,18.66,19.70,20.03,20.20,20.31,19.62,19.42,19.04,19.13,17.92,17.50
1911,17.86,18.97,20.71,20.98,20.83,20.04,19.54,19.55,19.26,19.30,18.50,18.08
1912,17.60,19.48,21.07,21.29,20.33,19.94,19.22,19.35,19.14,18.96,17.88,17.85
1913,17.34,18.63,19.86,20.17,19.97,18.84,18.67,18.84,18.62,19.15,18.41,17.62
1914,17.99,19.30,20.67,21.27,20.18,19.29,19.10,18.98,19.42,19.12,18.61,17.91
1915,17.74,19.16,20.17,20.85,20.17,19.47,19.23,19.08,18.91,18.90,18.51,18.03
1916,17.40,18.93,20.28,20.82,20.26,19.74,19.25,19.38,19.29,19.34,18.09,16.97
1917,16.93,18.92,20.08,20.24,20.19,19.37,19.31,19.15,19.06,18.81,18.70,17.47
1918,17.62,18.96,20.59,20.77,20.24,19.51,19.27,19.51,19.09,19.39,18.87,17.74
1919,17.95,19.02,20.29,20.37,20.38,19.42,19.19,19.13,19.15,19.03,18.06,16.97
1920,16.92,18.49,19.84,20.40,20.25,19.63,19.19,19.32,19.23,19.17,18.20,16.97
1921,17.03,18.49,20.08,20.95,20.30,19.51,19.19,19.61,19.26,19.13,17.97,16.97
1922,16.89,18.49,19.81,20.55,20.07,19.34,19.28,19.37,19.24,19.18,18.04,16.97
1923,17.36,18.38,20.19,20.92,20.33,19.62,19.15,19.00,19.18,19.44,18.49,17.30
1924,17.25,18.89,20.53,21.02,20.19,19.67,19.06,19.08,18.93,19.30,18.17,16.84
1925,17.03,18.49,20.38,20.97,20.19,19.45,18.99,19.03,18.96,19.51,19.05,17.78
1926,17.96,18.96,19.94,20.46,20.34,19.51,19.27,19.57,19.42,20.07,18.47,18.23
1927,17.91,18.81,20.01,20.48,20.04,19.63,19.23,18.90,19.42,19.70,19.10,17.90
1928,18.05,18.41,20.23,20.33,19.70,19.18,18.92,18.65,18.95,19.33,18.07,16.86
1929,16.97,18.52,20.47,20.49,20.32,19.35,18.78,18.71,18.77,19.45,18.93,17.10
1930,17.38,19.41,19.32,20.81,20.10,19.51,18.92,19.30,19.29,19.85,18.70,18.32
1931,17.65,18.65,20.56,21.22,20.25,19.59,19.31,19.50,19.40,19.83,19.08,17.67
1932,17.68,19.09,21.06,21.05,20.60,19.77,19.29,19.29,19.40,19.78,19.05,18.01
1933,17.99,18.92,20.52,21.13,20.36,19.64,19.27,19.28,19.26,19.01,19.37,18.13
