Variable:,tasmin
Country:,"Congo (Republic of the)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.71,19.94,19.90,20.25,19.95,19.17,18.64,18.78,19.33,20.03,20.00,19.91
1902,19.91,19.58,20.17,20.13,20.28,19.35,18.56,19.25,19.64,20.03,20.00,19.91
1903,20.20,20.17,20.49,20.43,20.12,18.93,18.68,19.18,19.84,20.03,20.00,19.91
1904,19.91,19.71,19.91,20.08,19.99,19.20,18.23,18.65,19.84,20.03,20.00,19.91
1905,20.20,20.29,20.76,20.75,20.38,19.13,18.50,19.31,19.43,20.03,20.00,19.91
1906,19.81,19.97,20.50,20.74,20.03,19.26,18.77,19.06,19.84,20.03,20.00,19.91
1907,19.67,20.11,20.30,20.35,20.23,19.26,19.35,19.51,19.77,20.03,20.00,19.91
1908,19.67,19.71,20.20,20.41,20.19,18.61,18.68,18.33,19.37,20.03,20.00,19.91
1909,19.91,20.11,20.36,20.69,20.38,19.98,19.41,18.99,20.10,20.03,20.00,19.91
1910,19.48,19.51,19.84,19.82,20.20,19.78,19.08,18.99,19.31,20.03,19.71,19.75
1911,19.61,19.78,20.62,20.63,20.68,19.59,19.08,19.18,19.64,20.03,20.00,19.91
1912,20.00,20.55,20.87,20.96,20.62,19.87,18.64,19.18,19.55,19.88,19.68,19.90
1913,19.75,19.58,19.99,20.26,20.30,18.87,18.56,19.11,19.37,20.03,20.00,19.91
1914,20.33,20.17,20.82,20.60,20.22,19.13,18.56,19.11,19.90,20.03,20.00,19.91
1915,19.91,20.11,20.26,20.48,19.92,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1916,19.91,20.11,20.20,20.13,20.09,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1917,19.91,20.11,20.14,20.35,20.31,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1918,19.91,20.11,20.45,20.25,19.96,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1919,19.91,20.11,20.45,20.60,19.54,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1920,19.91,20.11,20.45,20.23,20.02,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1921,19.91,20.11,20.20,20.35,20.15,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1922,19.91,20.11,20.16,20.38,20.05,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1923,19.91,20.11,20.10,20.35,19.99,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1924,19.91,20.11,20.45,20.38,20.44,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1925,19.91,20.11,20.45,20.25,19.99,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1926,19.91,20.11,20.23,20.48,20.05,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1927,19.91,20.11,20.10,20.42,20.38,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1928,19.91,20.11,20.45,20.35,20.41,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1929,19.91,20.11,20.45,20.25,19.57,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1930,19.91,20.11,20.45,20.16,20.24,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1931,19.91,20.11,20.36,20.38,20.38,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1932,19.91,20.11,20.45,20.10,19.67,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1933,19.91,20.11,20.57,20.52,20.41,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1934,19.91,20.11,20.33,20.55,20.82,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1935,19.91,20.11,20.26,20.42,20.41,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1936,19.91,20.11,20.14,20.25,20.12,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1937,19.91,20.11,20.45,20.67,20.69,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1938,19.91,20.11,20.29,20.48,20.21,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1939,19.91,20.11,20.16,20.52,20.59,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1940,19.91,20.11,20.42,20.42,20.02,19.35,18.68,18.99,19.52,20.03,20.00,19.91
1941,20.76,21.01,21.48,21.55,20.86,19.75,18.30,19.46,20.03,20.96,20.25,20.57
1942,20.64,21.05,21.14,21.53,20.62,19.64,18.77,18.89,19.48,20.38,20.63,20.07
1943,20.13,20.20,20.32,20.45,19.97,18.06,17.75,18.85,19.51,20.45,19.84,20.46
1944,20.23,20.09,20.10,20.91,20.99,20.13,19.35,19.61,20.10,20.40,20.41,20.68
1945,20.75,20.38,20.78,20.84,20.48,19.51,19.29,19.04,19.82,20.32,19.99,20.60
1946,20.79,20.59,20.55,21.01,20.14,19.32,18.79,18.75,19.41,20.01,20.25,20.43
1947,20.35,20.26,20.85,20.69,21.23,20.35,18.88,19.90,19.91,20.71,20.42,19.99
1948,20.00,19.84,20.38,20.27,20.30,19.22,18.25,18.95,19.86,20.36,20.24,20.52
1949,20.83,20.25,20.70,21.25,20.92,19.65,19.06,19.18,20.03,20.50,20.27,20.13
1950,20.20,20.07,20.62,20.84,20.58,20.26,18.78,18.80,19.26,19.93,20.08,20.31
1951,20.04,20.06,20.35,21.12,20.68,19.51,18.87,19.26,19.79,20.22,20.31,20.20
1952,20.85,20.49,20.75,21.03,20.57,19.51,18.46,18.83,19.38,20.24,20.14,20.14
1953,20.04,20.02,20.63,20.81,20.68,19.49,18.73,18.79,19.72,20.16,20.08,20.36
1954,20.13,19.57,20.55,20.69,20.38,19.12,17.92,18.63,19.66,20.10,19.88,19.99
1955,19.73,20.32,20.23,20.16,20.55,19.28,18.59,18.67,19.29,20.10,20.28,19.57
1956,19.65,20.01,20.27,20.62,20.43,19.37,18.22,18.65,19.64,19.99,20.40,19.72
