Variable:,tasmin
Country:,"Christmas Island"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.70,20.30,21.30,20.60,20.40,18.60,18.80,17.90,18.40,19.60,20.80,19.90
1902,20.40,20.20,20.40,20.20,20.40,18.70,17.80,18.10,18.50,19.80,20.80,20.60
1903,21.50,20.70,20.80,20.20,20.40,18.70,17.90,18.10,18.50,19.00,20.80,19.70
1904,20.30,20.00,21.30,19.80,20.40,19.70,18.80,17.60,19.40,18.80,20.80,19.90
1905,20.80,20.60,20.80,20.00,20.40,19.30,18.20,18.00,18.50,20.00,20.80,20.80
1906,21.20,21.50,20.80,20.50,20.40,19.00,18.10,18.00,18.40,19.00,20.80,19.90
1907,20.40,20.30,20.20,20.10,20.40,18.60,17.80,17.70,19.40,19.30,20.80,20.00
1908,20.90,20.70,20.80,20.40,20.40,18.60,18.80,18.00,19.40,19.10,20.80,20.20
1909,21.00,20.70,20.50,20.30,20.40,19.70,17.70,18.20,18.40,19.10,20.80,20.00
1910,20.90,20.90,20.40,20.00,20.40,18.70,18.00,17.90,19.40,18.70,20.80,20.00
1911,20.50,20.40,20.80,20.30,20.40,18.80,17.70,17.80,18.70,19.10,20.80,20.30
1912,20.80,21.00,20.60,21.10,20.40,18.90,17.90,18.50,18.60,19.30,20.80,20.30
1913,20.90,21.00,20.30,20.20,20.40,18.80,18.20,18.20,18.80,19.70,20.80,20.40
1914,21.10,21.00,20.80,20.30,20.40,19.10,18.10,18.20,18.60,20.20,20.80,20.80
1915,20.80,20.80,21.30,20.70,20.20,19.40,18.60,18.50,18.70,19.60,20.80,20.20
1916,20.10,20.50,20.40,20.40,20.00,18.70,18.20,18.10,18.50,19.40,20.80,19.80
1917,20.20,20.30,20.40,20.00,20.10,19.00,18.40,18.40,19.40,20.30,20.80,21.00
1918,19.90,20.70,20.20,20.90,20.30,19.40,18.20,18.10,18.80,19.90,20.80,20.40
1919,21.10,21.20,21.00,20.40,20.20,18.90,17.90,18.00,18.60,19.60,20.80,20.30
1920,20.30,20.50,20.90,20.10,20.30,19.00,18.40,18.10,19.40,20.30,20.80,20.30
1921,20.90,20.60,20.40,20.20,20.00,18.80,18.20,18.50,18.40,19.20,20.80,19.80
1922,20.80,20.30,20.50,20.40,20.00,19.00,18.30,18.40,18.60,19.20,20.80,20.30
1923,20.70,20.80,20.60,20.60,20.20,19.20,17.80,17.70,18.40,20.10,20.80,20.30
1924,21.30,21.00,20.90,20.30,20.50,19.30,18.60,18.70,19.10,19.00,20.80,19.90
1925,20.80,20.40,20.20,20.40,20.30,19.30,18.30,18.60,19.10,19.80,20.80,20.70
1926,20.80,21.00,20.80,21.20,20.50,19.50,18.60,18.80,19.00,19.70,20.80,20.20
1927,20.80,21.10,20.80,20.60,20.40,19.20,18.50,18.70,19.00,19.60,20.80,20.50
1928,21.40,21.20,20.80,20.60,20.50,19.20,18.30,18.30,18.90,19.60,20.80,20.20
1929,20.80,21.10,20.50,20.60,20.00,19.10,17.90,18.30,19.00,19.90,20.80,20.10
1930,21.30,20.90,21.10,20.30,20.40,19.10,18.30,18.70,19.10,19.90,20.80,20.80
1931,21.70,21.60,21.20,21.00,20.50,19.60,18.50,18.80,19.20,19.70,20.80,20.40
1932,20.90,20.70,20.60,20.50,20.40,19.10,18.50,18.70,19.00,19.90,20.80,20.30
1933,21.50,20.70,20.70,20.40,20.50,19.10,18.40,18.90,18.40,19.50,20.80,20.30
1934,21.00,20.60,20.30,20.40,20.20,19.20,18.40,18.50,18.60,19.90,20.80,20.30
1935,21.00,21.40,21.00,20.40,20.40,19.00,18.00,18.30,19.00,19.70,20.80,20.80
1936,20.90,21.30,21.10,20.40,20.50,19.10,18.40,18.70,19.10,19.70,20.80,20.80
1937,20.90,21.50,21.40,20.50,20.20,19.10,18.30,18.60,19.00,19.70,20.80,20.40
1938,21.20,21.30,21.20,20.80,20.40,18.90,18.30,18.30,19.10,20.00,20.80,20.50
1939,21.30,21.00,20.90,20.70,20.10,18.90,18.50,18.70,19.00,19.60,20.80,20.70
1940,20.90,21.10,20.90,20.50,19.50,19.00,18.50,18.20,19.30,20.60,20.80,20.90
1941,21.70,21.70,21.70,21.40,20.50,19.70,18.50,18.50,19.10,20.10,20.80,20.90
1942,21.60,21.60,21.60,20.90,20.50,19.80,18.40,18.70,19.30,20.00,20.80,21.00
1943,20.60,20.80,20.60,20.40,20.40,18.90,18.00,18.30,19.00,19.50,20.80,20.70
1944,21.20,21.10,21.10,20.70,20.00,19.40,18.30,18.60,19.20,20.20,20.80,20.90
1945,21.60,21.40,21.10,20.80,20.30,19.20,18.30,18.80,19.00,19.70,20.80,21.00
1946,22.10,21.40,21.30,21.10,20.00,19.80,19.10,19.60,19.10,20.30,20.80,21.30
1947,22.20,21.90,21.30,20.70,20.50,19.80,18.60,18.90,19.20,20.10,20.80,21.60
1948,20.20,21.40,21.30,21.00,20.60,19.80,18.80,18.60,19.30,20.60,20.80,21.10
1949,21.20,21.30,21.10,20.90,20.20,19.50,18.30,18.50,19.00,20.20,20.80,21.00
1950,21.50,21.10,21.10,20.80,20.30,19.30,18.10,18.50,18.90,19.40,20.30,20.50
1951,20.80,20.80,21.30,20.80,20.10,19.40,18.30,18.40,19.40,20.00,21.10,20.70
1952,21.60,21.70,20.90,21.10,20.20,19.50,18.50,18.60,19.10,19.60,20.10,20.60
1953,21.40,21.40,21.30,21.00,20.20,19.40,18.30,18.40,19.40,20.60,20.60,21.30
1954,21.70,21.30,21.60,21.10,20.50,19.40,18.50,18.40,19.00,19.50,20.00,20.70
1955,21.40,21.10,21.00,20.80,20.40,19.40,18.00,18.20,19.00,19.70,20.20,20.50
1956,20.80,21.40,21.30,20.90,20.20,19.00,18.20,18.50,19.00,19.80,20.50,20.60
1957,21.30,21.10,20.90,21.30,20.50,19.60,18.50,18.50,19.20,20.40,21.00,21.00
1958,21.90,21.40,21.50,21.40,20.70,19.90,18.50,18.60,19.20,20.00,20.10,20.30
1959,21.50,21.90,21.60,20.90,21.20,19.80,18.20,18.40,19.30,20.50,21.60,20.50
1960,21.10,21.30,21.20,21.00,20.50,19.70,19.20,19.30,19.60,20.40,20.90,21.20
1961,21.30,21.70,21.60,21.10,20.70,19.20,18.00,18.00,18.20,19.30,20.60,21.00
1962,21.30,21.10,21.10,21.20,20.50,19.70,19.50,18.90,19.10,20.60,21.10,20.60
1963,21.20,21.00,20.90,21.10,20.40,19.70,18.20,17.70,18.50,20.50,21.10,20.90
1964,22.00,21.90,21.60,21.40,20.70,19.60,19.10,19.30,19.80,19.90,20.90,20.60
1965,21.00,21.40,21.20,21.00,20.50,19.60,18.50,18.60,18.90,19.30,21.20,21.30
1966,21.80,21.70,21.60,21.50,20.70,19.40,18.30,19.40,20.20,20.90,21.30,20.80
1967,22.10,21.50,21.30,20.90,20.40,19.30,18.30,18.90,19.50,20.70,21.30,20.90
1968,21.40,21.00,21.50,21.20,20.80,20.10,19.40,19.00,20.10,21.00,21.40,21.20
1969,21.70,22.00,22.20,21.90,20.90,20.10,19.30,19.40,19.80,20.60,21.40,21.30
1970,22.00,21.90,21.80,21.70,21.00,20.20,19.30,19.20,19.80,20.80,21.20,21.10
1971,21.20,21.30,21.30,21.40,20.50,19.60,19.10,19.50,20.10,20.40,20.40,21.30
1972,21.30,21.80,21.50,21.30,20.80,19.70,18.30,19.20,19.20,20.10,20.80,21.90
1973,22.30,22.30,22.00,21.60,20.20,20.00,19.10,19.30,19.50,20.40,20.10,21.00
1974,20.40,20.60,20.30,20.60,20.00,19.00,18.00,18.40,19.60,20.70,20.50,21.10
1975,21.30,21.20,21.20,21.00,20.00,19.30,19.10,18.90,19.50,20.00,20.20,21.00
1976,20.30,20.50,20.60,20.60,19.90,19.10,17.60,18.40,18.50,20.20,20.70,21.20
1977,20.90,20.90,20.80,20.90,20.20,19.50,18.20,18.40,18.70,20.30,20.40,20.90
