Variable:,tasmin
Country:,Eritrea
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,16.07,17.98,18.37,20.04,22.08,22.13,23.68,22.71,22.15,21.07,18.93,17.17
1902,14.65,16.99,17.78,19.62,21.42,22.73,22.98,23.25,21.68,20.09,18.01,15.45
1903,14.76,14.88,16.48,20.05,21.23,22.49,23.28,22.56,21.01,20.00,18.45,16.98
1904,15.60,16.32,17.19,19.59,21.54,22.86,22.68,23.15,21.33,20.23,17.97,15.50
1905,15.49,14.86,16.39,18.83,20.70,22.79,23.16,22.41,21.50,20.61,19.22,16.50
1906,14.76,16.83,16.58,18.73,21.64,23.25,23.12,22.45,21.21,20.03,17.70,16.16
1907,15.54,16.81,17.79,19.85,21.03,22.40,22.57,21.57,21.09,20.15,17.44,14.61
1908,14.45,15.27,18.03,21.20,22.86,23.19,22.08,21.87,21.76,20.11,17.25,15.73
1909,15.08,15.98,17.87,19.25,21.55,22.02,22.46,22.52,21.06,20.06,18.57,16.10
1910,14.94,16.11,16.38,20.10,22.28,22.55,22.88,23.04,21.32,20.12,17.82,16.23
1911,15.81,15.25,17.00,19.39,21.80,22.46,22.55,22.42,21.10,20.27,18.81,16.38
1912,14.47,15.22,16.85,19.11,21.87,22.36,22.61,21.89,21.44,19.73,18.43,16.00
1913,15.12,15.26,15.03,19.72,21.38,21.49,22.95,22.20,21.50,19.97,16.87,15.14
1914,16.75,15.70,18.45,18.97,21.21,22.84,22.25,21.73,21.09,20.06,19.10,16.65
1915,16.26,16.75,17.43,19.49,21.16,22.78,23.09,22.11,21.43,20.07,19.14,16.25
1916,13.36,15.80,16.98,19.98,21.20,21.99,22.80,21.50,20.95,19.36,18.54,16.06
1917,14.76,15.99,16.71,19.26,20.29,21.67,23.09,21.88,20.46,18.78,18.35,15.71
1918,14.48,15.24,16.89,18.61,21.15,22.14,22.44,21.99,21.27,20.27,18.83,16.84
1919,17.34,16.94,18.22,19.06,21.53,22.20,22.65,22.00,21.40,20.56,18.22,16.19
1920,15.04,14.68,16.65,19.42,21.13,22.19,22.32,21.46,21.06,20.27,18.10,16.05
1921,14.93,14.57,15.47,20.24,20.91,21.80,22.73,21.54,20.80,20.41,18.47,17.42
1922,15.72,15.79,16.35,19.47,21.35,22.71,21.72,21.23,20.36,20.28,18.62,15.91
1923,16.65,14.82,17.57,18.49,20.94,22.15,22.00,21.34,20.69,19.89,17.97,16.16
1924,15.80,16.21,18.77,19.86,20.51,22.50,22.45,22.07,20.93,20.48,18.43,16.77
1925,13.86,14.66,17.60,19.96,21.14,21.89,22.25,21.87,21.85,20.41,18.67,17.41
1926,14.48,15.04,16.51,18.89,22.61,22.97,22.66,22.82,21.65,20.31,17.67,16.68
1927,16.67,15.04,17.44,18.28,21.16,22.41,21.88,21.83,20.64,21.32,18.67,18.36
1928,17.94,16.73,18.80,20.55,21.87,22.96,22.69,21.70,22.12,20.80,18.36,17.00
