Variable:,tasmin
Country:,Ethiopia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.45,15.15,16.39,17.14,17.39,17.15,17.35,16.90,16.69,15.71,14.27,12.59
1902,11.90,14.56,15.47,16.36,16.08,16.65,18.51,18.52,17.42,15.60,14.11,12.69
1903,13.17,13.29,15.31,17.66,16.47,16.66,18.09,16.53,16.41,15.34,13.55,12.22
1904,12.71,13.62,14.76,17.10,17.29,16.85,17.16,17.08,16.39,15.24,13.90,12.65
1905,13.29,14.05,15.68,16.68,15.78,17.32,17.62,16.78,16.54,16.00,14.49,12.79
1906,11.81,15.47,15.58,15.89,17.93,18.26,17.51,17.23,16.77,14.48,13.14,10.64
1907,11.37,14.21,15.56,16.46,16.30,16.81,17.22,16.08,16.29,14.73,13.71,10.57
1908,12.75,13.18,17.02,18.20,19.11,17.26,17.29,16.37,17.43,15.40,13.29,11.55
1909,12.03,14.06,15.20,15.66,16.26,16.18,16.77,17.10,16.36,14.20,12.54,12.25
1910,11.73,13.10,14.80,17.53,16.99,17.05,18.02,17.29,16.14,14.21,12.83,12.88
1911,12.59,12.58,15.31,16.88,17.45,17.79,16.93,16.89,16.05,14.62,13.56,12.02
1912,11.49,13.80,14.42,16.40,16.83,16.41,16.11,16.09,15.86,14.97,13.95,12.19
1913,12.59,13.05,14.79,16.60,15.76,15.55,16.94,16.57,16.45,15.27,13.46,12.46
1914,12.57,14.34,16.19,16.61,15.83,17.30,16.85,16.48,16.24,15.71,13.59,13.12
1915,13.34,14.63,15.91,16.97,16.85,17.02,16.91,16.46,16.29,15.34,14.19,12.49
1916,12.23,14.40,15.46,16.76,16.93,16.85,16.66,16.27,16.06,15.20,14.02,12.60
1917,12.86,14.47,15.50,16.32,16.68,16.74,16.92,16.39,15.94,14.78,13.82,12.62
1918,12.58,14.24,15.55,16.12,16.82,16.98,16.90,16.45,16.21,15.40,13.92,12.84
1919,13.70,14.73,16.10,16.49,17.05,16.99,16.81,16.65,16.37,15.24,13.74,12.61
1920,12.86,13.89,15.52,16.47,16.79,16.86,16.73,16.19,16.26,15.34,13.98,12.40
1921,12.83,13.88,15.44,17.19,16.97,17.04,17.17,16.52,16.51,15.56,14.41,13.75
1922,13.60,14.89,16.08,17.09,17.25,17.77,16.64,16.38,16.36,15.63,14.68,13.24
1923,13.57,14.21,16.12,16.57,17.01,17.12,16.80,16.38,16.23,15.23,13.77,12.86
1924,13.59,15.05,16.79,17.41,17.25,17.54,17.50,17.07,16.66,15.93,14.47,13.59
1925,12.67,13.90,16.02,17.02,17.37,17.62,17.66,17.27,16.75,15.44,14.21,13.14
1926,12.92,14.36,15.49,16.33,17.69,17.72,17.48,17.47,16.97,15.54,13.90,12.62
1927,13.58,14.32,16.00,15.88,16.62,16.93,16.88,17.16,16.64,16.12,14.70,13.86
1928,13.97,14.85,16.92,17.82,17.65,17.37,17.31,16.79,17.01,16.07,14.68,13.32
1929,13.23,15.32,16.40,17.02,17.17,16.82,16.10,16.05,15.94,15.29,13.96,12.53
1930,12.59,14.35,15.49,16.59,16.60,16.42,16.33,15.97,16.02,15.11,13.56,12.94
1931,13.39,14.77,15.87,16.67,17.35,17.37,17.14,16.67,16.60,15.73,14.24,13.17
1932,13.10,14.91,15.78,16.84,16.77,16.93,16.72,16.33,16.36,15.37,13.99,12.71
1933,13.44,14.89,16.28,16.96,17.20,17.28,16.97,16.48,16.28,15.60,14.52,13.19
1934,13.11,13.90,16.01,17.09,17.20,17.01,16.78,16.46,16.35,15.66,14.43,12.98
1935,13.75,14.67,16.58,16.73,16.76,16.73,16.53,15.92,16.10,15.55,14.00,13.00
1936,12.88,14.69,16.33,17.11,17.63,16.88,16.40,16.12,15.98,15.79,14.24,13.22
1937,13.12,14.92,16.06,17.33,17.53,17.34,16.91,16.68,16.63,15.83,14.88,13.51
1938,13.74,14.77,15.69,16.97,16.76,17.22,16.91,16.60,16.37,15.83,14.11,13.21
1939,13.35,14.91,16.21,17.53,18.15,17.38,17.21,16.76,16.44,16.23,14.57,13.69
1940,14.02,15.50,16.62,17.44,17.77,17.73,17.15,16.85,16.87,15.88,14.39,13.56
1941,13.46,15.01,16.19,17.46,17.48,16.97,17.06,16.53,16.47,15.61,14.12,12.65
1942,13.30,15.16,16.03,17.23,17.10,17.45,16.26,16.17,16.18,15.43,14.40,13.26
1943,13.11,13.73,15.38,16.37,17.38,16.73,16.78,16.20,16.09,15.22,14.50,13.71
1944,13.39,14.65,16.38,17.14,17.15,17.32,16.75,16.48,16.22,15.68,13.98,12.98
1945,13.53,13.89,15.88,17.24,17.05,16.85,16.91,16.19,15.93,15.07,13.98,12.90
1946,13.33,15.01,15.73,16.70,17.42,16.76,16.87,16.17,16.51,15.66,14.41,13.26
1947,13.91,15.27,16.15,16.96,16.96,17.91,17.16,16.72,16.37,16.21,15.14,13.49
1948,13.95,15.06,15.12,17.29,17.56,16.23,16.83,16.23,16.30,15.09,13.61,12.88
1949,13.57,14.02,16.46,17.45,17.21,16.98,16.66,16.48,15.89,15.72,14.40,12.45
1950,13.17,14.05,16.48,17.50,17.42,17.12,16.40,15.91,15.72,15.01,13.85,13.14
1951,13.39,14.78,17.14,17.44,17.85,17.41,17.22,16.33,15.53,16.53,15.14,12.98
1952,13.82,15.01,16.73,17.58,17.94,17.51,16.66,16.62,16.55,15.24,14.17,13.60
1953,13.70,15.52,16.39,17.55,17.87,17.83,16.72,16.67,16.16,15.08,14.41,13.81
1954,13.11,15.77,16.90,17.42,17.31,17.50,16.06,16.19,16.88,15.30,14.59,13.63
1955,14.59,14.86,16.56,17.48,17.89,17.08,16.73,15.99,16.65,15.15,13.87,13.57
1956,12.44,14.16,16.88,16.53,17.00,16.26,16.20,15.64,15.67,15.75,13.15,13.11
1957,12.45,13.23,15.35,16.24,16.75,16.71,16.23,16.21,15.91,15.27,14.48,13.23
1958,14.07,14.48,15.90,17.51,17.28,16.84,16.66,16.14,16.50,15.41,13.98,13.57
1959,13.80,14.70,15.06,17.14,16.84,16.92,16.66,15.88,16.41,15.85,14.18,13.31
1960,12.89,14.21,15.41,16.56,16.99,16.51,16.39,16.35,16.37,15.28,13.82,14.21
1961,13.51,14.15,15.64,16.98,17.37,16.71,16.05,15.61,16.02,14.64,13.56,12.25
1962,11.49,12.63,15.85,16.19,16.39,16.00,16.26,15.64,15.99,14.37,14.19,12.84
1963,13.43,14.63,15.59,16.89,16.83,16.59,16.48,16.21,15.77,15.18,15.08,13.91
1964,13.45,13.96,15.83,16.74,17.09,16.72,16.20,15.88,15.99,14.87,13.05,12.63
1965,12.84,13.65,15.10,16.56,16.80,16.81,16.53,16.24,16.11,15.34,14.53,12.93
1966,13.48,15.29,16.09,16.77,16.90,16.82,17.12,16.84,16.17,15.40,13.69,11.83
1967,11.93,14.25,16.06,16.54,16.91,16.86,16.58,16.09,16.01,15.03,14.10,12.29
1968,11.91,14.14,14.97,16.18,16.69,16.49,16.33,16.20,16.29,15.34,14.20,13.25
1969,14.45,14.79,16.97,17.05,17.38,17.38,17.10,16.37,16.37,15.36,14.51,12.84
1970,14.19,15.24,16.48,17.30,17.39,17.72,17.06,16.81,16.51,15.91,13.02,12.14
1971,13.00,13.43,15.48,16.49,16.77,16.83,16.41,16.13,15.72,15.42,14.13,12.14
1972,13.40,14.26,15.66,17.04,16.85,16.62,17.11,16.55,16.14,15.64,14.28,13.45
1973,13.52,14.75,16.49,17.91,17.53,17.50,17.04,16.74,16.23,15.46,13.66,11.90
1974,13.00,14.23,15.82,16.74,16.95,16.72,16.34,16.17,15.67,15.07,12.51,12.15
1975,12.72,15.57,16.09,17.13,17.39,16.81,16.65,16.13,16.10,15.38,13.56,12.32
1976,12.84,14.89,16.43,16.89,17.34,17.40,16.80,16.41,16.43,15.67,14.81,14.15
1977,14.23,14.77,16.09,16.99,17.35,17.38,17.16,16.44,16.61,16.10,14.29,13.56
1978,13.08,15.11,16.12,17.57,17.56,17.67,16.91,16.79,16.68,15.99,14.07,13.81
1979,14.70,15.27,16.31,17.44,17.52,17.38,17.21,16.89,16.87,16.10,14.26,13.75
1980,14.00,15.52,17.13,17.85,18.08,17.83,17.30,16.84,16.84,16.19,15.19,13.15
1981,13.62,14.21,17.03,17.33,17.45,17.40,16.87,16.84,16.51,15.06,13.57,12.53
1982,14.33,15.15,16.20,17.19,17.46,17.88,17.69,17.17,16.87,15.61,14.84,13.72
1983,12.59,15.31,16.74,17.92,18.26,17.94,17.87,17.93,17.52,16.32,14.48,12.95
1984,12.69,13.04,16.44,17.38,17.43,17.58,17.00,17.01,16.48,15.22,14.04,13.17
1985,13.72,13.50,16.45,17.11,17.14,17.22,16.84,16.94,16.53,15.92,14.04,13.30
1986,12.69,15.68,16.33,17.16,18.03,17.92,17.37,16.73,16.64,15.65,14.52,13.33
1987,13.09,14.87,17.19,17.42,17.55,17.38,17.74,17.19,17.11,16.43,14.42,13.78
1988,14.41,16.11,16.72,17.56,17.65,17.63,17.52,17.18,17.06,15.96,13.24,12.50
1989,12.48,13.89,16.08,16.64,16.35,16.90,17.14,16.71,16.56,15.50,13.87,14.66
1990,13.54,15.32,15.93,17.32,17.82,17.82,17.16,17.15,16.98,15.37,14.58,13.44
1991,14.37,15.65,16.98,17.48,17.53,17.77,17.74,17.22,16.68,15.42,13.81,13.54
1992,12.67,13.80,16.60,18.10,18.42,18.02,17.56,17.05,16.41,16.16,14.58,13.47
1993,13.51,14.35,16.59,17.60,17.60,17.73,17.11,16.96,16.72,15.68,15.06,12.06
1994,13.38,14.58,16.22,18.42,17.93,18.33,17.66,17.48,16.36,15.57,14.01,13.51
1995,13.38,14.73,16.02,17.89,18.12,17.32,17.35,17.33,16.96,16.74,15.17,14.64
1996,14.51,15.60,17.10,18.53,17.75,17.35,17.38,17.28,17.14,15.64,13.90,12.79
1997,14.04,14.23,16.90,17.23,17.57,17.72,17.44,17.19,17.18,15.48,14.21,12.93
1998,14.27,15.68,16.26,17.77,18.01,18.06,17.49,17.06,16.48,16.11,13.30,12.49
1999,12.88,14.00,15.90,17.48,17.03,17.53,17.01,15.88,16.35,15.05,12.88,12.69
2000,12.35,13.79,16.15,18.05,17.19,17.67,17.64,16.97,16.60,15.06,14.88,12.59
2001,13.65,14.05,16.62,18.61,17.45,17.47,17.38,16.66,16.70,15.55,13.66,13.26
2002,12.77,15.54,16.37,18.42,18.86,18.07,17.74,17.29,16.85,15.37,15.33,14.03
2003,14.05,15.56,17.12,17.68,18.04,18.00,17.24,17.30,16.66,15.20,14.28,13.18
2004,14.67,14.51,16.01,17.72,17.56,17.40,17.58,17.49,16.65,15.57,14.24,13.53
2005,12.87,15.62,17.26,18.44,18.00,17.17,17.50,17.44,17.19,16.01,14.53,13.22
2006,14.23,15.96,16.30,17.53,17.65,17.88,17.83,17.09,16.65,16.29,14.42,13.81
2007,13.47,15.46,16.64,17.92,18.42,17.72,17.27,17.15,17.03,15.32,14.76,13.17
2008,13.62,13.90,16.09,17.24,17.72,17.60,17.51,17.35,17.09,16.03,14.18,13.10
2009,14.04,15.51,17.99,18.31,18.33,18.38,17.81,17.40,17.73,15.99,15.09,15.04
2010,14.37,16.69,17.15,18.67,18.40,17.94,17.45,17.25,16.94,16.22,15.12,14.21
2011,13.74,15.52,16.36,18.02,17.97,18.63,18.27,17.38,17.35,14.96,15.71,13.53
2012,13.69,13.76,16.72,17.74,18.48,17.73,17.43,17.02,17.09,16.12,14.59,13.59
2013,14.41,15.61,17.39,17.90,18.37,18.13,18.03,17.27,17.13,16.21,15.31,12.59
2014,13.49,14.85,17.16,17.30,17.64,18.35,18.09,17.39,17.20,15.98,15.25,13.38
2015,12.68,14.98,17.07,18.19,18.22,18.16,17.48,17.31,17.62,17.01,16.05,15.11
2016,15.28,16.20,18.48,18.45,18.29,18.37,18.03,17.53,17.38,16.53,14.84,13.49
2017,13.02,15.78,17.49,18.25,18.28,18.19,18.05,17.51,17.30,16.67,14.25,13.54
2018,12.72,15.68,16.58,17.46,17.20,17.39,17.47,16.75,16.75,15.92,14.87,14.09
2019,12.59,15.54,16.99,18.06,18.15,17.09,17.55,17.08,17.08,15.71,15.16,13.95
2020,12.99,14.93,17.54,17.10,18.40,17.52,18.03,17.32,17.05,16.39,14.09,14.32
