Variable:,tasmin
Country:,"Falkland Islands (Islas Malvinas)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.07,6.05,5.16,3.88,1.53,0.49,-0.41,0.02,0.79,2.10,3.24,4.32
1902,5.52,5.46,5.08,4.01,1.32,-0.22,-1.57,-0.41,-0.03,1.79,2.61,4.91
1903,5.63,5.64,4.40,3.38,1.76,-0.08,-0.42,-0.68,0.07,1.80,2.78,4.50
1904,6.02,6.06,4.64,3.68,1.03,0.32,-1.49,-0.18,0.63,1.83,2.97,5.15
1905,6.01,5.35,5.14,3.34,0.91,-0.81,-1.40,-1.10,-0.27,1.04,2.44,3.80
1906,5.13,5.51,3.91,2.31,1.01,-0.66,-1.20,-0.37,0.19,1.80,2.60,3.57
1907,4.97,5.62,4.50,2.95,0.95,-0.64,-0.55,-0.62,-0.10,1.44,2.37,3.54
1908,5.07,6.16,4.59,2.37,1.01,0.29,-0.74,-0.82,0.11,0.98,1.50,3.86
1909,5.18,5.23,4.37,2.97,0.57,0.13,-0.78,-0.88,0.04,1.59,2.22,3.26
1910,4.22,5.54,4.90,2.88,1.12,-0.27,-0.65,-0.59,0.62,2.33,3.00,5.05
1911,4.92,5.36,4.64,2.63,1.01,0.64,-0.16,-0.80,0.17,1.87,2.68,4.83
1912,5.83,5.15,4.99,3.70,0.93,0.28,0.50,-0.60,0.43,2.03,1.85,4.32
1913,5.81,5.18,4.66,3.14,0.45,-0.36,-1.04,-0.90,0.79,1.52,2.45,4.47
1914,4.89,5.47,4.89,2.95,0.93,-0.59,-0.61,-0.60,-0.15,1.59,1.72,4.60
1915,5.09,5.35,5.15,1.98,0.46,-0.36,-0.21,-0.54,0.62,1.99,2.46,4.22
1916,5.71,5.83,4.67,3.31,1.53,0.06,-0.53,-0.06,0.41,1.99,2.61,4.52
1917,5.11,5.97,4.74,3.64,1.53,0.16,0.04,-0.45,0.62,2.36,3.25,4.25
1918,5.22,6.13,4.65,3.05,0.62,0.57,-0.88,-0.76,0.17,2.10,2.15,5.15
1919,5.82,6.02,4.57,2.85,1.33,0.35,-0.16,0.12,0.30,1.77,2.30,4.63
1920,5.51,5.82,4.33,3.69,1.15,0.40,-0.55,0.30,0.59,1.72,2.77,4.54
1921,5.34,5.46,5.00,3.55,0.65,0.24,-0.00,-0.49,0.44,2.10,2.90,4.59
1922,4.82,5.36,4.43,3.32,1.65,-0.01,0.04,-0.31,0.60,1.85,4.04,5.59
1923,5.96,6.31,4.13,1.82,1.61,-0.97,-2.54,-1.21,-0.22,0.20,1.64,3.17
1924,6.20,4.55,4.96,2.32,1.34,0.57,-1.16,-0.05,0.67,2.75,2.33,4.74
1925,4.52,5.71,5.16,2.76,1.34,-0.64,-0.76,-0.50,-1.21,0.97,3.04,5.35
1926,4.56,6.09,4.28,2.05,1.40,0.35,-0.76,-0.16,0.09,0.49,2.94,5.78
1927,5.06,5.34,4.94,4.01,1.27,0.10,-0.43,-0.80,-1.13,1.36,2.70,4.39
1928,4.53,4.67,4.30,2.97,1.56,-0.82,-0.82,0.79,1.69,2.34,2.08,3.32
1929,4.74,5.58,4.51,3.99,1.41,0.70,0.28,-1.46,0.38,1.89,2.20,2.62
1930,5.08,5.70,3.25,3.83,1.20,-0.34,-1.29,-1.36,1.05,0.82,3.60,4.42
1931,5.59,5.35,4.80,2.88,1.47,0.41,-1.13,0.36,-1.00,1.09,1.35,4.02
1932,4.88,5.36,4.27,1.94,1.42,-1.07,-2.22,-0.81,0.37,1.99,2.41,3.79
1933,4.36,4.91,4.78,3.37,1.34,-0.19,0.21,-0.34,1.08,1.26,1.17,2.50
1934,6.19,3.34,3.67,3.22,0.91,-1.25,-0.42,0.47,0.29,3.08,2.37,3.14
1935,4.21,4.22,4.95,1.78,1.52,0.33,-2.20,-0.77,-1.47,0.67,2.20,3.23
1936,4.86,5.64,3.80,3.23,-0.78,-0.12,0.22,-0.69,0.08,1.09,3.43,4.37
1937,5.18,4.02,3.40,3.13,0.62,-1.09,-2.17,-1.51,0.59,1.00,2.14,3.89
1938,3.16,4.14,3.80,3.35,1.66,-0.01,-0.84,-1.29,-0.87,1.82,1.94,4.01
1939,4.48,4.75,3.90,2.52,0.07,-1.20,-0.66,-2.46,-0.16,1.09,0.80,4.10
1940,4.40,6.42,4.70,1.89,0.57,-0.31,0.33,0.23,0.34,2.03,2.85,3.13
1941,5.68,5.14,4.84,0.74,0.53,1.13,0.81,0.10,-0.24,1.72,1.75,4.50
1942,5.28,6.42,3.23,3.13,0.75,0.01,0.09,-0.59,0.02,1.69,3.08,6.28
1943,5.24,5.85,4.83,4.42,1.53,1.47,0.98,-0.66,0.63,2.36,1.87,5.35
