Variable:,tasmin
Country:,Gibraltar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,8.70,6.60,9.40,12.50,13.90,18.00,18.60,20.30,17.80,13.40,10.00,7.80
1902,8.10,9.30,10.70,12.40,12.30,15.50,19.10,19.50,17.50,13.40,12.00,9.20
1903,8.50,8.50,10.40,11.50,13.20,15.90,18.80,19.80,17.50,15.40,11.60,8.40
1904,8.20,8.90,9.00,11.50,14.70,17.00,19.20,20.10,17.20,15.40,11.10,10.70
1905,7.60,6.70,11.50,12.90,13.20,16.20,18.90,19.70,17.30,13.50,10.60,8.70
1906,9.00,7.40,9.50,10.40,13.30,17.20,18.50,20.20,18.30,15.20,11.00,8.10
1907,7.20,6.80,9.40,11.40,12.90,16.70,17.50,19.60,18.30,13.50,11.70,11.20
1908,9.40,7.80,8.40,10.10,14.60,15.50,18.00,19.60,18.30,15.60,12.70,10.10
1909,7.30,6.70,9.80,12.10,14.10,14.80,17.50,19.50,16.70,15.20,11.70,10.90
1910,8.20,9.70,8.60,11.00,12.20,16.20,18.00,18.70,17.40,15.10,11.70,10.20
1911,5.80,8.00,8.80,10.20,12.90,15.60,18.90,20.10,19.60,14.50,11.10,10.90
1912,8.80,11.00,11.30,10.80,14.70,16.00,16.70,18.20,16.90,14.00,10.00,8.00
1913,10.10,8.40,10.00,10.80,13.80,16.70,18.00,18.80,16.70,14.90,12.20,8.70
1914,6.80,9.00,10.50,11.90,13.60,15.00,17.50,18.60,18.20,14.50,10.90,9.60
1915,8.10,8.00,10.30,9.80,14.30,16.10,19.10,20.10,17.60,13.40,11.40,10.70
1916,8.10,8.20,8.90,10.80,14.00,15.60,18.10,20.00,17.20,14.90,11.30,10.00
1917,7.50,8.00,8.60,9.80,14.10,16.10,18.90,18.70,18.40,13.10,9.90,6.70
1918,9.20,8.00,8.90,10.00,13.70,16.30,18.50,19.70,17.90,12.10,10.80,9.60
1919,7.40,10.10,10.00,10.30,13.50,16.80,17.50,20.00,18.30,13.10,9.60,8.00
1920,8.60,8.90,9.70,12.30,14.70,16.80,17.90,18.70,17.90,14.20,10.60,8.70
1921,8.20,8.40,9.30,10.50,13.20,16.30,19.20,19.20,18.90,16.70,10.80,8.00
1922,7.90,8.80,9.30,11.50,14.90,15.50,18.00,19.40,16.30,15.00,10.90,7.50
1923,6.30,9.10,10.30,10.10,13.80,15.60,19.10,20.40,17.10,16.80,11.40,7.10
1924,8.40,6.40,10.80,11.80,15.80,17.70,19.30,19.30,17.90,15.00,11.20,9.20
1925,7.40,7.40,7.20,10.80,13.00,16.10,17.30,19.80,17.40,14.60,10.10,11.20
1926,9.30,10.70,10.70,12.10,12.70,16.10,19.00,20.10,20.00,16.30,10.30,8.20
1927,8.10,7.20,10.10,11.50,14.70,16.90,17.90,19.90,17.20,15.10,9.90,9.30
1928,7.10,8.70,10.00,10.80,11.80,16.40,19.90,19.60,18.60,14.40,10.20,7.50
1929,7.60,8.80,9.90,11.80,12.60,16.90,18.90,19.30,18.00,14.40,10.70,10.00
1930,9.50,6.20,10.00,9.80,13.60,15.40,18.20,20.50,18.50,16.40,12.20,10.20
1931,7.90,7.50,10.50,11.40,13.40,17.50,18.50,18.80,17.00,14.80,11.70,7.60
1932,7.40,6.60,10.20,10.00,13.30,15.40,17.10,19.40,17.70,13.50,11.50,9.50
1933,7.40,7.50,9.70,12.00,15.20,15.50,18.80,21.20,17.60,15.10,9.10,6.70
1934,6.40,6.20,7.70,10.20,14.00,16.90,19.00,18.30,18.00,14.80,9.80,10.80
