Variable:,tasmin
Country:,Hungary
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-10.09,-7.70,0.28,4.47,9.19,13.52,14.75,13.36,9.21,6.14,-0.84,-0.13
1902,-1.82,-2.22,-0.64,3.70,6.00,11.51,12.67,13.39,9.13,4.90,-2.80,-7.37
1903,-6.63,-1.08,1.82,2.34,8.67,11.46,13.31,12.67,9.67,5.27,2.15,-1.85
1904,-6.25,-1.09,0.08,4.92,8.64,12.81,15.43,13.98,8.81,5.57,-0.82,-2.61
1905,-9.18,-3.66,0.88,3.22,9.11,13.32,15.22,14.63,11.41,1.76,2.22,-2.39
1906,-5.46,-3.21,0.14,5.42,9.94,12.19,14.22,12.74,8.62,4.60,3.32,-4.84
1907,-6.84,-6.20,-2.91,2.32,11.11,12.96,12.94,13.32,9.33,8.93,-0.17,-1.66
1908,-7.05,-2.40,-0.79,3.52,12.08,14.60,13.91,12.38,8.31,3.80,-3.74,-4.46
1909,-7.65,-7.47,-0.44,5.03,8.62,12.39,13.46,14.53,10.92,7.35,0.28,-0.17
1910,-3.21,0.00,0.93,4.60,9.54,13.51,13.26,13.48,9.31,5.22,0.48,0.53
1911,-4.92,-5.30,0.60,4.37,9.87,12.18,15.13,14.75,10.40,5.28,3.46,-0.62
1912,-7.46,-0.99,3.07,2.86,9.09,13.59,14.17,12.22,6.46,3.05,-1.04,-1.62
1913,-5.86,-4.69,2.45,4.98,8.78,12.44,11.75,11.94,10.00,5.49,2.87,-1.56
1914,-9.30,-5.30,1.63,5.87,9.12,11.91,13.61,13.38,8.72,4.64,-0.11,-0.69
1915,-2.47,-2.41,-1.05,4.54,10.04,13.95,13.57,12.04,7.63,3.98,-0.99,1.03
1916,-1.47,-3.01,3.36,4.67,9.43,11.82,13.99,13.15,8.85,4.89,3.02,0.48
1917,-4.75,-8.60,-1.75,3.12,9.85,14.36,14.64,14.95,11.16,5.80,2.03,-4.83
1918,-3.65,-3.85,0.29,7.06,9.73,11.03,13.71,13.53,11.00,5.98,0.14,-1.62
