Variable:,tasmin
Country:,Ireland
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.17,0.33,1.27,3.26,5.59,8.13,11.60,10.17,9.39,5.40,3.06,1.44
1902,2.61,0.34,3.61,2.89,4.78,8.68,9.85,9.60,8.60,6.64,4.53,3.15
1903,1.84,3.99,2.75,2.84,6.06,8.31,10.44,9.24,8.52,6.66,3.56,1.61
1904,2.11,1.27,1.44,4.16,5.91,8.50,10.55,9.75,7.94,6.10,3.27,2.85
1905,2.86,2.48,2.62,3.70,5.70,9.36,11.55,9.71,7.90,3.79,1.78,4.61
1906,3.02,0.49,2.09,2.10,5.72,8.96,9.75,11.07,8.31,6.21,4.46,1.77
1907,2.21,0.65,2.94,3.30,5.53,7.97,10.13,9.52,9.00,5.73,3.00,2.66
1908,1.37,3.51,1.45,2.31,7.30,8.29,10.90,9.93,8.50,8.49,4.92,3.23
1909,2.72,1.93,1.04,3.88,5.42,8.04,10.38,10.27,7.70,6.46,1.80,1.59
1910,1.52,1.86,2.60,2.97,6.03,9.23,10.05,10.54,8.13,7.16,1.18,3.92
1911,2.12,1.97,2.12,3.53,6.98,8.81,10.99,11.22,8.04,5.88,2.73,3.45
1912,2.23,2.43,3.79,4.13,6.74,8.82,10.10,8.14,7.29,4.44,3.92,3.73
1913,2.34,2.38,2.10,3.71,6.12,8.28,10.10,9.91,9.12,7.26,4.62,2.98
1914,2.20,3.08,2.37,4.72,5.91,8.64,10.79,10.55,8.58,6.71,3.33,1.47
1915,1.66,0.73,1.76,3.96,5.62,8.34,9.92,10.39,8.82,6.03,0.86,2.43
1916,3.94,0.89,0.98,3.10,6.00,7.53,10.61,11.32,9.40,7.09,4.43,0.73
1917,0.54,-0.29,1.23,1.45,6.55,8.38,10.89,11.01,9.21,3.84,5.33,1.03
1918,1.76,4.65,2.29,3.08,6.82,8.14,10.08,10.96,7.30,5.30,2.81,4.53
