Variable:,tasmin
Country:,Kenya
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.32,18.48,19.58,19.65,18.91,17.64,17.09,17.38,17.57,18.72,18.93,18.70
1902,18.09,18.61,19.45,19.47,19.06,18.27,17.88,18.32,18.13,18.88,18.92,18.14
1903,18.51,18.85,19.50,19.72,18.98,18.07,17.58,17.89,17.63,18.57,18.87,18.23
1904,17.25,17.93,18.78,18.93,18.83,17.89,17.56,17.88,17.19,17.29,17.88,17.51
1905,18.24,17.87,18.71,18.90,18.38,17.66,17.10,17.28,17.58,18.84,18.67,17.94
1906,17.01,18.86,18.54,18.71,18.51,17.21,16.39,16.83,17.09,18.49,18.39,17.70
1907,17.23,17.74,18.95,19.24,18.37,17.03,16.67,16.43,17.16,18.79,18.71,17.75
1908,18.26,18.62,19.51,20.21,19.16,18.07,17.58,18.19,17.87,18.70,18.50,17.38
1909,16.44,16.66,18.44,18.64,18.24,16.38,16.67,16.34,16.90,18.04,17.39,16.92
1910,16.70,17.16,18.40,18.93,17.15,17.70,16.17,16.59,16.03,17.13,17.64,18.60
1911,17.54,17.89,18.85,18.50,18.40,17.20,15.81,16.71,16.41,17.85,18.23,17.55
1912,16.99,17.51,17.98,18.30,17.88,17.04,15.65,16.11,16.39,17.92,17.85,16.55
1913,16.18,17.12,17.43,18.05,17.84,15.98,15.19,15.63,16.95,17.69,17.63,16.97
1914,16.51,17.44,18.37,18.20,17.61,16.93,15.92,16.63,16.58,17.88,17.80,17.84
1915,17.08,17.98,19.16,19.06,17.15,16.80,16.48,16.40,17.00,17.97,17.35,16.58
1916,16.75,17.52,17.64,18.31,18.00,16.30,15.34,15.45,15.58,18.79,17.18,16.69
1917,15.95,16.78,16.63,17.64,17.41,15.87,15.60,16.42,16.01,16.99,17.15,16.60
1918,16.23,17.16,17.83,17.80,17.24,16.31,15.65,15.90,16.12,17.78,17.08,16.79
1919,17.08,17.99,18.36,18.11,17.37,15.93,15.19,16.17,16.58,16.50,16.80,16.24
1920,16.35,16.70,17.63,16.92,16.91,15.10,15.19,15.90,17.77,18.79,19.38,15.23
1921,17.35,17.98,19.93,19.95,18.92,17.21,17.76,17.45,17.66,18.80,19.21,19.09
1922,18.79,19.85,19.91,19.63,18.41,18.21,16.38,17.24,17.98,18.44,19.06,18.35
1923,18.08,18.81,19.09,19.08,19.11,17.25,16.65,16.71,16.94,18.13,18.08,18.28
1924,18.45,19.29,19.89,20.22,19.54,18.34,18.05,18.32,18.32,19.33,19.54,18.91
1925,17.45,18.32,19.09,19.83,19.48,18.52,18.22,18.41,18.08,18.92,18.91,18.31
1926,17.98,19.93,19.29,20.18,19.39,18.23,17.97,17.94,18.78,18.96,19.05,17.56
1927,19.25,19.06,19.84,18.85,18.05,16.76,16.15,18.09,18.41,19.75,19.34,18.61
1928,18.61,19.73,19.92,20.81,19.59,17.87,16.81,17.83,18.53,19.57,19.68,18.58
1929,16.17,18.13,18.68,17.39,17.02,15.68,15.58,15.38,15.46,16.92,17.00,16.50
1930,17.15,17.16,17.86,18.04,17.26,15.61,15.76,16.07,16.65,16.94,17.22,17.04
1931,17.59,18.67,18.62,18.99,18.79,17.40,17.08,17.34,17.45,18.59,18.97,17.19
1932,16.80,18.07,17.90,18.11,17.52,16.78,15.92,16.67,17.31,17.96,18.50,17.02
1933,16.81,17.97,19.07,19.81,18.93,17.92,16.78,16.96,16.62,17.71,18.07,17.18
1934,17.13,17.70,18.64,19.24,18.14,17.37,17.02,16.88,17.23,18.17,18.57,17.84
1935,17.88,18.13,18.95,18.87,18.36,17.21,15.88,16.59,17.34,18.00,18.55,17.60
1936,17.10,18.11,18.37,18.58,18.61,16.87,16.17,16.49,16.83,18.31,18.36,17.72
1937,17.96,18.82,19.00,18.96,18.24,16.96,16.44,16.63,17.58,17.82,18.25,17.15
1938,17.20,17.97,19.23,19.57,18.21,16.93,16.58,17.04,17.06,18.23,18.06,17.47
1939,17.08,18.23,19.17,19.14,18.58,17.04,17.25,17.46,17.81,18.59,19.07,18.54
1940,18.79,19.20,19.31,19.06,19.24,17.95,17.12,17.52,17.79,18.89,19.08,18.14
1941,18.22,19.03,19.09,19.63,19.05,17.62,16.55,17.48,17.77,18.86,18.96,17.88
1942,18.16,19.10,19.57,19.97,18.96,17.79,16.53,17.07,17.04,18.59,18.82,18.35
