Variable:,tasmin
Country:,"Korea, Republic of"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.69,-8.91,-3.64,4.09,7.78,13.96,17.48,18.83,12.54,7.54,-1.10,-7.72
1902,-9.01,-7.72,-0.79,2.93,8.81,13.49,17.60,18.19,12.81,5.89,1.92,-3.42
1903,-7.55,-6.29,-0.19,4.11,8.08,13.46,17.66,19.57,14.06,6.24,-0.88,-7.26
1904,-9.80,-6.78,-2.30,4.26,8.18,14.70,19.03,18.86,12.43,5.74,-1.80,-5.59
1905,-5.92,-7.59,-1.95,2.43,8.48,14.24,19.05,18.00,13.32,6.18,-0.23,-3.62
1906,-9.32,-7.33,-2.74,2.64,8.96,14.35,18.86,19.13,13.27,6.31,-1.11,-6.46
1907,-6.79,-8.69,-2.43,3.29,8.22,13.54,18.26,19.32,13.69,6.85,0.08,-8.00
1908,-8.24,-8.49,-2.61,3.20,8.05,14.29,18.07,18.93,12.72,6.38,-1.61,-5.70
1909,-7.85,-8.07,-3.79,3.21,8.02,14.25,19.48,19.82,14.42,5.55,-0.28,-7.34
1910,-7.15,-8.48,-3.24,2.54,8.35,14.17,18.66,18.82,13.11,6.38,-0.55,-8.57
1911,-9.41,-6.46,-1.82,3.04,8.13,14.30,18.55,19.27,14.84,5.35,0.64,-7.23
1912,-9.04,-4.24,-1.47,3.59,8.25,14.32,18.77,19.20,12.14,4.22,-2.93,-7.15
1913,-9.72,-8.41,-4.29,4.30,7.70,14.02,17.57,17.90,11.77,5.82,-1.17,-6.66
1914,-8.11,-5.46,-0.38,3.51,9.52,15.17,21.33,19.82,14.00,6.48,0.19,-6.08
1915,-9.21,-7.06,-4.39,3.25,8.16,14.98,19.54,19.29,13.59,8.23,1.11,-5.19
1916,-6.23,-5.98,-4.77,3.87,7.89,14.86,18.75,19.63,14.36,6.50,1.02,-6.58
1917,-12.48,-8.65,-3.21,2.78,7.18,14.04,19.88,18.92,14.59,6.44,-2.70,-9.54
1918,-12.05,-6.40,-2.30,3.69,7.86,13.85,18.58,18.68,12.34,5.54,-0.88,-6.20
1919,-8.99,-7.16,-1.25,3.16,8.68,15.49,19.40,19.49,12.67,5.64,-0.55,-7.56
1920,-9.73,-7.34,-1.16,3.43,8.93,14.67,20.28,19.30,14.80,6.60,1.13,-5.66
1921,-7.30,-6.48,-2.81,3.85,8.90,13.98,18.94,19.85,13.20,5.38,-2.35,-6.12
1922,-11.13,-4.77,-2.65,4.60,9.16,14.88,19.43,20.74,14.64,6.32,-1.62,-7.76
1923,-10.10,-7.46,-0.92,3.28,9.66,13.99,18.80,20.40,13.31,5.32,-0.75,-6.81
1924,-8.45,-6.62,-4.80,3.72,8.40,13.76,20.54,19.88,13.10,5.41,-2.39,-6.95
1925,-8.82,-8.13,-3.78,2.25,9.17,14.62,18.74,19.48,13.39,5.34,1.31,-6.42
1926,-9.18,-7.61,-2.81,2.08,9.34,13.38,19.17,20.41,14.15,4.95,-0.24,-8.24
1927,-9.08,-7.58,-2.49,4.29,7.36,14.02,20.79,19.62,12.63,5.48,1.05,-6.24
1928,-8.92,-7.25,-2.04,4.09,9.14,14.49,18.94,19.09,14.51,4.90,-0.93,-6.41
1929,-9.62,-8.56,-2.02,3.22,8.88,15.15,20.25,19.78,12.01,5.50,-1.31,-3.62
1930,-9.27,-4.87,-0.14,5.41,9.25,14.68,21.27,19.85,12.43,6.39,-1.86,-5.88
1931,-7.78,-6.93,-1.90,2.29,8.35,14.53,17.45,19.84,13.24,4.79,1.53,-5.39
1932,-6.43,-6.57,-3.25,2.94,9.04,14.72,20.53,19.57,12.85,4.49,-0.72,-4.73
1933,-10.41,-8.23,-4.15,3.77,9.43,15.38,20.71,19.35,13.12,6.63,-0.23,-4.25
1934,-11.76,-7.17,-2.91,2.66,9.64,14.97,19.94,19.39,13.20,4.65,-1.05,-4.52
1935,-7.87,-5.94,-0.58,4.02,9.05,14.76,19.44,19.87,13.07,7.02,0.78,-7.66
1936,-12.10,-8.61,-5.33,3.10,8.70,15.07,19.01,18.51,13.92,5.39,-0.70,-4.84
1937,-7.76,-4.32,-1.70,4.21,9.22,14.78,19.68,20.71,13.79,6.37,1.67,-7.52
1938,-10.69,-8.24,-1.06,4.24,10.28,14.54,19.86,20.10,12.40,8.12,-0.96,-6.48
1939,-9.62,-6.89,-1.70,4.30,8.37,14.53,21.03,20.02,13.79,6.85,-0.11,-6.13
1940,-10.54,-7.44,-2.53,2.61,8.66,13.91,20.14,18.69,12.69,6.74,0.58,-5.04
1941,-7.71,-6.77,-1.69,2.83,9.74,15.19,17.80,18.57,12.08,4.89,1.16,-4.68
1942,-10.22,-7.90,0.33,2.97,8.16,15.09,21.31,19.95,13.99,5.09,-1.29,-6.49
1943,-11.49,-7.46,-1.24,2.91,9.31,14.84,19.81,20.56,14.35,6.37,-0.32,-5.34
1944,-8.90,-7.72,-2.74,2.83,9.07,15.00,20.31,19.48,14.44,5.58,2.01,-9.07
1945,-12.03,-9.91,-2.54,3.42,7.22,14.79,18.29,19.70,14.91,6.22,1.36,-6.35
1946,-7.67,-6.23,-2.59,3.96,8.64,16.14,20.26,20.09,13.08,6.05,2.13,-7.74
1947,-7.62,-9.71,-3.84,2.93,7.74,12.86,19.16,19.84,13.24,4.54,-2.36,-8.57
1948,-8.66,-6.23,-1.66,4.73,8.63,15.10,19.72,19.65,13.62,6.51,-0.56,-1.77
1949,-7.60,-4.01,-2.72,2.71,9.50,13.51,18.38,19.59,14.07,6.15,0.11,-5.83
1950,-6.11,-5.44,-2.14,4.64,9.18,14.34,20.30,19.38,13.39,6.83,0.08,-6.73
1951,-8.29,-5.29,-2.98,3.29,9.53,13.76,18.68,20.75,12.18,7.11,0.76,-3.92
1952,-7.95,-7.69,-2.61,4.09,9.28,15.00,19.32,18.90,13.17,5.02,1.85,-6.79
1953,-9.80,-7.18,-1.47,2.54,9.26,14.68,19.91,20.00,13.45,7.51,-0.81,-3.85
1954,-6.00,-4.97,-2.48,4.38,8.99,13.41,17.32,20.20,14.31,5.41,2.68,-6.22
1955,-10.33,-5.57,-0.97,4.45,8.64,15.50,20.09,19.13,14.00,5.39,-0.69,-4.53
1956,-8.72,-8.21,-1.74,3.20,8.18,14.12,19.19,18.24,13.58,5.48,-2.66,-9.07
1957,-7.37,-8.38,-4.80,3.36,9.19,13.70,18.45,18.20,10.99,5.13,1.22,-5.10
1958,-10.02,-5.83,-2.38,4.14,8.32,14.70,19.93,18.24,13.47,5.66,1.03,-2.08
1959,-9.60,-2.57,0.24,3.81,9.89,14.46,19.62,19.87,14.87,6.83,0.26,-4.00
1960,-8.31,-4.38,0.39,3.33,9.27,14.99,20.20,19.99,14.29,7.17,0.95,-6.47
1961,-9.83,-6.70,-0.71,4.47,9.76,15.38,21.38,20.82,15.24,8.82,2.46,-5.52
1962,-8.31,-5.83,-2.55,3.11,9.25,14.08,19.65,19.50,13.90,5.77,0.42,-4.46
1963,-12.65,-8.15,-1.82,4.52,9.73,14.19,19.73,19.60,13.30,5.43,0.31,-4.43
1964,-5.66,-7.61,-1.97,6.30,10.45,15.04,20.40,20.80,14.84,6.98,0.11,-5.23
1965,-9.25,-6.59,-3.42,2.78,9.72,14.56,19.04,19.54,12.75,6.74,1.42,-6.94
1966,-9.40,-5.69,-0.32,4.19,9.53,14.41,19.41,21.00,13.17,7.61,-0.59,-7.06
1967,-9.91,-6.92,-1.20,4.67,10.60,15.37,20.02,21.65,13.55,6.30,0.32,-9.06
1968,-8.70,-9.92,-1.99,4.06,9.16,14.14,19.59,18.83,13.48,5.66,0.83,-2.40
1969,-8.15,-6.92,-3.30,3.78,9.16,13.75,18.96,19.69,14.52,5.38,-1.05,-7.54
1970,-10.64,-5.89,-4.86,3.49,9.89,14.32,18.56,20.26,15.19,7.16,-0.86,-6.38
1971,-8.56,-6.47,-2.88,3.48,9.27,15.31,20.14,18.86,13.63,4.83,0.68,-6.53
1972,-4.91,-5.19,-1.29,4.30,8.51,14.54,19.23,18.00,12.48,6.18,-0.19,-5.80
1973,-5.53,-5.02,-2.33,5.19,9.54,14.90,20.97,20.74,13.34,5.96,-1.35,-8.74
1974,-9.32,-7.44,-2.58,3.97,9.21,13.39,17.57,19.08,12.77,5.92,-1.24,-5.96
1975,-8.06,-6.91,-2.18,4.83,9.06,14.75,19.89,20.18,16.24,8.17,2.22,-6.56
1976,-9.79,-3.74,-1.58,3.73,8.48,14.53,17.62,19.05,12.16,6.32,-2.29,-5.94
1977,-11.98,-9.02,-1.46,4.71,9.41,14.49,20.53,17.75,14.45,7.97,1.09,-3.75
1978,-7.59,-7.76,-2.40,4.06,9.32,15.54,21.34,20.58,13.89,6.42,1.23,-4.66
1979,-5.69,-4.76,-1.21,3.80,8.58,16.13,18.92,19.33,13.11,7.03,-0.81,-4.63
1980,-8.49,-8.54,-1.74,3.10,8.99,15.73,17.67,17.01,12.12,5.72,1.01,-8.42
1981,-11.78,-7.29,-2.22,4.14,8.53,14.43,20.50,18.54,12.37,5.65,-2.11,-6.49
1982,-9.35,-6.65,-1.06,3.77,10.35,14.43,18.04,19.80,12.56,7.01,1.84,-5.91
1983,-7.87,-7.60,-1.23,5.15,9.47,14.11,18.73,20.09,15.49,7.31,-0.36,-7.18
1984,-11.00,-9.34,-3.67,3.47,8.96,15.52,19.53,20.93,13.48,5.78,0.94,-5.96
1985,-11.08,-5.64,-1.85,3.66,9.85,14.56,20.16,20.72,15.25,8.01,0.38,-8.13
1986,-10.40,-8.84,-2.18,3.91,8.96,14.90,17.85,18.97,12.72,5.33,-0.84,-3.75
1987,-8.11,-5.50,-2.05,3.38,9.10,14.53,19.06,19.15,12.39,7.94,0.57,-5.40
1988,-7.48,-7.70,-2.66,3.52,9.08,15.17,18.99,19.15,13.70,6.78,-1.18,-5.86
1989,-5.14,-4.32,-1.12,5.00,9.61,13.92,18.53,18.76,14.01,5.78,0.82,-4.17
1990,-8.62,-2.68,0.32,3.90,9.36,15.71,20.26,20.42,14.64,6.98,3.00,-5.20
1991,-7.89,-6.90,-1.49,3.64,8.95,15.99,19.38,17.92,14.40,5.94,-0.66,-3.77
1992,-5.93,-5.89,-0.11,4.31,8.31,13.72,20.03,18.85,14.31,6.20,-0.54,-4.15
1993,-7.63,-5.25,-1.86,3.47,9.03,14.92,17.01,16.96,13.33,5.47,2.20,-6.04
