Variable:,tasmin
Country:,Kuwait
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,6.26,8.77,13.74,18.59,24.26,26.77,28.94,27.70,25.18,19.48,13.88,10.13
1902,7.88,9.79,14.80,18.57,22.79,26.79,27.28,27.07,23.59,18.01,12.20,7.43
1903,5.37,7.50,11.30,15.95,22.83,26.45,27.33,28.15,24.01,17.69,11.42,7.35
1904,7.04,8.49,12.34,16.79,21.85,25.40,27.87,26.79,22.95,18.37,14.32,7.57
1905,5.79,7.06,11.02,17.18,22.00,26.07,27.69,27.18,23.80,19.61,13.61,7.55
1906,6.09,7.80,11.54,15.69,22.90,25.40,27.43,26.23,22.78,18.95,14.04,9.45
1907,6.99,7.17,11.72,16.11,23.02,25.70,27.83,26.61,23.09,18.96,11.39,7.85
1908,6.76,7.42,12.42,17.77,22.00,27.05,27.25,27.47,24.39,18.72,13.57,8.55
1909,6.17,9.89,13.82,18.17,22.95,25.42,28.32,27.33,23.74,19.00,13.75,8.17
1910,6.24,9.03,10.64,15.94,22.20,25.03,27.74,27.47,23.48,17.87,12.68,6.28
1911,3.59,5.97,10.04,15.67,21.51,24.38,27.80,26.45,22.34,17.82,12.28,8.83
1912,6.15,8.51,12.54,16.45,21.60,26.96,27.25,26.05,23.37,18.46,13.43,7.33
1913,6.27,6.78,10.42,17.52,23.19,25.23,27.06,25.56,23.58,18.84,13.11,8.24
1914,8.45,8.41,12.65,17.77,22.39,25.01,27.01,26.77,22.65,19.77,13.68,8.14
1915,8.10,9.22,13.04,16.97,22.20,27.58,27.48,27.34,24.52,18.08,13.51,8.11
1916,6.66,7.03,13.77,16.08,23.43,26.56,28.62,27.70,22.93,17.07,13.60,8.55
1917,6.90,9.19,11.31,18.38,22.43,25.97,29.12,27.73,24.12,17.80,13.71,7.31
1918,6.79,8.39,10.98,16.01,21.63,24.25,27.53,27.03,23.63,20.13,14.10,8.87
1919,8.75,9.69,12.13,18.26,22.03,24.55,27.16,27.33,23.92,19.83,14.40,9.06
1920,7.39,6.47,13.71,17.57,23.19,26.66,27.26,27.33,24.52,20.42,13.60,5.37
1921,6.89,8.19,13.31,19.54,22.04,26.56,28.97,27.43,24.34,18.43,13.32,7.49
1922,8.05,8.62,12.25,17.47,22.00,27.25,28.30,27.87,23.43,18.95,14.96,9.23
1923,7.17,8.13,13.87,15.91,22.47,26.67,28.41,26.11,23.25,19.26,12.35,9.19
1924,8.31,8.42,15.14,17.61,23.53,27.50,28.62,27.08,23.94,20.28,13.82,7.50
1925,3.80,5.95,14.14,18.34,22.80,25.32,26.88,27.55,24.60,19.76,13.10,9.35
1926,8.01,9.79,12.81,16.01,23.10,26.53,27.38,27.29,22.56,18.62,14.38,8.12
1927,7.28,7.49,12.06,16.34,23.77,27.16,28.40,27.15,24.91,20.54,14.15,7.30
1928,6.61,8.63,11.58,19.36,23.14,26.40,28.37,26.51,24.23,19.32,12.68,7.68
1929,7.76,8.93,12.37,17.83,23.09,25.28,27.38,26.97,23.74,19.12,13.19,8.07
1930,5.57,9.44,12.85,18.12,22.83,25.97,27.26,27.20,23.87,18.96,13.90,8.04
1931,8.02,8.34,13.00,17.09,22.23,26.36,28.35,27.18,24.73,17.90,13.03,6.87
1932,7.35,8.03,13.15,16.89,22.13,26.30,27.34,26.85,23.04,18.57,13.44,5.86
1933,5.93,8.67,11.97,16.06,22.60,24.44,26.87,27.05,22.87,18.91,12.80,8.36
1934,5.33,9.44,11.78,17.82,21.43,26.19,27.27,26.79,23.26,18.40,13.25,8.76
1935,6.50,8.84,13.59,16.61,22.54,26.34,27.85,27.88,24.65,19.75,14.05,9.87
1936,6.42,9.79,12.24,17.92,23.30,24.85,27.64,27.94,23.00,17.64,13.55,7.27
1937,4.53,8.40,11.97,17.16,23.27,25.57,27.84,27.48,24.26,19.75,14.36,8.69
1938,8.00,9.26,10.54,16.99,22.03,25.24,28.60,28.13,25.50,17.95,13.47,9.22
1939,8.15,8.76,11.92,15.56,22.91,26.39,27.72,26.68,23.19,18.91,13.96,9.05
1940,7.78,10.45,10.84,18.26,22.99,26.11,27.67,27.91,24.26,19.97,13.42,9.26
1941,7.49,9.91,13.44,17.01,23.40,27.31,28.33,26.83,23.25,18.31,13.45,7.32
1942,6.13,8.97,13.25,17.31,23.62,26.54,28.16,27.69,23.56,19.60,14.39,8.25
1943,6.97,7.90,10.68,16.77,22.60,24.77,27.93,27.65,23.34,18.76,13.49,9.86
1944,8.13,9.11,14.44,17.26,22.82,26.70,27.87,26.01,23.38,18.69,13.82,7.13
1945,6.65,8.09,11.11,17.59,22.36,26.52,27.89,27.07,23.49,18.06,13.93,8.72
1946,6.61,8.96,12.44,18.21,23.58,26.43,27.74,27.47,24.40,19.04,13.55,9.30
1947,8.62,9.38,13.96,18.72,22.96,27.10,28.98,27.34,23.36,19.61,14.22,9.47
1948,7.83,9.59,11.81,16.94,23.13,26.64,28.44,27.94,23.46,17.34,12.40,8.52
1949,5.66,6.87,12.02,16.56,22.44,26.67,27.97,27.41,22.95,17.40,12.98,8.79
