Variable:,tasmin
Country:,Lebanon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.37,4.62,6.66,7.63,7.82,12.76,14.46,14.65,13.04,10.02,5.91,3.63
1902,1.27,4.47,2.79,6.38,9.77,11.80,14.47,14.88,14.72,11.52,5.62,2.25
1903,0.19,0.22,1.72,6.94,10.11,11.42,13.17,14.53,11.97,9.44,4.92,3.31
1904,1.45,2.58,3.59,5.61,8.61,11.79,14.03,15.02,13.05,12.13,5.92,1.39
1905,-0.42,-0.89,1.98,6.99,10.15,12.19,15.39,15.78,14.33,12.28,8.14,1.76
1906,0.91,1.78,3.58,6.61,8.67,13.12,14.81,15.39,12.99,11.02,6.78,4.58
1907,1.03,1.52,1.52,6.01,9.44,12.34,15.09,15.42,12.40,10.37,4.85,2.97
1908,1.22,0.78,3.06,6.25,10.60,13.06,14.24,15.15,13.13,10.34,5.07,1.09
1909,1.00,1.54,5.37,5.04,12.75,13.12,16.02,16.20,14.00,11.16,7.65,4.84
1910,1.28,2.70,1.06,7.36,9.76,12.37,15.02,15.94,13.33,9.70,6.02,1.58
1911,-0.26,-0.88,1.64,6.08,9.71,12.38,14.84,15.48,12.77,10.94,6.81,3.28
1912,0.88,3.04,3.88,6.44,8.25,12.89,14.14,15.42,13.41,11.07,6.45,2.20
1913,1.39,0.60,2.74,6.32,9.21,12.20,14.80,15.62,14.23,11.62,6.02,2.31
1914,1.67,2.18,5.19,5.14,10.30,13.10,15.19,16.22,14.06,10.53,6.36,3.39
1915,3.51,3.07,4.78,6.63,9.67,13.80,15.73,16.13,14.10,11.83,6.84,4.75
1916,1.42,2.71,5.44,7.44,11.77,15.44,16.77,15.60,13.08,9.62,7.93,4.39
1917,2.70,1.71,5.50,7.85,9.23,12.52,15.05,15.93,13.90,10.74,8.60,2.98
1918,1.43,1.77,3.75,6.66,9.71,12.55,15.26,15.60,15.01,13.78,8.55,3.20
1919,3.73,3.98,5.74,6.80,8.37,11.78,15.16,15.09,14.95,13.06,8.78,3.10
1920,2.43,-0.66,3.88,7.79,10.60,13.74,15.75,16.69,14.13,10.93,5.29,1.99
1921,1.33,0.92,2.72,6.35,9.77,12.22,15.38,16.68,13.24,10.18,6.60,2.49
1922,2.00,1.96,4.74,7.14,10.33,12.73,16.18,16.62,14.65,12.60,8.11,2.42
1923,2.52,1.95,3.19,6.43,10.75,14.95,15.22,15.03,14.99,11.26,8.62,5.47
1924,2.48,3.16,4.54,8.02,9.72,13.41,16.06,15.60,14.46,10.36,7.25,2.98
1925,-1.40,1.87,6.93,5.38,10.70,12.71,15.54,16.27,15.01,12.01,8.42,5.35
1926,1.91,2.08,3.03,8.34,11.86,14.82,15.11,14.63,12.60,11.89,8.10,4.44
1927,2.68,-1.63,5.35,6.60,11.95,14.00,16.17,16.19,15.22,13.70,8.35,3.83
1928,2.74,0.59,1.44,10.23,12.43,13.81,16.32,16.98,14.33,10.16,8.14,3.64
1929,0.73,-0.12,1.40,6.32,12.81,13.39,15.08,16.69,13.83,11.18,8.37,3.45
1930,2.39,2.74,5.47,8.40,10.43,13.75,15.88,17.09,14.63,11.40,7.50,5.76
1931,3.14,3.19,4.95,7.36,10.40,13.14,15.99,16.95,15.28,11.02,5.19,2.01
1932,0.63,1.75,4.10,6.96,9.61,13.90,15.65,16.46,14.39,13.37,7.25,1.70
1933,-0.32,2.57,3.23,4.74,9.59,12.81,14.46,15.33,12.93,9.94,8.84,2.80
1934,0.88,0.46,5.02,8.01,11.18,13.55,15.22,15.88,13.59,11.88,7.88,3.62
1935,2.32,2.63,4.37,7.41,12.00,14.65,15.17,16.55,15.08,12.17,6.24,5.13
1936,3.47,3.29,5.02,8.49,10.18,12.23,15.96,16.59,12.89,13.13,7.82,0.96
1937,-1.29,2.80,6.00,8.61,10.45,13.07,16.00,16.01,15.70,12.74,8.56,4.69
1938,2.39,1.07,1.49,7.54,10.09,13.75,16.80,16.98,14.70,11.49,6.44,4.86
1939,2.97,2.12,3.60,7.99,12.56,13.32,16.16,16.13,15.08,13.84,6.62,4.49
1940,2.19,3.82,3.30,8.40,10.02,13.96,16.20,15.72,14.19,12.81,7.69,5.16
1941,3.83,5.03,4.57,8.32,11.96,14.54,15.97,16.12,13.77,9.47,7.80,0.84
1942,0.77,3.38,4.54,8.14,11.57,15.50,15.66,16.15,13.97,11.96,8.32,2.91
1943,2.51,0.47,1.39,5.65,10.11,12.44,14.97,16.60,14.98,13.72,9.52,4.71
1944,1.24,2.66,4.87,7.96,9.23,14.16,15.21,15.65,14.72,12.22,7.26,3.78
