Variable:,tasmin
Country:,"St. Lucia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.10,21.10,21.40,22.10,23.10,23.50,23.30,23.40,22.90,22.50,22.20,21.40
1902,20.60,20.80,20.90,21.60,22.80,23.40,23.20,23.30,22.70,22.30,22.30,21.60
1903,20.90,20.80,20.90,21.60,22.90,23.60,23.30,23.20,22.70,22.60,22.20,21.40
1904,20.60,20.40,20.50,21.20,22.50,23.10,23.00,22.90,22.60,22.10,22.40,21.50
1905,20.80,20.30,20.70,21.80,22.40,23.30,23.20,23.30,22.80,22.40,22.50,21.40
1906,20.60,20.50,20.80,21.50,22.70,23.10,23.00,23.20,22.70,22.50,22.50,21.10
1907,20.30,20.20,20.40,21.20,22.20,23.10,23.10,23.00,22.60,22.40,22.20,21.50
1908,20.70,20.40,20.60,21.20,22.20,23.20,23.20,23.20,22.80,22.30,22.10,21.60
1909,20.50,20.30,21.10,21.30,22.50,22.90,23.00,22.90,22.70,22.30,22.10,21.10
1910,20.30,20.20,20.50,21.10,22.40,23.20,23.10,23.10,22.50,22.30,22.50,21.70
1911,20.40,20.20,20.60,21.30,22.30,23.40,22.90,23.20,22.80,22.40,22.40,21.60
1912,20.90,20.80,20.80,21.50,22.70,23.20,23.20,23.10,22.70,22.40,22.20,21.60
1913,20.50,20.10,20.50,21.10,22.90,22.90,22.70,22.70,22.60,22.00,22.00,21.00
1914,20.60,20.60,21.00,21.30,22.20,23.00,22.80,22.70,22.50,22.10,22.10,21.70
1915,20.80,20.60,21.20,21.60,22.70,23.30,23.20,23.30,22.80,22.60,22.50,21.60
1916,20.50,20.50,20.70,21.50,22.70,23.20,23.00,23.00,22.50,22.20,22.00,21.00
1917,20.40,20.20,20.50,21.30,22.60,23.30,23.20,22.90,22.60,22.50,22.30,21.30
1918,20.40,20.40,20.60,21.20,22.30,23.30,23.20,23.20,23.00,22.60,22.20,21.30
1919,20.40,20.60,20.80,21.30,22.70,23.40,23.00,23.10,22.60,22.20,21.90,21.40
1920,20.50,20.50,20.80,21.50,22.50,23.00,22.80,22.80,22.40,22.20,22.10,21.20
1921,20.70,20.70,20.90,21.10,22.60,23.10,22.70,22.90,22.70,22.20,22.20,21.40
1922,20.60,20.50,20.60,21.10,22.40,23.00,23.00,22.90,22.60,22.40,22.10,21.10
1923,20.40,20.20,20.50,21.20,22.90,23.10,23.00,23.20,22.90,22.60,22.50,21.40
1924,20.60,20.60,21.10,21.80,22.90,23.20,23.10,23.10,22.80,22.40,22.10,21.30
1925,20.30,20.10,20.50,21.50,22.60,23.20,23.00,23.10,22.80,22.50,22.40,21.90
1926,20.90,20.80,21.30,21.80,23.00,23.70,23.30,23.20,22.80,22.50,22.50,21.50
1927,20.60,20.20,20.90,21.30,22.50,23.20,23.00,23.00,22.90,22.50,22.60,21.70
1928,20.70,20.60,20.90,21.50,22.70,23.20,23.00,23.00,22.70,22.40,22.40,21.50
1929,20.60,20.60,20.60,21.20,22.10,23.00,23.00,23.00,22.60,22.50,22.20,21.30
1930,20.40,20.30,20.80,21.40,22.70,23.20,22.90,23.00,22.70,22.60,22.50,21.70
1931,20.90,20.80,21.60,22.10,23.20,23.60,23.30,23.30,22.80,22.60,22.50,21.70
1932,20.80,20.60,21.30,22.00,22.90,23.70,23.30,23.40,23.30,22.80,22.80,22.00
1933,20.80,20.30,21.00,21.70,22.90,23.40,23.30,23.20,22.80,22.50,22.30,21.40
1934,20.50,20.40,20.60,21.70,22.80,23.60,23.20,23.20,22.80,22.50,22.40,21.70
